Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3192  1977  3300  2120 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 13:25:28,12-May-2025 13:25:28,12-May-2025 13:25:28,12-May-2025 13:25:28,12-May-2025 13:25:28,12-May-2025 13:25:28,12-May-2025 13:25:28,12-May-2025 13:25:28,12-May-2025 13:25:28,12-May-2025 13:25:28,12-May-2025 13:25:28,12-May-2025 13:25:28,12-May-2025 13:25:28,12-May-2025 13:25:28,12-May-2025 13:25:28,12-May-2025 13:25:28,12-May-2025 13:25:28,12-May-2025 13:25:28,
File, potted plant_18.0 mm_6400ISO_-2EV_Dist1_OFF_Defocus2.tiff,potted plant_18.0 mm_6400ISO_-2EV_Dist1_OFF_Defocus1.tiff,potted plant_18.0 mm_1600ISO_-2EV_Dist1_OFF_Defocus2.tiff,potted plant_18.0 mm_1600ISO_-2EV_Dist1_OFF_Defocus1.tiff,potted plant_18.0 mm_6400ISO_-2EV_Dist1_ON_Defocus2.tiff,potted plant_18.0 mm_6400ISO_-2EV_Dist1_ON_Defocus1.tiff,potted plant_18.0 mm_6400ISO_-2EV_Dist1_OFF_Focused.tiff,potted plant_18.0 mm_1600ISO_-2EV_Dist1_ON_Defocus2.tiff,potted plant_18.0 mm_1600ISO_-2EV_Dist1_ON_Defocus1.tiff,potted plant_18.0 mm_1600ISO_-2EV_Dist1_OFF_Focused.tiff,potted plant_18.0 mm_6400ISO_-2EV_Dist1_ON_Focused.tiff,potted plant_18.0 mm_1600ISO_-2EV_Dist1_ON_Focused.tiff,potted plant_18.0 mm_100ISO_-2EV_Dist1_OFF_Defocus2.tiff,potted plant_18.0 mm_100ISO_-2EV_Dist1_OFF_Defocus1.tiff,potted plant_18.0 mm_100ISO_-2EV_Dist1_ON_Defocus2.tiff,potted plant_18.0 mm_100ISO_-2EV_Dist1_ON_Defocus1.tiff,potted plant_18.0 mm_100ISO_-2EV_Dist1_OFF_Focused.tiff,potted plant_18.0 mm_100ISO_-2EV_Dist1_ON_Focused.tiff,
Camera, , , , , , , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0272,  0.0445,  0.0312,  0.0575,  0.0320,  0.0453,  0.0894,  0.0302,  0.0623,  0.1708,  0.0696,  0.1592,  0.0313,  0.0614,  0.0310,  0.0623,  0.1746,  0.1925
R1090 (pxl) Mean Ctr, 16.5596,  8.1171, 15.2770,  7.7100, 11.7020, 10.7616,  3.5288, 15.8255,  8.2725,  2.7787,  5.8121,  3.1247, 14.6563,  7.6938, 14.7892,  7.6152,  2.7990,  2.7677
CA (pxl) Mean Ctr,  9.5969,  2.8149,  1.2092,  0.3818,  5.6397,  5.4893,  2.7229,  1.5021,  1.9535,  0.9188,  2.3361,  0.6175,  2.1299,  0.2340,  0.1542,  0.2913,  0.4017,  0.3489
MTF50 (LW/PH) Mean Ctr,    218.5,    357.8,    250.7,    462.4,    257.0,    364.1,    718.4,    242.9,    500.8,   1373.2,    559.2,   1280.3,    251.7,    493.3,    249.4,    501.2,   1403.8,   1548.1
R1090 (/PH) Mean Ctr,    242.8,    495.3,    263.1,    521.4,    343.5,    373.5,   1139.2,    254.0,    485.9,   1446.7,    691.7,   1286.5,    274.3,    522.5,    271.8,    527.9,   1436.2,   1452.5
Peak MTF Mean Ctr,   1.000,   1.360,   1.000,   1.000,   1.000,   1.000,   1.131,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000
MTF50P (Cy/Pxl) Mean Ctr,  0.0272,  0.4670,  0.0312,  0.0575,  0.0320,  0.0453,  0.0839,  0.0302,  0.0623,  0.1708,  0.0696,  0.1592,  0.0313,  0.0614,  0.0310,  0.0623,  0.1746,  0.1925
MTF50P (LW/PH) Mean Ctr,    218.5,   3754.8,    250.7,    462.4,    257.0,    364.1,    674.4,    242.9,    500.8,   1373.2,    559.2,   1280.3,    251.7,    493.3,    249.4,    501.2,   1403.8,   1548.1
