Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3192  1977  3300  2120 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 12:33:54,12-May-2025 12:33:54,12-May-2025 12:33:54,12-May-2025 12:33:54,12-May-2025 12:33:54,12-May-2025 12:33:54,12-May-2025 12:33:54,12-May-2025 12:33:54,12-May-2025 12:33:54,12-May-2025 12:33:54,12-May-2025 12:33:54,12-May-2025 12:33:54,12-May-2025 12:33:54,12-May-2025 12:33:54,12-May-2025 12:33:54,12-May-2025 12:33:54,12-May-2025 12:33:54,12-May-2025 12:33:54,12-May-2025 12:33:54,12-May-2025 12:33:54,12-May-2025 12:33:54,12-May-2025 12:33:54,12-May-2025 12:33:54,12-May-2025 12:33:54,
File, potted plant_18.0 mm_25600ISO_0EV_Dist1_OFF_Defocus2.tiff,potted plant_18.0 mm_25600ISO_0EV_Dist1_OFF_Defocus1.tiff,potted plant_18.0 mm_25600ISO_0EV_Dist1_ON_Defocus2.tiff,potted plant_18.0 mm_25600ISO_0EV_Dist1_ON_Defocus1.tiff,potted plant_18.0 mm_25600ISO_0EV_Dist1_OFF_Focused.tiff,potted plant_18.0 mm_25600ISO_0EV_Dist1_ON_Focused.tiff,potted plant_18.0 mm_6400ISO_0EV_Dist1_OFF_Defocus2.tiff,potted plant_18.0 mm_6400ISO_0EV_Dist1_OFF_Defocus1.tiff,potted plant_18.0 mm_1600ISO_0EV_Dist1_OFF_Defocus2.tiff,potted plant_18.0 mm_1600ISO_0EV_Dist1_OFF_Defocus1.tiff,potted plant_18.0 mm_6400ISO_0EV_Dist1_ON_Defocus2.tiff,potted plant_18.0 mm_6400ISO_0EV_Dist1_ON_Defocus1.tiff,potted plant_18.0 mm_6400ISO_0EV_Dist1_OFF_Focused.tiff,potted plant_18.0 mm_1600ISO_0EV_Dist1_ON_Defocus2.tiff,potted plant_18.0 mm_1600ISO_0EV_Dist1_ON_Defocus1.tiff,potted plant_18.0 mm_1600ISO_0EV_Dist1_OFF_Focused.tiff,potted plant_18.0 mm_6400ISO_0EV_Dist1_ON_Focused.tiff,potted plant_18.0 mm_1600ISO_0EV_Dist1_ON_Focused.tiff,potted plant_18.0 mm_100ISO_0EV_Dist1_OFF_Defocus2.tiff,potted plant_18.0 mm_100ISO_0EV_Dist1_OFF_Defocus1.tiff,potted plant_18.0 mm_100ISO_0EV_Dist1_ON_Defocus2.tiff,potted plant_18.0 mm_100ISO_0EV_Dist1_ON_Defocus1.tiff,potted plant_18.0 mm_100ISO_0EV_Dist1_OFF_Focused.tiff,potted plant_18.0 mm_100ISO_0EV_Dist1_ON_Focused.tiff,
Camera, , , , , , , , , , , , , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0313,  0.0443,  0.0356,  0.0652,  0.0983,  0.0754,  0.0312,  0.0745,  0.0311,  0.0641,  0.0300,  0.0661,  0.1681,  0.0309,  0.0621,  0.1876,  0.1247,  0.2053,  0.0310,  0.0618,  0.0311,  0.0623,  0.1815,  0.1863
R1090 (pxl) Mean Ctr, 10.9082, 15.1734, 10.9742,  6.8749,  3.4053,  5.9098, 14.4529,  7.4963, 15.2525,  7.5072, 16.1772,  7.5605,  3.3328, 14.7386,  7.4686,  3.5639,  2.9936,  2.9114, 14.9759,  7.8999, 14.9086,  7.7863,  2.8724,  2.8356
CA (pxl) Mean Ctr, 15.8912,  3.2326, 17.9788,  1.7373,  0.4997,  1.0805,  1.1587,  0.7081,  0.4889,  0.2254,  2.1720,  1.1092,  1.1226,  1.0466,  0.1387,  0.4197,  1.6461,  0.4638,  0.3873,  0.2619,  0.8877,  0.2111,  0.1760,  0.1084
MTF50 (LW/PH) Mean Ctr,    251.4,    356.1,    286.2,    524.0,    790.4,    606.0,    250.8,    599.2,    250.3,    515.6,    241.0,    531.8,   1351.8,    248.5,    499.6,   1508.6,   1002.4,   1650.5,    249.6,    496.6,    250.1,    500.7,   1459.4,   1497.9
R1090 (/PH) Mean Ctr,    368.5,    264.9,    366.3,    584.7,   1180.5,    680.2,    278.1,    536.3,    263.6,    535.5,    248.5,    531.7,   1206.2,    272.8,    538.3,   1128.0,   1342.9,   1380.8,    268.4,    508.9,    269.6,    516.3,   1399.5,   1417.7
Peak MTF Mean Ctr,   1.000,   1.000,   1.000,   1.000,   1.192,   1.416,   1.000,   1.006,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000
MTF50P (Cy/Pxl) Mean Ctr,  0.0313,  0.0443,  0.0356,  0.0652,  0.2036,  0.5233,  0.0312,  0.0742,  0.0311,  0.0641,  0.0300,  0.0661,  0.1681,  0.0309,  0.0621,  0.1876,  0.1247,  0.2053,  0.0310,  0.0618,  0.0311,  0.0623,  0.1815,  0.1863
MTF50P (LW/PH) Mean Ctr,    251.4,    356.1,    286.2,    524.0,   1637.1,   4207.2,    250.8,    596.6,    250.3,    515.6,    241.0,    531.8,   1351.8,    248.5,    499.6,   1508.6,   1002.4,   1650.5,    249.6,    496.6,    250.1,    500.7,   1459.4,   1497.9
