Imatest,24.2.6, Master, SFR
File,potted plant_18.0 mm_1600ISO_-2EV_Dist1_ON_Defocus2.tiff
Run date,12-May-2025 13:25:28,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0092,   73.94, 0.9407, 0.9531, 0.9336, 0.9786, 0.9407
0.0184,  147.87, 0.7760, 0.8406, 0.7480, 0.8584, 0.7760
0.0276,  221.81, 0.5546, 0.6012, 0.5296, 0.6691, 0.5546
0.0368,  295.74, 0.3631, 0.3798, 0.3586, 0.4136, 0.3631
0.0460,  369.68, 0.2203, 0.2061, 0.2503, 0.1147, 0.2203
0.0552,  443.61, 0.1348, 0.0610, 0.2105, 0.1113, 0.1348
0.0644,  517.55, 0.1049, 0.2916, 0.1900, 0.1536, 0.1049
0.0736,  591.49, 0.1320, 0.3313, 0.0977, 0.2488, 0.1320
0.0828,  665.42, 0.1556, 0.2242, 0.1286, 0.2579, 0.1556
0.0920,  739.36, 0.0212, 0.2051, 0.0547, 0.3336, 0.0212
0.1012,  813.29, 0.1035, 0.2478, 0.2452, 0.3469, 0.1035
0.1104,  887.23, 0.0236, 0.3542, 0.1220, 0.2205, 0.0236
0.1195,  961.17, 0.1572, 0.2017, 0.1917, 0.1634, 0.1572
0.1287, 1035.10, 0.1469, 0.3039, 0.2856, 0.1663, 0.1469
0.1379, 1109.04, 0.0766, 0.4042, 0.2252, 0.1593, 0.0766
0.1471, 1182.97, 0.0340, 0.2142, 0.0607, 0.2498, 0.0340
0.1563, 1256.91, 0.0730, 0.2160, 0.1924, 0.3080, 0.0730
0.1655, 1330.84, 0.2164, 0.1071, 0.3485, 0.2675, 0.2164
0.1747, 1404.78, 0.2721, 0.1729, 0.3589, 0.4411, 0.2721
0.1839, 1478.72, 0.0992, 0.2938, 0.1914, 0.3168, 0.0992
0.1931, 1552.65, 0.2146, 0.3284, 0.3931, 0.1293, 0.2146
0.2023, 1626.59, 0.2535, 0.4795, 0.4652, 0.2431, 0.2535
0.2115, 1700.52, 0.1419, 0.5978, 0.3711, 0.5110, 0.1419
0.2207, 1774.46, 0.2077, 0.2588, 0.4156, 0.5503, 0.2077
0.2299, 1848.40, 0.2565, 0.4356, 0.3421, 0.2604, 0.2565
0.2391, 1922.33, 0.0761, 0.4670, 0.1501, 0.2230, 0.0761
0.2483, 1996.27, 0.0663, 0.4280, 0.2660, 0.4477, 0.0663
0.2575, 2070.20, 0.1196, 0.2671, 0.2983, 0.5296, 0.1196
0.2667, 2144.14, 0.2179, 0.0604, 0.3480, 0.3004, 0.2179
0.2759, 2218.07, 0.2370, 0.1117, 0.3025, 0.2969, 0.2370
0.2851, 2292.01, 0.0896, 0.1301, 0.1481, 0.1214, 0.0896
0.2943, 2365.95, 0.1642, 0.2743, 0.1463, 0.1561, 0.1642
0.3035, 2439.88, 0.0750, 0.0003, 0.1074, 0.1692, 0.0750
0.3127, 2513.82, 0.0993, 0.3175, 0.1203, 0.2598, 0.0993
0.3219, 2587.75, 0.1508, 0.4030, 0.1287, 0.2071, 0.1508
0.3311, 2661.69, 0.3080, 0.4296, 0.2786, 0.2744, 0.3080
0.3403, 2735.63, 0.5347, 0.5514, 0.5747, 0.3758, 0.5347
0.3494, 2809.56, 0.6308, 0.4331, 0.7220, 0.4541, 0.6308
0.3586, 2883.50, 0.5794, 0.4222, 0.6658, 0.2644, 0.5794
0.3678, 2957.43, 0.1311, 0.0995, 0.1901, 0.3169, 0.1311
0.3770, 3031.37, 0.1459, 0.0679, 0.2286, 0.3640, 0.1459
0.3862, 3105.30, 0.2342, 0.1480, 0.3234, 0.2248, 0.2342
0.3954, 3179.24, 0.1674, 0.3133, 0.1430, 0.2180, 0.1674
0.4046, 3253.18, 0.4089, 0.4530, 0.3982, 0.4159, 0.4089
0.4138, 3327.11, 0.2800, 0.3654, 0.2556, 0.3249, 0.2800
0.4230, 3401.05, 0.2134, 0.2866, 0.2516, 0.1732, 0.2134
0.4322, 3474.98, 0.3715, 0.3861, 0.3819, 0.2925, 0.3715
0.4414, 3548.92, 0.3919, 0.3986, 0.3956, 0.3858, 0.3919
0.4506, 3622.86, 0.2539, 0.2512, 0.2692, 0.1302, 0.2539
0.4598, 3696.79, 0.2925, 0.3479, 0.2891, 0.2281, 0.2925
0.4690, 3770.73, 0.3886, 0.3704, 0.4034, 0.3526, 0.3886
0.4782, 3844.66, 0.5739, 0.5063, 0.6213, 0.3343, 0.5739
0.4874, 3918.60, 0.6729, 0.5923, 0.7201, 0.4667, 0.6729
0.4966, 3992.53, 0.3441, 0.2614, 0.3773, 0.2860, 0.3441
0.5058, 4066.47, 0.3022, 0.3262, 0.3202, 0.0907, 0.3022
0.5150, 4140.41, 0.3595, 0.3371, 0.3940, 0.2511, 0.3595
0.5242, 4214.34, 0.4212, 0.3274, 0.4377, 0.5282, 0.4212
0.5334, 4288.28, 0.2853, 0.2823, 0.2747, 0.3960, 0.2853
0.5426, 4362.21, 0.1841, 0.2513, 0.1784, 0.2043, 0.1841
0.5518, 4436.15, 0.2777, 0.3447, 0.2785, 0.3015, 0.2777
0.5610, 4510.08, 0.2503, 0.1611, 0.2668, 0.3675, 0.2503
0.5702, 4584.02, 0.1979, 0.3021, 0.1810, 0.3785, 0.1979
0.5793, 4657.96, 0.2101, 0.3922, 0.1911, 0.3726, 0.2101
0.5885, 4731.89, 0.2957, 0.5017, 0.2788, 0.2081, 0.2957
0.5977, 4805.83, 0.3789, 0.3922, 0.3696, 0.4590, 0.3789
0.6069, 4879.76, 0.2124, 0.3651, 0.1905, 0.4116, 0.2124
0.6161, 4953.70, 0.1799, 0.3148, 0.1592, 0.0394, 0.1799
0.6253, 5027.64, 0.3552, 0.1449, 0.4462, 0.2032, 0.3552
0.6345, 5101.57, 0.0890, 0.1836, 0.1757, 0.2115, 0.0890
0.6437, 5175.51, 0.4039, 0.5925, 0.3964, 0.3085, 0.4039
0.6529, 5249.44, 0.3132, 0.3731, 0.3988, 0.5194, 0.3132
0.6621, 5323.38, 0.4478, 0.4491, 0.4722, 0.7844, 0.4478
