Imatest,24.2.6, Master, SFR
File,sports ball_18.0 mm_100ISO_+1EV_Dist1_OFF_Defocus1.tiff
Run date,07-May-2025 09:55:15,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+18/Results/ball+1EV

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0154,  124.18, 0.9338, 0.9293, 0.9332, 0.9533, 0.9338
0.0309,  248.36, 0.7375, 0.7341, 0.7328, 0.7932, 0.7375
0.0463,  372.53, 0.4828, 0.4899, 0.4739, 0.5510, 0.4828
0.0618,  496.71, 0.2612, 0.2691, 0.2530, 0.3224, 0.2612
0.0772,  620.89, 0.1052, 0.1032, 0.1010, 0.1615, 0.1052
0.0927,  745.07, 0.0131, 0.0170, 0.0113, 0.0681, 0.0131
0.1081,  869.24, 0.0424, 0.0530, 0.0450, 0.0228, 0.0424
0.1236,  993.42, 0.0604, 0.0547, 0.0646, 0.0361, 0.0604
0.1390, 1117.60, 0.0397, 0.0488, 0.0365, 0.0543, 0.0397
0.1544, 1241.78, 0.0203, 0.0444, 0.0135, 0.0302, 0.0203
0.1699, 1365.95, 0.0236, 0.0488, 0.0190, 0.0280, 0.0236
0.1853, 1490.13, 0.0022, 0.0102, 0.0024, 0.0158, 0.0022
0.2008, 1614.31, 0.0156, 0.0221, 0.0170, 0.0207, 0.0156
0.2162, 1738.49, 0.0217, 0.0155, 0.0267, 0.0154, 0.0217
0.2317, 1862.67, 0.0181, 0.0164, 0.0155, 0.0517, 0.0181
0.2471, 1986.84, 0.0091, 0.0221, 0.0098, 0.0346, 0.0091
0.2626, 2111.02, 0.0167, 0.0286, 0.0184, 0.0450, 0.0167
0.2780, 2235.20, 0.0163, 0.0288, 0.0141, 0.0363, 0.0163
0.2935, 2359.38, 0.0350, 0.0425, 0.0343, 0.0342, 0.0350
0.3089, 2483.55, 0.0128, 0.0192, 0.0129, 0.0203, 0.0128
0.3243, 2607.73, 0.0299, 0.0226, 0.0303, 0.0480, 0.0299
0.3398, 2731.91, 0.0232, 0.0226, 0.0237, 0.0320, 0.0232
0.3552, 2856.09, 0.0307, 0.0420, 0.0287, 0.0265, 0.0307
0.3707, 2980.26, 0.0193, 0.0334, 0.0184, 0.0160, 0.0193
0.3861, 3104.44, 0.0238, 0.0289, 0.0226, 0.0344, 0.0238
0.4016, 3228.62, 0.0068, 0.0153, 0.0059, 0.0066, 0.0068
0.4170, 3352.80, 0.0433, 0.0476, 0.0423, 0.0450, 0.0433
0.4325, 3476.97, 0.0489, 0.0440, 0.0522, 0.0324, 0.0489
0.4479, 3601.15, 0.0226, 0.0219, 0.0251, 0.0161, 0.0226
0.4633, 3725.33, 0.0209, 0.0211, 0.0228, 0.0109, 0.0209
0.4788, 3849.51, 0.0221, 0.0156, 0.0249, 0.0209, 0.0221
0.4942, 3973.69, 0.0159, 0.0109, 0.0174, 0.0226, 0.0159
0.5097, 4097.86, 0.0299, 0.0181, 0.0316, 0.0466, 0.0299
0.5251, 4222.04, 0.0232, 0.0211, 0.0249, 0.0298, 0.0232
0.5406, 4346.22, 0.0113, 0.0033, 0.0160, 0.0108, 0.0113
0.5560, 4470.40, 0.0171, 0.0293, 0.0147, 0.0134, 0.0171
0.5715, 4594.57, 0.0476, 0.0563, 0.0442, 0.0580, 0.0476
0.5869, 4718.75, 0.0639, 0.0615, 0.0654, 0.0629, 0.0639
0.6024, 4842.93, 0.0369, 0.0272, 0.0424, 0.0176, 0.0369
0.6178, 4967.11, 0.0076, 0.0234, 0.0106, 0.0099, 0.0076
0.6332, 5091.28, 0.0174, 0.0299, 0.0257, 0.0257, 0.0174
0.6487, 5215.46, 0.0515, 0.0374, 0.0576, 0.0668, 0.0515
0.6641, 5339.64, 0.0545, 0.0462, 0.0558, 0.0738, 0.0545
0.6796, 5463.82, 0.0165, 0.0457, 0.0103, 0.0310, 0.0165
0.6950, 5588.00, 0.0411, 0.0849, 0.0394, 0.0275, 0.0411
0.7105, 5712.17, 0.0302, 0.0579, 0.0459, 0.0517, 0.0302
0.7259, 5836.35, 0.0237, 0.0306, 0.0401, 0.0226, 0.0237
0.7414, 5960.53, 0.0106, 0.0305, 0.0150, 0.0305, 0.0106
0.7568, 6084.71, 0.0196, 0.0592, 0.0206, 0.0319, 0.0196
0.7722, 6208.88, 0.0356, 0.0556, 0.0582, 0.0643, 0.0356
0.7877, 6333.06, 0.0672, 0.0268, 0.0955, 0.0509, 0.0672
0.8031, 6457.24, 0.0251, 0.0553, 0.0220, 0.0506, 0.0251
0.8186, 6581.42, 0.1040, 0.0505, 0.1100, 0.1939, 0.1040
0.8340, 6705.59, 0.0547, 0.1026, 0.0730, 0.2256, 0.0547
0.8495, 6829.77, 0.1086, 0.2635, 0.1065, 0.1375, 0.1086
0.8649, 6953.95, 0.1039, 0.2401, 0.0943, 0.1959, 0.1039
0.8804, 7078.13, 0.0235, 0.0425, 0.0430, 0.1512, 0.0235
0.8958, 7202.30, 0.1091, 0.1193, 0.1029, 0.1565, 0.1091
0.9113, 7326.48, 0.1269, 0.0901, 0.1481, 0.1736, 0.1269
0.9267, 7450.66, 0.2003, 0.3202, 0.1813, 0.1166, 0.2003
0.9421, 7574.84, 0.1176, 0.2512, 0.1305, 0.2313, 0.1176
0.9576, 7699.02, 0.2395, 0.3952, 0.2610, 0.1992, 0.2395
0.9730, 7823.19, 0.6746, 0.8919, 0.6022, 0.7958, 0.6746
0.9885, 7947.37, 1.0858, 1.1157, 1.0805, 1.0913, 1.0858
1.0039, 8071.55, 1.2793, 1.1022, 1.3467, 1.1171, 1.2793
,
Interpolated f and MTF, Region 1 of 1 total
freq(C/P),MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0250, 0.8123, 0.8085, 0.8092, 0.8543, 0.8123
0.0500, 0.4302, 0.4375, 0.4214, 0.4967, 0.4302
0.0750, 0.1276, 0.1271, 0.1229, 0.1847, 0.1276
0.1000, 0.0270, 0.0341, 0.0273, 0.0466, 0.0270
0.1250, 0.0585, 0.0541, 0.0620, 0.0378, 0.0585
0.1500, 0.0259, 0.0457, 0.0201, 0.0372, 0.0259
0.1750, 0.0165, 0.0361, 0.0135, 0.0239, 0.0165
0.2000, 0.0149, 0.0215, 0.0163, 0.0205, 0.0149
0.2250, 0.0196, 0.0160, 0.0203, 0.0360, 0.0196
0.2500, 0.0106, 0.0233, 0.0114, 0.0366, 0.0106
0.2750, 0.0164, 0.0288, 0.0149, 0.0380, 0.0164
0.3000, 0.0256, 0.0326, 0.0253, 0.0283, 0.0256
0.3250, 0.0296, 0.0226, 0.0300, 0.0473, 0.0296
0.3500, 0.0282, 0.0354, 0.0270, 0.0284, 0.0282
0.3750, 0.0206, 0.0321, 0.0196, 0.0211, 0.0206
0.4000, 0.0086, 0.0167, 0.0076, 0.0094, 0.0086
0.4250, 0.0461, 0.0457, 0.0474, 0.0385, 0.0461
0.4500, 0.0224, 0.0218, 0.0248, 0.0154, 0.0224
0.4750, 0.0218, 0.0170, 0.0244, 0.0184, 0.0218
0.5000, 0.0211, 0.0135, 0.0227, 0.0315, 0.0211
0.5500, 0.0148, 0.0192, 0.0152, 0.0124, 0.0148
0.6000, 0.0411, 0.0324, 0.0459, 0.0245, 0.0411
0.6500, 0.0518, 0.0381, 0.0574, 0.0674, 0.0518
0.7000, 0.0376, 0.0762, 0.0415, 0.0353, 0.0376
0.7500, 0.0156, 0.0466, 0.0181, 0.0313, 0.0156
0.8000, 0.0337, 0.0495, 0.0369, 0.0507, 0.0337
0.8500, 0.1085, 0.2627, 0.1061, 0.1395, 0.1085
0.9000, 0.1139, 0.1114, 0.1152, 0.1611, 0.1139
0.9500, 0.1796, 0.3245, 0.1969, 0.2150, 0.1796
1.0000, 1.2301, 1.1056, 1.2791, 1.1105, 1.2301

Edge profile, Region 1 of 1 total
x (pixels),R Edge, G Edge, B Edge, Y Edge,CA (max Delta)
-6.97, 0.063, 0.066, 0.043, 0.064, 0.023
-6.47, 0.057, 0.057, 0.045, 0.056, 0.012
-5.98, 0.092, 0.092, 0.072, 0.090, 0.021
-5.48, 0.092, 0.095, 0.074, 0.093, 0.021
-4.98, 0.135, 0.134, 0.112, 0.133, 0.023
-4.48, 0.153, 0.149, 0.126, 0.148, 0.026
-3.98, 0.187, 0.190, 0.173, 0.188, 0.017
-3.49, 0.217, 0.215, 0.188, 0.213, 0.029
-2.99, 0.263, 0.262, 0.251, 0.261, 0.012
-2.49, 0.297, 0.291, 0.276, 0.291, 0.021
-1.99, 0.344, 0.337, 0.335, 0.339, 0.009
-1.49, 0.378, 0.368, 0.362, 0.370, 0.016
-1.00, 0.424, 0.418, 0.424, 0.420, 0.006
-0.50, 0.461, 0.445, 0.455, 0.449, 0.015
 0.00, 0.512, 0.499, 0.512, 0.503, 0.013
 0.50, 0.544, 0.534, 0.561, 0.538, 0.027
 1.00, 0.599, 0.582, 0.609, 0.588, 0.027
 1.49, 0.614, 0.613, 0.646, 0.616, 0.033
 1.99, 0.673, 0.662, 0.697, 0.666, 0.036
 2.49, 0.698, 0.699, 0.727, 0.701, 0.029
 2.99, 0.749, 0.736, 0.781, 0.742, 0.045
 3.49, 0.774, 0.775, 0.808, 0.777, 0.034
 3.98, 0.817, 0.809, 0.855, 0.814, 0.046
 4.48, 0.841, 0.840, 0.879, 0.843, 0.039
 4.98, 0.873, 0.872, 0.907, 0.875, 0.036
 5.48, 0.890, 0.893, 0.924, 0.894, 0.034
 5.98, 0.923, 0.917, 0.937, 0.920, 0.020
 6.47, 0.932, 0.937, 0.956, 0.938, 0.024
 6.97, 0.956, 0.954, 0.963, 0.955, 0.009
 7.47, 0.952, 0.959, 0.976, 0.959, 0.023
 7.97, 0.966, 0.971, 0.980, 0.970, 0.014
 8.47, 0.969, 0.973, 0.987, 0.973, 0.018
 8.96, 0.973, 0.986, 0.998, 0.984, 0.025
 9.46, 0.988, 0.986, 0.999, 0.987, 0.013
 9.96, 0.976, 0.987, 0.999, 0.986, 0.024
10.46, 0.998, 0.993, 1.000, 0.995, 0.007

Level and noise analysis (pixel levels: gamma-encoded and linear) for ROI 1 of 1 total
Dark pixel level  ,   70.5
Light pixel level ,  119.0
Dark level linear , 0.0764
Light level linear,  0.218

Slice orientation,Horiz (V-edge),(Profile)
Image WxH & Mpxls,6024,4020,24.216
lens_to_chart_distance_cm, 205
ROI,6.5% right of ctr
ROI WxH pixels,65,145
ROI boundary L T R B,3213,1977,3277,2121
Edge center,3245.34697,2050.00000, pixels from upper-right
Edge angle,5.067
Channel,Y
Linearization method,Input gamma value
Gamma,0.500
Chart contrast,4
Pixels per inch,0.00000
Pixels per mm,0.0000
um per pixel,0.000
MTF50 Cy/pxl, 0.045
MTF50 LW/PH,   364
MTF50 Cy/Pxl, 0.045
MTF50P Cy/pxl, 0.045
MTF50P LW/PH,   364
MTF50P Cy/Pxl, 0.045
MTF30 Cy/pxl, 0.059
MTF30 LW/PH,   475
MTF30 Cy/Pxl, 0.059
MTF30P Cy/pxl, 0.059
MTF30P LW/PH,   475
MTF30P Cy/Pxl, 0.059
MTF20 Cy/pxl, 0.068
MTF20 LW/PH,   545
MTF20 Cy/Pxl, 0.068
MTF20P Cy/pxl, 0.068
MTF20P LW/PH,   545
MTF20P Cy/Pxl, 0.068
MTF Area Pk Norml Cy/pxl, 0.057
MTF Area Pk Norml LW/PH,   458
MTF Area Pk Norml Cy/Pxl, 0.057
MTF at Nyquist, 0.021
MTF50 Red Cy/pxl, 0.046
