Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3193  1976  3300  2119 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 11:40:09,12-May-2025 11:40:09,12-May-2025 11:40:09,12-May-2025 11:40:09,12-May-2025 11:40:09,12-May-2025 11:40:09,12-May-2025 11:40:09,12-May-2025 11:40:09,12-May-2025 11:40:09,12-May-2025 11:40:09,12-May-2025 11:40:09,12-May-2025 11:40:09,12-May-2025 11:40:09,12-May-2025 11:40:09,12-May-2025 11:40:09,12-May-2025 11:40:09,12-May-2025 11:40:09,12-May-2025 11:40:09,
File, sports ball_18.0 mm_6400ISO_-1EV_Dist1_OFF_Defocus2.tiff,sports ball_18.0 mm_6400ISO_-1EV_Dist1_OFF_Defocus1.tiff,sports ball_18.0 mm_1600ISO_-1EV_Dist1_OFF_Defocus2.tiff,sports ball_18.0 mm_1600ISO_-1EV_Dist1_OFF_Defocus1.tiff,sports ball_18.0 mm_6400ISO_-1EV_Dist1_ON_Defocus2.tiff,sports ball_18.0 mm_6400ISO_-1EV_Dist1_ON_Defocus1.tiff,sports ball_18.0 mm_6400ISO_-1EV_Dist1_OFF_Focused.tiff,sports ball_18.0 mm_1600ISO_-1EV_Dist1_ON_Defocus2.tiff,sports ball_18.0 mm_1600ISO_-1EV_Dist1_ON_Defocus1.tiff,sports ball_18.0 mm_1600ISO_-1EV_Dist1_OFF_Focused.tiff,sports ball_18.0 mm_6400ISO_-1EV_Dist1_ON_Focused.tiff,sports ball_18.0 mm_1600ISO_-1EV_Dist1_ON_Focused.tiff,sports ball_18.0 mm_100ISO_-1EV_Dist1_OFF_Defocus2.tiff,sports ball_18.0 mm_100ISO_-1EV_Dist1_OFF_Defocus1.tiff,sports ball_18.0 mm_100ISO_-1EV_Dist1_ON_Defocus2.tiff,sports ball_18.0 mm_100ISO_-1EV_Dist1_ON_Defocus1.tiff,sports ball_18.0 mm_100ISO_-1EV_Dist1_OFF_Focused.tiff,sports ball_18.0 mm_100ISO_-1EV_Dist1_ON_Focused.tiff,
Camera, , , , , , , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0225,  0.0490,  0.0225,  0.0430,  0.0243,  0.0428,  0.1480,  0.0225,  0.0435,  0.1753,  0.1678,  0.1836,  0.0233,  0.0440,  0.0232,  0.0441,  0.1810,  0.1826
R1090 (pxl) Mean Ctr, 18.8436, 10.0463, 19.9640, 10.6405, 17.6119, 10.7056,  3.4479, 19.4703,  9.7558,  2.8462,  3.5696,  2.6017, 20.7515, 10.8911, 20.8859, 10.3454,  2.8417,  2.9495
CA (pxl) Mean Ctr,  8.2747,  0.9101,  3.6489,  0.2684,  1.5004,  0.1068,  1.0864,  1.5997,  0.0800,  0.3989,  2.1521,  0.6729,  0.4272,  0.3780,  0.5576,  0.6152,  0.2341,  0.4061
MTF50 (LW/PH) Mean Ctr,    180.9,    393.6,    180.6,    345.4,    195.6,    344.4,   1189.8,    180.7,    349.4,   1409.1,   1348.9,   1476.4,    187.2,    353.6,    186.6,    354.8,   1455.0,   1468.3
R1090 (/PH) Mean Ctr,    213.3,    400.1,    201.4,    377.8,    228.3,    375.5,   1165.9,    206.5,    412.1,   1412.4,   1126.2,   1545.2,    193.7,    369.1,    192.5,    388.6,   1414.6,   1362.9
Peak MTF Mean Ctr,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.015,   1.000,   1.000,   1.003,   1.026,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000
MTF50P (Cy/Pxl) Mean Ctr,  0.0225,  0.0490,  0.0225,  0.0430,  0.0243,  0.0428,  0.1469,  0.0225,  0.0435,  0.1749,  0.1387,  0.1836,  0.0233,  0.0440,  0.0232,  0.0441,  0.1810,  0.1826
MTF50P (LW/PH) Mean Ctr,    180.9,    393.6,    180.6,    345.4,    195.6,    344.4,   1181.2,    180.7,    349.4,   1406.5,   1115.2,   1476.4,    187.2,    353.6,    186.6,    354.8,   1455.0,   1468.3
