Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3193  1976  3300  2119 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 11:33:15,12-May-2025 11:33:15,12-May-2025 11:33:15,12-May-2025 11:33:15,12-May-2025 11:33:15,12-May-2025 11:33:15,12-May-2025 11:33:15,12-May-2025 11:33:15,12-May-2025 11:33:15,12-May-2025 11:33:15,12-May-2025 11:33:15,12-May-2025 11:33:15,12-May-2025 11:33:15,12-May-2025 11:33:15,12-May-2025 11:33:15,12-May-2025 11:33:15,12-May-2025 11:33:15,12-May-2025 11:33:15,12-May-2025 11:33:15,12-May-2025 11:33:15,12-May-2025 11:33:15,12-May-2025 11:33:15,12-May-2025 11:33:15,12-May-2025 11:33:15,
File, sports ball_18.0 mm_25600ISO_0EV_Dist1_OFF_Defocus2.tiff,sports ball_18.0 mm_25600ISO_0EV_Dist1_OFF_Defocus1.tiff,sports ball_18.0 mm_25600ISO_0EV_Dist1_ON_Defocus2.tiff,sports ball_18.0 mm_25600ISO_0EV_Dist1_ON_Defocus1.tiff,sports ball_18.0 mm_25600ISO_0EV_Dist1_OFF_Focused.tiff,sports ball_18.0 mm_25600ISO_0EV_Dist1_ON_Focused.tiff,sports ball_18.0 mm_6400ISO_0EV_Dist1_OFF_Defocus2.tiff,sports ball_18.0 mm_6400ISO_0EV_Dist1_OFF_Defocus1.tiff,sports ball_18.0 mm_1600ISO_0EV_Dist1_OFF_Defocus2.tiff,sports ball_18.0 mm_1600ISO_0EV_Dist1_OFF_Defocus1.tiff,sports ball_18.0 mm_6400ISO_0EV_Dist1_ON_Defocus2.tiff,sports ball_18.0 mm_6400ISO_0EV_Dist1_ON_Defocus1.tiff,sports ball_18.0 mm_6400ISO_0EV_Dist1_OFF_Focused.tiff,sports ball_18.0 mm_1600ISO_0EV_Dist1_ON_Defocus2.tiff,sports ball_18.0 mm_1600ISO_0EV_Dist1_ON_Defocus1.tiff,sports ball_18.0 mm_1600ISO_0EV_Dist1_OFF_Focused.tiff,sports ball_18.0 mm_6400ISO_0EV_Dist1_ON_Focused.tiff,sports ball_18.0 mm_1600ISO_0EV_Dist1_ON_Focused.tiff,sports ball_18.0 mm_100ISO_0EV_Dist1_OFF_Defocus2.tiff,sports ball_18.0 mm_100ISO_0EV_Dist1_OFF_Defocus1.tiff,sports ball_18.0 mm_100ISO_0EV_Dist1_ON_Defocus2.tiff,sports ball_18.0 mm_100ISO_0EV_Dist1_ON_Defocus1.tiff,sports ball_18.0 mm_100ISO_0EV_Dist1_OFF_Focused.tiff,sports ball_18.0 mm_100ISO_0EV_Dist1_ON_Focused.tiff,
Camera, , , , , , , , , , , , , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0255,  0.0375,  0.0231,  0.0316,  0.1027,  0.1431,  0.0223,  0.0436,  0.0228,  0.0425,  0.0233,  0.0437,  0.2146,  0.0232,  0.0419,  0.1813,  0.1565,  0.1910,  0.0232,  0.0425,  0.0230,  0.0433,  0.1814,  0.1780
R1090 (pxl) Mean Ctr, 19.9737,  9.7488, 19.6540, 10.1630,  6.6849,  4.7682, 19.4361, 10.6647, 20.0771, 10.9297, 19.0890, 11.1908,  2.7429, 21.0230, 11.3889,  3.1134,  3.0039,  3.1085, 21.6863, 10.8009, 21.8142, 10.7013,  2.9301,  2.8501
CA (pxl) Mean Ctr,  0.8227,  9.2441,  2.3900,  4.9266,  1.1300,  2.5004,  4.0682,  0.4782,  1.3136,  1.5847,  1.4730,  0.8349,  0.3539,  0.4502,  0.3165,  0.3605,  0.5710,  0.6788,  0.2482,  0.3341,  0.1967,  0.3842,  0.3049,  0.3152
MTF50 (LW/PH) Mean Ctr,    204.7,    301.5,    185.5,    254.4,    825.7,   1150.7,    179.7,    350.9,    183.3,    341.8,    187.6,    351.1,   1725.6,    186.9,    336.9,   1458.0,   1258.2,   1535.5,    186.5,    342.0,    184.6,    348.0,   1458.2,   1431.1
R1090 (/PH) Mean Ctr,    201.3,    412.4,    204.5,    395.6,    601.4,    843.1,    206.8,    376.9,    200.2,    367.8,    210.6,    359.2,   1465.6,    191.2,    353.0,   1291.2,   1338.3,   1293.2,    185.4,    372.2,    184.3,    375.7,   1372.0,   1410.5
Peak MTF Mean Ctr,   1.155,   1.000,   1.000,   1.000,   1.307,   1.008,   1.000,   1.007,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.005,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000
MTF50P (Cy/Pxl) Mean Ctr,  0.5081,  0.0375,  0.0231,  0.0316,  0.2988,  0.4550,  0.0223,  0.0434,  0.0228,  0.0425,  0.0233,  0.0437,  0.2146,  0.0232,  0.0419,  0.1813,  0.1562,  0.1910,  0.0232,  0.0425,  0.0230,  0.0433,  0.1814,  0.1780
MTF50P (LW/PH) Mean Ctr,   4084.8,    301.5,    185.5,    254.4,   2402.2,   3657.8,    179.7,    349.0,    183.3,    341.8,    187.6,    351.1,   1725.6,    186.9,    336.9,   1458.0,   1256.0,   1535.5,    186.5,    342.0,    184.6,    348.0,   1458.2,   1431.1
