Imatest,24.2.6, Master, SFR
File,sports ball_18.0 mm_1600ISO_+1EV_Dist1_ON_Defocus2.tiff
Run date,07-May-2025 09:55:15,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+18/Results/ball+1EV

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0154,  123.82, 0.7785, 0.7871, 0.7742, 0.7954, 0.7785
0.0308,  247.64, 0.3300, 0.3517, 0.3210, 0.3559, 0.3300
0.0462,  371.46, 0.0315, 0.0756, 0.0181, 0.0653, 0.0315
0.0616,  495.28, 0.0506, 0.0397, 0.0600, 0.0567, 0.0506
0.0770,  619.10, 0.0263, 0.0131, 0.0291, 0.0415, 0.0263
0.0924,  742.92, 0.0070, 0.0298, 0.0141, 0.0349, 0.0070
0.1078,  866.74, 0.0096, 0.0341, 0.0224, 0.0466, 0.0096
0.1232,  990.56, 0.0327, 0.0685, 0.0518, 0.0155, 0.0327
0.1386, 1114.38, 0.0450, 0.0673, 0.0438, 0.1016, 0.0450
0.1540, 1238.20, 0.0446, 0.1685, 0.0125, 0.0804, 0.0446
0.1694, 1362.02, 0.0777, 0.1576, 0.0825, 0.0672, 0.0777
0.1848, 1485.84, 0.0826, 0.0866, 0.0981, 0.0614, 0.0826
0.2002, 1609.66, 0.0477, 0.1797, 0.0500, 0.0428, 0.0477
0.2156, 1733.48, 0.0399, 0.1700, 0.0332, 0.1805, 0.0399
0.2310, 1857.30, 0.0695, 0.1074, 0.0647, 0.1664, 0.0695
0.2464, 1981.12, 0.0659, 0.0511, 0.0700, 0.0731, 0.0659
0.2618, 2104.94, 0.0194, 0.0349, 0.0244, 0.0558, 0.0194
0.2772, 2228.76, 0.0733, 0.1679, 0.0665, 0.0067, 0.0733
0.2926, 2352.58, 0.0608, 0.1052, 0.0710, 0.0943, 0.0608
0.3080, 2476.40, 0.0359, 0.0592, 0.0372, 0.1548, 0.0359
0.3234, 2600.22, 0.0346, 0.1251, 0.0240, 0.1393, 0.0346
0.3388, 2724.04, 0.0796, 0.1199, 0.0764, 0.1030, 0.0796
0.3542, 2847.86, 0.1144, 0.1422, 0.1011, 0.1670, 0.1144
0.3696, 2971.68, 0.0658, 0.1023, 0.0555, 0.0970, 0.0658
0.3850, 3095.50, 0.0608, 0.0503, 0.0657, 0.0730, 0.0608
0.4004, 3219.33, 0.0773, 0.0884, 0.0681, 0.1392, 0.0773
0.4158, 3343.15, 0.0762, 0.0399, 0.0954, 0.0862, 0.0762
0.4312, 3466.97, 0.0538, 0.0238, 0.0742, 0.0526, 0.0538
0.4466, 3590.79, 0.1058, 0.1215, 0.1101, 0.0522, 0.1058
0.4620, 3714.61, 0.1186, 0.1420, 0.1190, 0.0596, 0.1186
0.4774, 3838.43, 0.1272, 0.1195, 0.1361, 0.0804, 0.1272
0.4928, 3962.25, 0.0929, 0.1030, 0.0982, 0.0325, 0.0929
0.5082, 4086.07, 0.0578, 0.0357, 0.0646, 0.0689, 0.0578
0.5236, 4209.89, 0.1193, 0.0724, 0.1323, 0.1362, 0.1193
0.5390, 4333.71, 0.1202, 0.1072, 0.1355, 0.0721, 0.1202
0.5544, 4457.53, 0.1036, 0.1603, 0.1047, 0.0597, 0.1036
0.5698, 4581.35, 0.0095, 0.0953, 0.0133, 0.1120, 0.0095
0.5852, 4705.17, 0.0632, 0.1414, 0.0596, 0.0106, 0.0632
0.6006, 4828.99, 0.1151, 0.1734, 0.0956, 0.1372, 0.1151
0.6160, 4952.81, 0.0096, 0.0304, 0.0077, 0.0899, 0.0096
0.6314, 5076.63, 0.0671, 0.1189, 0.0599, 0.1364, 0.0671
0.6468, 5200.45, 0.2457, 0.2023, 0.2601, 0.2592, 0.2457
0.6622, 5324.27, 0.2002, 0.1721, 0.2280, 0.1911, 0.2002
0.6776, 5448.09, 0.1430, 0.2336, 0.1315, 0.1520, 0.1430
0.6930, 5571.91, 0.0440, 0.1668, 0.0335, 0.1296, 0.0440
0.7084, 5695.73, 0.1292, 0.3027, 0.1265, 0.1179, 0.1292
0.7238, 5819.55, 0.1031, 0.3833, 0.1624, 0.2018, 0.1031
0.7392, 5943.37, 0.1063, 0.4007, 0.2820, 0.1405, 0.1063
0.7546, 6067.19, 0.2910, 0.2393, 0.4045, 0.1248, 0.2910
0.7700, 6191.01, 0.3330, 0.2471, 0.3750, 0.2182, 0.3330
0.7854, 6314.83, 0.1970, 0.0451, 0.2556, 0.4103, 0.1970
0.8008, 6438.65, 0.0923, 0.0553, 0.1416, 0.2947, 0.0923
0.8162, 6562.47, 0.1225, 0.3159, 0.0933, 0.1752, 0.1225
0.8316, 6686.29, 0.2258, 0.5455, 0.1767, 0.0745, 0.2258
0.8470, 6810.11, 0.2195, 0.5077, 0.2074, 0.3388, 0.2195
0.8624, 6933.93, 0.2633, 0.7667, 0.1474, 0.2567, 0.2633
0.8778, 7057.75, 0.2702, 1.2302, 0.1512, 0.4124, 0.2702
0.8932, 7181.57, 0.0625, 0.9797, 0.2894, 0.5044, 0.0625
0.9086, 7305.39, 0.2043, 0.8184, 0.1051, 0.0366, 0.2043
0.9240, 7429.21, 0.2977, 1.4363, 0.2871, 0.3877, 0.2977
0.9394, 7553.03, 0.0412, 1.3152, 0.3438, 0.3900, 0.0412
0.9548, 7676.85, 0.3774, 1.6624, 0.2677, 0.2199, 0.3774
0.9702, 7800.67, 1.1822, 2.0000, 0.9064, 1.1077, 1.1822
0.9856, 7924.49, 2.0000, 2.0000, 1.8849, 2.0000, 2.0000
1.0010, 8048.31, 2.0000, 1.5513, 2.0000, 2.0000, 2.0000
,
Interpolated f and MTF, Region 1 of 1 total
freq(C/P),MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0250, 0.4990, 0.5157, 0.4917, 0.5214, 0.4990
0.0500, 0.0362, 0.0667, 0.0284, 0.0632, 0.0362
0.0750, 0.0294, 0.0166, 0.0331, 0.0435, 0.0294
0.1000, 0.0083, 0.0319, 0.0182, 0.0407, 0.0083
0.1250, 0.0342, 0.0684, 0.0509, 0.0255, 0.0342
0.1500, 0.0447, 0.1422, 0.0206, 0.0859, 0.0447
0.1750, 0.0795, 0.1318, 0.0882, 0.0651, 0.0795
0.2000, 0.0482, 0.1785, 0.0506, 0.0430, 0.0482
0.2250, 0.0580, 0.1318, 0.0524, 0.1719, 0.0580
0.2500, 0.0551, 0.0473, 0.0593, 0.0691, 0.0551
0.2750, 0.0656, 0.1488, 0.0604, 0.0137, 0.0656
0.3000, 0.0489, 0.0832, 0.0548, 0.1233, 0.0489
0.3250, 0.0392, 0.1245, 0.0294, 0.1356, 0.0392
0.3500, 0.1049, 0.1361, 0.0944, 0.1495, 0.1049
0.3750, 0.0641, 0.0841, 0.0591, 0.0886, 0.0641
0.4000, 0.0769, 0.0874, 0.0680, 0.1375, 0.0769
0.4250, 0.0628, 0.0303, 0.0828, 0.0662, 0.0628
0.4500, 0.1086, 0.1260, 0.1121, 0.0538, 0.1086
0.4750, 0.1259, 0.1231, 0.1334, 0.0771, 0.1259
0.5000, 0.0765, 0.0716, 0.0825, 0.0495, 0.0765
0.5500, 0.1084, 0.1451, 0.1135, 0.0632, 0.1084
0.6000, 0.1130, 0.1721, 0.0942, 0.1321, 0.1130
0.6500, 0.2363, 0.1961, 0.2535, 0.2452, 0.2363
0.7000, 0.0826, 0.2284, 0.0756, 0.1243, 0.0826
0.7500, 0.2355, 0.2877, 0.3677, 0.1295, 0.2355
0.8000, 0.0980, 0.0548, 0.1477, 0.3009, 0.0980
0.8500, 0.2279, 0.5577, 0.1958, 0.3230, 0.2279
0.9000, 0.1248, 0.9088, 0.2084, 0.2988, 0.1248
0.9500, 0.2719, 1.5535, 0.2916, 0.2733, 0.2719
1.0000, 2.0905, 1.6042, 2.2045, 2.5086, 2.0905

Edge profile, Region 1 of 1 total
x (pixels),R Edge, G Edge, B Edge, Y Edge,CA (max Delta)
-13.99, 0.067, 0.033, 0.035, 0.040, 0.034
-13.49, 0.011, 0.027, 0.004, 0.022, 0.023
-12.99, 0.071, 0.063, 0.034, 0.063, 0.037
-12.49, 0.025, 0.056, 0.043, 0.049, 0.031
-11.99, 0.091, 0.092, 0.074, 0.090, 0.018
-11.49, 0.043, 0.085, 0.059, 0.074, 0.042
-10.99, 0.097, 0.099, 0.090, 0.098, 0.010
-10.49, 0.087, 0.119, 0.079, 0.109, 0.040
-9.99, 0.124, 0.125, 0.108, 0.124, 0.017
-9.49, 0.130, 0.147, 0.122, 0.142, 0.025
-8.99, 0.161, 0.159, 0.164, 0.160, 0.005
-8.49, 0.142, 0.168, 0.156, 0.162, 0.026
-7.99, 0.183, 0.191, 0.198, 0.190, 0.015
-7.49, 0.168, 0.210, 0.185, 0.200, 0.043
-6.99, 0.216, 0.240, 0.251, 0.236, 0.035
-6.49, 0.219, 0.269, 0.226, 0.255, 0.050
-5.99, 0.241, 0.256, 0.269, 0.253, 0.028
-5.49, 0.252, 0.307, 0.260, 0.292, 0.055
-4.99, 0.286, 0.298, 0.293, 0.295, 0.012
-4.50, 0.307, 0.324, 0.293, 0.318, 0.031
-4.00, 0.345, 0.351, 0.346, 0.350, 0.006
-3.50, 0.387, 0.377, 0.364, 0.378, 0.023
-3.00, 0.375, 0.392, 0.376, 0.387, 0.017
-2.50, 0.405, 0.417, 0.440, 0.416, 0.034
-2.00, 0.394, 0.437, 0.429, 0.427, 0.042
-1.50, 0.446, 0.461, 0.473, 0.459, 0.028
-1.00, 0.465, 0.480, 0.471, 0.476, 0.015
-0.50, 0.486, 0.490, 0.481, 0.488, 0.009
 0.00, 0.510, 0.511, 0.482, 0.508, 0.028
 0.50, 0.563, 0.537, 0.556, 0.544, 0.026
 1.00, 0.532, 0.560, 0.545, 0.553, 0.028
 1.50, 0.597, 0.549, 0.605, 0.563, 0.056
 2.00, 0.562, 0.595, 0.596, 0.588, 0.034
 2.50, 0.643, 0.611, 0.656, 0.621, 0.045
 3.00, 0.624, 0.634, 0.646, 0.633, 0.022
 3.50, 0.687, 0.652, 0.705, 0.663, 0.053
 4.00, 0.670, 0.687, 0.706, 0.685, 0.036
 4.50, 0.723, 0.696, 0.742, 0.705, 0.046
 4.99, 0.708, 0.731, 0.758, 0.728, 0.050
 5.49, 0.765, 0.749, 0.788, 0.756, 0.039
 5.99, 0.734, 0.732, 0.791, 0.737, 0.059
 6.49, 0.754, 0.781, 0.818, 0.778, 0.064
 6.99, 0.781, 0.764, 0.854, 0.774, 0.090
 7.49, 0.776, 0.819, 0.861, 0.813, 0.084
 7.99, 0.815, 0.802, 0.884, 0.811, 0.082
 8.49, 0.816, 0.842, 0.874, 0.839, 0.058
 8.99, 0.881, 0.843, 0.895, 0.855, 0.052
 9.49, 0.861, 0.873, 0.902, 0.872, 0.042
 9.99, 0.958, 0.886, 0.958, 0.906, 0.073
10.49, 0.885, 0.906, 0.971, 0.906, 0.086
10.99, 0.943, 0.894, 0.969, 0.910, 0.075
11.49, 0.906, 0.930, 0.990, 0.929, 0.084
11.99, 0.904, 0.913, 0.967, 0.915, 0.063
12.49, 0.914, 0.924, 1.009, 0.928, 0.095
12.99, 0.927, 0.954, 0.992, 0.951, 0.065
13.49, 0.951, 0.963, 1.032, 0.965, 0.081
13.99, 0.944, 0.974, 1.020, 0.971, 0.075
14.49, 1.007, 0.977, 1.029, 0.987, 0.053
14.98, 0.944, 0.971, 1.004, 0.967, 0.060
15.48, 1.013, 0.964, 1.057, 0.981, 0.093
15.98, 1.002, 1.012, 1.026, 1.011, 0.024
