Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3188  2014  3347  2199 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 07-May-2025 11:49:53,07-May-2025 11:49:53,07-May-2025 11:49:53,07-May-2025 11:49:53,07-May-2025 11:49:53,07-May-2025 11:49:53,07-May-2025 11:49:53,07-May-2025 11:49:53,07-May-2025 11:49:53,07-May-2025 11:49:53,07-May-2025 11:49:53,07-May-2025 11:49:53,07-May-2025 11:49:53,07-May-2025 11:49:53,07-May-2025 11:49:53,07-May-2025 11:49:53,07-May-2025 11:49:53,07-May-2025 11:49:53,07-May-2025 11:49:53,07-May-2025 11:49:53,07-May-2025 11:49:53,07-May-2025 11:49:53,07-May-2025 11:49:53,07-May-2025 11:49:53,
File, car_18.0 mm_25600ISO_+1EV_Dist2_OFF_Defocus2.tiff,car_18.0 mm_25600ISO_+1EV_Dist2_OFF_Defocus1.tiff,car_18.0 mm_25600ISO_+1EV_Dist2_ON_Defocus2.tiff,car_18.0 mm_25600ISO_+1EV_Dist2_ON_Defocus1.tiff,car_18.0 mm_25600ISO_+1EV_Dist2_OFF_Focused.tiff,car_18.0 mm_25600ISO_+1EV_Dist2_ON_Focused.tiff,car_18.0 mm_6400ISO_+1EV_Dist2_OFF_Defocus2.tiff,car_18.0 mm_6400ISO_+1EV_Dist2_OFF_Defocus1.tiff,car_18.0 mm_1600ISO_+1EV_Dist2_OFF_Defocus2.tiff,car_18.0 mm_1600ISO_+1EV_Dist2_OFF_Defocus1.tiff,car_18.0 mm_6400ISO_+1EV_Dist2_ON_Defocus2.tiff,car_18.0 mm_6400ISO_+1EV_Dist2_ON_Defocus1.tiff,car_18.0 mm_6400ISO_+1EV_Dist2_OFF_Focused.tiff,car_18.0 mm_1600ISO_+1EV_Dist2_ON_Defocus2.tiff,car_18.0 mm_1600ISO_+1EV_Dist2_ON_Defocus1.tiff,car_18.0 mm_1600ISO_+1EV_Dist2_OFF_Focused.tiff,car_18.0 mm_6400ISO_+1EV_Dist2_ON_Focused.tiff,car_18.0 mm_1600ISO_+1EV_Dist2_ON_Focused.tiff,car_18.0 mm_100ISO_+1EV_Dist2_OFF_Defocus2.tiff,car_18.0 mm_100ISO_+1EV_Dist2_OFF_Defocus1.tiff,car_18.0 mm_100ISO_+1EV_Dist2_ON_Defocus2.tiff,car_18.0 mm_100ISO_+1EV_Dist2_ON_Defocus1.tiff,car_18.0 mm_100ISO_+1EV_Dist2_OFF_Focused.tiff,car_18.0 mm_100ISO_+1EV_Dist2_ON_Focused.tiff,
Camera, , , , , , , , , , , , , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0151,  0.0194,  0.0153,  0.0202,  0.1066,  0.1285,  0.0157,  0.0206,  0.0159,  0.0203,  0.0155,  0.0206,  0.1856,  0.0158,  0.0206,  0.1765,  0.1985,  0.1695,  0.0159,  0.0201,  0.0158,  0.0203,  0.1714,  0.1740
R1090 (pxl) Mean Ctr, 87.1703, 13.2863, 30.8854, 17.7066,  3.4940,  4.2782, 29.4105, 25.7325, 25.6309, 23.3343, 24.4590, 21.3322,  2.6859, 30.5502, 21.3998,  2.7255,  2.4223,  2.6528, 29.9980, 22.5350, 28.9398, 21.9520,  2.7361,  2.7967
CA (pxl) Mean Ctr, 95.7345, 45.2847, 19.3018,  4.4600,  1.9837,  0.8370,  6.8445,  3.9141,  5.2137,  1.4064,  7.9119,  7.5055,  1.1818,  3.3040,  2.1151,  0.7118,  0.8884,  0.1569,  0.2312,  0.8982,  0.7128,  1.4738,  0.4548,  0.3365
MTF50 (LW/PH) Mean Ctr,    121.5,    156.1,    122.8,    162.7,    857.0,   1033.4,    126.0,    165.4,    127.9,    163.4,    124.8,    165.9,   1492.3,    126.9,    165.5,   1418.7,   1596.0,   1362.5,    128.1,    161.8,    127.2,    163.3,   1378.1,   1399.3
R1090 (/PH) Mean Ctr,     46.1,    302.6,    130.2,    227.0,   1150.6,    939.6,    136.7,    156.2,    156.8,    172.3,    164.4,    188.4,   1496.7,    131.6,    187.9,   1475.0,   1659.6,   1515.4,    134.0,    178.4,    138.9,    183.1,   1469.3,   1437.4
Peak MTF Mean Ctr,   1.000,   1.000,   1.000,   1.000,   1.009,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.011,   1.000,   1.000,   1.002,   1.011,   1.005,   1.000,   1.000,   1.000,   1.000,   1.002,   1.002
MTF50P (Cy/Pxl) Mean Ctr,  0.0151,  0.0194,  0.0153,  0.0202,  0.1062,  0.1285,  0.0157,  0.0206,  0.0159,  0.0203,  0.0155,  0.0206,  0.1851,  0.0158,  0.0206,  0.1764,  0.1981,  0.1692,  0.0159,  0.0201,  0.0158,  0.0203,  0.1708,  0.1736
MTF50P (LW/PH) Mean Ctr,    121.5,    156.1,    122.8,    162.7,    854.0,   1033.4,    126.0,    165.4,    127.9,    163.4,    124.8,    165.9,   1488.5,    126.9,    165.5,   1417.9,   1592.8,   1360.5,    128.1,    161.8,    127.2,    163.3,   1373.2,   1395.6
