Imatest,24.2.6, Master, SFR
File,car_18.0 mm_1600ISO_+1EV_Dist2_OFF_Defocus2.tiff
Run date,07-May-2025 11:49:53,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+18/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0063,   50.31, 0.9243, 0.9385, 0.9200, 0.9259, 0.9243
0.0125,  100.62, 0.6650, 0.6850, 0.6573, 0.6849, 0.6650
0.0188,  150.93, 0.3611, 0.3873, 0.3507, 0.3921, 0.3611
0.0250,  201.24, 0.1072, 0.1404, 0.0946, 0.1462, 0.1072
0.0313,  251.55, 0.0502, 0.0127, 0.0648, 0.0530, 0.0502
0.0375,  301.86, 0.0795, 0.0775, 0.0821, 0.0726, 0.0795
0.0438,  352.17, 0.0486, 0.0878, 0.0417, 0.0683, 0.0486
0.0501,  402.48, 0.0090, 0.0541, 0.0055, 0.0642, 0.0090
0.0563,  452.79, 0.0294, 0.1387, 0.0119, 0.0297, 0.0294
0.0626,  503.10, 0.0651, 0.2065, 0.0344, 0.0105, 0.0651
0.0688,  553.41, 0.0858, 0.1991, 0.0751, 0.0929, 0.0858
0.0751,  603.72, 0.0539, 0.0838, 0.0697, 0.1398, 0.0539
0.0813,  654.03, 0.0126, 0.0682, 0.0293, 0.0493, 0.0126
0.0876,  704.34, 0.0267, 0.0600, 0.0413, 0.0454, 0.0267
0.0939,  754.65, 0.0235, 0.0924, 0.0610, 0.0608, 0.0235
0.1001,  804.96, 0.0107, 0.1179, 0.0528, 0.1196, 0.0107
0.1064,  855.27, 0.0373, 0.1253, 0.0202, 0.0655, 0.0373
0.1126,  905.58, 0.0588, 0.0702, 0.1084, 0.0727, 0.0588
0.1189,  955.89, 0.0696, 0.1704, 0.1025, 0.0426, 0.0696
0.1251, 1006.20, 0.0742, 0.1638, 0.0622, 0.0926, 0.0742
0.1314, 1056.51, 0.0519, 0.0505, 0.0588, 0.0192, 0.0519
