Imatest,24.2.6, Master, SFR
File,car_18.0 mm_1600ISO_-3EV_Dist2_OFF_Defocus2.tiff
Run date,12-May-2025 14:19:36,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0092,   73.82, 0.8959, 0.8990, 0.9043, 0.8131, 0.8959
0.0184,  147.64, 0.4401, 0.4909, 0.4316, 0.4034, 0.4401
0.0275,  221.47, 0.1511, 0.3014, 0.1323, 0.1214, 0.1511
0.0367,  295.29, 0.0962, 0.1536, 0.1451, 0.2066, 0.0962
0.0459,  369.11, 0.0731, 0.1875, 0.1434, 0.1078, 0.0731
0.0551,  442.93, 0.1577, 0.3614, 0.1389, 0.4771, 0.1577
0.0643,  516.76, 0.1520, 0.3125, 0.2472, 0.2616, 0.1520
0.0735,  590.58, 0.3148, 0.4759, 0.4717, 0.2132, 0.3148
0.0826,  664.40, 0.3881, 0.3536, 0.5838, 0.3872, 0.3881
0.0918,  738.22, 0.3391, 0.3173, 0.4318, 0.2586, 0.3391
0.1010,  812.04, 0.1677, 0.5761, 0.0832, 0.3839, 0.1677
0.1102,  885.87, 0.1619, 0.3966, 0.2297, 0.6960, 0.1619
0.1194,  959.69, 0.0941, 0.9461, 0.1137, 0.4780, 0.0941
0.1285, 1033.51, 0.4154, 1.4328, 0.5628, 0.3679, 0.4154
0.1377, 1107.33, 0.5302, 1.6772, 0.7247, 0.7956, 0.5302
0.1469, 1181.15, 0.3749, 1.7552, 0.1608, 0.4690, 0.3749
0.1561, 1254.98, 0.3294, 1.4599, 0.2982, 0.5722, 0.3294
0.1653, 1328.80, 0.1634, 0.3392, 0.2515, 0.3843, 0.1634
0.1745, 1402.62, 0.2902, 0.7406, 0.2878, 0.3605, 0.2902
0.1836, 1476.44, 0.4097, 0.4092, 0.5567, 0.7254, 0.4097
0.1928, 1550.27, 0.2526, 0.6551, 0.4282, 0.7239, 0.2526
