Imatest,24.2.6, Master, SFR
File,car_18.0 mm_25600ISO_+1EV_Dist2_ON_Defocus1.tiff
Run date,07-May-2025 11:49:53,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+18/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0063,   50.25, 0.9703, 1.0447, 0.9529, 0.9536, 0.9703
0.0125,  100.50, 0.8112, 0.9025, 0.7918, 0.8086, 0.8112
0.0188,  150.75, 0.5567, 0.5362, 0.5842, 0.6022, 0.5567
0.0250,  201.01, 0.3183, 0.4391, 0.3908, 0.4169, 0.3183
0.0313,  251.26, 0.1907, 0.5196, 0.2584, 0.2518, 0.1907
0.0375,  301.51, 0.0991, 0.2952, 0.0921, 0.0873, 0.0991
0.0438,  351.76, 0.0891, 0.2186, 0.1755, 0.1218, 0.0891
0.0500,  402.01, 0.0530, 0.2607, 0.1503, 0.2857, 0.0530
0.0563,  452.26, 0.0573, 0.2275, 0.0722, 0.3426, 0.0573
0.0625,  502.52, 0.1376, 0.4463, 0.1954, 0.5537, 0.1376
0.0688,  552.77, 0.1476, 0.2058, 0.2303, 0.7252, 0.1476
0.0750,  603.02, 0.1986, 0.4759, 0.2067, 0.6003, 0.1986
0.0813,  653.27, 0.1034, 0.2142, 0.1114, 0.3225, 0.1034
0.0875,  703.52, 0.1221, 0.3572, 0.1608, 0.2363, 0.1221
0.0938,  753.77, 0.1985, 0.2385, 0.2332, 0.2545, 0.1985
0.1000,  804.02, 0.1800, 0.3633, 0.1788, 0.4920, 0.1800
0.1063,  854.28, 0.1640, 0.5596, 0.1911, 0.7597, 0.1640
0.1125,  904.53, 0.1670, 0.3319, 0.1814, 0.5748, 0.1670
0.1188,  954.78, 0.2714, 0.3330, 0.3516, 0.3416, 0.2714
0.1250, 1005.03, 0.3149, 0.6801, 0.4779, 0.3106, 0.3149
0.1313, 1055.28, 0.0980, 0.3143, 0.2432, 0.5740, 0.0980
0.1375, 1105.53, 0.0124, 0.7354, 0.2432, 0.6047, 0.0124
0.1438, 1155.78, 0.1094, 1.0879, 0.4834, 0.5702, 0.1094
0.1500, 1206.04, 0.1940, 0.3514, 0.3888, 0.5456, 0.1940
0.1563, 1256.29, 0.2800, 0.4038, 0.3806, 0.3737, 0.2800
0.1625, 1306.54, 0.3144, 0.3141, 0.3731, 0.2827, 0.3144
0.1688, 1356.79, 0.2887, 0.7736, 0.3268, 0.3281, 0.2887
0.1750, 1407.04, 0.2469, 0.6640, 0.3037, 0.3425, 0.2469
0.1813, 1457.29, 0.1913, 0.1423, 0.2625, 0.2731, 0.1913
0.1875, 1507.55, 0.2589, 0.1857, 0.3697, 0.2594, 0.2589
0.1938, 1557.80, 0.3330, 0.4709, 0.3557, 0.1710, 0.3330
0.2000, 1608.05, 0.3714, 0.2958, 0.5205, 0.5047, 0.3714
0.2063, 1658.30, 0.3509, 0.7513, 0.4898, 0.7982, 0.3509
0.2125, 1708.55, 0.3060, 1.0775, 0.1875, 0.5633, 0.3060
0.2188, 1758.80, 0.1745, 0.2584, 0.1997, 0.1635, 0.1745
0.2250, 1809.05, 0.4862, 1.0520, 0.4019, 0.3175, 0.4862
0.2313, 1859.31, 0.1111, 0.5534, 0.0921, 0.2014, 0.1111
0.2375, 1909.56, 0.4562, 0.2467, 0.6587, 0.2793, 0.4562
0.2438, 1959.81, 0.5566, 0.1874, 0.7662, 0.3727, 0.5566
0.2500, 2010.06, 0.2267, 0.1566, 0.2606, 0.2416, 0.2267
0.2563, 2060.31, 0.0251, 0.2630, 0.1093, 0.3491, 0.0251
0.2625, 2110.56, 0.1842, 0.3681, 0.2218, 0.3501, 0.1842
0.2688, 2160.82, 0.3228, 0.2286, 0.4290, 0.2187, 0.3228
0.2750, 2211.07, 0.3997, 0.3619, 0.5248, 0.1685, 0.3997
0.2813, 2261.32, 0.3927, 0.3904, 0.4928, 0.1702, 0.3927
0.2875, 2311.57, 0.2368, 0.2184, 0.3439, 0.1146, 0.2368
0.2938, 2361.82, 0.1984, 0.2928, 0.2008, 0.0752, 0.1984
0.3000, 2412.07, 0.5737, 1.0086, 0.5628, 0.1127, 0.5737
0.3063, 2462.32, 0.6044, 1.2563, 0.5275, 0.3881, 0.6044
0.3125, 2512.58, 0.5235, 0.8472, 0.5266, 0.4565, 0.5235
0.3188, 2562.83, 0.5780, 0.7567, 0.6017, 0.1075, 0.5780
0.3250, 2613.08, 0.4432, 0.5351, 0.4312, 0.3953, 0.4432
0.3313, 2663.33, 0.4026, 0.3219, 0.4331, 0.5026, 0.4026
0.3375, 2713.58, 0.3662, 0.2947, 0.4013, 0.4752, 0.3662
0.3438, 2763.83, 0.3385, 0.2405, 0.3997, 0.2031, 0.3385
0.3500, 2814.09, 0.3413, 0.4485, 0.3472, 0.1535, 0.3413
0.3563, 2864.34, 0.2193, 0.5645, 0.1761, 0.2990, 0.2193
0.3625, 2914.59, 0.2002, 0.4808, 0.2129, 0.5908, 0.2002
0.3688, 2964.84, 0.5398, 0.5213, 0.5768, 0.7961, 0.5398
0.3750, 3015.09, 0.5380, 0.5244, 0.5599, 0.4927, 0.5380
0.3813, 3065.34, 0.4393, 0.4147, 0.4770, 0.3930, 0.4393
0.3875, 3115.59, 0.4449, 0.6768, 0.4220, 0.5718, 0.4449
0.3938, 3165.85, 0.3070, 0.4191, 0.3237, 0.4644, 0.3070
0.4000, 3216.10, 0.3406, 0.2053, 0.3904, 0.3504, 0.3406
0.4063, 3266.35, 0.2204, 0.1526, 0.2094, 0.4895, 0.2204
0.4125, 3316.60, 0.3468, 0.5902, 0.3085, 0.2173, 0.3468
0.4188, 3366.85, 0.4981, 0.9842, 0.3862, 0.5811, 0.4981
0.4250, 3417.10, 0.0677, 0.1771, 0.1469, 0.1644, 0.0677
0.4313, 3467.35, 0.4347, 0.4751, 0.4557, 0.2188, 0.4347
0.4375, 3517.61, 0.2240, 0.2458, 0.2516, 0.2221, 0.2240
