Imatest,24.2.6, Master, SFR
File,car_18.0 mm_25600ISO_+1EV_Dist2_ON_Focused.tiff
Run date,07-May-2025 11:49:53,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+18/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0063,   50.43, 0.9915, 0.9121, 1.0203, 0.9965, 0.9915
0.0125,  100.87, 0.9802, 0.8280, 1.0375, 0.9573, 0.9802
0.0188,  151.30, 0.9711, 0.7866, 1.0482, 0.8725, 0.9711
0.0251,  201.74, 0.9473, 0.6829, 1.0558, 0.8416, 0.9473
0.0314,  252.17, 0.9198, 0.6114, 1.0438, 0.8186, 0.9198
0.0376,  302.60, 0.9411, 0.7143, 1.0873, 0.6623, 0.9411
0.0439,  353.04, 0.9179, 0.6036, 1.0527, 0.8556, 0.9179
0.0502,  403.47, 0.8435, 0.4165, 0.9534, 1.2615, 0.8435
0.0565,  453.91, 0.8402, 0.5767, 0.9010, 1.1559, 0.8402
0.0627,  504.34, 0.8888, 0.9354, 0.8705, 0.9883, 0.8888
0.0690,  554.78, 0.8683, 1.0891, 0.7865, 1.0265, 0.8683
0.0753,  605.21, 0.7536, 1.0854, 0.6220, 0.9238, 0.7536
0.0815,  655.64, 0.7132, 1.0505, 0.6126, 0.8573, 0.7132
0.0878,  706.08, 0.7486, 0.9089, 0.7212, 0.8193, 0.7486
0.0941,  756.51, 0.7369, 0.7935, 0.7444, 0.5548, 0.7369
0.1004,  806.95, 0.7517, 0.8276, 0.7523, 0.5223, 0.7517
0.1066,  857.38, 0.7434, 0.8988, 0.7409, 0.7466, 0.7434
0.1129,  907.81, 0.6990, 1.0439, 0.7282, 0.6358, 0.6990
0.1192,  958.25, 0.6866, 0.5522, 0.8784, 0.4648, 0.6866
0.1255, 1008.68, 0.6156, 0.1710, 0.9140, 0.4253, 0.6156
0.1317, 1059.12, 0.3797, 0.2601, 0.5832, 0.3926, 0.3797
0.1380, 1109.55, 0.3743, 0.3730, 0.5530, 0.3457, 0.3743
0.1443, 1159.99, 0.3942, 0.4491, 0.4256, 0.4089, 0.3942
0.1505, 1210.42, 0.3814, 0.4223, 0.3884, 0.5414, 0.3814
0.1568, 1260.85, 0.2094, 0.5035, 0.1157, 0.6421, 0.2094
