Imatest,24.2.6, Master, SFR
File,car_18.0 mm_25600ISO_0EV_Dist2_ON_Focused.tiff
Run date,12-May-2025 14:02:13,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0092,   73.89, 0.9651, 0.9145, 0.9851, 0.9286, 0.9651
0.0184,  147.77, 0.8477, 0.6674, 0.9127, 0.6665, 0.8477
0.0276,  221.66, 0.6891, 0.4991, 0.7709, 0.3653, 0.6891
0.0368,  295.54, 0.4961, 0.4654, 0.5381, 0.3250, 0.4961
0.0459,  369.43, 0.4446, 1.0652, 0.3470, 0.3573, 0.4446
0.0551,  443.31, 0.1730, 0.9224, 0.0723, 0.2111, 0.1730
0.0643,  517.20, 0.2855, 0.4194, 0.2848, 0.2691, 0.2855
0.0735,  591.08, 0.5233, 0.5157, 0.5648, 0.2302, 0.5233
0.0827,  664.97, 0.4331, 0.2619, 0.5218, 0.2591, 0.4331
0.0919,  738.86, 0.2989, 0.3986, 0.3711, 0.4006, 0.2989
0.1011,  812.74, 0.2497, 0.3784, 0.3630, 0.7388, 0.2497
0.1103,  886.63, 0.2500, 0.1370, 0.3662, 0.8740, 0.2500
0.1195,  960.51, 0.1746, 0.4995, 0.1784, 1.1288, 0.1746
0.1287, 1034.40, 0.4859, 0.9379, 0.4477, 1.0069, 0.4859
0.1378, 1108.28, 0.4384, 1.1355, 0.7370, 0.6826, 0.4384
0.1470, 1182.17, 0.2467, 0.7595, 0.4432, 0.5988, 0.2467
0.1562, 1256.06, 0.1130, 0.9795, 0.0594, 0.9393, 0.1130
0.1654, 1329.94, 0.2530, 0.9401, 0.5121, 0.4360, 0.2530
0.1746, 1403.83, 0.5176, 1.0561, 0.9068, 0.3479, 0.5176
0.1838, 1477.71, 0.5356, 1.0784, 0.8795, 0.6018, 0.5356
0.1930, 1551.60, 0.7224, 0.9430, 0.9093, 0.3276, 0.7224
0.2022, 1625.48, 0.3763, 1.2209, 0.2395, 0.5650, 0.3763
0.2114, 1699.37, 0.4104, 0.6841, 0.5578, 0.8017, 0.4104
0.2206, 1773.25, 0.2650, 0.3998, 0.3298, 0.7704, 0.2650
0.2297, 1847.14, 0.4112, 1.0802, 0.2828, 0.6670, 0.4112
0.2389, 1921.03, 0.3671, 1.2134, 0.2405, 0.5460, 0.3671
0.2481, 1994.91, 0.4202, 0.9183, 0.4260, 0.3322, 0.4202
0.2573, 2068.80, 0.1310, 0.4669, 0.0792, 0.2967, 0.1310
