Imatest,24.2.6, Master, SFR
File,car_18.0 mm_6400ISO_+1EV_Dist2_OFF_Focused.tiff
Run date,07-May-2025 11:49:53,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+18/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0063,   50.49, 1.0106, 1.0162, 1.0103, 0.9965, 1.0106
0.0126,  100.99, 1.0039, 0.9965, 1.0086, 0.9725, 1.0039
0.0188,  151.48, 0.9718, 0.9559, 0.9756, 0.9788, 0.9718
0.0251,  201.98, 0.9367, 0.9355, 0.9326, 0.9923, 0.9367
0.0314,  252.47, 0.9116, 0.9684, 0.8857, 1.0373, 0.9116
0.0377,  302.97, 0.9079, 0.9859, 0.8719, 1.0840, 0.9079
0.0440,  353.46, 0.9065, 0.9485, 0.8805, 1.0857, 0.9065
0.0502,  403.96, 0.8913, 0.8303, 0.8902, 1.1011, 0.8913
0.0565,  454.45, 0.8697, 0.8345, 0.8586, 1.1871, 0.8697
0.0628,  504.95, 0.8462, 1.1036, 0.7533, 1.2015, 0.8462
0.0691,  555.44, 0.8517, 1.2541, 0.7303, 1.0277, 0.8517
0.0754,  605.94, 0.8600, 1.1298, 0.7808, 0.9623, 0.8600
0.0816,  656.43, 0.8203, 0.9089, 0.7797, 1.0699, 0.8203
0.0879,  706.93, 0.8249, 0.8830, 0.8045, 1.0720, 0.8249
0.0942,  757.42, 0.7848, 0.9113, 0.7371, 0.9958, 0.7848
0.1005,  807.91, 0.6696, 0.8015, 0.6113, 1.0226, 0.6696
0.1068,  858.41, 0.6807, 0.5160, 0.7098, 0.8848, 0.6807
0.1130,  908.90, 0.6952, 0.4461, 0.7597, 0.7476, 0.6952
0.1193,  959.40, 0.6100, 0.5858, 0.6025, 0.8538, 0.6100
0.1256, 1009.89, 0.6028, 0.6040, 0.5958, 0.7375, 0.6028
0.1319, 1060.39, 0.6012, 0.3457, 0.6894, 0.6039, 0.6012
0.1382, 1110.88, 0.5802, 0.1881, 0.6980, 0.5412, 0.5802
0.1444, 1161.38, 0.6343, 0.3518, 0.7383, 0.5117, 0.6343
0.1507, 1211.87, 0.7067, 0.3738, 0.8339, 0.4247, 0.7067
0.1570, 1262.37, 0.6747, 0.3424, 0.8048, 0.4147, 0.6747
0.1633, 1312.86, 0.5806, 0.4770, 0.6558, 0.5113, 0.5806
0.1696, 1363.36, 0.5899, 0.3538, 0.6735, 0.4240, 0.5899
0.1759, 1413.85, 0.6041, 0.1694, 0.7494, 0.2785, 0.6041
0.1821, 1464.34, 0.5387, 0.3333, 0.7044, 0.2770, 0.5387
0.1884, 1514.84, 0.4687, 0.5013, 0.6083, 0.2882, 0.4687
0.1947, 1565.33, 0.4024, 0.2029, 0.5111, 0.3163, 0.4024
0.2010, 1615.83, 0.4013, 0.0532, 0.5054, 0.2929, 0.4013
0.2073, 1666.32, 0.3886, 0.2021, 0.5057, 0.2106, 0.3886
0.2135, 1716.82, 0.3380, 0.4125, 0.4229, 0.1715, 0.3380
0.2198, 1767.31, 0.4215, 0.4264, 0.4844, 0.2351, 0.4215
0.2261, 1817.81, 0.4848, 0.3838, 0.5389, 0.2919, 0.4848
0.2324, 1868.30, 0.4473, 0.4650, 0.4612, 0.2408, 0.4473
0.2387, 1918.80, 0.3826, 0.5322, 0.3587, 0.2233, 0.3826
0.2449, 1969.29, 0.3534, 0.5330, 0.3080, 0.3767, 0.3534
0.2512, 2019.79, 0.3729, 0.4921, 0.3382, 0.4602, 0.3729
0.2575, 2070.28, 0.3865, 0.5026, 0.3599, 0.3487, 0.3865
0.2638, 2120.78, 0.3671, 0.6163, 0.3079, 0.2976, 0.3671
0.2701, 2171.27, 0.2973, 0.5260, 0.2360, 0.3258, 0.2973
0.2763, 2221.76, 0.2525, 0.3809, 0.2149, 0.3336, 0.2525
0.2826, 2272.26, 0.2577, 0.3876, 0.2224, 0.3339, 0.2577
0.2889, 2322.75, 0.2120, 0.3373, 0.1834, 0.2756, 0.2120
0.2952, 2373.25, 0.1515, 0.2460, 0.1335, 0.2357, 0.1515
0.3015, 2423.74, 0.1251, 0.2219, 0.1040, 0.2355, 0.1251
0.3077, 2474.24, 0.0917, 0.1613, 0.0785, 0.2289, 0.0917
0.3140, 2524.73, 0.0912, 0.1070, 0.0879, 0.2249, 0.0912
0.3203, 2575.23, 0.0940, 0.1119, 0.0894, 0.1902, 0.0940
0.3266, 2625.72, 0.0691, 0.1278, 0.0569, 0.1651, 0.0691
0.3329, 2676.22, 0.0559, 0.1627, 0.0371, 0.1293, 0.0559
0.3391, 2726.71, 0.0506, 0.1782, 0.0291, 0.1028, 0.0506
0.3454, 2777.21, 0.0492, 0.1979, 0.0229, 0.0939, 0.0492
0.3517, 2827.70, 0.0374, 0.1999, 0.0024, 0.0994, 0.0374
0.3580, 2878.20, 0.0170, 0.1704, 0.0253, 0.1067, 0.0170
0.3643, 2928.69, 0.0143, 0.1475, 0.0427, 0.1126, 0.0143
0.3705, 2979.18, 0.0272, 0.1210, 0.0595, 0.1183, 0.0272
0.3768, 3029.68, 0.0436, 0.0978, 0.0769, 0.1240, 0.0436
0.3831, 3080.17, 0.0577, 0.0740, 0.0904, 0.1276, 0.0577
0.3894, 3130.67, 0.0765, 0.0306, 0.1057, 0.1393, 0.0765
0.3957, 3181.16, 0.1069, 0.0502, 0.1330, 0.1692, 0.1069
0.4019, 3231.66, 0.1277, 0.0840, 0.1501, 0.1755, 0.1277
0.4082, 3282.15, 0.1237, 0.1152, 0.1379, 0.1410, 0.1237
0.4145, 3332.65, 0.1423, 0.1443, 0.1528, 0.1253, 0.1423
0.4208, 3383.14, 0.1897, 0.2024, 0.1957, 0.1503, 0.1897
0.4271, 3433.64, 0.1934, 0.2360, 0.1928, 0.1417, 0.1934
0.4333, 3484.13, 0.1892, 0.2412, 0.1849, 0.1381, 0.1892
0.4396, 3534.63, 0.2141, 0.2803, 0.2038, 0.1632, 0.2141
0.4459, 3585.12, 0.2274, 0.3284, 0.2115, 0.1357, 0.2274
0.4522, 3635.62, 0.2319, 0.3591, 0.2129, 0.0953, 0.2319
0.4585, 3686.11, 0.2244, 0.3503, 0.2073, 0.0461, 0.2244
0.4648, 3736.60, 0.1746, 0.2739, 0.1661, 0.0308, 0.1746
0.4710, 3787.10, 0.1178, 0.1899, 0.1177, 0.1128, 0.1178
0.4773, 3837.59, 0.1592, 0.2203, 0.1601, 0.1662, 0.1592
0.4836, 3888.09, 0.2296, 0.2847, 0.2325, 0.1426, 0.2296
0.4899, 3938.58, 0.2577, 0.2992, 0.2656, 0.0937, 0.2577
0.4962, 3989.08, 0.2645, 0.2998, 0.2756, 0.0905, 0.2645
0.5024, 4039.57, 0.2631, 0.2784, 0.2782, 0.1378, 0.2631
0.5087, 4090.07, 0.2476, 0.2439, 0.2687, 0.1267, 0.2476
0.5150, 4140.56, 0.2309, 0.2332, 0.2531, 0.0482, 0.2309
0.5213, 4191.06, 0.2462, 0.2760, 0.2572, 0.0666, 0.2462
0.5276, 4241.55, 0.2279, 0.2790, 0.2280, 0.0808, 0.2279
0.5338, 4292.05, 0.1840, 0.2061, 0.1898, 0.0954, 0.1840
0.5401, 4342.54, 0.2060, 0.1646, 0.2251, 0.1365, 0.2060
0.5464, 4393.03, 0.2159, 0.1575, 0.2332, 0.1973, 0.2159
0.5527, 4443.53, 0.1822, 0.1581, 0.1881, 0.1882, 0.1822
0.5590, 4494.02, 0.1759, 0.1987, 0.1701, 0.1852, 0.1759
0.5652, 4544.52, 0.2298, 0.2500, 0.2197, 0.3052, 0.2298
0.5715, 4595.01, 0.2397, 0.2447, 0.2289, 0.3846, 0.2397
0.5778, 4645.51, 0.1276, 0.1364, 0.1157, 0.3554, 0.1276
0.5841, 4696.00, 0.0421, 0.0600, 0.0359, 0.3137, 0.0421
0.5904, 4746.50, 0.0721, 0.1140, 0.0543, 0.3067, 0.0721
0.5966, 4796.99, 0.1173, 0.1783, 0.0924, 0.3575, 0.1173
0.6029, 4847.49, 0.1236, 0.1664, 0.1030, 0.3661, 0.1236
0.6092, 4897.98, 0.1186, 0.1286, 0.1075, 0.3255, 0.1186
0.6155, 4948.48, 0.1368, 0.1581, 0.1272, 0.2879, 0.1368
0.6218, 4998.97, 0.1396, 0.1781, 0.1234, 0.2838, 0.1396
0.6280, 5049.47, 0.1177, 0.1523, 0.1003, 0.2838, 0.1177
0.6343, 5099.96, 0.1243, 0.1457, 0.1147, 0.2643, 0.1243
0.6406, 5150.45, 0.0953, 0.1379, 0.0834, 0.2471, 0.0953
0.6469, 5200.95, 0.0564, 0.1130, 0.0371, 0.2417, 0.0564
0.6532, 5251.44, 0.0831, 0.1439, 0.0568, 0.2987, 0.0831
0.6594, 5301.94, 0.1022, 0.1645, 0.0770, 0.3494, 0.1022
0.6657, 5352.43, 0.0883, 0.1392, 0.0752, 0.3624, 0.0883
0.6720, 5402.93, 0.0869, 0.1164, 0.0808, 0.4232, 0.0869
0.6783, 5453.42, 0.0913, 0.1019, 0.0852, 0.5308, 0.0913
0.6846, 5503.92, 0.0775, 0.0977, 0.0760, 0.5854, 0.0775
0.6908, 5554.41, 0.0561, 0.1185, 0.0646, 0.5974, 0.0561
0.6971, 5604.91, 0.0345, 0.1580, 0.0457, 0.6541, 0.0345
0.7034, 5655.40, 0.0322, 0.2061, 0.0394, 0.7441, 0.0322
0.7097, 5705.90, 0.0425, 0.2616, 0.0553, 0.7742, 0.0425
0.7160, 5756.39, 0.0475, 0.3243, 0.0596, 0.7486, 0.0475
0.7222, 5806.89, 0.0492, 0.3839, 0.0499, 0.7377, 0.0492
0.7285, 5857.38, 0.0598, 0.4423, 0.0431, 0.7260, 0.0598
0.7348, 5907.87, 0.0792, 0.5105, 0.0416, 0.6997, 0.0792
0.7411, 5958.37, 0.1012, 0.5756, 0.0470, 0.6691, 0.1012
0.7474, 6008.86, 0.1175, 0.6337, 0.0507, 0.6315, 0.1175
