Imatest,24.2.6, Master, SFR
File,car_18.0 mm_6400ISO_-2EV_Dist2_ON_Defocus2.tiff
Run date,12-May-2025 14:14:10,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0092,   73.76, 1.0144, 1.1628, 1.0254, 0.6731, 1.0144
0.0183,  147.53, 0.4602, 0.6529, 0.4497, 0.3531, 0.4602
0.0275,  221.29, 0.1603, 0.4170, 0.1633, 0.0927, 0.1603
0.0367,  295.05, 0.0377, 0.9062, 0.1911, 0.2494, 0.0377
0.0459,  368.81, 0.1132, 1.0991, 0.1877, 0.2672, 0.1132
0.0550,  442.58, 0.1126, 0.5482, 0.2480, 0.3536, 0.1126
0.0642,  516.34, 0.2594, 0.7752, 0.3550, 0.3105, 0.2594
0.0734,  590.10, 0.2479, 0.4907, 0.3586, 0.0306, 0.2479
0.0826,  663.86, 0.3845, 0.5378, 0.4544, 0.1338, 0.3845
0.0917,  737.63, 0.5322, 0.2930, 0.6954, 0.3987, 0.5322
0.1009,  811.39, 0.4958, 1.8141, 0.7571, 0.7515, 0.4958
0.1101,  885.15, 0.5547, 2.3527, 0.4899, 0.7082, 0.5547
0.1193,  958.91, 0.8213, 1.6134, 0.8886, 0.8221, 0.8213
0.1284, 1032.68, 0.6513, 1.1461, 0.8770, 1.4030, 0.6513
0.1376, 1106.44, 0.1481, 0.6543, 0.2363, 1.5787, 0.1481
0.1468, 1180.20, 0.5610, 1.5999, 0.3814, 0.8192, 0.5610
0.1560, 1253.97, 0.4224, 1.8592, 0.1423, 0.3194, 0.4224
0.1651, 1327.73, 0.6180, 1.3803, 0.5396, 0.4523, 0.6180
0.1743, 1401.49, 0.5212, 1.1928, 0.4644, 0.3603, 0.5212
