Imatest,24.2.6, Master, SFR
File,car_18.0 mm_6400ISO_0EV_Dist2_OFF_Defocus1.tiff
Run date,12-May-2025 14:02:13,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0092,   73.78, 0.9215, 0.9289, 0.9243, 0.8800, 0.9215
0.0184,  147.57, 0.5975, 0.5989, 0.6016, 0.5715, 0.5975
0.0275,  221.35, 0.2609, 0.2389, 0.2683, 0.2495, 0.2609
0.0367,  295.13, 0.0436, 0.0995, 0.0489, 0.1144, 0.0436
0.0459,  368.91, 0.1895, 0.3707, 0.1433, 0.1711, 0.1895
0.0551,  442.70, 0.2029, 0.3958, 0.1602, 0.1536, 0.2029
0.0642,  516.48, 0.1061, 0.3249, 0.0584, 0.1449, 0.1061
0.0734,  590.26, 0.1224, 0.4558, 0.0647, 0.0920, 0.1224
0.0826,  664.05, 0.0746, 0.3003, 0.0321, 0.0974, 0.0746
0.0918,  737.83, 0.0597, 0.0911, 0.1250, 0.2864, 0.0597
0.1009,  811.61, 0.0360, 0.3761, 0.1402, 0.3325, 0.0360
0.1101,  885.39, 0.0775, 0.4502, 0.0736, 0.1332, 0.0775
0.1193,  959.18, 0.0248, 0.4336, 0.1234, 0.1177, 0.0248
0.1285, 1032.96, 0.0626, 0.4069, 0.1808, 0.0809, 0.0626
0.1377, 1106.74, 0.0279, 0.3265, 0.0924, 0.1695, 0.0279
0.1468, 1180.53, 0.0525, 0.2879, 0.1733, 0.2411, 0.0525
0.1560, 1254.31, 0.1798, 0.2503, 0.2226, 0.3179, 0.1798
0.1652, 1328.09, 0.1863, 0.2015, 0.1889, 0.1963, 0.1863
0.1744, 1401.87, 0.1593, 0.3306, 0.1387, 0.0238, 0.1593
0.1835, 1475.66, 0.0415, 0.4332, 0.0854, 0.2381, 0.0415
0.1927, 1549.44, 0.0510, 0.5109, 0.1341, 0.3393, 0.0510
0.2019, 1623.22, 0.0757, 0.4467, 0.0734, 0.2587, 0.0757
0.2111, 1697.01, 0.1016, 0.1404, 0.1394, 0.2465, 0.1016
0.2202, 1770.79, 0.2018, 0.4865, 0.3929, 0.2213, 0.2018
0.2294, 1844.57, 0.2485, 0.4807, 0.4273, 0.0599, 0.2485
0.2386, 1918.36, 0.1281, 0.5569, 0.2170, 0.2627, 0.1281
0.2478, 1992.14, 0.0643, 0.2866, 0.0269, 0.1858, 0.0643
0.2570, 2065.92, 0.0539, 0.3597, 0.0975, 0.1790, 0.0539
0.2661, 2139.70, 0.1577, 0.5702, 0.0890, 0.2652, 0.1577
0.2753, 2213.49, 0.1071, 0.2845, 0.1439, 0.1108, 0.1071
0.2845, 2287.27, 0.1586, 0.2207, 0.2184, 0.1676, 0.1586
0.2937, 2361.05, 0.0487, 0.3658, 0.1532, 0.2391, 0.0487
0.3028, 2434.84, 0.1041, 0.3205, 0.2510, 0.2193, 0.1041
0.3120, 2508.62, 0.3394, 0.0798, 0.4375, 0.3946, 0.3394
0.3212, 2582.40, 0.4554, 0.3313, 0.5105, 0.4355, 0.4554
0.3304, 2656.18, 0.2814, 0.1300, 0.3134, 0.4218, 0.2814
0.3395, 2729.97, 0.2373, 0.3903, 0.1970, 0.2406, 0.2373
0.3487, 2803.75, 0.2443, 0.5990, 0.1453, 0.3150, 0.2443
0.3579, 2877.53, 0.2533, 0.5725, 0.1687, 0.2807, 0.2533
0.3671, 2951.32, 0.3693, 0.6960, 0.3096, 0.1340, 0.3693
0.3763, 3025.10, 0.2649, 0.4979, 0.2231, 0.1668, 0.2649
0.3854, 3098.88, 0.1305, 0.3208, 0.0944, 0.0505, 0.1305
0.3946, 3172.66, 0.3400, 0.7362, 0.2728, 0.2593, 0.3400
0.4038, 3246.45, 0.1739, 0.3261, 0.1540, 0.2132, 0.1739
0.4130, 3320.23, 0.2653, 0.2371, 0.2772, 0.2833, 0.2653
0.4221, 3394.01, 0.3167, 0.2292, 0.3415, 0.3814, 0.3167
0.4313, 3467.80, 0.4249, 0.4213, 0.4422, 0.3309, 0.4249
0.4405, 3541.58, 0.2507, 0.1791, 0.2800, 0.1746, 0.2507
0.4497, 3615.36, 0.3517, 0.2622, 0.3926, 0.3566, 0.3517
0.4588, 3689.14, 0.1370, 0.1316, 0.1417, 0.1536, 0.1370
0.4680, 3762.93, 0.2385, 0.3383, 0.2309, 0.0818, 0.2385
0.4772, 3836.71, 0.2631, 0.3240, 0.2626, 0.2040, 0.2631
0.4864, 3910.49, 0.2539, 0.3229, 0.2658, 0.2163, 0.2539
0.4956, 3984.28, 0.2546, 0.2998, 0.2487, 0.2010, 0.2546
0.5047, 4058.06, 0.2695, 0.3037, 0.2601, 0.3353, 0.2695
0.5139, 4131.84, 0.2123, 0.3601, 0.1912, 0.3075, 0.2123
0.5231, 4205.62, 0.4012, 0.6222, 0.3767, 0.3145, 0.4012
0.5323, 4279.41, 0.3009, 0.4165, 0.2862, 0.2084, 0.3009
0.5414, 4353.19, 0.1888, 0.2164, 0.1909, 0.1858, 0.1888
0.5506, 4426.97, 0.2561, 0.3185, 0.2510, 0.3364, 0.2561
0.5598, 4500.76, 0.2020, 0.2738, 0.1887, 0.3004, 0.2020
0.5690, 4574.54, 0.1484, 0.1524, 0.1558, 0.1367, 0.1484
0.5781, 4648.32, 0.2807, 0.3142, 0.2993, 0.2989, 0.2807
0.5873, 4722.10, 0.2008, 0.3740, 0.2013, 0.5415, 0.2008
0.5965, 4795.89, 0.6662, 0.6163, 0.7157, 0.6264, 0.6662
0.6057, 4869.67, 0.7015, 0.5730, 0.7769, 0.4136, 0.7015
0.6149, 4943.45, 0.3213, 0.4370, 0.3057, 0.3225, 0.3213
0.6240, 5017.24, 0.1325, 0.3497, 0.0811, 0.2769, 0.1325
0.6332, 5091.02, 0.5393, 0.6293, 0.5152, 0.8168, 0.5393
0.6424, 5164.80, 0.7652, 0.8850, 0.7390, 0.9606, 0.7652
0.6516, 5238.58, 0.7528, 1.1652, 0.6510, 0.6985, 0.7528
0.6607, 5312.37, 0.3205, 0.8673, 0.2343, 0.6889, 0.3205
0.6699, 5386.15, 0.1156, 0.7712, 0.3458, 0.5860, 0.1156
0.6791, 5459.93, 0.2943, 0.8859, 0.5662, 0.4446, 0.2943
0.6883, 5533.72, 0.4322, 0.3824, 0.6406, 0.4426, 0.4322
0.6975, 5607.50, 0.4777, 0.8003, 0.5831, 1.0110, 0.4777
0.7066, 5681.28, 0.6820, 1.4620, 0.5708, 0.9429, 0.6820
0.7158, 5755.07, 0.6516, 1.2420, 0.5747, 0.4115, 0.6516
0.7250, 5828.85, 0.3343, 0.8184, 0.7738, 1.1421, 0.3343
0.7342, 5902.63, 0.7335, 1.5681, 1.0514, 1.5181, 0.7335
0.7433, 5976.41, 0.7002, 0.9684, 0.9033, 1.1997, 0.7002
0.7525, 6050.20, 0.5114, 0.9164, 0.9541, 0.5528, 0.5114
0.7617, 6123.98, 0.5450, 0.9293, 0.7294, 0.9945, 0.5450
0.7709, 6197.76, 0.9308, 2.0000, 0.6573, 1.2492, 0.9308
0.7800, 6271.55, 0.9645, 2.0000, 0.6482, 1.0811, 0.9645
0.7892, 6345.33, 1.0722, 2.0000, 0.9059, 0.4042, 1.0722
0.7984, 6419.11, 0.7172, 1.3600, 0.8520, 1.0672, 0.7172
0.8076, 6492.89, 0.6939, 1.3114, 0.7065, 1.6411, 0.6939
0.8168, 6566.68, 0.9869, 1.2953, 0.8795, 2.0000, 0.9869
0.8259, 6640.46, 0.8222, 1.2181, 0.8270, 1.6435, 0.8222
0.8351, 6714.24, 0.6400, 1.2157, 0.7721, 0.3027, 0.6400
0.8443, 6788.03, 0.4325, 1.2864, 0.2795, 0.7312, 0.4325
0.8535, 6861.81, 0.6273, 1.6895, 0.5155, 1.5176, 0.6273
0.8626, 6935.59, 0.3016, 0.2303, 0.4906, 1.5572, 0.3016
0.8718, 7009.37, 0.3134, 2.0000, 0.2649, 1.4341, 0.3134
0.8810, 7083.16, 0.4336, 2.0000, 0.3101, 1.4468, 0.4336
0.8902, 7156.94, 0.4323, 2.0000, 0.7376, 0.9668, 0.4323
0.8993, 7230.72, 0.5057, 2.0000, 0.6674, 0.2760, 0.5057
0.9085, 7304.51, 0.5189, 2.0000, 0.8472, 1.1742, 0.5189
0.9177, 7378.29, 0.3672, 2.0000, 0.8226, 0.7783, 0.3672
0.9269, 7452.07, 0.2004, 0.8918, 0.0488, 1.0241, 0.2004
0.9361, 7525.85, 0.8828, 0.1221, 1.3523, 2.0000, 0.8828
0.9452, 7599.64, 1.6093, 1.3672, 2.0000, 0.8407, 1.6093
0.9544, 7673.42, 0.7590, 2.0000, 1.8211, 1.7464, 0.7590
