Imatest,24.2.6, Master, SFR
File,cup_18.0 mm_1600ISO_+1EV_Dist2_ON_Focused.tiff
Run date,07-May-2025 11:47:14,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+18/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0069,   55.70, 1.0048, 1.0023, 1.0056, 1.0039, 1.0048
0.0139,  111.41, 1.0026, 0.9912, 1.0067, 0.9940, 1.0026
0.0208,  167.11, 0.9816, 0.9699, 0.9853, 0.9776, 0.9816
0.0277,  222.82, 0.9526, 0.9400, 0.9563, 0.9531, 0.9526
0.0346,  278.52, 0.9233, 0.9131, 0.9243, 0.9483, 0.9233
0.0416,  334.23, 0.8948, 0.8982, 0.8889, 0.9547, 0.8948
0.0485,  389.93, 0.8863, 0.8975, 0.8800, 0.9262, 0.8863
0.0554,  445.64, 0.8826, 0.8800, 0.8806, 0.9117, 0.8826
0.0624,  501.34, 0.8590, 0.7833, 0.8785, 0.8830, 0.8590
0.0693,  557.05, 0.8311, 0.7267, 0.8655, 0.8099, 0.8311
0.0762,  612.75, 0.7896, 0.7542, 0.8028, 0.7704, 0.7896
0.0831,  668.46, 0.7627, 0.8144, 0.7507, 0.7415, 0.7627
0.0901,  724.16, 0.7771, 0.9212, 0.7414, 0.7346, 0.7771
0.0970,  779.87, 0.7472, 0.8768, 0.7100, 0.7607, 0.7472
0.1039,  835.57, 0.6899, 0.6816, 0.6888, 0.7360, 0.6899
0.1109,  891.28, 0.6966, 0.5821, 0.7291, 0.7057, 0.6966
0.1178,  946.98, 0.7234, 0.5681, 0.7717, 0.6923, 0.7234
0.1247, 1002.69, 0.7090, 0.5830, 0.7558, 0.6042, 0.7090
0.1316, 1058.39, 0.6669, 0.5979, 0.7028, 0.5240, 0.6669
0.1386, 1114.10, 0.6320, 0.5623, 0.6643, 0.5151, 0.6320
0.1455, 1169.80, 0.6125, 0.4874, 0.6593, 0.5184, 0.6125
0.1524, 1225.50, 0.5808, 0.4957, 0.6131, 0.5605, 0.5808
0.1594, 1281.21, 0.5598, 0.5078, 0.5822, 0.5576, 0.5598
0.1663, 1336.91, 0.5625, 0.4191, 0.6267, 0.4371, 0.5625
0.1732, 1392.62, 0.5705, 0.3861, 0.6475, 0.3493, 0.5705
0.1801, 1448.32, 0.5595, 0.4230, 0.6180, 0.3937, 0.5595
0.1871, 1504.03, 0.5251, 0.4323, 0.5636, 0.4658, 0.5251
0.1940, 1559.73, 0.4961, 0.4888, 0.5076, 0.4592, 0.4961
0.2009, 1615.44, 0.4813, 0.5359, 0.4735, 0.4262, 0.4813
0.2079, 1671.14, 0.4780, 0.5226, 0.4746, 0.3929, 0.4780
0.2148, 1726.85, 0.4563, 0.4480, 0.4719, 0.3378, 0.4563
0.2217, 1782.55, 0.4178, 0.3935, 0.4371, 0.3072, 0.4178
0.2286, 1838.26, 0.3882, 0.3868, 0.3934, 0.3489, 0.3882
0.2356, 1893.96, 0.3791, 0.3958, 0.3744, 0.3884, 0.3791
0.2425, 1949.67, 0.3784, 0.4043, 0.3746, 0.3621, 0.3784
0.2494, 2005.37, 0.3651, 0.3889, 0.3638, 0.3248, 0.3651
0.2564, 2061.08, 0.3472, 0.3403, 0.3532, 0.3237, 0.3472
0.2633, 2116.78, 0.3278, 0.2946, 0.3401, 0.3129, 0.3278
0.2702, 2172.49, 0.2928, 0.2905, 0.2966, 0.2741, 0.2928
0.2771, 2228.19, 0.2651, 0.2779, 0.2665, 0.2346, 0.2651
0.2841, 2283.90, 0.2739, 0.2653, 0.2823, 0.2258, 0.2739
0.2910, 2339.60, 0.2841, 0.2767, 0.2935, 0.2237, 0.2841
0.2979, 2395.30, 0.2753, 0.2781, 0.2827, 0.2056, 0.2753
0.3049, 2451.01, 0.2607, 0.2684, 0.2693, 0.1806, 0.2607
0.3118, 2506.71, 0.2407, 0.2294, 0.2538, 0.1751, 0.2407
0.3187, 2562.42, 0.2187, 0.2070, 0.2294, 0.1849, 0.2187
0.3256, 2618.12, 0.1992, 0.2099, 0.2016, 0.1859, 0.1992
0.3326, 2673.83, 0.1865, 0.2012, 0.1858, 0.1792, 0.1865
0.3395, 2729.53, 0.1817, 0.1876, 0.1833, 0.1711, 0.1817
0.3464, 2785.24, 0.1668, 0.1680, 0.1695, 0.1615, 0.1668
0.3534, 2840.94, 0.1489, 0.1502, 0.1508, 0.1564, 0.1489
0.3603, 2896.65, 0.1397, 0.1407, 0.1415, 0.1519, 0.1397
0.3672, 2952.35, 0.1295, 0.1297, 0.1313, 0.1461, 0.1295
0.3741, 3008.06, 0.1192, 0.1188, 0.1208, 0.1399, 0.1192
0.3811, 3063.76, 0.1107, 0.1078, 0.1123, 0.1350, 0.1107
0.3880, 3119.47, 0.0936, 0.0871, 0.0954, 0.1240, 0.0936
0.3949, 3175.17, 0.0752, 0.0700, 0.0772, 0.1042, 0.0752
0.4019, 3230.88, 0.0730, 0.0675, 0.0757, 0.0933, 0.0730
0.4088, 3286.58, 0.0689, 0.0646, 0.0704, 0.0885, 0.0689
0.4157, 3342.29, 0.0597, 0.0576, 0.0608, 0.0763, 0.0597
0.4226, 3397.99, 0.0604, 0.0561, 0.0641, 0.0675, 0.0604
0.4296, 3453.70, 0.0482, 0.0394, 0.0525, 0.0584, 0.0482
0.4365, 3509.40, 0.0327, 0.0217, 0.0360, 0.0406, 0.0327
0.4434, 3565.10, 0.0434, 0.0330, 0.0476, 0.0378, 0.0434
0.4503, 3620.81, 0.0494, 0.0390, 0.0540, 0.0469, 0.0494
0.4573, 3676.51, 0.0296, 0.0414, 0.0297, 0.0435, 0.0296
0.4642, 3732.22, 0.0194, 0.0489, 0.0125, 0.0444, 0.0194
0.4711, 3787.92, 0.0163, 0.0345, 0.0198, 0.0461, 0.0163
0.4781, 3843.63, 0.0125, 0.0379, 0.0199, 0.0344, 0.0125
0.4850, 3899.33, 0.0135, 0.0326, 0.0258, 0.0200, 0.0135
0.4919, 3955.04, 0.0226, 0.0129, 0.0335, 0.0484, 0.0226
0.4988, 4010.74, 0.0127, 0.0235, 0.0147, 0.0674, 0.0127
0.5058, 4066.45, 0.0161, 0.0368, 0.0065, 0.0619, 0.0161
0.5127, 4122.15, 0.0242, 0.0433, 0.0204, 0.0618, 0.0242
0.5196, 4177.86, 0.0218, 0.0381, 0.0216, 0.0598, 0.0218
0.5266, 4233.56, 0.0127, 0.0255, 0.0157, 0.0534, 0.0127
0.5335, 4289.27, 0.0291, 0.0276, 0.0349, 0.0488, 0.0291
0.5404, 4344.97, 0.0526, 0.0400, 0.0591, 0.0617, 0.0526
0.5473, 4400.68, 0.0545, 0.0298, 0.0626, 0.0808, 0.0545
0.5543, 4456.38, 0.0555, 0.0276, 0.0646, 0.0849, 0.0555
0.5612, 4512.09, 0.0661, 0.0398, 0.0722, 0.0909, 0.0661
0.5681, 4567.79, 0.0717, 0.0512, 0.0760, 0.0905, 0.0717
0.5751, 4623.50, 0.0602, 0.0356, 0.0652, 0.0833, 0.0602
0.5820, 4679.20, 0.0583, 0.0250, 0.0631, 0.1069, 0.0583
0.5889, 4734.90, 0.0742, 0.0599, 0.0752, 0.1461, 0.0742
0.5958, 4790.61, 0.0894, 0.0805, 0.0879, 0.1664, 0.0894
0.6028, 4846.31, 0.0705, 0.0668, 0.0685, 0.1486, 0.0705
0.6097, 4902.02, 0.0340, 0.0558, 0.0302, 0.1220, 0.0340
0.6166, 4957.72, 0.0084, 0.0507, 0.0179, 0.1033, 0.0084
0.6236, 5013.43, 0.0227, 0.0308, 0.0331, 0.1100, 0.0227
0.6305, 5069.13, 0.0411, 0.0283, 0.0393, 0.1397, 0.0411
0.6374, 5124.84, 0.0519, 0.0629, 0.0408, 0.1424, 0.0519
0.6443, 5180.54, 0.0277, 0.0394, 0.0198, 0.1227, 0.0277
0.6513, 5236.25, 0.0206, 0.0067, 0.0286, 0.0977, 0.0206
0.6582, 5291.95, 0.0244, 0.0219, 0.0406, 0.0780, 0.0244
0.6651, 5347.66, 0.0247, 0.0457, 0.0484, 0.0651, 0.0247
0.6721, 5403.36, 0.0297, 0.0699, 0.0571, 0.0432, 0.0297
0.6790, 5459.07, 0.0266, 0.0810, 0.0580, 0.0290, 0.0266
0.6859, 5514.77, 0.0318, 0.0841, 0.0707, 0.0299, 0.0318
0.6928, 5570.48, 0.0434, 0.0995, 0.0913, 0.0354, 0.0434
0.6998, 5626.18, 0.0450, 0.1219, 0.0987, 0.0451, 0.0450
0.7067, 5681.89, 0.0442, 0.1414, 0.1040, 0.0578, 0.0442
0.7136, 5737.59, 0.0520, 0.1514, 0.1197, 0.0714, 0.0520
0.7206, 5793.30, 0.0586, 0.1640, 0.1330, 0.0869, 0.0586
0.7275, 5849.00, 0.0612, 0.1802, 0.1400, 0.0996, 0.0612
0.7344, 5904.70, 0.0693, 0.1917, 0.1507, 0.1111, 0.0693
0.7413, 5960.41, 0.0795, 0.1995, 0.1622, 0.1229, 0.0795
0.7483, 6016.11, 0.0860, 0.2109, 0.1696, 0.1304, 0.0860
0.7552, 6071.82, 0.0915, 0.2242, 0.1767, 0.1309, 0.0915
0.7621, 6127.52, 0.1028, 0.2295, 0.1870, 0.1341, 0.1028
0.7691, 6183.23, 0.1152, 0.2319, 0.1919, 0.1270, 0.1152
0.7760, 6238.93, 0.1272, 0.2336, 0.1977, 0.1177, 0.1272
0.7829, 6294.64, 0.1413, 0.2320, 0.2126, 0.1205, 0.1413
0.7898, 6350.34, 0.1414, 0.2328, 0.2095, 0.1084, 0.1414
0.7968, 6406.05, 0.1325, 0.2265, 0.1944, 0.1030, 0.1325
0.8037, 6461.75, 0.1466, 0.2418, 0.2060, 0.1045, 0.1466
0.8106, 6517.46, 0.1625, 0.2538, 0.2068, 0.0960, 0.1625
0.8176, 6573.16, 0.1505, 0.2364, 0.1812, 0.0700, 0.1505
0.8245, 6628.87, 0.1308, 0.2577, 0.1553, 0.0532, 0.1308
0.8314, 6684.57, 0.1406, 0.3457, 0.1276, 0.0333, 0.1406
0.8383, 6740.28, 0.1682, 0.4203, 0.1271, 0.0454, 0.1682
0.8453, 6795.98, 0.1613, 0.3317, 0.1378, 0.0471, 0.1613
0.8522, 6851.69, 0.1313, 0.2000, 0.1356, 0.0211, 0.1313
0.8591, 6907.39, 0.1057, 0.1910, 0.1134, 0.0230, 0.1057
0.8661, 6963.10, 0.0867, 0.2165, 0.0848, 0.0486, 0.0867
0.8730, 7018.80, 0.0663, 0.3026, 0.0744, 0.0865, 0.0663
0.8799, 7074.50, 0.0771, 0.4418, 0.0713, 0.1046, 0.0771
0.8868, 7130.21, 0.0850, 0.4376, 0.0610, 0.0562, 0.0850
0.8938, 7185.91, 0.0594, 0.2131, 0.0408, 0.0420, 0.0594
0.9007, 7241.62, 0.0323, 0.0887, 0.0214, 0.0529, 0.0323
0.9076, 7297.32, 0.0152, 0.1180, 0.0228, 0.1250, 0.0152
0.9146, 7353.03, 0.0239, 0.1583, 0.0909, 0.2090, 0.0239
0.9215, 7408.73, 0.0952, 0.2744, 0.2164, 0.2703, 0.0952
0.9284, 7464.44, 0.1578, 0.2473, 0.3139, 0.3442, 0.1578
