Imatest,24.2.6, Master, SFR
File,cup_18.0 mm_1600ISO_-3EV_Dist2_ON_Defocus2.tiff
Run date,12-May-2025 14:50:46,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0092,   73.83, 0.9937, 1.0199, 0.9926, 0.9324, 0.9937
0.0184,  147.66, 0.9093, 0.9014, 0.9184, 0.8351, 0.9093
0.0275,  221.49, 0.7073, 0.6254, 0.7280, 0.7201, 0.7073
0.0367,  295.32, 0.5771, 0.3093, 0.6627, 0.4080, 0.5771
0.0459,  369.15, 0.5940, 0.2123, 0.7671, 0.1152, 0.5940
0.0551,  442.98, 0.4987, 0.1733, 0.6720, 0.1740, 0.4987
0.0643,  516.81, 0.3135, 0.1031, 0.4060, 0.0843, 0.3135
0.0735,  590.64, 0.1019, 0.2986, 0.0473, 0.2223, 0.1019
0.0826,  664.47, 0.1229, 0.4827, 0.2473, 0.3839, 0.1229
0.0918,  738.30, 0.1409, 0.7868, 0.2727, 0.3431, 0.1409
0.1010,  812.13, 0.1828, 0.9069, 0.1669, 0.2988, 0.1828
0.1102,  885.96, 0.2180, 0.9862, 0.0773, 0.1529, 0.2180
0.1194,  959.79, 0.1761, 0.8140, 0.0404, 0.2761, 0.1761
0.1286, 1033.62, 0.2692, 0.6909, 0.1903, 0.1551, 0.2692
0.1377, 1107.45, 0.3708, 0.6404, 0.4223, 0.7984, 0.3708
0.1469, 1181.29, 0.2714, 0.3830, 0.3571, 1.0416, 0.2714
0.1561, 1255.12, 0.1886, 0.2567, 0.2754, 0.8196, 0.1886
0.1653, 1328.95, 0.1295, 0.2613, 0.2946, 0.6102, 0.1295
0.1745, 1402.78, 0.1651, 0.3821, 0.2449, 0.5326, 0.1651
0.1837, 1476.61, 0.0716, 0.3976, 0.1326, 0.4915, 0.0716
0.1928, 1550.44, 0.2160, 0.6988, 0.1319, 0.7535, 0.2160
0.2020, 1624.27, 0.2002, 1.0928, 0.1214, 0.9945, 0.2002
0.2112, 1698.10, 0.1161, 0.8171, 0.2685, 0.9627, 0.1161
0.2204, 1771.93, 0.3509, 0.6881, 0.4279, 0.8314, 0.3509
0.2296, 1845.76, 0.6300, 0.7790, 0.5882, 0.7299, 0.6300
0.2388, 1919.59, 0.4329, 1.2090, 0.4644, 0.4907, 0.4329
0.2479, 1993.42, 0.1155, 0.6725, 0.4439, 1.2892, 0.1155
0.2571, 2067.25, 0.1671, 0.2544, 0.2972, 1.4437, 0.1671
0.2663, 2141.08, 0.1682, 0.8863, 0.0799, 1.0952, 0.1682
0.2755, 2214.91, 0.2327, 0.8790, 0.2490, 0.8411, 0.2327
0.2847, 2288.74, 0.3492, 0.1841, 0.4251, 0.8138, 0.3492
