Imatest,24.2.6, Master, SFR
File,cup_18.0 mm_25600ISO_0EV_Dist2_OFF_Focused.tiff
Run date,12-May-2025 14:27:25,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0092,   73.84, 1.0214, 0.9757, 1.0427, 0.9046, 1.0214
0.0184,  147.68, 0.9580, 0.9195, 0.9902, 0.7288, 0.9580
0.0276,  221.53, 0.7960, 0.8233, 0.8150, 0.6432, 0.7960
0.0367,  295.37, 0.6786, 0.6266, 0.7192, 0.5854, 0.6786
0.0459,  369.21, 0.7001, 0.9330, 0.7020, 0.5025, 0.7001
0.0551,  443.05, 0.6746, 1.2583, 0.5896, 0.5284, 0.6746
0.0643,  516.90, 0.5250, 0.9602, 0.4430, 0.6192, 0.5250
0.0735,  590.74, 0.5719, 0.2576, 0.6845, 0.5393, 0.5719
0.0827,  664.58, 0.5628, 0.7763, 0.8921, 0.4531, 0.5628
0.0918,  738.42, 0.3813, 1.0440, 0.7108, 0.6079, 0.3813
0.1010,  812.26, 0.4774, 0.5621, 0.7057, 0.8380, 0.4774
0.1102,  886.11, 0.5875, 1.1324, 0.7230, 0.7578, 0.5875
0.1194,  959.95, 0.4444, 1.3291, 0.4549, 0.6024, 0.4444
0.1286, 1033.79, 0.3876, 1.2571, 0.3829, 0.3342, 0.3876
0.1378, 1107.63, 0.2771, 1.5399, 0.3669, 0.5232, 0.2771
0.1469, 1181.47, 0.2306, 1.0540, 0.1866, 0.4700, 0.2306
0.1561, 1255.32, 0.3866, 0.4487, 0.3887, 0.6214, 0.3866
0.1653, 1329.16, 0.5635, 0.4789, 0.5876, 0.8296, 0.5635
0.1745, 1403.00, 0.9172, 0.7479, 1.0538, 0.6512, 0.9172
0.1837, 1476.84, 1.1742, 1.0033, 1.3809, 0.4933, 1.1742
0.1929, 1550.69, 0.9399, 1.1391, 1.0605, 0.5502, 0.9399
0.2021, 1624.53, 0.3212, 1.1728, 0.1862, 0.7058, 0.3212
0.2112, 1698.37, 0.1394, 0.8139, 0.0722, 0.1684, 0.1394
0.2204, 1772.21, 0.6300, 0.1958, 0.8168, 0.4752, 0.6300
0.2296, 1846.05, 0.5334, 0.9653, 0.7312, 0.1228, 0.5334
0.2388, 1919.90, 0.6795, 1.7545, 0.5094, 0.6123, 0.6795
0.2480, 1993.74, 0.4617, 1.5465, 0.3030, 0.5758, 0.4617
0.2572, 2067.58, 0.2541, 0.5581, 0.3326, 0.8289, 0.2541
0.2663, 2141.42, 0.6108, 0.4555, 0.7127, 0.5817, 0.6108
0.2755, 2215.26, 0.6241, 0.7550, 0.7477, 0.5548, 0.6241
0.2847, 2289.11, 0.1583, 0.4501, 0.1818, 0.6166, 0.1583
0.2939, 2362.95, 0.3207, 0.2664, 0.4355, 0.5226, 0.3207
0.3031, 2436.79, 0.3494, 0.1541, 0.4565, 0.3013, 0.3494
0.3123, 2510.63, 0.6778, 1.1218, 0.6390, 0.1417, 0.6778
0.3215, 2584.48, 0.9819, 2.1103, 0.7799, 0.5800, 0.9819
0.3306, 2658.32, 0.6134, 1.6826, 0.4101, 0.5661, 0.6134
0.3398, 2732.16, 0.2374, 0.7587, 0.2522, 0.1101, 0.2374
0.3490, 2806.00, 0.4433, 0.8840, 0.4436, 0.5704, 0.4433
0.3582, 2879.84, 0.4279, 1.2828, 0.3011, 0.4249, 0.4279
0.3674, 2953.69, 0.5902, 1.3817, 0.4366, 0.4602, 0.5902
0.3766, 3027.53, 0.6203, 1.2173, 0.5019, 0.5535, 0.6203
0.3857, 3101.37, 0.2803, 0.3650, 0.2406, 0.5473, 0.2803
0.3949, 3175.21, 0.3247, 0.7346, 0.2831, 0.3966, 0.3247
0.4041, 3249.05, 0.4599, 1.1252, 0.4179, 0.6283, 0.4599
0.4133, 3322.90, 0.1953, 0.6627, 0.2075, 0.9739, 0.1953
0.4225, 3396.74, 0.7396, 0.7415, 0.7280, 1.0475, 0.7396
0.4317, 3470.58, 0.4520, 0.6752, 0.4057, 0.4393, 0.4520
0.4408, 3544.42, 0.3546, 0.6115, 0.3357, 0.1870, 0.3546
0.4500, 3618.27, 0.4706, 0.6031, 0.4471, 0.4785, 0.4706
0.4592, 3692.11, 0.2877, 0.3778, 0.2804, 0.3894, 0.2877
0.4684, 3765.95, 0.1737, 0.2087, 0.2008, 0.3751, 0.1737
0.4776, 3839.79, 0.5502, 0.4447, 0.5707, 0.7570, 0.5502
0.4868, 3913.63, 0.4856, 0.7937, 0.4103, 0.6010, 0.4856
0.4960, 3987.48, 0.2849, 0.8001, 0.2372, 0.3059, 0.2849
0.5051, 4061.32, 0.2270, 0.6141, 0.2173, 0.1461, 0.2270
0.5143, 4135.16, 0.0734, 0.1365, 0.0956, 0.2264, 0.0734
