Imatest,24.2.6, Master, SFR
File,potted plant_18.0 mm_100ISO_-2EV_Dist2_OFF_Defocus2.tiff
Run date,12-May-2025 15:11:30,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0092,   73.93, 0.9202, 0.9232, 0.9170, 0.9438, 0.9202
0.0184,  147.87, 0.7051, 0.7080, 0.6987, 0.7609, 0.7051
0.0276,  221.80, 0.4619, 0.4622, 0.4573, 0.5080, 0.4619
0.0368,  295.73, 0.2345, 0.2380, 0.2308, 0.2697, 0.2345
0.0460,  369.67, 0.0423, 0.0683, 0.0346, 0.0693, 0.0423
0.0552,  443.60, 0.0498, 0.0255, 0.0590, 0.0506, 0.0498
0.0644,  517.53, 0.0636, 0.0676, 0.0658, 0.0718, 0.0636
0.0736,  591.47, 0.0293, 0.0768, 0.0412, 0.0560, 0.0293
0.0828,  665.40, 0.0303, 0.1069, 0.0774, 0.0776, 0.0303
0.0920,  739.33, 0.0337, 0.0801, 0.0674, 0.0666, 0.0337
0.1012,  813.27, 0.0713, 0.0156, 0.1044, 0.0634, 0.0713
0.1103,  887.20, 0.0726, 0.0666, 0.0984, 0.0885, 0.0726
0.1195,  961.13, 0.0463, 0.0366, 0.0563, 0.0759, 0.0463
0.1287, 1035.07, 0.0288, 0.0365, 0.0322, 0.0714, 0.0288
0.1379, 1109.00, 0.0375, 0.1003, 0.0327, 0.0629, 0.0375
0.1471, 1182.93, 0.0413, 0.1153, 0.0406, 0.0788, 0.0413
0.1563, 1256.87, 0.0316, 0.0738, 0.0457, 0.1117, 0.0316
0.1655, 1330.80, 0.0412, 0.0975, 0.0350, 0.0913, 0.0412
0.1747, 1404.73, 0.0740, 0.1558, 0.0583, 0.0980, 0.0740
0.1839, 1478.67, 0.0413, 0.0723, 0.0285, 0.1389, 0.0413
0.1931, 1552.60, 0.0268, 0.0887, 0.0130, 0.0700, 0.0268
0.2023, 1626.53, 0.0244, 0.0271, 0.0275, 0.0566, 0.0244
0.2115, 1700.47, 0.0802, 0.0253, 0.1177, 0.0900, 0.0802
0.2207, 1774.40, 0.1071, 0.0798, 0.1524, 0.1030, 0.1071
0.2299, 1848.33, 0.0662, 0.0777, 0.1024, 0.0725, 0.0662
0.2391, 1922.27, 0.0526, 0.0380, 0.0678, 0.0353, 0.0526
0.2483, 1996.20, 0.0373, 0.0478, 0.0354, 0.0939, 0.0373
0.2575, 2070.13, 0.0221, 0.0991, 0.0092, 0.0656, 0.0221
0.2667, 2144.07, 0.0530, 0.1411, 0.0565, 0.0553, 0.0530
0.2759, 2218.00, 0.0219, 0.1473, 0.0335, 0.0592, 0.0219
0.2851, 2291.93, 0.0515, 0.1402, 0.0353, 0.0782, 0.0515
0.2943, 2365.87, 0.0567, 0.1300, 0.0443, 0.0753, 0.0567
0.3035, 2439.80, 0.0685, 0.0825, 0.0712, 0.0409, 0.0685
0.3127, 2513.73, 0.0738, 0.1513, 0.0747, 0.0892, 0.0738
0.3218, 2587.67, 0.0639, 0.1851, 0.0399, 0.0843, 0.0639
0.3310, 2661.60, 0.0085, 0.0846, 0.0174, 0.0147, 0.0085
0.3402, 2735.53, 0.0266, 0.0017, 0.0359, 0.0992, 0.0266
0.3494, 2809.47, 0.0326, 0.0447, 0.0362, 0.0855, 0.0326
0.3586, 2883.40, 0.0897, 0.1220, 0.0873, 0.0533, 0.0897
0.3678, 2957.33, 0.1176, 0.1554, 0.1163, 0.0717, 0.1176
0.3770, 3031.27, 0.0538, 0.0755, 0.0601, 0.0580, 0.0538
0.3862, 3105.20, 0.0194, 0.0231, 0.0240, 0.0725, 0.0194
0.3954, 3179.13, 0.0533, 0.0351, 0.0561, 0.1164, 0.0533
0.4046, 3253.07, 0.0829, 0.0614, 0.0882, 0.1456, 0.0829
0.4138, 3327.00, 0.0620, 0.0435, 0.0696, 0.0778, 0.0620
0.4230, 3400.93, 0.0810, 0.0661, 0.0891, 0.0535, 0.0810
0.4322, 3474.86, 0.0780, 0.0858, 0.0746, 0.0907, 0.0780
0.4414, 3548.80, 0.0380, 0.0554, 0.0312, 0.0607, 0.0380
0.4506, 3622.73, 0.0431, 0.0512, 0.0434, 0.0357, 0.0431
0.4598, 3696.66, 0.0086, 0.0461, 0.0063, 0.0588, 0.0086
0.4690, 3770.60, 0.0816, 0.0519, 0.0962, 0.0902, 0.0816
0.4782, 3844.53, 0.1132, 0.0822, 0.1234, 0.1105, 0.1132
0.4874, 3918.46, 0.1192, 0.1166, 0.1221, 0.1120, 0.1192
0.4966, 3992.40, 0.1394, 0.1652, 0.1419, 0.0766, 0.1394
0.5058, 4066.33, 0.0426, 0.0554, 0.0484, 0.0447, 0.0426
0.5150, 4140.26, 0.1186, 0.1184, 0.1267, 0.0511, 0.1186
0.5242, 4214.20, 0.0795, 0.0899, 0.0834, 0.0181, 0.0795
0.5333, 4288.13, 0.0095, 0.0543, 0.0032, 0.0648, 0.0095
0.5425, 4362.06, 0.0539, 0.0886, 0.0567, 0.0729, 0.0539
0.5517, 4436.00, 0.0574, 0.1024, 0.0496, 0.0595, 0.0574
0.5609, 4509.93, 0.0319, 0.0546, 0.0289, 0.0416, 0.0319
0.5701, 4583.86, 0.0477, 0.0145, 0.0603, 0.0240, 0.0477
0.5793, 4657.80, 0.1219, 0.0862, 0.1452, 0.0344, 0.1219
0.5885, 4731.73, 0.0742, 0.0479, 0.0918, 0.0348, 0.0742
0.5977, 4805.66, 0.0494, 0.0267, 0.0539, 0.0861, 0.0494
0.6069, 4879.60, 0.0479, 0.0300, 0.0495, 0.1177, 0.0479
0.6161, 4953.53, 0.0375, 0.0173, 0.0413, 0.0983, 0.0375
0.6253, 5027.46, 0.0372, 0.1029, 0.0224, 0.0670, 0.0372
0.6345, 5101.40, 0.0519, 0.1566, 0.0340, 0.0962, 0.0519
0.6437, 5175.33, 0.0789, 0.1920, 0.0385, 0.2031, 0.0789
0.6529, 5249.26, 0.0876, 0.1757, 0.0736, 0.1191, 0.0876
0.6621, 5323.20, 0.1529, 0.1967, 0.1478, 0.1392, 0.1529
0.6713, 5397.13, 0.1463, 0.1853, 0.1451, 0.2087, 0.1463
0.6805, 5471.06, 0.0506, 0.0475, 0.0886, 0.1319, 0.0506
0.6897, 5545.00, 0.1088, 0.1732, 0.1102, 0.1651, 0.1088
0.6989, 5618.93, 0.0613, 0.2209, 0.0917, 0.2641, 0.0613
0.7081, 5692.86, 0.1618, 0.2465, 0.2018, 0.3294, 0.1618
0.7173, 5766.80, 0.1436, 0.2413, 0.1683, 0.3197, 0.1436
0.7265, 5840.73, 0.2202, 0.2248, 0.2611, 0.3230, 0.2202
0.7357, 5914.66, 0.2492, 0.2286, 0.2787, 0.2136, 0.2492
0.7449, 5988.60, 0.1499, 0.3514, 0.1086, 0.0700, 0.1499
0.7540, 6062.53, 0.0810, 0.3829, 0.0153, 0.1320, 0.0810
0.7632, 6136.46, 0.1757, 0.2837, 0.1817, 0.0831, 0.1757
0.7724, 6210.40, 0.2503, 0.0842, 0.3167, 0.0711, 0.2503
0.7816, 6284.33, 0.1356, 0.1055, 0.2080, 0.1456, 0.1356
0.7908, 6358.26, 0.1117, 0.1361, 0.1345, 0.1008, 0.1117
0.8000, 6432.20, 0.0227, 0.2900, 0.1063, 0.1067, 0.0227
0.8092, 6506.13, 0.1413, 0.3891, 0.3107, 0.0635, 0.1413
0.8184, 6580.06, 0.0854, 0.3403, 0.2327, 0.2114, 0.0854
0.8276, 6654.00, 0.2194, 0.0982, 0.3289, 0.1401, 0.2194
0.8368, 6727.93, 0.4951, 0.2115, 0.7167, 0.0733, 0.4951
0.8460, 6801.86, 0.4254, 0.3269, 0.6863, 0.1012, 0.4254
0.8552, 6875.80, 0.0510, 0.5603, 0.2565, 0.2355, 0.0510
0.8644, 6949.73, 0.1761, 0.6495, 0.0727, 0.1312, 0.1761
0.8736, 7023.66, 0.2275, 0.5257, 0.1949, 0.1972, 0.2275
0.8828, 7097.60, 0.1883, 0.4662, 0.1481, 0.2688, 0.1883
0.8920, 7171.53, 0.2276, 0.3568, 0.3013, 0.3039, 0.2276
0.9012, 7245.46, 0.2368, 0.0231, 0.3204, 0.0751, 0.2368
0.9104, 7319.40, 0.0782, 0.2442, 0.1165, 0.1269, 0.0782
0.9196, 7393.33, 0.1592, 0.2667, 0.1904, 0.0662, 0.1592
0.9288, 7467.26, 0.2216, 0.2771, 0.2786, 0.2854, 0.2216
0.9380, 7541.20, 0.1553, 0.2861, 0.2501, 0.7410, 0.1553
0.9472, 7615.13, 0.2531, 0.4291, 0.2397, 0.9313, 0.2531
0.9564, 7689.06, 0.1585, 1.0120, 0.5812, 0.9416, 0.1585
0.9655, 7763.00, 0.2893, 1.1691, 0.6067, 1.2889, 0.2893
0.9747, 7836.93, 0.3928, 0.5132, 0.6855, 1.2335, 0.3928
0.9839, 7910.86, 1.0824, 0.8046, 1.2897, 0.7982, 1.0824
0.9931, 7984.80, 1.1218, 1.0183, 1.2883, 0.5540, 1.1218
1.0023, 8058.73, 1.1349, 1.6532, 1.0638, 0.7541, 1.1349
,
Interpolated f and MTF, Region 1 of 1 total
freq(C/P),MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0250, 0.5303, 0.5314, 0.5252, 0.5791, 0.5303
0.0500, 0.0456, 0.0496, 0.0452, 0.0611, 0.0456
0.0750, 0.0295, 0.0815, 0.0469, 0.0594, 0.0295
0.1000, 0.0666, 0.0236, 0.0997, 0.0638, 0.0666
0.1250, 0.0359, 0.0365, 0.0420, 0.0732, 0.0359
0.1500, 0.0383, 0.1023, 0.0422, 0.0891, 0.0383
0.1750, 0.0730, 0.1532, 0.0574, 0.0993, 0.0730
0.2000, 0.0250, 0.0425, 0.0239, 0.0600, 0.0250
0.2250, 0.0880, 0.0788, 0.1290, 0.0887, 0.0880
0.2500, 0.0345, 0.0574, 0.0305, 0.0886, 0.0345
0.2750, 0.0248, 0.1467, 0.0357, 0.0588, 0.0248
0.3000, 0.0641, 0.1003, 0.0611, 0.0538, 0.0641
0.3250, 0.0449, 0.1507, 0.0322, 0.0604, 0.0449
0.3500, 0.0361, 0.0495, 0.0393, 0.0835, 0.0361
0.3750, 0.0679, 0.0930, 0.0725, 0.0610, 0.0679
0.4000, 0.0681, 0.0482, 0.0721, 0.1310, 0.0681
0.4250, 0.0804, 0.0704, 0.0859, 0.0616, 0.0804
0.4500, 0.0427, 0.0515, 0.0426, 0.0373, 0.0427
0.4750, 0.1023, 0.0718, 0.1140, 0.1035, 0.1023
0.5000, 0.1032, 0.1242, 0.1070, 0.0647, 0.1032
0.5500, 0.0568, 0.0998, 0.0510, 0.0621, 0.0568
0.6000, 0.0490, 0.0275, 0.0528, 0.0939, 0.0490
0.6500, 0.0849, 0.1808, 0.0626, 0.1455, 0.0849
0.7000, 0.0736, 0.2241, 0.1052, 0.2721, 0.0736
0.7500, 0.1113, 0.3691, 0.0563, 0.1047, 0.1113
0.8000, 0.0230, 0.2896, 0.1064, 0.1067, 0.0230
0.8500, 0.2627, 0.4284, 0.4995, 0.1596, 0.2627
0.9000, 0.2356, 0.0658, 0.3180, 0.1044, 0.2356
0.9500, 0.2239, 0.6094, 0.3453, 0.9345, 0.2239
1.0000, 1.1316, 1.4924, 1.1207, 0.7035, 1.1316

Edge profile, Region 1 of 1 total
x (pixels),R Edge, G Edge, B Edge, Y Edge,CA (max Delta)
-11.97, 0.020, 0.037, 0.016, 0.032, 0.021
-11.47, 0.064, 0.064, 0.054, 0.063, 0.009
-10.97, 0.038, 0.053, 0.038, 0.049, 0.015
-10.48, 0.083, 0.081, 0.072, 0.081, 0.011
-9.98, 0.067, 0.073, 0.068, 0.071, 0.006
-9.48, 0.115, 0.109, 0.093, 0.109, 0.022
-8.98, 0.112, 0.105, 0.095, 0.106, 0.016
-8.48, 0.163, 0.155, 0.127, 0.155, 0.035
-7.98, 0.157, 0.138, 0.129, 0.141, 0.028
-7.48, 0.196, 0.194, 0.180, 0.194, 0.017
-6.98, 0.189, 0.169, 0.157, 0.172, 0.032
-6.48, 0.224, 0.215, 0.204, 0.216, 0.020
-5.99, 0.223, 0.213, 0.208, 0.214, 0.016
-5.49, 0.286, 0.262, 0.245, 0.266, 0.041
-4.99, 0.271, 0.261, 0.263, 0.263, 0.010
-4.49, 0.311, 0.293, 0.284, 0.296, 0.027
-3.99, 0.310, 0.307, 0.304, 0.307, 0.006
-3.49, 0.336, 0.338, 0.331, 0.337, 0.007
-2.99, 0.363, 0.337, 0.365, 0.345, 0.028
-2.49, 0.383, 0.386, 0.381, 0.385, 0.005
-2.00, 0.412, 0.376, 0.444, 0.389, 0.068
-1.50, 0.444, 0.435, 0.426, 0.436, 0.018
-1.00, 0.444, 0.413, 0.475, 0.424, 0.061
-0.50, 0.485, 0.488, 0.486, 0.487, 0.003
 0.00, 0.505, 0.486, 0.522, 0.493, 0.035
 0.50, 0.546, 0.537, 0.533, 0.539, 0.013
 1.00, 0.559, 0.558, 0.567, 0.558, 0.009
 1.50, 0.606, 0.584, 0.573, 0.588, 0.032
 2.00, 0.589, 0.607, 0.617, 0.604, 0.027
 2.49, 0.649, 0.642, 0.637, 0.643, 0.012
 2.99, 0.651, 0.642, 0.675, 0.647, 0.033
 3.49, 0.700, 0.683, 0.696, 0.688, 0.017
 3.99, 0.714, 0.676, 0.725, 0.688, 0.049
 4.49, 0.745, 0.718, 0.737, 0.725, 0.027
 4.99, 0.753, 0.739, 0.778, 0.745, 0.038
 5.49, 0.792, 0.765, 0.773, 0.771, 0.027
 5.99, 0.794, 0.780, 0.807, 0.785, 0.027
 6.48, 0.834, 0.796, 0.832, 0.807, 0.038
 6.98, 0.852, 0.816, 0.842, 0.826, 0.036
 7.48, 0.879, 0.821, 0.887, 0.838, 0.066
 7.98, 0.901, 0.863, 0.918, 0.875, 0.055
 8.48, 0.926, 0.877, 0.945, 0.892, 0.069
 8.98, 0.902, 0.904, 0.958, 0.907, 0.056
 9.48, 0.943, 0.910, 0.986, 0.923, 0.075
 9.98, 0.903, 0.939, 0.968, 0.934, 0.065
10.48, 0.951, 0.951, 1.012, 0.956, 0.061
10.97, 0.953, 0.982, 0.991, 0.977, 0.038
11.47, 0.964, 0.971, 0.982, 0.970, 0.018
11.97, 0.956, 0.990, 0.990, 0.983, 0.034
12.47, 0.978, 0.985, 1.004, 0.985, 0.026
12.97, 0.975, 1.018, 1.006, 1.008, 0.043
13.47, 1.007, 1.008, 1.021, 1.009, 0.013
13.97, 0.990, 1.031, 1.015, 1.021, 0.041
14.47, 1.037, 1.020, 1.025, 1.024, 0.017
14.97, 0.991, 1.035, 1.043, 1.026, 0.052
15.46, 1.032, 1.021, 1.019, 1.023, 0.013
15.96, 0.991, 1.001, 1.051, 1.003, 0.059
16.46, 1.001, 1.007, 1.025, 1.007, 0.024
16.96, 1.030, 1.000, 1.059, 1.011, 0.059
17.46, 1.009, 1.014, 1.051, 1.016, 0.042
17.96, 1.038, 1.011, 1.050, 1.020, 0.038

Level and noise analysis (pixel levels: gamma-encoded and linear) for ROI 1 of 1 total
Dark pixel level  ,   16.1
Light pixel level ,   33.2
Dark level linear , 0.0040
Light level linear,  0.017

Slice orientation,Horiz (V-edge),(Profile)
Image WxH & Mpxls,6024,4020,24.216
lens_to_chart_distance_cm, 205
ROI,7.9% below-R of ctr
ROI WxH pixels,109,200
ROI boundary L T R B,3219,2030,3327,2229
Edge center,3271.12697,2130.50000, pixels from upper-right
Edge angle,3.907
Channel,Y
Linearization method,Input gamma value
Gamma,0.500
Chart contrast,4
Pixels per inch,0.00000
Pixels per mm,0.0000
um per pixel,0.000
MTF50 Cy/pxl, 0.026
MTF50 LW/PH,   210
MTF50 Cy/Pxl, 0.026
MTF50P Cy/pxl, 0.026
MTF50P LW/PH,   210
MTF50P Cy/Pxl, 0.026
MTF30 Cy/pxl, 0.034
MTF30 LW/PH,   274
MTF30 Cy/Pxl, 0.034
MTF30P Cy/pxl, 0.034
MTF30P LW/PH,   274
MTF30P Cy/Pxl, 0.034
MTF20 Cy/pxl, 0.038
MTF20 LW/PH,   309
MTF20 Cy/Pxl, 0.038
MTF20P Cy/pxl, 0.038
MTF20P LW/PH,   309
MTF20P Cy/Pxl, 0.038
MTF Area Pk Norml Cy/pxl, 0.052
MTF Area Pk Norml LW/PH,   416
MTF Area Pk Norml Cy/Pxl, 0.052
MTF at Nyquist, 0.103
MTF50 Red Cy/pxl, 0.026
MTF50 Red Cy/Pxl, 0.026
MTF50 Green Cy/pxl, 0.026
MTF50 Green Cy/Pxl, 0.026
MTF50 Blue Cy/pxl, 0.028
MTF50 Blue Cy/Pxl, 0.028
Undersharpening %,23.165
MTF50,0.0261 Cy/Pxl,Secondary readout 
Rise 10-90 pxls,17.906
Rise 10-80 pxls,15.473
Rise 10-70 pxls,13.278
Rise 20-80 pxls,12.982
Rise 20-70 pxls,10.787
Rises 10-90 per PH,224.5009
Rises 10-80 per PH,259.8086
Rises 10-70 per PH,302.7600
Rises 20-80 per PH,309.6509
Rises 20-70 per PH,372.6612
R1090 Red pxls, 17.43
R1090 Green pxls, 18.01
R1090 Blue pxls, 16.44
R1090 Lum pxls, 17.91
Sharpening radius,NaN
Overshoot %,4.965
Undershoot %,3.025
Dk & lt lvls,16.071, 33.2179
Lt/dk,2.067
Chromatic Aberration Area (pxls), 0.437
CA Crossing (pxls), 0.430
CA Crossing R-G (pixels),  0.242,Horiz (V-edge)
CA Crossing B-G (pixels),  0.490,Horiz (V-edge)
ESFR Calculation Setting,Imatest 22.1 (recommended)
ESFR Apodization Function Setting,Tukey (Alpha = 1.0)
ESFR Edge Fit Order,5
ESFR Non-Uniformity Correction Setting,0
ESFR Modified Apodization Setting,1

Exif data
File Modification Date/Time     , 2025:04:22 20:52:43+02:00
Image Width                     , 6024
Image Height                    , 4020
