Imatest,24.2.6, Master, SFR
File,potted plant_18.0 mm_100ISO_0EV_Dist2_OFF_Defocus1.tiff
Run date,12-May-2025 15:01:45,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0092,   74.10, 0.9813, 0.9815, 0.9806, 0.9884, 0.9813
0.0184,  148.21, 0.9197, 0.9204, 0.9175, 0.9400, 0.9197
0.0277,  222.31, 0.8298, 0.8306, 0.8259, 0.8682, 0.8298
0.0369,  296.41, 0.7337, 0.7363, 0.7281, 0.7851, 0.7337
0.0461,  370.51, 0.6421, 0.6334, 0.6380, 0.7101, 0.6421
0.0553,  444.62, 0.5461, 0.5124, 0.5455, 0.6494, 0.5461
0.0645,  518.72, 0.4481, 0.4092, 0.4480, 0.5588, 0.4481
0.0737,  592.82, 0.3537, 0.3129, 0.3555, 0.4496, 0.3537
0.0830,  666.92, 0.2624, 0.2425, 0.2577, 0.3741, 0.2624
0.0922,  741.03, 0.1897, 0.2167, 0.1709, 0.3144, 0.1897
0.1014,  815.13, 0.1300, 0.1437, 0.1149, 0.2480, 0.1300
0.1106,  889.23, 0.0854, 0.0735, 0.0800, 0.2052, 0.0854
0.1198,  963.33, 0.0574, 0.0654, 0.0482, 0.1517, 0.0574
0.1290, 1037.44, 0.0370, 0.0270, 0.0385, 0.0893, 0.0370
0.1383, 1111.54, 0.0267, 0.0238, 0.0360, 0.0618, 0.0267
0.1475, 1185.64, 0.0167, 0.0182, 0.0185, 0.0510, 0.0167
0.1567, 1259.74, 0.0280, 0.0126, 0.0443, 0.0406, 0.0280
0.1659, 1333.85, 0.0436, 0.0118, 0.0618, 0.0381, 0.0436
0.1751, 1407.95, 0.0354, 0.0210, 0.0460, 0.0371, 0.0354
0.1843, 1482.05, 0.0352, 0.0356, 0.0421, 0.0270, 0.0352
0.1936, 1556.16, 0.0490, 0.0507, 0.0594, 0.0151, 0.0490
0.2028, 1630.26, 0.0514, 0.0568, 0.0627, 0.0328, 0.0514
0.2120, 1704.36, 0.0409, 0.0442, 0.0516, 0.0353, 0.0409
0.2212, 1778.46, 0.0308, 0.0361, 0.0376, 0.0319, 0.0308
0.2304, 1852.57, 0.0264, 0.0229, 0.0286, 0.0565, 0.0264
0.2396, 1926.67, 0.0278, 0.0099, 0.0325, 0.0611, 0.0278
