Imatest,24.2.6, Master, SFR
File,potted plant_18.0 mm_1600ISO_+1EV_Dist2_OFF_Defocus1.tiff
Run date,07-May-2025 11:44:40,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+18/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0072,   58.11, 0.9966, 0.9854, 1.0015, 0.9822, 0.9966
0.0145,  116.23, 0.9752, 0.9447, 0.9895, 0.9239, 0.9752
0.0217,  174.34, 0.9283, 0.8853, 0.9479, 0.8613, 0.9283
0.0289,  232.46, 0.8579, 0.8589, 0.8640, 0.8016, 0.8579
0.0361,  290.57, 0.7727, 0.8457, 0.7567, 0.7350, 0.7727
0.0434,  348.68, 0.6743, 0.7543, 0.6505, 0.6980, 0.6743
0.0506,  406.80, 0.5828, 0.6180, 0.5650, 0.6710, 0.5828
0.0578,  464.91, 0.5003, 0.4796, 0.4947, 0.6212, 0.5003
0.0651,  523.03, 0.4280, 0.4285, 0.4163, 0.5410, 0.4280
0.0723,  581.14, 0.3799, 0.4024, 0.3688, 0.4378, 0.3799
0.0795,  639.25, 0.3277, 0.2954, 0.3382, 0.3382, 0.3277
0.0867,  697.37, 0.2744, 0.2589, 0.2837, 0.3010, 0.2744
0.0940,  755.48, 0.2150, 0.2257, 0.2064, 0.2898, 0.2150
0.1012,  813.60, 0.1618, 0.1801, 0.1513, 0.2140, 0.1618
0.1084,  871.71, 0.1324, 0.1279, 0.1346, 0.1736, 0.1324
0.1156,  929.82, 0.0965, 0.1164, 0.0828, 0.2091, 0.0965
0.1229,  987.94, 0.0513, 0.1186, 0.0241, 0.2126, 0.0513
0.1301, 1046.05, 0.0487, 0.0558, 0.0446, 0.1584, 0.0487
0.1373, 1104.17, 0.0888, 0.0850, 0.0899, 0.1259, 0.0888
0.1446, 1162.28, 0.1108, 0.1750, 0.0973, 0.1002, 0.1108
0.1518, 1220.39, 0.1132, 0.1748, 0.1121, 0.0877, 0.1132
0.1590, 1278.51, 0.0896, 0.1047, 0.0980, 0.0861, 0.0896
0.1662, 1336.62, 0.0605, 0.1260, 0.0949, 0.0486, 0.0605
0.1735, 1394.74, 0.0222, 0.2863, 0.0923, 0.1415, 0.0222
0.1807, 1452.85, 0.0164, 0.2329, 0.0762, 0.1465, 0.0164
0.1879, 1510.96, 0.0450, 0.0878, 0.0466, 0.0745, 0.0450
0.1952, 1569.08, 0.0717, 0.0284, 0.0857, 0.0849, 0.0717
0.2024, 1627.19, 0.1282, 0.1714, 0.1667, 0.1178, 0.1282
0.2096, 1685.31, 0.1173, 0.1881, 0.1959, 0.0450, 0.1173
0.2168, 1743.42, 0.0930, 0.2217, 0.1833, 0.0705, 0.0930
0.2241, 1801.53, 0.0987, 0.2631, 0.1691, 0.1201, 0.0987
0.2313, 1859.65, 0.0780, 0.2218, 0.1276, 0.1076, 0.0780
0.2385, 1917.76, 0.0403, 0.2265, 0.0600, 0.0751, 0.0403
0.2458, 1975.88, 0.0289, 0.2438, 0.0378, 0.0343, 0.0289
0.2530, 2033.99, 0.0208, 0.2527, 0.0519, 0.0700, 0.0208
0.2602, 2092.10, 0.0384, 0.2323, 0.0641, 0.1250, 0.0384
0.2674, 2150.22, 0.0345, 0.1357, 0.0446, 0.1048, 0.0345
0.2747, 2208.33, 0.0105, 0.0613, 0.0070, 0.0566, 0.0105
0.2819, 2266.45, 0.0208, 0.0835, 0.0049, 0.0386, 0.0208
0.2891, 2324.56, 0.0189, 0.0630, 0.0102, 0.0541, 0.0189
0.2964, 2382.67, 0.0077, 0.0462, 0.0156, 0.0513, 0.0077
0.3036, 2440.79, 0.0336, 0.1074, 0.0433, 0.0331, 0.0336
0.3108, 2498.90, 0.0599, 0.1646, 0.0541, 0.0394, 0.0599
0.3180, 2557.02, 0.0718, 0.1655, 0.0556, 0.0668, 0.0718
0.3253, 2615.13, 0.0635, 0.1180, 0.0468, 0.0864, 0.0635
0.3325, 2673.24, 0.0480, 0.0478, 0.0453, 0.0868, 0.0480
0.3397, 2731.36, 0.0414, 0.0289, 0.0437, 0.0718, 0.0414
0.3469, 2789.47, 0.0425, 0.0396, 0.0419, 0.0680, 0.0425
0.3542, 2847.59, 0.0286, 0.0366, 0.0261, 0.0658, 0.0286
0.3614, 2905.70, 0.0343, 0.0822, 0.0192, 0.0700, 0.0343
0.3686, 2963.81, 0.0680, 0.1294, 0.0513, 0.0864, 0.0680
0.3759, 3021.93, 0.0958, 0.1411, 0.0862, 0.1053, 0.0958
0.3831, 3080.04, 0.1056, 0.1089, 0.1094, 0.1207, 0.1056
0.3903, 3138.16, 0.1030, 0.0626, 0.1229, 0.1212, 0.1030
0.3975, 3196.27, 0.1062, 0.0424, 0.1406, 0.1065, 0.1062
0.4048, 3254.38, 0.1140, 0.0155, 0.1565, 0.0941, 0.1140
0.4120, 3312.50, 0.1146, 0.0351, 0.1553, 0.0845, 0.1146
0.4192, 3370.61, 0.0969, 0.0711, 0.1273, 0.0630, 0.0969
0.4265, 3428.73, 0.0675, 0.0891, 0.0828, 0.0316, 0.0675
0.4337, 3486.84, 0.0415, 0.0953, 0.0459, 0.0043, 0.0415
0.4409, 3544.95, 0.0279, 0.0936, 0.0383, 0.0226, 0.0279
0.4481, 3603.07, 0.0397, 0.0831, 0.0529, 0.0406, 0.0397
0.4554, 3661.18, 0.0562, 0.0899, 0.0601, 0.0467, 0.0562
0.4626, 3719.30, 0.0603, 0.0856, 0.0567, 0.0456, 0.0603
0.4698, 3777.41, 0.0509, 0.0657, 0.0486, 0.0491, 0.0509
0.4771, 3835.52, 0.0546, 0.0894, 0.0428, 0.0721, 0.0546
0.4843, 3893.64, 0.0697, 0.0877, 0.0648, 0.0847, 0.0697
0.4915, 3951.75, 0.0590, 0.0371, 0.0676, 0.0692, 0.0590
0.4987, 4009.87, 0.0651, 0.0200, 0.0817, 0.0742, 0.0651
0.5060, 4067.98, 0.0768, 0.0241, 0.0952, 0.0878, 0.0768
0.5132, 4126.09, 0.0700, 0.0269, 0.0837, 0.0931, 0.0700
0.5204, 4184.21, 0.0643, 0.0532, 0.0653, 0.1118, 0.0643
0.5277, 4242.32, 0.0883, 0.1126, 0.0791, 0.1268, 0.0883
0.5349, 4300.44, 0.1063, 0.1383, 0.0992, 0.1157, 0.1063
0.5421, 4358.55, 0.0994, 0.1074, 0.1029, 0.0778, 0.0994
0.5493, 4416.66, 0.1007, 0.0789, 0.1144, 0.0619, 0.1007
0.5566, 4474.78, 0.1019, 0.0686, 0.1315, 0.0660, 0.1019
0.5638, 4532.89, 0.0799, 0.0947, 0.1264, 0.0473, 0.0799
0.5710, 4591.01, 0.0581, 0.1183, 0.1097, 0.0388, 0.0581
0.5782, 4649.12, 0.0511, 0.1091, 0.0967, 0.0560, 0.0511
0.5855, 4707.23, 0.0540, 0.0714, 0.0841, 0.0620, 0.0540
0.5927, 4765.35, 0.0351, 0.0500, 0.0442, 0.0472, 0.0351
0.5999, 4823.46, 0.0126, 0.0544, 0.0038, 0.0322, 0.0126
0.6072, 4881.58, 0.0185, 0.1024, 0.0477, 0.0265, 0.0185
0.6144, 4939.69, 0.0486, 0.1163, 0.0906, 0.0123, 0.0486
0.6216, 4997.80, 0.0898, 0.0859, 0.1301, 0.0449, 0.0898
0.6288, 5055.92, 0.1371, 0.0470, 0.1716, 0.1063, 0.1371
0.6361, 5114.03, 0.1723, 0.0870, 0.2007, 0.1538, 0.1723
0.6433, 5172.15, 0.1800, 0.1470, 0.1979, 0.1627, 0.1800
0.6505, 5230.26, 0.1696, 0.1958, 0.1722, 0.1374, 0.1696
0.6578, 5288.37, 0.1460, 0.1979, 0.1399, 0.1069, 0.1460
0.6650, 5346.49, 0.0988, 0.1582, 0.0888, 0.0939, 0.0988
0.6722, 5404.60, 0.0493, 0.1202, 0.0321, 0.1100, 0.0493
0.6794, 5462.72, 0.0243, 0.1231, 0.0100, 0.1114, 0.0243
0.6867, 5520.83, 0.0181, 0.1571, 0.0342, 0.1371, 0.0181
0.6939, 5578.94, 0.0288, 0.2017, 0.0375, 0.1837, 0.0288
0.7011, 5637.06, 0.0532, 0.2254, 0.0404, 0.1930, 0.0532
0.7084, 5695.17, 0.0856, 0.2140, 0.0618, 0.1661, 0.0856
0.7156, 5753.29, 0.0982, 0.2103, 0.0643, 0.1182, 0.0982
0.7228, 5811.40, 0.0908, 0.2632, 0.0567, 0.1104, 0.0908
0.7300, 5869.51, 0.0669, 0.3298, 0.0737, 0.1686, 0.0669
0.7373, 5927.63, 0.0349, 0.3486, 0.1152, 0.2145, 0.0349
0.7445, 5985.74, 0.0384, 0.3163, 0.1461, 0.2229, 0.0384
0.7517, 6043.86, 0.0586, 0.2514, 0.1492, 0.2048, 0.0586
0.7590, 6101.97, 0.0710, 0.2023, 0.1328, 0.1761, 0.0710
0.7662, 6160.08, 0.0808, 0.2158, 0.1088, 0.1486, 0.0808
0.7734, 6218.20, 0.0964, 0.3367, 0.0810, 0.1331, 0.0964
0.7806, 6276.31, 0.1169, 0.4641, 0.0606, 0.1406, 0.1169
0.7879, 6334.43, 0.1257, 0.5372, 0.0456, 0.1785, 0.1257
0.7951, 6392.54, 0.1336, 0.5950, 0.0751, 0.2116, 0.1336
0.8023, 6450.65, 0.1817, 0.6561, 0.1362, 0.2512, 0.1817
0.8095, 6508.77, 0.2655, 0.6880, 0.2299, 0.3282, 0.2655
0.8168, 6566.88, 0.3515, 0.7008, 0.3220, 0.4041, 0.3515
0.8240, 6625.00, 0.3823, 0.6530, 0.3571, 0.4865, 0.3823
0.8312, 6683.11, 0.3855, 0.5357, 0.3810, 0.5601, 0.3855
0.8385, 6741.22, 0.3667, 0.3581, 0.4038, 0.5537, 0.3667
0.8457, 6799.34, 0.2885, 0.1812, 0.3666, 0.4787, 0.2885
0.8529, 6857.45, 0.1953, 0.2502, 0.2914, 0.3811, 0.1953
0.8601, 6915.57, 0.1043, 0.3984, 0.2117, 0.2571, 0.1043
0.8674, 6973.68, 0.0436, 0.4917, 0.1708, 0.2311, 0.0436
0.8746, 7031.79, 0.0685, 0.4799, 0.1997, 0.2870, 0.0685
0.8818, 7089.91, 0.0913, 0.4912, 0.1818, 0.3580, 0.0913
0.8891, 7148.02, 0.1034, 0.7034, 0.1273, 0.4409, 0.1034
0.8963, 7206.13, 0.1577, 0.9383, 0.1121, 0.4766, 0.1577
0.9035, 7264.25, 0.2010, 0.9285, 0.1242, 0.3742, 0.2010
0.9107, 7322.36, 0.2101, 0.8242, 0.1193, 0.2519, 0.2101
0.9180, 7380.48, 0.2031, 0.7971, 0.0577, 0.1579, 0.2031
0.9252, 7438.59, 0.2096, 0.6269, 0.1189, 0.1276, 0.2096
0.9324, 7496.70, 0.1618, 0.2831, 0.1889, 0.4424, 0.1618
0.9397, 7554.82, 0.0366, 0.3235, 0.1359, 0.5935, 0.0366
0.9469, 7612.93, 0.0950, 0.5251, 0.0595, 0.6525, 0.0950
0.9541, 7671.05, 0.1986, 0.6213, 0.1001, 0.6815, 0.1986
0.9613, 7729.16, 0.3066, 0.7643, 0.1641, 0.6155, 0.3066
0.9686, 7787.27, 0.3434, 0.8548, 0.2051, 0.5270, 0.3434
0.9758, 7845.39, 0.2866, 0.7493, 0.2308, 0.3985, 0.2866
0.9830, 7903.50, 0.2528, 0.9497, 0.2045, 0.3521, 0.2528
0.9903, 7961.62, 0.2975, 1.4124, 0.1188, 0.3868, 0.2975
0.9975, 8019.73, 0.4105, 1.8321, 0.0295, 0.3015, 0.4105
,
Interpolated f and MTF, Region 1 of 1 total
freq(C/P),MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0250, 0.8960, 0.8732, 0.9095, 0.8339, 0.8960
0.0500, 0.5904, 0.6292, 0.5721, 0.6733, 0.5904
0.0750, 0.3603, 0.3621, 0.3573, 0.4003, 0.3603
0.1000, 0.1706, 0.1876, 0.1604, 0.2265, 0.1706
