Imatest,24.2.6, Master, SFR
File,potted plant_18.0 mm_1600ISO_-2EV_Dist2_ON_Defocus2.tiff
Run date,12-May-2025 15:11:30,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0092,   73.86, 0.9244, 0.9521, 0.9147, 0.9384, 0.9244
0.0184,  147.71, 0.7279, 0.7538, 0.7236, 0.7090, 0.7279
0.0276,  221.57, 0.4879, 0.4167, 0.5208, 0.4072, 0.4879
0.0367,  295.43, 0.2297, 0.1653, 0.2484, 0.2962, 0.2297
0.0459,  369.28, 0.0449, 0.2678, 0.0883, 0.2559, 0.0449
0.0551,  443.14, 0.0818, 0.1815, 0.1409, 0.0231, 0.0818
0.0643,  517.00, 0.1446, 0.0277, 0.2096, 0.2608, 0.1446
0.0735,  590.85, 0.0940, 0.1146, 0.1721, 0.2801, 0.0940
0.0827,  664.71, 0.0192, 0.1712, 0.0570, 0.1415, 0.0192
0.0919,  738.57, 0.0320, 0.3650, 0.1448, 0.0735, 0.0320
0.1010,  812.42, 0.0818, 0.0800, 0.1371, 0.1487, 0.0818
0.1102,  886.28, 0.1411, 0.2713, 0.2121, 0.1950, 0.1411
0.1194,  960.14, 0.2108, 0.5280, 0.2106, 0.2482, 0.2108
0.1286, 1033.99, 0.1757, 0.4576, 0.1576, 0.5181, 0.1757
0.1378, 1107.85, 0.1036, 0.0193, 0.0993, 0.5461, 0.1036
0.1470, 1181.71, 0.1588, 0.3160, 0.1550, 0.3953, 0.1588
0.1562, 1255.56, 0.0450, 0.6620, 0.2919, 0.4417, 0.0450
0.1654, 1329.42, 0.1357, 0.8864, 0.2303, 0.2795, 0.1357
0.1745, 1403.28, 0.0178, 0.6668, 0.2320, 0.1375, 0.0178
0.1837, 1477.13, 0.0934, 0.4113, 0.2599, 0.1942, 0.0934
0.1929, 1550.99, 0.1885, 0.5931, 0.3155, 0.2995, 0.1885
0.2021, 1624.85, 0.3693, 0.6149, 0.5193, 0.4972, 0.3693
0.2113, 1698.70, 0.3104, 0.2025, 0.4626, 0.5602, 0.3104
0.2205, 1772.56, 0.1779, 0.1609, 0.2610, 0.5288, 0.1779
0.2297, 1846.42, 0.1255, 0.1668, 0.1171, 0.4772, 0.1255
0.2388, 1920.27, 0.0651, 0.1374, 0.0557, 0.3734, 0.0651
0.2480, 1994.13, 0.2491, 0.3807, 0.2209, 0.2673, 0.2491
0.2572, 2067.99, 0.4092, 0.5276, 0.3807, 0.5603, 0.4092
0.2664, 2141.84, 0.4810, 0.4511, 0.5471, 0.4719, 0.4810
0.2756, 2215.70, 0.2961, 0.2722, 0.3746, 0.2473, 0.2961
0.2848, 2289.56, 0.1254, 0.0380, 0.1774, 0.1658, 0.1254
0.2940, 2363.41, 0.2534, 0.1774, 0.2907, 0.1375, 0.2534
0.3031, 2437.27, 0.3802, 0.4367, 0.4081, 0.1494, 0.3802
0.3123, 2511.13, 0.3463, 0.3903, 0.3927, 0.2322, 0.3463
0.3215, 2584.98, 0.4261, 0.2554, 0.5184, 0.1339, 0.4261
0.3307, 2658.84, 0.1135, 0.1838, 0.1114, 0.0711, 0.1135
0.3399, 2732.69, 0.4164, 0.2969, 0.4913, 0.4381, 0.4164
0.3491, 2806.55, 0.6979, 0.7970, 0.6859, 0.7159, 0.6979
0.3583, 2880.41, 0.6863, 1.0645, 0.6062, 0.5797, 0.6863
0.3674, 2954.26, 0.4313, 0.5746, 0.4089, 0.2906, 0.4313
0.3766, 3028.12, 0.2499, 0.3357, 0.2176, 0.3286, 0.2499
0.3858, 3101.98, 0.2147, 0.3073, 0.2075, 0.2248, 0.2147
0.3950, 3175.83, 0.2079, 0.1859, 0.2234, 0.2899, 0.2079
0.4042, 3249.69, 0.2254, 0.0720, 0.2894, 0.3947, 0.2254
0.4134, 3323.55, 0.1367, 0.1759, 0.1919, 0.2936, 0.1367
0.4226, 3397.40, 0.1031, 0.0507, 0.1471, 0.0964, 0.1031
0.4317, 3471.26, 0.2389, 0.1643, 0.2640, 0.2549, 0.2389
0.4409, 3545.12, 0.2877, 0.3265, 0.2784, 0.3123, 0.2877
0.4501, 3618.97, 0.2147, 0.2946, 0.2310, 0.1016, 0.2147
0.4593, 3692.83, 0.2403, 0.1668, 0.2851, 0.2043, 0.2403
0.4685, 3766.69, 0.1357, 0.0181, 0.1830, 0.1055, 0.1357
0.4777, 3840.54, 0.2575, 0.0747, 0.3070, 0.3492, 0.2575
0.4869, 3914.40, 0.1874, 0.0929, 0.2061, 0.3274, 0.1874
0.4961, 3988.26, 0.0969, 0.2469, 0.0846, 0.0048, 0.0969
0.5052, 4062.11, 0.1250, 0.3321, 0.0877, 0.1322, 0.1250
0.5144, 4135.97, 0.2292, 0.4015, 0.2218, 0.2702, 0.2292
0.5236, 4209.83, 0.3736, 0.4667, 0.3993, 0.0779, 0.3736
0.5328, 4283.68, 0.2246, 0.3022, 0.2145, 0.2173, 0.2246
0.5420, 4357.54, 0.3012, 0.4180, 0.3009, 0.4012, 0.3012
0.5512, 4431.40, 0.4496, 0.3815, 0.4927, 0.5859, 0.4496
0.5604, 4505.25, 0.2938, 0.2676, 0.3324, 0.4501, 0.2938
