Imatest,24.2.6, Master, SFR
File,potted plant_18.0 mm_1600ISO_0EV_Dist2_ON_Focused.tiff
Run date,12-May-2025 15:01:45,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0092,   74.10, 0.9989, 0.9867, 1.0030, 0.9943, 0.9989
0.0184,  148.20, 0.9805, 0.9270, 0.9988, 0.9540, 0.9805
0.0276,  222.29, 0.9455, 0.8715, 0.9714, 0.9056, 0.9455
0.0369,  296.39, 0.9209, 0.8682, 0.9429, 0.8728, 0.9209
0.0461,  370.49, 0.9160, 0.8660, 0.9374, 0.8528, 0.9160
0.0553,  444.59, 0.8925, 0.8196, 0.9203, 0.8250, 0.8925
0.0645,  518.69, 0.8462, 0.7461, 0.8831, 0.7656, 0.8462
0.0737,  592.78, 0.8046, 0.7538, 0.8275, 0.7242, 0.8046
0.0829,  666.88, 0.7766, 0.7577, 0.7935, 0.6832, 0.7766
0.0922,  740.98, 0.7840, 0.7194, 0.8246, 0.6332, 0.7840
0.1014,  815.08, 0.7845, 0.7754, 0.8141, 0.5902, 0.7845
0.1106,  889.18, 0.7632, 0.8324, 0.7732, 0.5434, 0.7632
0.1198,  963.27, 0.7322, 0.7711, 0.7470, 0.5869, 0.7322
0.1290, 1037.37, 0.6672, 0.7024, 0.6749, 0.6450, 0.6672
0.1382, 1111.47, 0.5980, 0.6627, 0.6011, 0.5925, 0.5980
0.1475, 1185.57, 0.5547, 0.6874, 0.5466, 0.5091, 0.5547
0.1567, 1259.67, 0.5054, 0.7275, 0.4624, 0.4628, 0.5054
0.1659, 1333.76, 0.5088, 0.6837, 0.4749, 0.4315, 0.5088
0.1751, 1407.86, 0.5319, 0.5508, 0.5391, 0.4281, 0.5319
0.1843, 1481.96, 0.4748, 0.4136, 0.4957, 0.4551, 0.4748
0.1935, 1556.06, 0.4202, 0.3778, 0.4341, 0.4194, 0.4202
0.2028, 1630.16, 0.3844, 0.3904, 0.3868, 0.3500, 0.3844
0.2120, 1704.25, 0.3460, 0.3507, 0.3504, 0.2974, 0.3460
0.2212, 1778.35, 0.3311, 0.2921, 0.3439, 0.3167, 0.3311
0.2304, 1852.45, 0.2973, 0.2337, 0.3116, 0.3343, 0.2973
0.2396, 1926.55, 0.2550, 0.2356, 0.2571, 0.3194, 0.2550
0.2488, 2000.65, 0.2526, 0.2643, 0.2470, 0.3234, 0.2526
0.2581, 2074.74, 0.2312, 0.2261, 0.2307, 0.3008, 0.2312
0.2673, 2148.84, 0.2444, 0.2841, 0.2340, 0.2985, 0.2444
0.2765, 2222.94, 0.2658, 0.3065, 0.2548, 0.2983, 0.2658
0.2857, 2297.04, 0.2374, 0.2340, 0.2386, 0.2631, 0.2374
0.2949, 2371.14, 0.2311, 0.2445, 0.2284, 0.2367, 0.2311
0.3041, 2445.23, 0.2332, 0.2735, 0.2225, 0.2331, 0.2332
0.3133, 2519.33, 0.2111, 0.2472, 0.1985, 0.2362, 0.2111
