Imatest,24.2.6, Master, SFR
File,potted plant_18.0 mm_25600ISO_-3EV_Dist2_OFF_Defocus2.tiff
Run date,12-May-2025 15:31:28,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0092,   73.77, 0.8697, 0.9469, 0.9937, 0.8057, 0.8697
0.0184,  147.55, 0.5746, 0.6038, 0.4354, 0.4403, 0.5746
0.0275,  221.32, 0.4133, 0.5155, 0.4787, 0.3536, 0.4133
0.0367,  295.09, 0.3839, 0.5547, 1.0851, 0.3233, 0.3839
0.0459,  368.86, 0.4520, 0.4427, 1.0313, 0.2695, 0.4520
0.0551,  442.64, 0.4160, 0.4082, 0.5520, 0.2412, 0.4160
0.0642,  516.41, 0.1850, 0.5369, 1.8069, 0.2793, 0.1850
0.0734,  590.18, 0.5634, 0.7811, 3.0717, 0.2926, 0.5634
0.0826,  663.96, 0.9302, 1.0283, 3.6321, 0.2246, 0.9302
0.0918,  737.73, 1.1086, 0.9950, 4.2807, 0.2709, 1.1086
0.1009,  811.50, 1.4589, 0.9421, 5.5885, 0.3373, 1.4589
0.1101,  885.28, 1.6922, 1.0311, 6.3850, 0.2983, 1.6922
0.1193,  959.05, 1.4099, 0.7737, 5.9779, 0.1691, 1.4099
0.1285, 1032.82, 0.8056, 0.3072, 4.5445, 0.1958, 0.8056
0.1376, 1106.59, 0.2880, 0.2885, 2.3102, 0.3587, 0.2880
0.1468, 1180.37, 0.4298, 0.2900, 0.7586, 0.4449, 0.4298
0.1560, 1254.14, 0.9145, 0.5694, 2.5607, 0.5181, 0.9145
0.1652, 1327.91, 1.2202, 0.7816, 4.1650, 0.5370, 1.2202
0.1743, 1401.69, 1.0972, 0.6450, 4.6107, 0.5060, 1.0972
0.1835, 1475.46, 0.7304, 0.3022, 4.1018, 0.4196, 0.7304
0.1927, 1549.23, 0.5087, 0.3575, 4.9720, 0.2430, 0.5087
0.2019, 1623.00, 0.2011, 0.6959, 5.1722, 0.3559, 0.2011
0.2110, 1696.78, 0.3030, 0.8438, 3.2647, 0.5525, 0.3030
0.2202, 1770.55, 0.7149, 0.9414, 4.4604, 0.5608, 0.7149
0.2294, 1844.32, 0.8475, 0.9841, 7.4128, 0.4278, 0.8475
0.2386, 1918.10, 0.7887, 0.7134, 8.0280, 0.4019, 0.7887
0.2477, 1991.87, 0.6660, 0.5557, 5.9582, 0.4498, 0.6660
0.2569, 2065.64, 0.3503, 0.6471, 3.3082, 0.4537, 0.3503
0.2661, 2139.42, 0.5036, 0.4235, 4.2351, 0.5473, 0.5036
0.2753, 2213.19, 0.9111, 0.5751, 5.8379, 0.6369, 0.9111
0.2844, 2286.96, 1.0335, 0.7930, 7.2497, 0.6089, 1.0335
0.2936, 2360.73, 1.4290, 0.5618, 9.3677, 0.4856, 1.4290
0.3028, 2434.51, 1.8337, 0.4310,10.3611, 0.3809, 1.8337
0.3120, 2508.28, 1.6637, 0.6510, 8.9319, 0.4053, 1.6637
0.3212, 2582.05, 1.1168, 0.5766, 6.3146, 0.4515, 1.1168
0.3303, 2655.83, 0.8371, 0.3270, 4.7889, 0.3972, 0.8371
0.3395, 2729.60, 0.8824, 0.3268, 4.8908, 0.3065, 0.8824
0.3487, 2803.37, 0.8362, 0.4536, 4.7456, 0.2731, 0.8362
0.3579, 2877.14, 0.4950, 0.5714, 2.8572, 0.2954, 0.4950
0.3670, 2950.92, 0.1165, 0.5912, 2.2011, 0.4370, 0.1165
0.3762, 3024.69, 0.7316, 0.4490, 5.5855, 0.5474, 0.7316
0.3854, 3098.46, 1.1355, 0.3668, 8.1606, 0.4989, 1.1355
