Imatest,24.2.6, Master, SFR
File,potted plant_18.0 mm_6400ISO_+1EV_Dist2_ON_Defocus1.tiff
Run date,07-May-2025 11:44:40,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+18/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0072,   58.03, 0.9940, 1.0074, 0.9900, 0.9975, 0.9940
0.0144,  116.07, 0.9633, 0.9946, 0.9543, 0.9690, 0.9633
0.0217,  174.10, 0.9075, 0.9323, 0.9011, 0.9074, 0.9075
0.0289,  232.14, 0.8211, 0.8200, 0.8187, 0.8607, 0.8211
0.0361,  290.17, 0.7187, 0.7180, 0.7106, 0.8695, 0.7187
0.0433,  348.20, 0.6430, 0.5923, 0.6512, 0.8264, 0.6430
0.0505,  406.24, 0.6109, 0.5160, 0.6319, 0.7134, 0.6109
0.0577,  464.27, 0.5644, 0.5688, 0.5647, 0.5915, 0.5644
0.0650,  522.31, 0.4353, 0.5927, 0.3976, 0.5107, 0.4353
0.0722,  580.34, 0.3347, 0.4421, 0.2976, 0.5125, 0.3347
0.0794,  638.37, 0.3353, 0.1543, 0.3893, 0.4781, 0.3353
0.0866,  696.41, 0.2765, 0.2136, 0.3298, 0.4021, 0.2765
0.0938,  754.44, 0.1484, 0.2811, 0.1202, 0.3390, 0.1484
0.1011,  812.48, 0.0592, 0.1865, 0.0085, 0.3945, 0.0592
0.1083,  870.51, 0.0628, 0.1867, 0.0690, 0.4098, 0.0628
0.1155,  928.54, 0.1090, 0.3717, 0.0773, 0.3024, 0.1090
0.1227,  986.58, 0.0598, 0.4094, 0.0721, 0.2480, 0.0598
0.1299, 1044.61, 0.0259, 0.3040, 0.1107, 0.1426, 0.0259
0.1371, 1102.65, 0.0480, 0.1355, 0.0864, 0.1851, 0.0480
0.1444, 1160.68, 0.0941, 0.3334, 0.1916, 0.2572, 0.0941
0.1516, 1218.71, 0.0892, 0.4465, 0.2439, 0.1995, 0.0892
0.1588, 1276.75, 0.0094, 0.2172, 0.0829, 0.2374, 0.0094
0.1660, 1334.78, 0.0409, 0.2189, 0.0664, 0.1979, 0.0409
0.1732, 1392.82, 0.0134, 0.1592, 0.0654, 0.0669, 0.0134
0.1805, 1450.85, 0.0898, 0.0169, 0.1317, 0.0705, 0.0898
0.1877, 1508.88, 0.1276, 0.0238, 0.1952, 0.2064, 0.1276
0.1949, 1566.92, 0.0803, 0.1695, 0.1747, 0.1975, 0.0803
0.2021, 1624.95, 0.0119, 0.3593, 0.1296, 0.1338, 0.0119
0.2093, 1682.99, 0.0908, 0.2886, 0.1492, 0.0707, 0.0908
0.2165, 1741.02, 0.1553, 0.2099, 0.2320, 0.0382, 0.1553
0.2238, 1799.05, 0.0874, 0.3396, 0.1317, 0.0689, 0.0874
0.2310, 1857.09, 0.1240, 0.3088, 0.1037, 0.1411, 0.1240
0.2382, 1915.12, 0.1283, 0.2180, 0.1047, 0.1682, 0.1283
0.2454, 1973.16, 0.1224, 0.2275, 0.0920, 0.1815, 0.1224
0.2526, 2031.19, 0.1434, 0.1976, 0.1570, 0.1644, 0.1434
0.2599, 2089.22, 0.2614, 0.2532, 0.3100, 0.1086, 0.2614
0.2671, 2147.26, 0.3099, 0.3943, 0.3401, 0.0209, 0.3099
0.2743, 2205.29, 0.2452, 0.3595, 0.2619, 0.0755, 0.2452
0.2815, 2263.32, 0.1653, 0.2479, 0.2010, 0.1490, 0.1653
0.2887, 2321.36, 0.0744, 0.1395, 0.1238, 0.1868, 0.0744
0.2959, 2379.39, 0.0187, 0.1437, 0.0444, 0.1549, 0.0187
0.3032, 2437.43, 0.1185, 0.2690, 0.0784, 0.1894, 0.1185
0.3104, 2495.46, 0.2436, 0.3917, 0.2092, 0.2373, 0.2436
0.3176, 2553.49, 0.3454, 0.4761, 0.3185, 0.2692, 0.3454
0.3248, 2611.53, 0.3849, 0.4963, 0.3617, 0.3056, 0.3849
0.3320, 2669.56, 0.3727, 0.4324, 0.3632, 0.3145, 0.3727
0.3393, 2727.60, 0.3117, 0.3241, 0.3150, 0.2847, 0.3117
0.3465, 2785.63, 0.2231, 0.2202, 0.2364, 0.2222, 0.2231
0.3537, 2843.66, 0.1206, 0.1402, 0.1502, 0.1478, 0.1206
0.3609, 2901.70, 0.0623, 0.1106, 0.1009, 0.1641, 0.0623
0.3681, 2959.73, 0.1203, 0.1340, 0.1279, 0.2124, 0.1203
0.3753, 3017.77, 0.1580, 0.1680, 0.1543, 0.1828, 0.1580
0.3826, 3075.80, 0.1411, 0.1924, 0.1357, 0.0822, 0.1411
0.3898, 3133.83, 0.0895, 0.2008, 0.0875, 0.1135, 0.0895
0.3970, 3191.87, 0.0341, 0.1734, 0.0448, 0.2202, 0.0341
0.4042, 3249.90, 0.0425, 0.1033, 0.0584, 0.2717, 0.0425
0.4114, 3307.94, 0.0999, 0.0423, 0.1084, 0.2693, 0.0999
0.4187, 3365.97, 0.1288, 0.1401, 0.1344, 0.1830, 0.1288
0.4259, 3424.00, 0.1391, 0.2024, 0.1522, 0.0618, 0.1391
0.4331, 3482.04, 0.1671, 0.2130, 0.1794, 0.0859, 0.1671
0.4403, 3540.07, 0.2033, 0.2299, 0.2043, 0.1569, 0.2033
0.4475, 3598.11, 0.2062, 0.2117, 0.2063, 0.1906, 0.2062
0.4547, 3656.14, 0.1647, 0.1189, 0.1765, 0.2042, 0.1647
0.4620, 3714.17, 0.0997, 0.0500, 0.1221, 0.1927, 0.0997
0.4692, 3772.21, 0.0446, 0.0932, 0.0750, 0.1629, 0.0446
0.4764, 3830.24, 0.0779, 0.1734, 0.0904, 0.1480, 0.0779
0.4836, 3888.28, 0.1142, 0.2380, 0.1070, 0.1523, 0.1142
0.4908, 3946.31, 0.1609, 0.2926, 0.1464, 0.1699, 0.1609
0.4981, 4004.34, 0.2051, 0.3076, 0.1980, 0.1669, 0.2051
0.5053, 4062.38, 0.2037, 0.2600, 0.2066, 0.1077, 0.2037
0.5125, 4120.41, 0.1943, 0.1835, 0.2101, 0.1533, 0.1943
0.5197, 4178.45, 0.1909, 0.1362, 0.2120, 0.1943, 0.1909
0.5269, 4236.48, 0.1566, 0.1733, 0.1661, 0.1555, 0.1566
0.5341, 4294.51, 0.1306, 0.1842, 0.1314, 0.0683, 0.1306
0.5414, 4352.55, 0.1776, 0.2264, 0.1802, 0.1243, 0.1776
0.5486, 4410.58, 0.2318, 0.2670, 0.2404, 0.2763, 0.2318
0.5558, 4468.62, 0.2907, 0.3231, 0.3027, 0.3359, 0.2907
0.5630, 4526.65, 0.3530, 0.3012, 0.3804, 0.3821, 0.3530
0.5702, 4584.68, 0.3721, 0.2299, 0.4158, 0.3877, 0.3721
0.5775, 4642.72, 0.3379, 0.2463, 0.3703, 0.3227, 0.3379
0.5847, 4700.75, 0.2853, 0.3376, 0.2848, 0.2474, 0.2853
0.5919, 4758.79, 0.2249, 0.3430, 0.2006, 0.1990, 0.2249
0.5991, 4816.82, 0.1878, 0.2429, 0.1718, 0.2010, 0.1878
0.6063, 4874.85, 0.1981, 0.1347, 0.2150, 0.2265, 0.1981
