Imatest,24.2.6, Master, SFR
File,sports ball_18.0 mm_100ISO_+1EV_Dist2_OFF_Defocus1.tiff
Run date,07-May-2025 11:53:38,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+18/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0061,   49.25, 0.9992, 0.9971, 0.9996, 1.0013, 0.9992
0.0123,   98.51, 0.9772, 0.9683, 0.9794, 0.9813, 0.9772
0.0184,  147.76, 0.9310, 0.9161, 0.9343, 0.9417, 0.9310
0.0245,  197.01, 0.8669, 0.8469, 0.8698, 0.8951, 0.8669
0.0306,  246.26, 0.7914, 0.7633, 0.7941, 0.8463, 0.7914
0.0368,  295.52, 0.7164, 0.6896, 0.7161, 0.7966, 0.7164
0.0429,  344.77, 0.6448, 0.6336, 0.6399, 0.7247, 0.6448
0.0490,  394.02, 0.5679, 0.5711, 0.5587, 0.6518, 0.5679
0.0551,  443.27, 0.4838, 0.4754, 0.4763, 0.5858, 0.4838
0.0613,  492.53, 0.4112, 0.3859, 0.4086, 0.5116, 0.4112
0.0674,  541.78, 0.3465, 0.3373, 0.3393, 0.4474, 0.3465
0.0735,  591.03, 0.2829, 0.2927, 0.2701, 0.3872, 0.2829
0.0796,  640.28, 0.2266, 0.2390, 0.2134, 0.3257, 0.2266
0.0858,  689.54, 0.1839, 0.1767, 0.1758, 0.2843, 0.1839
0.0919,  738.79, 0.1448, 0.1105, 0.1457, 0.2405, 0.1448
0.0980,  788.04, 0.1035, 0.0970, 0.0996, 0.1858, 0.1035
0.1041,  837.29, 0.0688, 0.0972, 0.0540, 0.1433, 0.0688
0.1103,  886.55, 0.0376, 0.0779, 0.0196, 0.1075, 0.0376
0.1164,  935.80, 0.0141, 0.0654, 0.0076, 0.0737, 0.0141
0.1225,  985.05, 0.0044, 0.0394, 0.0104, 0.0447, 0.0044
0.1286, 1034.30, 0.0022, 0.0134, 0.0076, 0.0345, 0.0022
0.1348, 1083.56, 0.0213, 0.0246, 0.0331, 0.0155, 0.0213
0.1409, 1132.81, 0.0341, 0.0215, 0.0511, 0.0281, 0.0341
0.1470, 1182.06, 0.0206, 0.0223, 0.0254, 0.0550, 0.0206
0.1531, 1231.32, 0.0165, 0.0495, 0.0084, 0.0434, 0.0165
0.1593, 1280.57, 0.0279, 0.0307, 0.0298, 0.0191, 0.0279
0.1654, 1329.82, 0.0274, 0.0094, 0.0311, 0.0458, 0.0274
0.1715, 1379.07, 0.0339, 0.0363, 0.0301, 0.0869, 0.0339
0.1777, 1428.33, 0.0553, 0.0519, 0.0571, 0.0830, 0.0553
0.1838, 1477.58, 0.0450, 0.0323, 0.0514, 0.0438, 0.0450
0.1899, 1526.83, 0.0202, 0.0118, 0.0247, 0.0155, 0.0202
0.1960, 1576.08, 0.0228, 0.0226, 0.0260, 0.0329, 0.0228
0.2022, 1625.34, 0.0352, 0.0310, 0.0389, 0.0640, 0.0352
0.2083, 1674.59, 0.0363, 0.0178, 0.0460, 0.0547, 0.0363
0.2144, 1723.84, 0.0353, 0.0180, 0.0463, 0.0219, 0.0353
0.2205, 1773.09, 0.0355, 0.0399, 0.0447, 0.0288, 0.0355
0.2267, 1822.35, 0.0345, 0.0508, 0.0362, 0.0497, 0.0345
0.2328, 1871.60, 0.0299, 0.0619, 0.0217, 0.0573, 0.0299
0.2389, 1920.85, 0.0230, 0.0606, 0.0119, 0.0591, 0.0230
0.2450, 1970.10, 0.0204, 0.0623, 0.0079, 0.0623, 0.0204
0.2512, 2019.36, 0.0115, 0.0567, 0.0088, 0.0509, 0.0115
0.2573, 2068.61, 0.0089, 0.0416, 0.0180, 0.0346, 0.0089
0.2634, 2117.86, 0.0051, 0.0264, 0.0128, 0.0194, 0.0051
0.2695, 2167.12, 0.0069, 0.0215, 0.0154, 0.0046, 0.0069
0.2757, 2216.37, 0.0052, 0.0335, 0.0158, 0.0109, 0.0052
0.2818, 2265.62, 0.0037, 0.0458, 0.0062, 0.0201, 0.0037
0.2879, 2314.87, 0.0045, 0.0413, 0.0055, 0.0224, 0.0045
0.2940, 2364.13, 0.0052, 0.0334, 0.0063, 0.0171, 0.0052
0.3002, 2413.38, 0.0119, 0.0314, 0.0086, 0.0016, 0.0119
0.3063, 2462.63, 0.0157, 0.0295, 0.0120, 0.0157, 0.0157
0.3124, 2511.88, 0.0185, 0.0311, 0.0144, 0.0261, 0.0185
0.3185, 2561.14, 0.0238, 0.0271, 0.0219, 0.0362, 0.0238
0.3247, 2610.39, 0.0311, 0.0281, 0.0311, 0.0431, 0.0311
0.3308, 2659.64, 0.0333, 0.0338, 0.0325, 0.0420, 0.0333
0.3369, 2708.89, 0.0289, 0.0396, 0.0252, 0.0355, 0.0289
0.3431, 2758.15, 0.0221, 0.0422, 0.0159, 0.0259, 0.0221
0.3492, 2807.40, 0.0155, 0.0390, 0.0104, 0.0201, 0.0155
0.3553, 2856.65, 0.0104, 0.0327, 0.0108, 0.0212, 0.0104
0.3614, 2905.90, 0.0061, 0.0276, 0.0098, 0.0239, 0.0061
0.3676, 2955.16, 0.0029, 0.0254, 0.0047, 0.0255, 0.0029
0.3737, 3004.41, 0.0065, 0.0239, 0.0030, 0.0241, 0.0065
0.3798, 3053.66, 0.0109, 0.0220, 0.0095, 0.0184, 0.0109
0.3859, 3102.91, 0.0121, 0.0200, 0.0117, 0.0092, 0.0121
0.3921, 3152.17, 0.0090, 0.0170, 0.0086, 0.0040, 0.0090
0.3982, 3201.42, 0.0029, 0.0102, 0.0022, 0.0120, 0.0029
0.4043, 3250.67, 0.0054, 0.0018, 0.0068, 0.0200, 0.0054
0.4104, 3299.93, 0.0101, 0.0067, 0.0114, 0.0244, 0.0101
0.4166, 3349.18, 0.0109, 0.0123, 0.0114, 0.0227, 0.0109
0.4227, 3398.43, 0.0092, 0.0161, 0.0095, 0.0170, 0.0092
0.4288, 3447.68, 0.0071, 0.0184, 0.0093, 0.0120, 0.0071
0.4349, 3496.94, 0.0081, 0.0146, 0.0141, 0.0112, 0.0081
0.4411, 3546.19, 0.0220, 0.0077, 0.0292, 0.0130, 0.0220
0.4472, 3595.44, 0.0350, 0.0236, 0.0409, 0.0183, 0.0350
0.4533, 3644.69, 0.0404, 0.0338, 0.0440, 0.0242, 0.0404
0.4594, 3693.95, 0.0377, 0.0372, 0.0388, 0.0286, 0.0377
0.4656, 3743.20, 0.0295, 0.0333, 0.0283, 0.0299, 0.0295
0.4717, 3792.45, 0.0183, 0.0231, 0.0163, 0.0255, 0.0183
0.4778, 3841.70, 0.0063, 0.0100, 0.0037, 0.0207, 0.0063
0.4839, 3890.96, 0.0105, 0.0069, 0.0138, 0.0092, 0.0105
0.4901, 3940.21, 0.0270, 0.0198, 0.0310, 0.0093, 0.0270
0.4962, 3989.46, 0.0325, 0.0240, 0.0362, 0.0234, 0.0325
0.5023, 4038.71, 0.0283, 0.0229, 0.0301, 0.0285, 0.0283
0.5085, 4087.97, 0.0166, 0.0133, 0.0166, 0.0271, 0.0166
0.5146, 4137.22, 0.0065, 0.0126, 0.0041, 0.0219, 0.0065
0.5207, 4186.47, 0.0092, 0.0204, 0.0086, 0.0191, 0.0092
0.5268, 4235.73, 0.0139, 0.0271, 0.0161, 0.0163, 0.0139
0.5330, 4284.98, 0.0224, 0.0403, 0.0201, 0.0228, 0.0224
0.5391, 4334.23, 0.0323, 0.0519, 0.0271, 0.0312, 0.0323
0.5452, 4383.48, 0.0426, 0.0604, 0.0382, 0.0367, 0.0426
0.5513, 4432.74, 0.0474, 0.0653, 0.0433, 0.0401, 0.0474
0.5575, 4481.99, 0.0383, 0.0582, 0.0342, 0.0330, 0.0383
0.5636, 4531.24, 0.0296, 0.0429, 0.0289, 0.0189, 0.0296
0.5697, 4580.49, 0.0231, 0.0267, 0.0247, 0.0150, 0.0231
0.5758, 4629.75, 0.0216, 0.0194, 0.0238, 0.0168, 0.0216
0.5820, 4679.00, 0.0164, 0.0098, 0.0198, 0.0083, 0.0164
0.5881, 4728.25, 0.0047, 0.0133, 0.0104, 0.0089, 0.0047
0.5942, 4777.50, 0.0159, 0.0331, 0.0180, 0.0186, 0.0159
0.6003, 4826.76, 0.0276, 0.0413, 0.0325, 0.0205, 0.0276
0.6065, 4876.01, 0.0377, 0.0448, 0.0448, 0.0222, 0.0377
0.6126, 4925.26, 0.0503, 0.0503, 0.0561, 0.0343, 0.0503
0.6187, 4974.51, 0.0642, 0.0555, 0.0694, 0.0499, 0.0642
0.6248, 5023.77, 0.0669, 0.0530, 0.0725, 0.0628, 0.0669
0.6310, 5073.02, 0.0535, 0.0396, 0.0579, 0.0682, 0.0535
0.6371, 5122.27, 0.0400, 0.0298, 0.0428, 0.0670, 0.0400
0.6432, 5171.52, 0.0295, 0.0259, 0.0320, 0.0643, 0.0295
0.6494, 5220.78, 0.0233, 0.0136, 0.0319, 0.0617, 0.0233
0.6555, 5270.03, 0.0333, 0.0265, 0.0463, 0.0497, 0.0333
0.6616, 5319.28, 0.0514, 0.0444, 0.0657, 0.0348, 0.0514
0.6677, 5368.54, 0.0679, 0.0564, 0.0840, 0.0372, 0.0679
0.6739, 5417.79, 0.0858, 0.0754, 0.1016, 0.0528, 0.0858
0.6800, 5467.04, 0.1015, 0.0896, 0.1178, 0.0663, 0.1015
0.6861, 5516.29, 0.1097, 0.0906, 0.1286, 0.0680, 0.1097
0.6922, 5565.55, 0.1064, 0.0852, 0.1260, 0.0613, 0.1064
0.6984, 5614.80, 0.0952, 0.0776, 0.1133, 0.0506, 0.0952
0.7045, 5664.05, 0.0847, 0.0700, 0.1012, 0.0329, 0.0847
0.7106, 5713.30, 0.0794, 0.0661, 0.0943, 0.0130, 0.0794
0.7167, 5762.56, 0.0760, 0.0645, 0.0886, 0.0347, 0.0760
0.7229, 5811.81, 0.0660, 0.0588, 0.0750, 0.0630, 0.0660
0.7290, 5861.06, 0.0456, 0.0447, 0.0507, 0.0862, 0.0456
0.7351, 5910.31, 0.0147, 0.0217, 0.0205, 0.1041, 0.0147
0.7412, 5959.57, 0.0244, 0.0112, 0.0342, 0.1182, 0.0244
0.7474, 6008.82, 0.0657, 0.0473, 0.0751, 0.1282, 0.0657
0.7535, 6058.07, 0.1012, 0.0807, 0.1106, 0.1355, 0.1012
0.7596, 6107.32, 0.1248, 0.1051, 0.1333, 0.1396, 0.1248
0.7657, 6156.58, 0.1362, 0.1250, 0.1423, 0.1325, 0.1362
0.7719, 6205.83, 0.1299, 0.1271, 0.1346, 0.1107, 0.1299
0.7780, 6255.08, 0.1105, 0.1037, 0.1185, 0.0864, 0.1105
0.7841, 6304.33, 0.0859, 0.0714, 0.1000, 0.0670, 0.0859
0.7902, 6353.59, 0.0619, 0.0456, 0.0790, 0.0592, 0.0619
