Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3210  2010  3318  2209 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 13:50:54,12-May-2025 13:50:54,12-May-2025 13:50:54,12-May-2025 13:50:54,12-May-2025 13:50:54,12-May-2025 13:50:54,12-May-2025 13:50:54,12-May-2025 13:50:54,12-May-2025 13:50:54,12-May-2025 13:50:54,12-May-2025 13:50:54,12-May-2025 13:50:54,
File, sports ball_18.0 mm_6400ISO_-2EV_Dist2_OFF_Focused.tiff,sports ball_18.0 mm_1600ISO_-2EV_Dist2_ON_Defocus2.tiff,sports ball_18.0 mm_1600ISO_-2EV_Dist2_ON_Defocus1.tiff,sports ball_18.0 mm_1600ISO_-2EV_Dist2_OFF_Focused.tiff,sports ball_18.0 mm_6400ISO_-2EV_Dist2_ON_Focused.tiff,sports ball_18.0 mm_1600ISO_-2EV_Dist2_ON_Focused.tiff,sports ball_18.0 mm_100ISO_-2EV_Dist2_OFF_Defocus2.tiff,sports ball_18.0 mm_100ISO_-2EV_Dist2_OFF_Defocus1.tiff,sports ball_18.0 mm_100ISO_-2EV_Dist2_ON_Defocus2.tiff,sports ball_18.0 mm_100ISO_-2EV_Dist2_ON_Defocus1.tiff,sports ball_18.0 mm_100ISO_-2EV_Dist2_OFF_Focused.tiff,sports ball_18.0 mm_100ISO_-2EV_Dist2_ON_Focused.tiff,
Camera, , , , , , , , , , , , 
Lens, , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0417,  0.0166,  0.0555,  0.1967,  0.0698,  0.1570,  0.0167,  0.0561,  0.0166,  0.0548,  0.1665,  0.1775
R1090 (pxl) Mean Ctr, 11.1631, 28.4849,  7.6271,  2.3406,  4.8817,  2.7084, 29.8748,  8.5769, 30.5235,  8.6132,  2.8794,  2.8568
CA (pxl) Mean Ctr,  2.0493,  1.6243,  0.5469,  0.8584,  2.9465,  1.3233,  1.1054,  0.3289,  1.1617,  0.4750,  0.1042,  0.2075
MTF50 (LW/PH) Mean Ctr,    335.5,    133.1,    445.9,   1581.5,    561.1,   1262.2,    134.0,    451.2,    133.5,    440.9,   1338.5,   1426.7
R1090 (/PH) Mean Ctr,    360.1,    141.1,    527.1,   1717.5,    823.5,   1484.3,    134.6,    468.7,    131.7,    466.7,   1396.1,   1407.1
Peak MTF Mean Ctr,   1.367,   1.000,   1.005,   1.001,   1.000,   1.005,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000
MTF50P (Cy/Pxl) Mean Ctr,  0.5313,  0.0166,  0.0553,  0.1966,  0.0698,  0.1568,  0.0167,  0.0561,  0.0166,  0.0548,  0.1665,  0.1775
MTF50P (LW/PH) Mean Ctr,   4271.9,    133.1,    444.8,   1581.1,    561.1,   1260.4,    134.0,    451.2,    133.5,    440.9,   1338.4,   1426.7
