Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3210  2010  3318  2209 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 13:56:29,12-May-2025 13:56:29,12-May-2025 13:56:29,12-May-2025 13:56:29,12-May-2025 13:56:29,12-May-2025 13:56:29,12-May-2025 13:56:29,12-May-2025 13:56:29,12-May-2025 13:56:29,12-May-2025 13:56:29,12-May-2025 13:56:29,12-May-2025 13:56:29,12-May-2025 13:56:29,12-May-2025 13:56:29,12-May-2025 13:56:29,12-May-2025 13:56:29,
File, sports ball_18.0 mm_1600ISO_-3EV_Dist2_OFF_Defocus2.tiff,sports ball_18.0 mm_1600ISO_-3EV_Dist2_OFF_Defocus1.tiff,sports ball_18.0 mm_6400ISO_-3EV_Dist2_ON_Defocus2.tiff,sports ball_18.0 mm_6400ISO_-3EV_Dist2_ON_Defocus1.tiff,sports ball_18.0 mm_6400ISO_-3EV_Dist2_OFF_Focused.tiff,sports ball_18.0 mm_1600ISO_-3EV_Dist2_ON_Defocus2.tiff,sports ball_18.0 mm_1600ISO_-3EV_Dist2_ON_Defocus1.tiff,sports ball_18.0 mm_1600ISO_-3EV_Dist2_OFF_Focused.tiff,sports ball_18.0 mm_6400ISO_-3EV_Dist2_ON_Focused.tiff,sports ball_18.0 mm_1600ISO_-3EV_Dist2_ON_Focused.tiff,sports ball_18.0 mm_100ISO_-3EV_Dist2_OFF_Defocus2.tiff,sports ball_18.0 mm_100ISO_-3EV_Dist2_OFF_Defocus1.tiff,sports ball_18.0 mm_100ISO_-3EV_Dist2_ON_Defocus2.tiff,sports ball_18.0 mm_100ISO_-3EV_Dist2_ON_Defocus1.tiff,sports ball_18.0 mm_100ISO_-3EV_Dist2_OFF_Focused.tiff,sports ball_18.0 mm_100ISO_-3EV_Dist2_ON_Focused.tiff,
Camera, , , , , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0150,  0.0491,  0.0156,  0.0263,  0.0320,  0.0169,  0.0565,  0.1454,  0.0333,  0.0814,  0.0167,  0.0546,  0.0169,  0.0558,  0.1672,  0.1978
R1090 (pxl) Mean Ctr, 30.2268,  9.6247, 17.2610, 12.3881,  8.6854, 27.5929,  7.9222,  3.9423,  8.7114,  3.2961, 31.7331,  8.4956, 30.5450,  8.0016,  2.6417,  2.5895
CA (pxl) Mean Ctr, 10.0690,  2.2348, 22.9075, 29.0365, 58.5783, 16.1844,  1.3733,  1.1824,  4.7257,  2.8116,  1.2322,  0.4891,  1.0929,  0.5358,  0.2305,  0.7559
MTF50 (LW/PH) Mean Ctr,    120.9,    394.4,    125.4,    211.7,    257.5,    136.2,    454.4,   1169.1,    267.9,    654.5,    134.7,    439.3,    136.3,    448.8,   1344.3,   1590.4
R1090 (/PH) Mean Ctr,    133.0,    417.7,    232.9,    324.5,    462.8,    145.7,    507.4,   1019.7,    461.5,   1219.6,    126.7,    473.2,    131.6,    502.4,   1521.8,   1552.4
Peak MTF Mean Ctr,   1.007,   1.000,   1.887,   1.821,   2.165,   1.000,   1.109,   1.000,   1.698,   1.008,   1.000,   1.000,   1.000,   1.000,   1.005,   1.001
MTF50P (Cy/Pxl) Mean Ctr,  0.4486,  0.0491,  0.5316,  0.3493,  0.3052,  0.0169,  0.5059,  0.1454,  0.4764,  0.0811,  0.0167,  0.0546,  0.0169,  0.0558,  0.1664,  0.1974
MTF50P (LW/PH) Mean Ctr,   3607.1,    394.4,   4273.9,   2808.6,   2454.2,    136.2,   4067.1,   1169.1,   3830.4,    651.7,    134.7,    439.3,    136.3,    448.8,   1338.1,   1586.9
MTF20 (Cy/Pxl) Mean Ctr,  0.0234,  0.0836,  0.0233,  0.0502,  0.3169,  0.0244,  0.0809,  0.1606,  0.0719,  0.1980,  0.0247,  0.0872,  0.0247,  0.0828,  0.3189,  0.3011
MTF20 (LW/PH) Mean Ctr,    188.1,    672.5,    187.2,    403.4,   2547.7,    196.4,    650.5,   1291.2,    578.4,   1592.3,    198.3,    700.7,    198.3,    665.3,   2563.8,   2421.0
LSF PW50 (pxl) Mean Ctr,  0.2248,  0.2874,  0.2834,  0.3102,  0.2428,  0.2143,  0.3827,  0.3997,  0.2426,  0.3886,  0.2916,  0.5611,  0.3242,  0.6317,  2.1190,  2.0159
CA (area %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
