Imatest,24.2.6, Master, SFR
File,sports ball_18.0 mm_1600ISO_-1EV_Dist2_ON_Focused.tiff
Run date,12-May-2025 13:39:18,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0092,   74.11, 0.9962, 1.0116, 0.9904, 1.0123, 0.9962
0.0184,  148.22, 0.9775, 1.0071, 0.9678, 0.9963, 0.9775
0.0277,  222.33, 0.9440, 0.9447, 0.9434, 0.9485, 0.9440
0.0369,  296.45, 0.9093, 0.8851, 0.9185, 0.9110, 0.9093
0.0461,  370.56, 0.8919, 0.8363, 0.9101, 0.8897, 0.8919
0.0553,  444.67, 0.8703, 0.7736, 0.9012, 0.8490, 0.8703
0.0645,  518.78, 0.8416, 0.8146, 0.8607, 0.8142, 0.8416
0.0737,  592.89, 0.7957, 0.8977, 0.7864, 0.7901, 0.7957
0.0830,  667.00, 0.7490, 0.9072, 0.7176, 0.6854, 0.7490
0.0922,  741.12, 0.7461, 0.8794, 0.7265, 0.5787, 0.7461
0.1014,  815.23, 0.6964, 0.7245, 0.7031, 0.5686, 0.6964
0.1106,  889.34, 0.6186, 0.7916, 0.5775, 0.6427, 0.6186
0.1198,  963.45, 0.6259, 0.8933, 0.5528, 0.6560, 0.6259
0.1290, 1037.56, 0.6487, 0.7794, 0.6288, 0.5103, 0.6487
0.1383, 1111.67, 0.6254, 0.6163, 0.6536, 0.4274, 0.6254
0.1475, 1185.78, 0.5795, 0.4124, 0.6442, 0.4280, 0.5795
0.1567, 1259.90, 0.5131, 0.3077, 0.5888, 0.3600, 0.5131
0.1659, 1334.01, 0.4699, 0.3755, 0.5097, 0.3452, 0.4699
0.1751, 1408.12, 0.4853, 0.4159, 0.5213, 0.3826, 0.4853
