Imatest,24.2.6, Master, SFR
File,sports ball_18.0 mm_25600ISO_-2EV_Dist2_OFF_Defocus2.tiff
Run date,12-May-2025 13:43:32,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0092,   73.76, 1.0233, 7.6942, 0.6439, 0.8291, 1.0233
0.0183,  147.52, 0.3913, 4.4278, 0.3417, 0.6084, 0.3913
0.0275,  221.28, 0.3129, 6.7235, 0.0785, 1.1989, 0.3129
0.0367,  295.05, 0.6292, 3.7420, 0.5899, 1.2659, 0.6292
0.0459,  368.81, 0.7702,11.0036, 1.1711, 0.2159, 0.7702
0.0550,  442.57, 0.3609, 4.5790, 0.5529, 0.8974, 0.3609
0.0642,  516.33, 0.5800,10.7236, 1.1414, 0.2887, 0.5800
0.0734,  590.09, 1.2232,14.9499, 1.6851, 0.8370, 1.2232
0.0826,  663.85, 1.2522,13.7904, 0.5250, 2.4748, 1.2522
0.0917,  737.62, 1.0836, 7.4536, 1.0637, 2.5540, 1.0836
0.1009,  811.38, 0.4742, 7.3427, 0.1569, 3.4824, 0.4742
0.1101,  885.14, 1.1673,10.1348, 1.7133, 4.2757, 1.1673
0.1193,  958.90, 0.4978,14.0376, 1.3844, 3.2383, 0.4978
0.1284, 1032.66, 0.7097,24.7554, 0.6901, 2.6221, 0.7097
0.1376, 1106.42, 1.4030,22.5836, 0.3379, 2.2997, 1.4030
0.1468, 1180.18, 0.8361, 7.9953, 0.4355, 0.9335, 0.8361
0.1560, 1253.95, 1.4304,18.1834, 0.3062, 2.8228, 1.4304
0.1651, 1327.71, 0.8878,21.3626, 0.5588, 4.0298, 0.8878
0.1743, 1401.47, 1.5683,23.6981, 1.5708, 1.0537, 1.5683
0.1835, 1475.23, 2.5519,30.7770, 1.1188, 0.9688, 2.5519
0.1927, 1548.99, 2.9394,14.5795, 2.5625, 1.3913, 2.9394
0.2018, 1622.75, 1.5777,27.6447, 1.7134, 2.0086, 1.5777
0.2110, 1696.51, 2.8603,45.8688, 1.2054, 2.7801, 2.8603
0.2202, 1770.28, 4.2899,40.5840, 2.1988, 4.6882, 4.2899
0.2294, 1844.04, 3.6109,21.5298, 2.1400, 5.6553, 3.6109
0.2385, 1917.80, 1.5475,12.2156, 0.7754, 3.4449, 1.5475
0.2477, 1991.56, 2.5109, 6.1092, 2.7014, 1.6612, 2.5109
0.2569, 2065.32, 1.9805, 5.6993, 2.0964, 1.9908, 1.9805
0.2661, 2139.08, 2.8780,13.8962, 2.1252, 2.9993, 2.8780
0.2752, 2212.85, 4.1615,19.1284, 3.1106, 2.8743, 4.1615
0.2844, 2286.61, 4.0935,25.7053, 2.4735, 5.5725, 4.0935
0.2936, 2360.37, 3.7001,25.5880, 1.9585, 6.4343, 3.7001
