Imatest,24.2.6, Master, SFR
File,sports ball_18.0 mm_25600ISO_-3EV_Dist2_OFF_Focused.tiff
Run date,12-May-2025 13:53:35,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0092,   73.76, 0.4726, 0.7283, 0.6496, 0.8308, 0.4726
0.0183,  147.53, 0.4354, 0.4112, 0.4764, 0.4772, 0.4354
0.0275,  221.29, 0.7122, 0.3673, 1.6904, 0.2839, 0.7122
0.0367,  295.06, 1.2931, 0.6031, 3.2270, 0.3103, 1.2931
0.0459,  368.82, 0.7996, 0.7957, 2.9421, 0.2633, 0.7996
0.0550,  442.59, 0.5323, 0.8779, 2.3297, 0.2559, 0.5323
0.0642,  516.35, 1.2673, 1.0059, 3.4535, 0.3172, 1.2673
0.0734,  590.12, 1.6701, 1.1557, 3.3588, 0.2575, 1.6701
0.0826,  663.88, 2.3656, 0.8525, 3.3068, 0.1135, 2.3656
0.0917,  737.65, 1.2206, 0.7125, 2.4168, 0.1235, 1.2206
0.1009,  811.41, 1.6372, 0.7642, 0.9254, 0.2986, 1.6372
0.1101,  885.18, 3.0797, 0.7125, 4.9647, 0.4213, 3.0797
0.1193,  958.94, 4.8280, 1.1985, 8.9345, 0.2832, 4.8280
0.1284, 1032.71, 6.2046, 1.3559,10.5621, 0.3235, 6.2046
0.1376, 1106.47, 5.3798, 0.9786, 8.0886, 0.4684, 5.3798
0.1468, 1180.24, 4.3956, 0.2627, 5.4380, 0.4653, 4.3956
0.1560, 1254.00, 2.0924, 0.0190, 2.8741, 0.2540, 2.0924
0.1651, 1327.77, 3.8205, 0.8398, 5.3703, 0.4063, 3.8205
0.1743, 1401.53, 6.4167, 1.5767,11.5021, 0.5470, 6.4167
0.1835, 1475.30, 8.6256, 1.1217,13.1270, 0.4400, 8.6256
0.1927, 1549.06,10.4544, 0.7769,11.5754, 0.3177,10.4544
