Imatest,24.2.6, Master, SFR
File,sports ball_18.0 mm_25600ISO_-3EV_Dist2_ON_Defocus2.tiff
Run date,12-May-2025 13:53:35,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0092,   73.80, 0.7702, 1.2593, 0.6113, 1.6967, 0.7702
0.0184,  147.61, 0.1884, 0.9444, 0.2016, 1.2141, 0.1884
0.0275,  221.41, 0.4440, 1.5967, 0.2128, 1.4521, 0.4440
0.0367,  295.21, 0.4894, 1.8339, 1.5253, 2.5598, 0.4894
0.0459,  369.02, 0.9792, 2.0037, 2.0894, 1.7562, 0.9792
0.0551,  442.82, 0.8160, 1.0200, 1.0476, 3.2228, 0.8160
0.0643,  516.62, 1.2837, 3.3844, 0.6111, 2.7538, 1.2837
0.0734,  590.43, 1.5838, 3.8123, 1.3605, 2.1480, 1.5838
0.0826,  664.23, 0.7020, 2.1673, 0.6574, 3.6460, 0.7020
0.0918,  738.03, 0.8386, 6.1848, 1.9471, 4.8850, 0.8386
0.1010,  811.84, 1.5466, 8.7186, 3.2543, 4.5188, 1.5466
0.1102,  885.64, 1.0371, 4.7473, 2.1696, 6.1047, 1.0371
0.1193,  959.44, 1.0785, 2.0535, 1.2764, 5.2397, 1.0785
0.1285, 1033.25, 2.6799, 4.8607, 2.4141, 1.0366, 2.6799
0.1377, 1107.05, 2.2775, 6.2251, 2.2271, 6.9258, 2.2775
0.1469, 1180.85, 2.4687, 8.8456, 0.5227, 7.9133, 2.4687
0.1561, 1254.66, 2.8127, 6.7181, 1.7679, 7.9391, 2.8127
0.1652, 1328.46, 1.2738, 3.1639, 1.1636, 6.3819, 1.2738
0.1744, 1402.26, 1.3996, 1.0125, 1.4006, 4.6723, 1.3996
0.1836, 1476.07, 1.4919, 4.4784, 1.5384, 4.3829, 1.4919
0.1928, 1549.87, 2.9523, 7.2782, 1.7235, 1.9915, 2.9523
0.2019, 1623.67, 4.6152, 4.7179, 5.0231, 6.3134, 4.6152
0.2111, 1697.48, 2.2180, 1.5421, 3.6510, 8.3965, 2.2180
0.2203, 1771.28, 2.1614, 2.5368, 2.7402, 4.1983, 2.1614
0.2295, 1845.08, 1.0060, 3.8075, 1.1469, 1.4757, 1.0060
0.2387, 1918.89, 3.4773, 6.0180, 3.1839, 3.9439, 3.4773
0.2478, 1992.69, 3.1741, 6.7642, 2.1448, 3.8130, 3.1741
0.2570, 2066.49, 2.4287, 5.7716, 1.4843, 1.5491, 2.4287
0.2662, 2140.30, 3.3358, 3.3339, 4.6550, 2.2892, 3.3358
0.2754, 2214.10, 6.0442, 1.4566, 7.7413, 7.0403, 6.0442
0.2846, 2287.90, 4.5184, 3.7110, 4.8247, 8.5687, 4.5184
0.2937, 2361.71, 2.3252, 4.3170, 2.0664, 7.1228, 2.3252
0.3029, 2435.51, 2.4261, 6.1161, 1.5601, 8.8611, 2.4261
0.3121, 2509.31, 5.6356, 8.2121, 4.9061, 8.9653, 5.6356
0.3213, 2583.12, 5.0663, 5.0878, 4.9356,10.0477, 5.0663
0.3305, 2656.92, 1.2287, 1.5213, 0.9865, 4.8711, 1.2287
0.3396, 2730.72, 0.5051, 0.9360, 0.4301, 2.0313, 0.5051
0.3488, 2804.53, 1.4946, 3.1474, 1.1344, 3.9132, 1.4946
0.3580, 2878.33, 1.7743, 4.6339, 1.5918, 4.8354, 1.7743
0.3672, 2952.13, 3.0017, 3.4885, 3.5484, 6.1437, 3.0017
0.3764, 3025.94, 2.6263, 1.3636, 3.1639, 6.8337, 2.6263
0.3855, 3099.74, 1.9817, 2.3092, 2.4831, 4.7971, 1.9817
0.3947, 3173.54, 3.4321, 1.5265, 4.4227, 2.5443, 3.4321
0.4039, 3247.35, 4.0113, 2.3866, 4.7024, 5.1068, 4.0113
0.4131, 3321.15, 3.3482, 3.2503, 3.5388, 4.0825, 3.3482
0.4223, 3394.95, 3.8918, 1.9257, 4.6904, 6.4788, 3.8918
0.4314, 3468.76, 4.8641, 2.5292, 5.4352, 8.4464, 4.8641
0.4406, 3542.56, 1.9746, 2.0632, 2.2130, 6.1117, 1.9746
0.4498, 3616.36, 3.6409, 4.5879, 3.3290, 4.8961, 3.6409
0.4590, 3690.17, 1.0631, 1.0415, 1.2736, 5.3420, 1.0631
0.4682, 3763.97, 2.1572, 2.8289, 2.3666, 4.7465, 2.1572
0.4773, 3837.77, 2.4833, 2.8981, 2.6352, 1.2584, 2.4833
0.4865, 3911.58, 0.6012, 1.7684, 0.6516, 2.9213, 0.6012
0.4957, 3985.38, 1.9273, 2.0000, 1.7539, 2.0000, 1.9273
0.5049, 4059.18, 1.1084, 2.0000, 1.0330, 2.0000, 1.1084
0.5141, 4132.99, 2.0000, 1.5977, 2.0000, 2.0000, 2.0000
0.5232, 4206.79, 2.0000, 2.0000, 2.0000, 2.0000, 2.0000
0.5324, 4280.59, 1.3553, 2.0000, 1.8241, 2.0000, 1.3553
0.5416, 4354.40, 2.0000, 1.7365, 2.0000, 2.0000, 2.0000
0.5508, 4428.20, 2.0000, 2.0000, 2.0000, 2.0000, 2.0000
0.5600, 4502.00, 2.0000, 2.0000, 2.0000, 2.0000, 2.0000
0.5691, 4575.81, 0.7847, 2.0000, 1.5380, 2.0000, 0.7847
0.5783, 4649.61, 2.0000, 2.0000, 2.0000, 2.0000, 2.0000
0.5875, 4723.41, 2.0000, 2.0000, 2.0000, 2.0000, 2.0000
0.5967, 4797.22, 2.0000, 2.0000, 2.0000, 2.0000, 2.0000
0.6058, 4871.02, 2.0000, 2.0000, 2.0000, 2.0000, 2.0000
