Imatest,24.2.6, Master, SFR
File,sports ball_18.0 mm_25600ISO_0EV_Dist2_OFF_Defocus2.tiff
Run date,12-May-2025 13:34:35,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0092,   73.76, 0.9419, 0.7993, 0.9518, 1.4001, 0.9419
0.0183,  147.53, 0.3097, 0.3333, 0.3575, 0.8191, 0.3097
0.0275,  221.29, 0.1631, 0.0665, 0.2396, 0.3176, 0.1631
0.0367,  295.05, 0.0751, 0.3106, 0.1902, 0.3547, 0.0751
0.0459,  368.82, 0.1598, 0.5453, 0.2241, 0.5957, 0.1598
0.0550,  442.58, 0.2618, 0.3702, 0.4136, 0.4663, 0.2618
0.0642,  516.34, 0.2980, 0.6000, 0.2431, 0.1205, 0.2980
0.0734,  590.11, 0.1460, 1.5893, 0.2558, 0.1299, 0.1460
0.0826,  663.87, 0.2908, 1.2374, 0.4181, 0.4383, 0.2908
0.0917,  737.63, 0.4415, 0.2470, 0.8032, 1.9155, 0.4415
0.1009,  811.40, 0.3189, 1.0356, 0.8553, 2.0975, 0.3189
0.1101,  885.16, 0.3154, 1.4015, 0.2758, 0.8697, 0.3154
0.1193,  958.93, 0.8304, 0.8866, 0.9128, 0.5692, 0.8304
0.1284, 1032.69, 0.5755, 1.5014, 0.5695, 0.5647, 0.5755
0.1376, 1106.45, 0.9046, 0.9304, 1.3758, 0.2399, 0.9046
0.1468, 1180.22, 0.4746, 0.8880, 0.8137, 1.0251, 0.4746
0.1560, 1253.98, 0.1927, 1.5281, 0.5512, 1.5023, 0.1927
0.1651, 1327.74, 0.3348, 2.2883, 0.7144, 1.6949, 0.3348
0.1743, 1401.51, 0.4232, 2.0580, 0.6205, 0.9626, 0.4232
0.1835, 1475.27, 0.2489, 0.7535, 0.5076, 0.7821, 0.2489
