Imatest,24.2.6, Master, SFR
File,sports ball_18.0 mm_25600ISO_0EV_Dist2_ON_Defocus2.tiff
Run date,12-May-2025 13:34:35,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0092,   73.76, 0.5153, 0.4655, 0.5036, 0.9817, 0.5153
0.0183,  147.52, 0.3475, 0.5618, 0.3107, 0.4045, 0.3475
0.0275,  221.29, 0.2919, 0.4927, 0.3154, 0.1915, 0.2919
0.0367,  295.05, 0.2361, 0.5948, 0.1903, 0.2191, 0.2361
0.0459,  368.81, 0.1605, 0.4448, 0.1653, 0.2742, 0.1605
0.0550,  442.57, 0.1792, 1.0925, 0.0785, 0.5297, 0.1792
0.0642,  516.33, 0.1361, 1.0927, 0.1907, 0.2210, 0.1361
0.0734,  590.09, 0.1157, 0.4575, 0.2344, 0.3094, 0.1157
0.0826,  663.86, 0.2915, 0.6433, 0.3839, 0.3076, 0.2915
0.0917,  737.62, 0.3438, 1.0442, 0.4141, 0.5496, 0.3438
0.1009,  811.38, 0.3605, 1.2095, 0.2768, 0.8374, 0.3605
0.1101,  885.14, 0.4317, 1.6476, 0.2277, 0.7547, 0.4317
0.1193,  958.90, 0.5514, 1.0120, 0.6922, 0.8021, 0.5514
0.1284, 1032.66, 0.4611, 1.1401, 0.8290, 0.8597, 0.4611
0.1376, 1106.43, 0.2125, 1.0139, 0.3439, 0.8446, 0.2125
0.1468, 1180.19, 0.1712, 0.4321, 0.0972, 0.9573, 0.1712
0.1560, 1253.95, 0.1017, 0.7849, 0.2753, 0.4255, 0.1017
0.1651, 1327.71, 0.1437, 0.8041, 0.3379, 0.2610, 0.1437
0.1743, 1401.47, 0.1439, 0.6161, 0.0259, 0.8013, 0.1439
0.1835, 1475.23, 0.3074, 1.0250, 0.6267, 1.1405, 0.3074
0.1927, 1549.00, 0.6181, 1.2818, 0.8198, 0.7846, 0.6181
0.2018, 1622.76, 0.3832, 1.0527, 0.3661, 0.3318, 0.3832
0.2110, 1696.52, 0.2812, 0.5970, 0.2825, 0.7468, 0.2812
0.2202, 1770.28, 0.2377, 0.7443, 0.2373, 1.1366, 0.2377
0.2294, 1844.04, 0.0567, 0.1778, 0.1736, 1.5632, 0.0567
0.2385, 1917.80, 0.2982, 0.8966, 0.2331, 1.2717, 0.2982
0.2477, 1991.57, 0.2767, 0.4960, 0.2531, 0.3236, 0.2767
0.2569, 2065.33, 0.2348, 1.3329, 0.5523, 0.6302, 0.2348
0.2661, 2139.09, 0.5903, 1.3210, 0.6567, 0.9899, 0.5903
0.2752, 2212.85, 0.9447, 1.3146, 0.9334, 0.8912, 0.9447
0.2844, 2286.61, 0.4001, 0.7976, 0.3041, 0.7510, 0.4001
0.2936, 2360.37, 0.5162, 0.6936, 0.5028, 0.6294, 0.5162
0.3028, 2434.14, 0.3188, 0.8376, 0.2558, 0.1550, 0.3188
0.3119, 2507.90, 0.3239, 0.4472, 0.4879, 0.3928, 0.3239
0.3211, 2581.66, 0.3720, 0.4566, 0.5481, 0.5572, 0.3720
0.3303, 2655.42, 0.3926, 0.1463, 0.4970, 0.0605, 0.3926
0.3395, 2729.18, 0.6462, 0.1426, 0.7620, 0.7427, 0.6462
0.3486, 2802.94, 0.4847, 0.2361, 0.5353, 1.2210, 0.4847
0.3578, 2876.71, 0.1321, 0.4165, 0.1620, 0.9647, 0.1321
0.3670, 2950.47, 0.5720, 1.2146, 0.4585, 0.2116, 0.5720
0.3761, 3024.23, 0.7432, 1.4940, 0.5706, 1.0767, 0.7432
0.3853, 3097.99, 0.9629, 1.5490, 0.8521, 1.2221, 0.9629
0.3945, 3171.75, 0.9120, 1.1313, 0.8729, 0.8918, 0.9120
0.4037, 3245.51, 0.4040, 0.1482, 0.4390, 0.9695, 0.4040
0.4128, 3319.28, 0.2957, 0.2526, 0.3303, 1.0414, 0.2957
0.4220, 3393.04, 0.1716, 0.3128, 0.1219, 0.5045, 0.1716
0.4312, 3466.80, 0.0689, 0.6509, 0.1959, 0.3572, 0.0689
0.4404, 3540.56, 0.3706, 0.3938, 0.5408, 0.4533, 0.3706
0.4495, 3614.32, 0.3926, 0.4281, 0.5458, 0.5379, 0.3926
0.4587, 3688.08, 0.2532, 1.1138, 0.1308, 0.7645, 0.2532
0.4679, 3761.85, 0.6016, 1.1452, 0.5490, 0.4125, 0.6016
0.4771, 3835.61, 0.4296, 0.6206, 0.3946, 0.5077, 0.4296
0.4862, 3909.37, 0.8012, 1.4413, 0.7067, 0.2548, 0.8012
0.4954, 3983.13, 0.9482, 2.0000, 0.6553, 0.9723, 0.9482
0.5046, 4056.89, 0.4826, 2.0000, 0.3095, 1.0959, 0.4826
0.5138, 4130.65, 0.0081, 0.6933, 0.1358, 0.3842, 0.0081
0.5229, 4204.42, 0.3643, 0.5196, 0.3816, 0.5350, 0.3643
0.5321, 4278.18, 0.4664, 0.1887, 0.5024, 1.2142, 0.4664
0.5413, 4351.94, 1.0172, 0.6407, 1.0479, 2.0000, 1.0172
0.5505, 4425.70, 1.1073, 0.9509, 1.1106, 1.6225, 1.1073
0.5596, 4499.46, 0.5492, 0.5240, 0.5526, 0.7850, 0.5492
0.5688, 4573.22, 0.6508, 0.9617, 0.6503, 0.5680, 0.6508
0.5780, 4646.99, 0.4552, 0.7482, 0.4419, 0.4783, 0.4552
0.5872, 4720.75, 0.3767, 0.3839, 0.4307, 0.7531, 0.3767
0.5963, 4794.51, 0.7272, 0.8086, 0.7613, 0.9327, 0.7272
0.6055, 4868.27, 0.8766, 0.8461, 0.9176, 0.7466, 0.8766
0.6147, 4942.03, 1.1692, 0.4284, 1.3700, 1.0839, 1.1692
0.6239, 5015.79, 1.1268, 0.2245, 1.4322, 0.5857, 1.1268
0.6330, 5089.56, 1.0022, 0.7381, 1.2105, 0.3066, 1.0022
0.6422, 5163.32, 0.3877, 0.8724, 0.4613, 0.9990, 0.3877
0.6514, 5237.08, 0.5459, 1.3437, 0.5237, 0.9192, 0.5459
0.6606, 5310.84, 0.9322, 1.9456, 0.7387, 0.7205, 0.9322
0.6697, 5384.60, 0.8779, 1.8204, 0.6532, 1.7546, 0.8779
0.6789, 5458.36, 1.4121, 2.0000, 1.3100, 1.0617, 1.4121
0.6881, 5532.13, 1.1033, 1.8706, 0.9526, 2.0000, 1.1033
0.6972, 5605.89, 0.5073, 0.6815, 0.5224, 1.9852, 0.5073
0.7064, 5679.65, 1.3962, 0.6901, 1.6112, 0.7196, 1.3962
0.7156, 5753.41, 2.0000, 1.0287, 2.0000, 2.0000, 2.0000
0.7248, 5827.17, 1.3143, 1.2832, 1.5613, 1.1622, 1.3143
0.7339, 5900.93, 1.6621, 1.9253, 1.7148, 1.6430, 1.6621
0.7431, 5974.70, 2.0000, 2.0000, 2.0000, 2.0000, 2.0000
0.7523, 6048.46, 2.0000, 2.0000, 2.0000, 2.0000, 2.0000
0.7615, 6122.22, 0.4795, 0.6902, 0.4962, 0.3271, 0.4795
0.7706, 6195.98, 0.7207, 2.0000, 0.3891, 2.0000, 0.7207
0.7798, 6269.74, 0.8479, 1.2936, 0.8404, 0.4617, 0.8479
0.7890, 6343.50, 1.6064, 2.0000, 2.0000, 2.0000, 1.6064
0.7982, 6417.27, 1.2701, 2.0000, 2.0000, 2.0000, 1.2701
0.8073, 6491.03, 0.7959, 2.0000, 0.3951, 2.0000, 0.7959
0.8165, 6564.79, 1.6322, 2.0000, 1.1325, 2.0000, 1.6322
0.8257, 6638.55, 2.0000, 2.0000, 1.4656, 2.0000, 2.0000
0.8349, 6712.31, 2.0000, 2.0000, 2.0000, 2.0000, 2.0000
0.8440, 6786.07, 1.8856, 2.0000, 1.1785, 0.6860, 1.8856
0.8532, 6859.84, 0.6089, 2.0000, 1.4599, 0.6563, 0.6089
0.8624, 6933.60, 1.4842, 2.0000, 2.0000, 1.7656, 1.4842
0.8716, 7007.36, 2.0000, 2.0000, 2.0000, 2.0000, 2.0000
0.8807, 7081.12, 1.6635, 2.0000, 2.0000, 2.0000, 1.6635
0.8899, 7154.88, 0.1860, 2.0000, 1.5586, 2.0000, 0.1860
0.8991, 7228.64, 0.9148, 1.8781, 1.9369, 2.0000, 0.9148
