Imatest,24.2.6, Master, SFR
File,car_55.0 mm_100ISO_+1EV_Dist2_ON_Focused.tiff
Run date,07-May-2025 12:10:20,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0019,   15.63, 1.0063, 1.0058, 1.0065, 1.0062, 1.0063
0.0039,   31.25, 1.0084, 1.0064, 1.0090, 1.0085, 1.0084
0.0058,   46.88, 1.0049, 1.0029, 1.0057, 1.0042, 1.0049
0.0078,   62.50, 0.9950, 0.9947, 0.9952, 0.9955, 0.9950
0.0097,   78.13, 0.9817, 0.9809, 0.9818, 0.9842, 0.9817
0.0117,   93.75, 0.9746, 0.9710, 0.9759, 0.9739, 0.9746
0.0136,  109.38, 0.9713, 0.9688, 0.9726, 0.9685, 0.9713
0.0155,  125.00, 0.9731, 0.9705, 0.9742, 0.9720, 0.9731
0.0175,  140.63, 0.9705, 0.9617, 0.9736, 0.9687, 0.9705
0.0194,  156.25, 0.9640, 0.9474, 0.9694, 0.9613, 0.9640
0.0214,  171.88, 0.9588, 0.9316, 0.9671, 0.9589, 0.9588
0.0233,  187.50, 0.9505, 0.9254, 0.9587, 0.9450, 0.9505
0.0253,  203.13, 0.9447, 0.9384, 0.9488, 0.9265, 0.9447
0.0272,  218.75, 0.9432, 0.9375, 0.9474, 0.9243, 0.9432
0.0292,  234.38, 0.9379, 0.9212, 0.9448, 0.9253, 0.9379
0.0311,  250.00, 0.9376, 0.9266, 0.9431, 0.9222, 0.9376
0.0330,  265.63, 0.9322, 0.9259, 0.9371, 0.9118, 0.9322
0.0350,  281.25, 0.9166, 0.9001, 0.9248, 0.8940, 0.9166
0.0369,  296.88, 0.9087, 0.8871, 0.9194, 0.8779, 0.9087
0.0389,  312.50, 0.9034, 0.8744, 0.9184, 0.8549, 0.9034
0.0408,  328.13, 0.8960, 0.8555, 0.9158, 0.8360, 0.8960
0.0428,  343.75, 0.8930, 0.8671, 0.9072, 0.8455, 0.8930
0.0447,  359.38, 0.8887, 0.8756, 0.8977, 0.8550, 0.8887
0.0466,  375.00, 0.8739, 0.8569, 0.8831, 0.8480, 0.8739
0.0486,  390.63, 0.8590, 0.8422, 0.8683, 0.8315, 0.8590
0.0505,  406.25, 0.8517, 0.8388, 0.8620, 0.8058, 0.8517
0.0525,  421.88, 0.8454, 0.8244, 0.8589, 0.7945, 0.8454
0.0544,  437.50, 0.8417, 0.7946, 0.8630, 0.7873, 0.8417
0.0564,  453.13, 0.8384, 0.7892, 0.8623, 0.7609, 0.8384
0.0583,  468.75, 0.8066, 0.7660, 0.8295, 0.7160, 0.8066
0.0602,  484.38, 0.7651, 0.7310, 0.7844, 0.6931, 0.7651
0.0622,  500.00, 0.7894, 0.7909, 0.7980, 0.7250, 0.7894
0.0641,  515.63, 0.8194, 0.8250, 0.8296, 0.7348, 0.8194
0.0661,  531.25, 0.8052, 0.7747, 0.8263, 0.7206, 0.8052
0.0680,  546.88, 0.7954, 0.7551, 0.8183, 0.7205, 0.7954
0.0700,  562.50, 0.7891, 0.7490, 0.8125, 0.7074, 0.7891
0.0719,  578.13, 0.7855, 0.7388, 0.8134, 0.6757, 0.7855
0.0738,  593.75, 0.7808, 0.7343, 0.8104, 0.6522, 0.7808
0.0758,  609.38, 0.7606, 0.7121, 0.7895, 0.6438, 0.7606
0.0777,  625.00, 0.7487, 0.7045, 0.7760, 0.6385, 0.7487
0.0797,  640.63, 0.7455, 0.7153, 0.7668, 0.6572, 0.7455
0.0816,  656.25, 0.7447, 0.7138, 0.7658, 0.6572, 0.7447
0.0836,  671.88, 0.7532, 0.7157, 0.7807, 0.6143, 0.7532
0.0855,  687.50, 0.7534, 0.7448, 0.7752, 0.5937, 0.7534
0.0875,  703.13, 0.7390, 0.7608, 0.7518, 0.5893, 0.7390
0.0894,  718.75, 0.7363, 0.7427, 0.7542, 0.5850, 0.7363
0.0913,  734.38, 0.7343, 0.7010, 0.7646, 0.5848, 0.7343
0.0933,  750.00, 0.7205, 0.6799, 0.7519, 0.5923, 0.7205
0.0952,  765.63, 0.7090, 0.6949, 0.7289, 0.6152, 0.7090
0.0972,  781.25, 0.7042, 0.7009, 0.7186, 0.6239, 0.7042
0.0991,  796.88, 0.6940, 0.6943, 0.7097, 0.5832, 0.6940
0.1011,  812.50, 0.6855, 0.6675, 0.7115, 0.5170, 0.6855
0.1030,  828.13, 0.6864, 0.6343, 0.7238, 0.5038, 0.6864
0.1049,  843.75, 0.6745, 0.6022, 0.7148, 0.5194, 0.6745
0.1069,  859.38, 0.6576, 0.5835, 0.6976, 0.5105, 0.6576
0.1088,  875.00, 0.6595, 0.6099, 0.6949, 0.5015, 0.6595
0.1108,  890.63, 0.6593, 0.6302, 0.6893, 0.4980, 0.6593
0.1127,  906.25, 0.6523, 0.6261, 0.6805, 0.4919, 0.6523
0.1147,  921.88, 0.6500, 0.6224, 0.6804, 0.4636, 0.6500
0.1166,  937.50, 0.6351, 0.6068, 0.6681, 0.4352, 0.6351
0.1185,  953.13, 0.6204, 0.5953, 0.6521, 0.4501, 0.6204
0.1205,  968.75, 0.6377, 0.6095, 0.6685, 0.4762, 0.6377
0.1224,  984.38, 0.6651, 0.6277, 0.6992, 0.4761, 0.6651
0.1244, 1000.00, 0.6406, 0.5912, 0.6781, 0.4537, 0.6406
0.1263, 1015.63, 0.5937, 0.5320, 0.6335, 0.4259, 0.5937
0.1283, 1031.25, 0.5916, 0.5030, 0.6388, 0.4242, 0.5916
0.1302, 1046.88, 0.5980, 0.5051, 0.6439, 0.4493, 0.5980
0.1322, 1062.50, 0.5830, 0.5232, 0.6168, 0.4506, 0.5830
0.1341, 1078.13, 0.5680, 0.5000, 0.6074, 0.4008, 0.5680
0.1360, 1093.75, 0.5493, 0.4664, 0.5956, 0.3606, 0.5493
0.1380, 1109.38, 0.5346, 0.4820, 0.5699, 0.3724, 0.5346
0.1399, 1125.00, 0.5410, 0.5049, 0.5699, 0.3956, 0.5410
0.1419, 1140.63, 0.5478, 0.5075, 0.5796, 0.3859, 0.5478
0.1438, 1156.25, 0.5366, 0.4720, 0.5776, 0.3579, 0.5366
0.1458, 1171.88, 0.5106, 0.4159, 0.5617, 0.3244, 0.5106
0.1477, 1187.50, 0.4978, 0.4197, 0.5438, 0.3044, 0.4978
0.1496, 1203.13, 0.5052, 0.4530, 0.5446, 0.2941, 0.5052
0.1516, 1218.75, 0.5126, 0.4513, 0.5553, 0.3015, 0.5126
0.1535, 1234.38, 0.5254, 0.4686, 0.5658, 0.3287, 0.5254
0.1555, 1250.00, 0.5222, 0.4820, 0.5568, 0.3287, 0.5222
0.1574, 1265.63, 0.4880, 0.4711, 0.5145, 0.3086, 0.4880
0.1594, 1281.25, 0.4662, 0.4692, 0.4853, 0.3069, 0.4662
0.1613, 1296.88, 0.4691, 0.4556, 0.4928, 0.3100, 0.4691
0.1632, 1312.50, 0.4658, 0.4120, 0.5019, 0.2940, 0.4658
0.1652, 1328.13, 0.4532, 0.3854, 0.4952, 0.2630, 0.4532
0.1671, 1343.75, 0.4450, 0.3884, 0.4843, 0.2539, 0.4450
0.1691, 1359.38, 0.4436, 0.3865, 0.4797, 0.2799, 0.4436
0.1710, 1375.00, 0.4457, 0.4051, 0.4737, 0.2978, 0.4457
0.1730, 1390.63, 0.4445, 0.4367, 0.4632, 0.2900, 0.4445
0.1749, 1406.25, 0.4396, 0.4289, 0.4631, 0.2491, 0.4396
0.1769, 1421.88, 0.4237, 0.3967, 0.4559, 0.2022, 0.4237
0.1788, 1437.50, 0.3975, 0.3583, 0.4307, 0.2159, 0.3975
0.1807, 1453.13, 0.3893, 0.3358, 0.4239, 0.2329, 0.3893
0.1827, 1468.75, 0.3978, 0.3461, 0.4342, 0.2103, 0.3978
0.1846, 1484.38, 0.3965, 0.3482, 0.4345, 0.1890, 0.3965
0.1866, 1500.00, 0.3944, 0.3508, 0.4307, 0.2168, 0.3944
0.1885, 1515.63, 0.3968, 0.3507, 0.4305, 0.2423, 0.3968
0.1905, 1531.25, 0.3925, 0.3350, 0.4264, 0.2450, 0.3925
0.1924, 1546.88, 0.3698, 0.3324, 0.3968, 0.2227, 0.3698
0.1943, 1562.50, 0.3540, 0.3328, 0.3763, 0.2017, 0.3540
0.1963, 1578.13, 0.3665, 0.3341, 0.3945, 0.1871, 0.3665
0.1982, 1593.75, 0.3645, 0.3406, 0.3913, 0.1769, 0.3645
