Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3403  2007  3919  2564 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 07-May-2025 12:10:20,07-May-2025 12:10:20,07-May-2025 12:10:20,07-May-2025 12:10:20,07-May-2025 12:10:20,07-May-2025 12:10:20,07-May-2025 12:10:20,07-May-2025 12:10:20,07-May-2025 12:10:20,07-May-2025 12:10:20,07-May-2025 12:10:20,07-May-2025 12:10:20,07-May-2025 12:10:20,07-May-2025 12:10:20,07-May-2025 12:10:20,07-May-2025 12:10:20,07-May-2025 12:10:20,07-May-2025 12:10:20,
File, car_55.0 mm_6400ISO_+1EV_Dist2_OFF_Defocus2.tiff,car_55.0 mm_6400ISO_+1EV_Dist2_OFF_Defocus1.tiff,car_55.0 mm_1600ISO_+1EV_Dist2_OFF_Defocus2.tiff,car_55.0 mm_1600ISO_+1EV_Dist2_OFF_Defocus1.tiff,car_55.0 mm_6400ISO_+1EV_Dist2_ON_Defocus2.tiff,car_55.0 mm_6400ISO_+1EV_Dist2_ON_Defocus1.tiff,car_55.0 mm_6400ISO_+1EV_Dist2_OFF_Focused.tiff,car_55.0 mm_1600ISO_+1EV_Dist2_ON_Defocus2.tiff,car_55.0 mm_1600ISO_+1EV_Dist2_ON_Defocus1.tiff,car_55.0 mm_1600ISO_+1EV_Dist2_OFF_Focused.tiff,car_55.0 mm_6400ISO_+1EV_Dist2_ON_Focused.tiff,car_55.0 mm_1600ISO_+1EV_Dist2_ON_Focused.tiff,car_55.0 mm_100ISO_+1EV_Dist2_OFF_Defocus2.tiff,car_55.0 mm_100ISO_+1EV_Dist2_OFF_Defocus1.tiff,car_55.0 mm_100ISO_+1EV_Dist2_ON_Defocus2.tiff,car_55.0 mm_100ISO_+1EV_Dist2_ON_Defocus1.tiff,car_55.0 mm_100ISO_+1EV_Dist2_OFF_Focused.tiff,car_55.0 mm_100ISO_+1EV_Dist2_ON_Focused.tiff,
Camera, , , , , , , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0068,  0.0222,  0.0068,  0.0215,  0.0066,  0.0217,  0.1370,  0.0068,  0.0217,  0.1543,  0.1371,  0.1500,  0.0068,  0.0218,  0.0068,  0.0217,  0.1488,  0.1474
R1090 (pxl) Mean Ctr, 56.2651, 21.2696, 70.1191, 20.7278, 74.6031, 19.9092,  3.2479, 68.4197, 20.8229,  3.1020,  3.0943,  3.0658, 71.0837, 20.3627, 71.4931, 20.4847,  3.1139,  3.1197
CA (pxl) Mean Ctr, 13.1470,  4.4734,  1.8926,  0.0914, 31.8750,  5.8390,  0.9395, 11.2132,  1.5141,  1.2064,  1.6598,  0.8519,  0.2658,  0.5641,  0.4825,  0.4641,  0.8302,  0.7521
MTF50 (LW/PH) Mean Ctr,     54.5,    178.3,     54.8,    173.2,     53.4,    174.1,   1101.5,     54.6,    174.3,   1240.8,   1102.4,   1206.3,     54.6,    175.2,     54.7,    174.5,   1196.6,   1184.8
R1090 (/PH) Mean Ctr,     71.4,    189.0,     57.3,    193.9,     53.9,    201.9,   1237.7,     58.8,    193.1,   1295.9,   1299.1,   1311.2,     56.6,    197.4,     56.2,    196.2,   1291.0,   1288.6
Peak MTF Mean Ctr,   1.000,   1.005,   1.000,   1.012,   1.000,   1.003,   1.009,   1.000,   1.006,   1.009,   1.006,   1.010,   1.000,   1.006,   1.000,   1.005,   1.008,   1.008
MTF50P (Cy/Pxl) Mean Ctr,  0.0068,  0.0221,  0.0068,  0.0214,  0.0066,  0.0216,  0.1370,  0.0068,  0.0216,  0.1533,  0.1370,  0.1498,  0.0068,  0.0217,  0.0068,  0.0216,  0.1480,  0.1467
