Imatest,24.2.6, Master, SFR
File,car_55.0 mm_100ISO_0EV_Dist2_ON_Focused.tiff
Run date,12-May-2025 17:27:35,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.86, 1.0038, 1.0033, 1.0041, 1.0029, 1.0038
0.0062,   49.71, 0.9980, 0.9966, 0.9985, 0.9972, 0.9980
0.0093,   74.57, 0.9854, 0.9816, 0.9869, 0.9833, 0.9854
0.0124,   99.42, 0.9733, 0.9666, 0.9756, 0.9716, 0.9733
0.0155,  124.28, 0.9665, 0.9576, 0.9693, 0.9672, 0.9665
0.0185,  149.14, 0.9605, 0.9434, 0.9658, 0.9633, 0.9605
0.0216,  173.99, 0.9478, 0.9266, 0.9536, 0.9575, 0.9478
0.0247,  198.85, 0.9408, 0.9286, 0.9449, 0.9400, 0.9408
0.0278,  223.70, 0.9363, 0.9263, 0.9410, 0.9250, 0.9363
0.0309,  248.56, 0.9308, 0.9193, 0.9355, 0.9255, 0.9308
0.0340,  273.41, 0.9186, 0.9079, 0.9244, 0.9020, 0.9186
0.0371,  298.27, 0.9019, 0.8841, 0.9107, 0.8801, 0.9019
0.0402,  323.13, 0.8877, 0.8689, 0.8958, 0.8766, 0.8877
0.0433,  347.98, 0.8803, 0.8654, 0.8872, 0.8691, 0.8803
0.0464,  372.84, 0.8724, 0.8548, 0.8815, 0.8486, 0.8724
0.0495,  397.69, 0.8579, 0.8435, 0.8684, 0.8153, 0.8579
0.0526,  422.55, 0.8470, 0.8186, 0.8632, 0.7924, 0.8470
0.0556,  447.41, 0.8262, 0.7758, 0.8493, 0.7630, 0.8262
0.0587,  472.26, 0.7970, 0.7413, 0.8233, 0.7151, 0.7970
0.0618,  497.12, 0.7978, 0.7375, 0.8266, 0.7111, 0.7978
0.0649,  521.97, 0.8072, 0.7647, 0.8295, 0.7379, 0.8072
0.0680,  546.83, 0.7982, 0.7641, 0.8182, 0.7249, 0.7982
0.0711,  571.68, 0.7831, 0.7355, 0.8095, 0.6872, 0.7831
0.0742,  596.54, 0.7637, 0.7108, 0.7939, 0.6474, 0.7637
0.0773,  621.40, 0.7440, 0.6947, 0.7731, 0.6188, 0.7440
0.0804,  646.25, 0.7406, 0.7134, 0.7622, 0.6250, 0.7406
0.0835,  671.11, 0.7441, 0.7295, 0.7630, 0.6192, 0.7441
0.0866,  695.96, 0.7388, 0.7234, 0.7615, 0.5900, 0.7388
0.0897,  720.82, 0.7332, 0.6987, 0.7634, 0.5865, 0.7332
0.0927,  745.68, 0.7250, 0.6712, 0.7584, 0.6014, 0.7250
0.0958,  770.53, 0.7116, 0.6774, 0.7379, 0.6029, 0.7116
0.0989,  795.39, 0.6951, 0.6704, 0.7195, 0.5743, 0.6951
0.1020,  820.24, 0.6687, 0.6381, 0.6943, 0.5463, 0.6687
0.1051,  845.10, 0.6453, 0.6214, 0.6671, 0.5299, 0.6453
0.1082,  869.95, 0.6475, 0.6307, 0.6698, 0.5016, 0.6475
0.1113,  894.81, 0.6597, 0.6464, 0.6862, 0.4823, 0.6597
0.1144,  919.67, 0.6502, 0.6241, 0.6817, 0.4870, 0.6502
0.1175,  944.52, 0.6314, 0.5767, 0.6678, 0.4899, 0.6314
0.1206,  969.38, 0.6445, 0.5749, 0.6855, 0.4826, 0.6445
0.1237,  994.23, 0.6458, 0.5793, 0.6891, 0.4592, 0.6458
0.1268, 1019.09, 0.6091, 0.5511, 0.6500, 0.4201, 0.6091
0.1298, 1043.95, 0.5904, 0.5330, 0.6284, 0.4132, 0.5904
0.1329, 1068.80, 0.5786, 0.5177, 0.6154, 0.4232, 0.5786
0.1360, 1093.66, 0.5531, 0.5003, 0.5870, 0.4002, 0.5531
0.1391, 1118.51, 0.5453, 0.5329, 0.5686, 0.3759, 0.5453
0.1422, 1143.37, 0.5454, 0.5486, 0.5678, 0.3415, 0.5454
0.1453, 1168.23, 0.5299, 0.5017, 0.5645, 0.3054, 0.5299
0.1484, 1193.08, 0.5203, 0.4886, 0.5538, 0.3230, 0.5203
0.1515, 1217.94, 0.5161, 0.5269, 0.5337, 0.3476, 0.5161
0.1546, 1242.79, 0.4965, 0.5239, 0.5089, 0.3273, 0.4965
0.1577, 1267.65, 0.4695, 0.4943, 0.4837, 0.3008, 0.4695
0.1608, 1292.50, 0.4484, 0.4785, 0.4593, 0.3086, 0.4484
0.1639, 1317.36, 0.4408, 0.4244, 0.4639, 0.3117, 0.4408
0.1669, 1342.22, 0.4462, 0.3825, 0.4828, 0.2979, 0.4462
0.1700, 1367.07, 0.4446, 0.4044, 0.4739, 0.3067, 0.4446
0.1731, 1391.93, 0.4261, 0.4135, 0.4478, 0.3074, 0.4261
0.1762, 1416.78, 0.3926, 0.3748, 0.4126, 0.2839, 0.3926
0.1793, 1441.64, 0.3686, 0.3454, 0.3870, 0.2687, 0.3686
0.1824, 1466.50, 0.3704, 0.3522, 0.3878, 0.2622, 0.3704
0.1855, 1491.35, 0.3773, 0.3718, 0.3958, 0.2524, 0.3773
0.1886, 1516.21, 0.3708, 0.3505, 0.3946, 0.2454, 0.3708
0.1917, 1541.06, 0.3512, 0.3235, 0.3745, 0.2263, 0.3512
0.1948, 1565.92, 0.3497, 0.3313, 0.3699, 0.2216, 0.3497
0.1979, 1590.77, 0.3582, 0.3439, 0.3781, 0.2285, 0.3582
0.2009, 1615.63, 0.3463, 0.3426, 0.3651, 0.2120, 0.3463
0.2040, 1640.49, 0.3275, 0.3220, 0.3476, 0.1892, 0.3275
0.2071, 1665.34, 0.3211, 0.3038, 0.3436, 0.1774, 0.3211
