Imatest,24.2.6, Master, SFR
File,car_55.0 mm_1600ISO_+1EV_Dist2_OFF_Defocus1.tiff
Run date,07-May-2025 12:10:20,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0019,   15.62, 1.0118, 1.0128, 1.0121, 1.0065, 1.0118
0.0039,   31.23, 1.0090, 1.0021, 1.0121, 0.9985, 1.0090
0.0058,   46.85, 0.9757, 0.9495, 0.9836, 0.9734, 0.9757
0.0078,   62.46, 0.9253, 0.8982, 0.9318, 0.9391, 0.9253
0.0097,   78.08, 0.8752, 0.8754, 0.8737, 0.8897, 0.8752
0.0117,   93.69, 0.8289, 0.8419, 0.8242, 0.8388, 0.8289
0.0136,  109.31, 0.7666, 0.7752, 0.7607, 0.7996, 0.7666
0.0155,  124.92, 0.7072, 0.7129, 0.6991, 0.7708, 0.7072
0.0175,  140.54, 0.6508, 0.6392, 0.6465, 0.7298, 0.6508
0.0194,  156.15, 0.5819, 0.5422, 0.5845, 0.6721, 0.5819
0.0214,  171.77, 0.5070, 0.4610, 0.5101, 0.6127, 0.5070
0.0233,  187.38, 0.4332, 0.4137, 0.4269, 0.5529, 0.4332
0.0252,  203.00, 0.3718, 0.3957, 0.3530, 0.4862, 0.3718
0.0272,  218.61, 0.3320, 0.3780, 0.3102, 0.4160, 0.3320
0.0291,  234.23, 0.2852, 0.3039, 0.2738, 0.3451, 0.2852
0.0311,  249.84, 0.2135, 0.1950, 0.2109, 0.2972, 0.2135
0.0330,  265.46, 0.1508, 0.1048, 0.1560, 0.2497, 0.1508
0.0350,  281.07, 0.1062, 0.0568, 0.1201, 0.1886, 0.1062
0.0369,  296.69, 0.0536, 0.0393, 0.0517, 0.1658, 0.0536
0.0388,  312.30, 0.0102, 0.0527, 0.0200, 0.1401, 0.0102
0.0408,  327.92, 0.0168, 0.0942, 0.0408, 0.0726, 0.0168
0.0427,  343.53, 0.0281, 0.0647, 0.0622, 0.0506, 0.0281
0.0447,  359.15, 0.0591, 0.0651, 0.0736, 0.0086, 0.0591
0.0466,  374.76, 0.0737, 0.0789, 0.0751, 0.0852, 0.0737
0.0486,  390.38, 0.0719, 0.0638, 0.0835, 0.0837, 0.0719
0.0505,  405.99, 0.0657, 0.0634, 0.0807, 0.0761, 0.0657
0.0524,  421.61, 0.0826, 0.0461, 0.1014, 0.1103, 0.0826
0.0544,  437.22, 0.0949, 0.0628, 0.1137, 0.1182, 0.0949
0.0563,  452.84, 0.0973, 0.0969, 0.1059, 0.1181, 0.0973
0.0583,  468.45, 0.0951, 0.1329, 0.0980, 0.0606, 0.0951
0.0602,  484.07, 0.1038, 0.1169, 0.1090, 0.0360, 0.1038
0.0621,  499.68, 0.0983, 0.1737, 0.0976, 0.0949, 0.0983
0.0641,  515.30, 0.0812, 0.1894, 0.0941, 0.1431, 0.0812
0.0660,  530.91, 0.0836, 0.1075, 0.1155, 0.1471, 0.0836
0.0680,  546.53, 0.0742, 0.0927, 0.0860, 0.1516, 0.0742
0.0699,  562.15, 0.0294, 0.0584, 0.0362, 0.1440, 0.0294
0.0719,  577.76, 0.0219, 0.0432, 0.0313, 0.1091, 0.0219
0.0738,  593.38, 0.0441, 0.1478, 0.0585, 0.0739, 0.0441
0.0757,  608.99, 0.0242, 0.1319, 0.0352, 0.0413, 0.0242
0.0777,  624.61, 0.0106, 0.0352, 0.0105, 0.0658, 0.0106
0.0796,  640.22, 0.0191, 0.0563, 0.0458, 0.1337, 0.0191
0.0816,  655.84, 0.0327, 0.1466, 0.0022, 0.0811, 0.0327
0.0835,  671.45, 0.0270, 0.2141, 0.0631, 0.1083, 0.0270
0.0855,  687.07, 0.0287, 0.1340, 0.0719, 0.0251, 0.0287
0.0874,  702.68, 0.0299, 0.1139, 0.0698, 0.0212, 0.0299
0.0893,  718.30, 0.0399, 0.0832, 0.0294, 0.0915, 0.0399
0.0913,  733.91, 0.0753, 0.2076, 0.0427, 0.0777, 0.0753
0.0932,  749.53, 0.0842, 0.2298, 0.0922, 0.0616, 0.0842
0.0952,  765.14, 0.0623, 0.1694, 0.0426, 0.1068, 0.0623
0.0971,  780.76, 0.0781, 0.1360, 0.0819, 0.1783, 0.0781
0.0991,  796.37, 0.0347, 0.0956, 0.0248, 0.1317, 0.0347
0.1010,  811.99, 0.0165, 0.0384, 0.0240, 0.0380, 0.0165
0.1029,  827.60, 0.0456, 0.1249, 0.0996, 0.0699, 0.0456
0.1049,  843.22, 0.0803, 0.0457, 0.1094, 0.0895, 0.0803
0.1068,  858.83, 0.0730, 0.1130, 0.0618, 0.1602, 0.0730
0.1088,  874.45, 0.0244, 0.0498, 0.0303, 0.2174, 0.0244
0.1107,  890.06, 0.0718, 0.0649, 0.1273, 0.1179, 0.0718
0.1126,  905.68, 0.0443, 0.0130, 0.0634, 0.0219, 0.0443
0.1146,  921.29, 0.0671, 0.1024, 0.1094, 0.1300, 0.0671
0.1165,  936.91, 0.0582, 0.1815, 0.1097, 0.1062, 0.0582
0.1185,  952.52, 0.0250, 0.0919, 0.0664, 0.0889, 0.0250
0.1204,  968.14, 0.0675, 0.1269, 0.0678, 0.0945, 0.0675
0.1224,  983.75, 0.0408, 0.2328, 0.0167, 0.0718, 0.0408
0.1243,  999.37, 0.0569, 0.2102, 0.0388, 0.0970, 0.0569
0.1262, 1014.98, 0.0751, 0.1617, 0.0782, 0.0959, 0.0751
0.1282, 1030.60, 0.0866, 0.1018, 0.1587, 0.0954, 0.0866
0.1301, 1046.21, 0.1088, 0.1002, 0.1605, 0.0307, 0.1088
0.1321, 1061.83, 0.0818, 0.1985, 0.0812, 0.0766, 0.0818
0.1340, 1077.45, 0.0547, 0.1797, 0.0814, 0.0176, 0.0547
0.1360, 1093.06, 0.0197, 0.0636, 0.0311, 0.0945, 0.0197
0.1379, 1108.68, 0.0497, 0.1129, 0.0876, 0.1258, 0.0497
0.1398, 1124.29, 0.0745, 0.1040, 0.1386, 0.1535, 0.0745
0.1418, 1139.91, 0.0963, 0.2500, 0.2153, 0.1467, 0.0963
0.1437, 1155.52, 0.0638, 0.0597, 0.1126, 0.1345, 0.0638
0.1457, 1171.14, 0.0636, 0.1327, 0.1074, 0.1266, 0.0636
0.1476, 1186.75, 0.0709, 0.1241, 0.1277, 0.1161, 0.0709
0.1495, 1202.37, 0.0726, 0.1465, 0.1369, 0.0854, 0.0726
0.1515, 1217.98, 0.1142, 0.1697, 0.1610, 0.1955, 0.1142
0.1534, 1233.60, 0.0768, 0.0679, 0.0984, 0.1002, 0.0768
0.1554, 1249.21, 0.0379, 0.1663, 0.0768, 0.1503, 0.0379
0.1573, 1264.83, 0.0374, 0.2236, 0.1076, 0.1226, 0.0374
0.1593, 1280.44, 0.0230, 0.1322, 0.0694, 0.0276, 0.0230
0.1612, 1296.06, 0.0144, 0.1490, 0.0479, 0.0981, 0.0144
0.1631, 1311.67, 0.0325, 0.2309, 0.0265, 0.0678, 0.0325
0.1651, 1327.29, 0.0384, 0.2135, 0.0166, 0.1486, 0.0384
0.1670, 1342.90, 0.0176, 0.1803, 0.0492, 0.0636, 0.0176
0.1690, 1358.52, 0.0499, 0.1125, 0.1070, 0.0782, 0.0499
0.1709, 1374.13, 0.0734, 0.0768, 0.1329, 0.1015, 0.0734
0.1729, 1389.75, 0.0689, 0.1070, 0.1309, 0.0812, 0.0689
0.1748, 1405.36, 0.0632, 0.1898, 0.1439, 0.1267, 0.0632
0.1767, 1420.98, 0.0923, 0.2496, 0.1910, 0.0949, 0.0923
0.1787, 1436.59, 0.1057, 0.1975, 0.1907, 0.1282, 0.1057
0.1806, 1452.21, 0.0269, 0.1759, 0.0971, 0.1927, 0.0269
0.1826, 1467.82, 0.0432, 0.2516, 0.0400, 0.1558, 0.0432
0.1845, 1483.44, 0.0854, 0.2673, 0.0375, 0.0467, 0.0854
0.1864, 1499.05, 0.0815, 0.2435, 0.0857, 0.0525, 0.0815
0.1884, 1514.67, 0.0651, 0.1449, 0.1436, 0.1340, 0.0651
0.1903, 1530.28, 0.0595, 0.1858, 0.1066, 0.1292, 0.0595
0.1923, 1545.90, 0.0425, 0.1795, 0.0901, 0.0854, 0.0425
0.1942, 1561.51, 0.0120, 0.0856, 0.0452, 0.0790, 0.0120
0.1962, 1577.13, 0.0839, 0.2252, 0.1721, 0.0991, 0.0839
0.1981, 1592.74, 0.0718, 0.2090, 0.1428, 0.1253, 0.0718
0.2000, 1608.36, 0.0552, 0.1241, 0.0817, 0.0728, 0.0552
0.2020, 1623.98, 0.0469, 0.1303, 0.0634, 0.1071, 0.0469
0.2039, 1639.59, 0.0350, 0.0164, 0.0265, 0.1723, 0.0350
0.2059, 1655.21, 0.0823, 0.2857, 0.0581, 0.2031, 0.0823
0.2078, 1670.82, 0.1418, 0.3300, 0.1269, 0.2240, 0.1418
0.2098, 1686.44, 0.0982, 0.1615, 0.0982, 0.2312, 0.0982
0.2117, 1702.05, 0.0535, 0.0562, 0.0527, 0.1565, 0.0535
0.2136, 1717.67, 0.0199, 0.0242, 0.0248, 0.1173, 0.0199
0.2156, 1733.28, 0.0727, 0.1609, 0.0324, 0.2211, 0.0727
0.2175, 1748.90, 0.1121, 0.2424, 0.0644, 0.2628, 0.1121
0.2195, 1764.51, 0.0704, 0.0825, 0.0598, 0.1983, 0.0704
0.2214, 1780.13, 0.1601, 0.2008, 0.1631, 0.0287, 0.1601
0.2234, 1795.74, 0.1351, 0.1236, 0.1560, 0.1163, 0.1351
0.2253, 1811.36, 0.0255, 0.0910, 0.0560, 0.1992, 0.0255
0.2272, 1826.97, 0.0532, 0.3084, 0.0338, 0.1526, 0.0532
0.2292, 1842.59, 0.0183, 0.2624, 0.0758, 0.0456, 0.0183
0.2311, 1858.20, 0.0475, 0.0743, 0.0716, 0.0773, 0.0475
0.2331, 1873.82, 0.0452, 0.0607, 0.0394, 0.1151, 0.0452
0.2350, 1889.43, 0.0726, 0.1151, 0.0679, 0.0886, 0.0726
0.2369, 1905.05, 0.1255, 0.1626, 0.1325, 0.0510, 0.1255
0.2389, 1920.66, 0.1185, 0.1126, 0.1418, 0.0633, 0.1185
0.2408, 1936.28, 0.0836, 0.1719, 0.0836, 0.1281, 0.0836
0.2428, 1951.89, 0.1057, 0.2622, 0.1314, 0.1751, 0.1057
0.2447, 1967.51, 0.1623, 0.2642, 0.1590, 0.1313, 0.1623
0.2467, 1983.12, 0.1310, 0.2439, 0.1025, 0.0907, 0.1310
0.2486, 1998.74, 0.0193, 0.1302, 0.0243, 0.1335, 0.0193
0.2505, 2014.35, 0.0480, 0.1019, 0.0599, 0.2258, 0.0480
0.2525, 2029.97, 0.1323, 0.0977, 0.1689, 0.3106, 0.1323
0.2544, 2045.58, 0.2003, 0.0244, 0.2708, 0.2208, 0.2003
0.2564, 2061.20, 0.2068, 0.1292, 0.2557, 0.0689, 0.2068
0.2583, 2076.81, 0.1296, 0.1196, 0.1484, 0.0355, 0.1296
0.2603, 2092.43, 0.0292, 0.0474, 0.0206, 0.0690, 0.0292
0.2622, 2108.04, 0.0750, 0.0609, 0.0930, 0.1177, 0.0750
0.2641, 2123.66, 0.0912, 0.1363, 0.0941, 0.0739, 0.0912
0.2661, 2139.28, 0.0662, 0.2241, 0.0536, 0.0463, 0.0662
0.2680, 2154.89, 0.0212, 0.3170, 0.0533, 0.1203, 0.0212
0.2700, 2170.51, 0.0683, 0.4206, 0.0188, 0.1362, 0.0683
0.2719, 2186.12, 0.0763, 0.4430, 0.0404, 0.0945, 0.0763
0.2738, 2201.74, 0.0741, 0.3484, 0.0881, 0.1241, 0.0741
0.2758, 2217.35, 0.0559, 0.2419, 0.0291, 0.2172, 0.0559
0.2777, 2232.97, 0.0636, 0.1788, 0.0792, 0.2107, 0.0636
0.2797, 2248.58, 0.1149, 0.1801, 0.1239, 0.1194, 0.1149
0.2816, 2264.20, 0.1156, 0.2233, 0.0913, 0.1371, 0.1156
0.2836, 2279.81, 0.0800, 0.2229, 0.0485, 0.1217, 0.0800
0.2855, 2295.43, 0.0616, 0.2165, 0.0432, 0.1076, 0.0616
0.2874, 2311.04, 0.0690, 0.2377, 0.0376, 0.1000, 0.0690
0.2894, 2326.66, 0.0946, 0.2622, 0.0739, 0.1571, 0.0946
0.2913, 2342.27, 0.1666, 0.4319, 0.1264, 0.1623, 0.1666
0.2933, 2357.89, 0.1813, 0.4609, 0.1357, 0.1912, 0.1813
0.2952, 2373.50, 0.1280, 0.2134, 0.1359, 0.2562, 0.1280
0.2972, 2389.12, 0.0612, 0.0765, 0.0871, 0.2054, 0.0612
0.2991, 2404.73, 0.0496, 0.1473, 0.0337, 0.1222, 0.0496
0.3010, 2420.35, 0.1126, 0.2316, 0.0891, 0.0122, 0.1126
0.3030, 2435.96, 0.1588, 0.3356, 0.1185, 0.0562, 0.1588
0.3049, 2451.58, 0.1093, 0.2837, 0.0728, 0.0571, 0.1093
0.3069, 2467.19, 0.0642, 0.2378, 0.0513, 0.0776, 0.0642
0.3088, 2482.81, 0.0875, 0.2764, 0.0592, 0.0548, 0.0875
0.3107, 2498.42, 0.1860, 0.3127, 0.1678, 0.0991, 0.1860
0.3127, 2514.04, 0.1754, 0.2695, 0.1824, 0.1776, 0.1754
0.3146, 2529.65, 0.1326, 0.1935, 0.1445, 0.1797, 0.1326
0.3166, 2545.27, 0.0901, 0.1647, 0.0900, 0.1330, 0.0901
0.3185, 2560.88, 0.0499, 0.1787, 0.0491, 0.1077, 0.0499
0.3205, 2576.50, 0.0216, 0.0905, 0.0468, 0.0753, 0.0216
0.3224, 2592.11, 0.0231, 0.0852, 0.0332, 0.0379, 0.0231
0.3243, 2607.73, 0.0090, 0.1192, 0.0436, 0.0363, 0.0090
0.3263, 2623.34, 0.0432, 0.1554, 0.0199, 0.0548, 0.0432
0.3282, 2638.96, 0.0981, 0.1828, 0.0915, 0.0717, 0.0981
0.3302, 2654.57, 0.1010, 0.2032, 0.0972, 0.1021, 0.1010
0.3321, 2670.19, 0.0279, 0.1638, 0.0810, 0.0518, 0.0279
0.3341, 2685.81, 0.0390, 0.1609, 0.0953, 0.0547, 0.0390
0.3360, 2701.42, 0.0840, 0.1741, 0.0793, 0.0718, 0.0840
0.3379, 2717.04, 0.1236, 0.1987, 0.1094, 0.0519, 0.1236
0.3399, 2732.65, 0.0996, 0.1806, 0.0825, 0.0570, 0.0996
0.3418, 2748.27, 0.0817, 0.1914, 0.0550, 0.0464, 0.0817
0.3438, 2763.88, 0.1161, 0.2259, 0.0940, 0.0544, 0.1161
0.3457, 2779.50, 0.0962, 0.2166, 0.0721, 0.0940, 0.0962
0.3477, 2795.11, 0.0622, 0.2082, 0.0313, 0.1316, 0.0622
0.3496, 2810.73, 0.0436, 0.2015, 0.0149, 0.1232, 0.0436
0.3515, 2826.34, 0.0550, 0.1056, 0.0553, 0.0837, 0.0550
0.3535, 2841.96, 0.0492, 0.0527, 0.0813, 0.0217, 0.0492
0.3554, 2857.57, 0.0784, 0.0688, 0.1244, 0.1099, 0.0784
0.3574, 2873.19, 0.1515, 0.1220, 0.1655, 0.2167, 0.1515
