Imatest,24.2.6, Master, SFR
File,car_55.0 mm_1600ISO_+1EV_Dist2_ON_Defocus2.tiff
Run date,07-May-2025 12:10:20,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0019,   15.56, 0.9615, 0.9627, 0.9610, 0.9636, 0.9615
0.0039,   31.12, 0.8216, 0.8269, 0.8195, 0.8276, 0.8216
0.0058,   46.69, 0.6154, 0.6232, 0.6109, 0.6386, 0.6154
0.0077,   62.25, 0.3873, 0.3884, 0.3842, 0.4164, 0.3873
0.0097,   77.81, 0.1729, 0.1667, 0.1726, 0.1944, 0.1729
0.0116,   93.37, 0.0171, 0.0105, 0.0173, 0.0363, 0.0171
0.0135,  108.94, 0.0812, 0.0923, 0.0798, 0.0681, 0.0812
0.0155,  124.50, 0.1026, 0.1075, 0.1015, 0.1061, 0.1026
0.0174,  140.06, 0.0868, 0.0677, 0.0904, 0.1230, 0.0868
0.0194,  155.62, 0.0605, 0.0229, 0.0717, 0.0775, 0.0605
0.0213,  171.19, 0.0300, 0.0110, 0.0389, 0.0134, 0.0300
0.0232,  186.75, 0.0123, 0.0202, 0.0124, 0.0282, 0.0123
0.0252,  202.31, 0.0400, 0.0517, 0.0467, 0.0598, 0.0400
0.0271,  217.87, 0.0317, 0.0525, 0.0327, 0.0800, 0.0317
0.0290,  233.44, 0.0256, 0.0628, 0.0341, 0.0710, 0.0256
0.0310,  249.00, 0.0172, 0.0644, 0.0340, 0.0081, 0.0172
0.0329,  264.56, 0.0162, 0.0466, 0.0184, 0.0635, 0.0162
0.0348,  280.12, 0.0211, 0.0560, 0.0320, 0.0931, 0.0211
0.0368,  295.69, 0.0028, 0.0920, 0.0368, 0.0679, 0.0028
0.0387,  311.25, 0.0295, 0.1104, 0.0267, 0.0412, 0.0295
0.0406,  326.81, 0.0427, 0.0460, 0.0451, 0.0304, 0.0427
0.0426,  342.37, 0.0241, 0.0817, 0.0156, 0.0661, 0.0241
0.0445,  357.94, 0.0235, 0.0932, 0.0159, 0.0920, 0.0235
0.0465,  373.50, 0.0077, 0.0936, 0.0233, 0.0293, 0.0077
0.0484,  389.06, 0.0152, 0.1411, 0.0567, 0.0775, 0.0152
0.0503,  404.62, 0.0361, 0.1445, 0.0644, 0.0567, 0.0361
0.0523,  420.19, 0.0214, 0.0942, 0.0403, 0.0352, 0.0214
0.0542,  435.75, 0.0127, 0.0331, 0.0226, 0.0545, 0.0127
0.0561,  451.31, 0.0347, 0.0835, 0.0545, 0.0592, 0.0347
0.0581,  466.87, 0.0367, 0.1621, 0.0471, 0.1334, 0.0367
0.0600,  482.44, 0.0379, 0.1213, 0.0387, 0.1104, 0.0379
0.0619,  498.00, 0.0324, 0.0376, 0.0423, 0.1156, 0.0324
0.0639,  513.56, 0.0410, 0.0621, 0.0446, 0.0990, 0.0410
0.0658,  529.12, 0.0411, 0.1604, 0.0467, 0.0628, 0.0411
0.0677,  544.69, 0.0135, 0.1712, 0.0719, 0.0924, 0.0135
0.0697,  560.25, 0.0266, 0.0489, 0.0661, 0.1538, 0.0266
0.0716,  575.81, 0.0254, 0.0175, 0.0427, 0.1400, 0.0254
0.0736,  591.37, 0.0426, 0.0635, 0.0612, 0.1018, 0.0426
0.0755,  606.94, 0.0751, 0.1895, 0.1537, 0.0522, 0.0751
0.0774,  622.50, 0.0407, 0.3166, 0.1299, 0.0767, 0.0407
0.0794,  638.06, 0.0145, 0.2682, 0.0811, 0.1184, 0.0145
0.0813,  653.62, 0.0238, 0.2021, 0.1013, 0.1605, 0.0238
0.0832,  669.19, 0.0486, 0.1768, 0.0748, 0.1552, 0.0486
0.0852,  684.75, 0.0460, 0.1611, 0.0366, 0.1321, 0.0460
0.0871,  700.31, 0.0413, 0.0874, 0.0581, 0.0684, 0.0413
0.0890,  715.87, 0.0390, 0.0468, 0.0674, 0.0034, 0.0390
0.0910,  731.44, 0.0135, 0.1762, 0.0566, 0.0315, 0.0135
0.0929,  747.00, 0.0362, 0.1589, 0.0372, 0.0261, 0.0362
0.0948,  762.56, 0.0353, 0.0224, 0.0607, 0.1094, 0.0353
0.0968,  778.12, 0.0188, 0.0423, 0.0351, 0.1696, 0.0188
0.0987,  793.69, 0.0532, 0.1246, 0.0491, 0.1696, 0.0532
0.1007,  809.25, 0.1233, 0.1601, 0.1491, 0.1889, 0.1233
0.1026,  824.81, 0.1072, 0.1405, 0.1813, 0.1483, 0.1072
0.1045,  840.37, 0.0322, 0.1324, 0.0848, 0.0511, 0.0322
0.1065,  855.93, 0.0199, 0.1417, 0.0213, 0.0574, 0.0199
0.1084,  871.50, 0.0369, 0.2293, 0.0705, 0.0684, 0.0369
0.1103,  887.06, 0.0433, 0.2299, 0.0480, 0.0152, 0.0433
0.1123,  902.62, 0.0615, 0.1138, 0.0529, 0.0025, 0.0615
0.1142,  918.18, 0.0603, 0.1394, 0.0505, 0.0163, 0.0603
0.1161,  933.75, 0.0436, 0.1729, 0.0829, 0.0595, 0.0436
0.1181,  949.31, 0.0735, 0.1112, 0.0849, 0.0237, 0.0735
0.1200,  964.87, 0.0948, 0.0602, 0.1260, 0.1061, 0.0948
