Imatest,24.2.6, Master, SFR
File,car_55.0 mm_1600ISO_-3EV_Dist2_ON_Focused.tiff
Run date,12-May-2025 17:47:35,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.78, 0.9780, 0.9930, 0.9771, 0.9460, 0.9780
0.0062,   49.55, 0.8681, 0.9049, 0.8606, 0.8480, 0.8681
0.0092,   74.33, 0.6906, 0.7413, 0.6727, 0.7418, 0.6906
0.0123,   99.10, 0.5186, 0.5226, 0.5128, 0.5726, 0.5186
0.0154,  123.88, 0.4253, 0.3637, 0.4396, 0.4533, 0.4253
0.0185,  148.65, 0.4133, 0.4197, 0.4118, 0.4453, 0.4133
0.0216,  173.43, 0.4066, 0.5081, 0.3782, 0.4880, 0.4066
0.0247,  198.20, 0.4104, 0.3492, 0.4224, 0.4807, 0.4104
0.0277,  222.98, 0.4212, 0.4071, 0.4564, 0.4129, 0.4212
0.0308,  247.75, 0.3941, 0.5839, 0.3625, 0.2960, 0.3941
0.0339,  272.53, 0.3313, 0.5177, 0.3296, 0.2199, 0.3313
0.0370,  297.30, 0.2255, 0.5137, 0.2399, 0.3306, 0.2255
0.0401,  322.08, 0.1042, 0.2074, 0.1248, 0.4096, 0.1042
0.0431,  346.85, 0.0779, 0.1340, 0.1444, 0.3915, 0.0779
0.0462,  371.63, 0.0739, 0.2629, 0.1583, 0.2634, 0.0739
0.0493,  396.40, 0.0470, 0.1459, 0.1113, 0.2406, 0.0470
0.0524,  421.18, 0.0624, 0.1864, 0.1226, 0.2643, 0.0624
0.0555,  445.95, 0.0721, 0.3081, 0.0933, 0.1795, 0.0721
0.0585,  470.73, 0.0995, 0.2758, 0.0749, 0.1154, 0.0995
0.0616,  495.50, 0.1985, 0.1016, 0.2648, 0.1969, 0.1985
0.0647,  520.28, 0.2547, 0.2194, 0.3822, 0.0609, 0.2547
0.0678,  545.05, 0.1726, 0.1745, 0.2657, 0.2608, 0.1726
0.0709,  569.83, 0.1256, 0.3754, 0.2539, 0.2887, 0.1256
0.0740,  594.60, 0.1597, 0.6394, 0.4079, 0.2479, 0.1597
0.0770,  619.38, 0.1167, 0.9548, 0.1090, 0.1710, 0.1167
0.0801,  644.15, 0.3310, 0.9127, 0.2873, 0.3190, 0.3310
0.0832,  668.93, 0.1678, 0.6997, 0.3108, 0.3478, 0.1678
0.0863,  693.70, 0.1559, 0.2197, 0.2389, 0.5437, 0.1559
0.0894,  718.48, 0.1408, 0.2635, 0.1149, 0.5707, 0.1408
0.0924,  743.25, 0.2057, 0.4234, 0.3355, 0.3298, 0.2057
0.0955,  768.03, 0.1480, 0.5250, 0.3077, 0.1361, 0.1480
0.0986,  792.80, 0.2055, 0.4631, 0.1923, 0.3421, 0.2055
0.1017,  817.58, 0.2185, 0.9850, 0.1614, 0.3282, 0.2185
0.1048,  842.35, 0.1102, 1.2359, 0.1932, 0.1502, 0.1102
0.1079,  867.13, 0.0495, 0.8553, 0.3435, 0.5355, 0.0495
0.1109,  891.90, 0.2022, 0.6261, 0.4546, 0.3910, 0.2022
0.1140,  916.68, 0.1691, 0.2023, 0.2700, 0.5811, 0.1691
0.1171,  941.45, 0.2332, 0.4786, 0.2683, 0.5349, 0.2332
0.1202,  966.23, 0.2084, 0.5496, 0.4388, 0.3457, 0.2084
0.1233,  991.01, 0.0318, 0.8798, 0.2178, 0.0400, 0.0318
0.1263, 1015.78, 0.1051, 1.4220, 0.4466, 0.0746, 0.1051
0.1294, 1040.56, 0.1088, 0.9323, 0.1560, 0.2632, 0.1088
0.1325, 1065.33, 0.1900, 0.6222, 0.2615, 0.0867, 0.1900
0.1356, 1090.11, 0.2245, 0.3124, 0.4117, 0.5065, 0.2245
0.1387, 1114.88, 0.3713, 0.6242, 0.4749, 0.5849, 0.3713
0.1417, 1139.66, 0.3291, 0.9873, 0.4296, 0.9570, 0.3291
0.1448, 1164.43, 0.3076, 1.0327, 0.1956, 0.7667, 0.3076
