Imatest,24.2.6, Master, SFR
File,car_55.0 mm_1600ISO_0EV_Dist2_OFF_Defocus2.tiff
Run date,12-May-2025 17:27:35,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.75, 0.8929, 0.8910, 0.8941, 0.8866, 0.8929
0.0062,   49.51, 0.5916, 0.6189, 0.5819, 0.6069, 0.5916
0.0092,   74.26, 0.2527, 0.2492, 0.2550, 0.2445, 0.2527
0.0123,   99.01, 0.0059, 0.0247, 0.0155, 0.0119, 0.0059
0.0154,  123.77, 0.1029, 0.0832, 0.1124, 0.0899, 0.1029
0.0185,  148.52, 0.0740, 0.0492, 0.0796, 0.0956, 0.0740
0.0216,  173.28, 0.0130, 0.0189, 0.0099, 0.0480, 0.0130
0.0246,  198.03, 0.0276, 0.0587, 0.0202, 0.0815, 0.0276
0.0277,  222.78, 0.0407, 0.1448, 0.0156, 0.0806, 0.0407
0.0308,  247.54, 0.0279, 0.0950, 0.0344, 0.0125, 0.0279
0.0339,  272.29, 0.0132, 0.0778, 0.0041, 0.0348, 0.0132
0.0369,  297.04, 0.0239, 0.0529, 0.0285, 0.0176, 0.0239
0.0400,  321.80, 0.0202, 0.0327, 0.0207, 0.0119, 0.0202
0.0431,  346.55, 0.0120, 0.0679, 0.0355, 0.0247, 0.0120
0.0462,  371.31, 0.0186, 0.0799, 0.0144, 0.0336, 0.0186
0.0493,  396.06, 0.0265, 0.0909, 0.0251, 0.0802, 0.0265
0.0523,  420.81, 0.0387, 0.0795, 0.0377, 0.0544, 0.0387
0.0554,  445.57, 0.0493, 0.0722, 0.0671, 0.0857, 0.0493
0.0585,  470.32, 0.0403, 0.0270, 0.0636, 0.0581, 0.0403
0.0616,  495.07, 0.0441, 0.0298, 0.0733, 0.1018, 0.0441
0.0647,  519.83, 0.0762, 0.0689, 0.1129, 0.1387, 0.0762
0.0677,  544.58, 0.0768, 0.0827, 0.1114, 0.1193, 0.0768
0.0708,  569.33, 0.0332, 0.1349, 0.0910, 0.1669, 0.0332
0.0739,  594.09, 0.0126, 0.2011, 0.0451, 0.1328, 0.0126
0.0770,  618.84, 0.0394, 0.0978, 0.0479, 0.1320, 0.0394
0.0800,  643.60, 0.0275, 0.0751, 0.0595, 0.1037, 0.0275
0.0831,  668.35, 0.0265, 0.1209, 0.0092, 0.0768, 0.0265
0.0862,  693.10, 0.0581, 0.0534, 0.1059, 0.1272, 0.0581
0.0893,  717.86, 0.0625, 0.1300, 0.1140, 0.0973, 0.0625
0.0924,  742.61, 0.0499, 0.2578, 0.0677, 0.1073, 0.0499
0.0954,  767.36, 0.0247, 0.1509, 0.0241, 0.0212, 0.0247
0.0985,  792.12, 0.0254, 0.0985, 0.0401, 0.0718, 0.0254
0.1016,  816.87, 0.0230, 0.2232, 0.0511, 0.1355, 0.0230
0.1047,  841.63, 0.0712, 0.1285, 0.0534, 0.1285, 0.0712
0.1078,  866.38, 0.0508, 0.1543, 0.1043, 0.1225, 0.0508
0.1108,  891.13, 0.0288, 0.1765, 0.0150, 0.1609, 0.0288
0.1139,  915.89, 0.0047, 0.0505, 0.0060, 0.0569, 0.0047
0.1170,  940.64, 0.0322, 0.2132, 0.0568, 0.2105, 0.0322
0.1201,  965.39, 0.0246, 0.2926, 0.0535, 0.2084, 0.0246
0.1232,  990.15, 0.0493, 0.2326, 0.0460, 0.1918, 0.0493
0.1262, 1014.90, 0.0228, 0.0812, 0.0117, 0.1786, 0.0228
0.1293, 1039.65, 0.0468, 0.2167, 0.0260, 0.1750, 0.0468
0.1324, 1064.41, 0.1108, 0.2394, 0.1048, 0.1228, 0.1108
0.1355, 1089.16, 0.0893, 0.2787, 0.0878, 0.1422, 0.0893
