Imatest,24.2.6, Master, SFR
File,car_55.0 mm_1600ISO_0EV_Dist2_OFF_Focused.tiff
Run date,12-May-2025 17:27:35,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.86, 1.0040, 1.0016, 1.0043, 1.0080, 1.0040
0.0062,   49.71, 1.0011, 0.9919, 1.0035, 1.0047, 1.0011
0.0093,   74.57, 0.9891, 0.9702, 0.9945, 0.9906, 0.9891
0.0124,   99.42, 0.9771, 0.9583, 0.9821, 0.9829, 0.9771
0.0155,  124.28, 0.9711, 0.9643, 0.9707, 0.9984, 0.9711
0.0185,  149.13, 0.9623, 0.9379, 0.9669, 0.9919, 0.9623
0.0216,  173.99, 0.9549, 0.9068, 0.9698, 0.9473, 0.9549
0.0247,  198.84, 0.9501, 0.9165, 0.9618, 0.9400, 0.9501
0.0278,  223.70, 0.9416, 0.9223, 0.9478, 0.9438, 0.9416
0.0309,  248.55, 0.9424, 0.9523, 0.9418, 0.9315, 0.9424
0.0340,  273.41, 0.9315, 0.9707, 0.9232, 0.9191, 0.9315
0.0371,  298.26, 0.9093, 0.9470, 0.8989, 0.9181, 0.9093
0.0402,  323.12, 0.9005, 0.9191, 0.8939, 0.9213, 0.9005
0.0433,  347.97, 0.8836, 0.8453, 0.8911, 0.9328, 0.8836
0.0464,  372.83, 0.8553, 0.8050, 0.8668, 0.9158, 0.8553
0.0495,  397.68, 0.8528, 0.8935, 0.8415, 0.8606, 0.8528
0.0526,  422.54, 0.8793, 0.9819, 0.8542, 0.8416, 0.8793
0.0556,  447.39, 0.8736, 0.9696, 0.8525, 0.8120, 0.8736
0.0587,  472.25, 0.8219, 0.8994, 0.8093, 0.7393, 0.8219
0.0618,  497.10, 0.8197, 0.8040, 0.8345, 0.7256, 0.8197
0.0649,  521.96, 0.8580, 0.7641, 0.8961, 0.7665, 0.8580
0.0680,  546.81, 0.8721, 0.8262, 0.8988, 0.7573, 0.8721
0.0711,  571.67, 0.8719, 0.9066, 0.8811, 0.6928, 0.8719
0.0742,  596.52, 0.8569, 0.9121, 0.8701, 0.6367, 0.8569
0.0773,  621.38, 0.8503, 0.8529, 0.8868, 0.6128, 0.8503
0.0804,  646.23, 0.8659, 0.8032, 0.9145, 0.6387, 0.8659
0.0835,  671.09, 0.8503, 0.7358, 0.9025, 0.7056, 0.8503
0.0866,  695.94, 0.7993, 0.6316, 0.8593, 0.6963, 0.7993
0.0897,  720.80, 0.7549, 0.6125, 0.8084, 0.6443, 0.7549
0.0927,  745.66, 0.7613, 0.6093, 0.8190, 0.6384, 0.7613
0.0958,  770.51, 0.7989, 0.6430, 0.8665, 0.6065, 0.7989
0.0989,  795.37, 0.8128, 0.7774, 0.8657, 0.5720, 0.8128
0.1020,  820.22, 0.7756, 0.7795, 0.8135, 0.5855, 0.7756
0.1051,  845.08, 0.7178, 0.6150, 0.7722, 0.5443, 0.7178
0.1082,  869.93, 0.6884, 0.5148, 0.7694, 0.4835, 0.6884
0.1113,  894.79, 0.6979, 0.5825, 0.7657, 0.5040, 0.6979
0.1144,  919.64, 0.7031, 0.6201, 0.7590, 0.4518, 0.7031
0.1175,  944.50, 0.6815, 0.5277, 0.7590, 0.3850, 0.6815
0.1206,  969.35, 0.6838, 0.5232, 0.7642, 0.3798, 0.6838
0.1237,  994.21, 0.6828, 0.5369, 0.7643, 0.3606, 0.6828
0.1267, 1019.06, 0.6638, 0.5721, 0.7229, 0.4826, 0.6638
0.1298, 1043.92, 0.6598, 0.7240, 0.6690, 0.5903, 0.6598
0.1329, 1068.77, 0.6052, 0.5653, 0.6310, 0.5467, 0.6052
0.1360, 1093.63, 0.5465, 0.4169, 0.5956, 0.5140, 0.5465
0.1391, 1118.48, 0.5346, 0.5892, 0.5176, 0.5566, 0.5346
0.1422, 1143.34, 0.5407, 0.6247, 0.5245, 0.5281, 0.5407
0.1453, 1168.19, 0.5548, 0.5186, 0.5877, 0.4613, 0.5548
0.1484, 1193.05, 0.5411, 0.5213, 0.5638, 0.4393, 0.5411
0.1515, 1217.90, 0.5188, 0.5712, 0.5345, 0.3612, 0.5188
0.1546, 1242.76, 0.4937, 0.4620, 0.5504, 0.3457, 0.4937
0.1577, 1267.61, 0.4651, 0.4010, 0.5034, 0.3650, 0.4651
0.1608, 1292.47, 0.4532, 0.5832, 0.4212, 0.4419, 0.4532
0.1638, 1317.32, 0.4178, 0.4903, 0.4063, 0.4509, 0.4178
0.1669, 1342.18, 0.3800, 0.1778, 0.4674, 0.3087, 0.3800
0.1700, 1367.03, 0.3872, 0.0407, 0.5011, 0.2633, 0.3872
0.1731, 1391.89, 0.3980, 0.2141, 0.4606, 0.3293, 0.3980
0.1762, 1416.74, 0.4183, 0.3397, 0.4585, 0.2678, 0.4183
0.1793, 1441.60, 0.4188, 0.4018, 0.4528, 0.2262, 0.4188
0.1824, 1466.46, 0.3790, 0.4313, 0.4070, 0.2981, 0.3790
