Imatest,24.2.6, Master, SFR
File,car_55.0 mm_25600ISO_+1EV_Dist2_OFF_Focused.tiff
Run date,07-May-2025 12:12:22,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0019,   15.58, 0.9994, 1.0006, 1.0005, 0.9880, 0.9994
0.0039,   31.15, 0.9704, 0.9685, 0.9714, 0.9675, 0.9704
0.0058,   46.73, 0.9192, 0.9492, 0.9133, 0.9051, 0.9192
0.0077,   62.30, 0.8503, 0.9315, 0.8327, 0.8371, 0.8503
0.0097,   77.88, 0.7567, 0.7742, 0.7480, 0.8085, 0.7567
0.0116,   93.45, 0.6856, 0.6580, 0.6976, 0.6740, 0.6856
0.0136,  109.03, 0.5921, 0.6066, 0.5969, 0.5130, 0.5921
0.0155,  124.60, 0.4694, 0.5805, 0.4623, 0.4240, 0.4694
0.0174,  140.18, 0.4224, 0.4914, 0.4339, 0.1973, 0.4224
0.0194,  155.75, 0.3868, 0.4704, 0.4228, 0.1219, 0.3868
0.0213,  171.33, 0.2928, 0.2775, 0.3430, 0.1316, 0.2928
0.0232,  186.90, 0.2135, 0.0500, 0.2542, 0.2587, 0.2135
0.0252,  202.48, 0.2472, 0.3470, 0.2104, 0.3723, 0.2472
0.0271,  218.05, 0.2606, 0.5808, 0.1602, 0.5238, 0.2606
0.0291,  233.63, 0.2476, 0.4931, 0.1772, 0.5384, 0.2476
0.0310,  249.21, 0.3407, 0.3034, 0.3451, 0.3970, 0.3407
0.0329,  264.78, 0.4091, 0.4235, 0.4069, 0.4918, 0.4091
0.0349,  280.36, 0.4091, 0.7158, 0.3157, 0.5928, 0.4091
0.0368,  295.93, 0.4522, 0.7388, 0.3907, 0.4342, 0.4522
0.0387,  311.51, 0.4120, 0.3501, 0.4396, 0.4313, 0.4120
0.0407,  327.08, 0.3509, 0.2404, 0.4168, 0.5483, 0.3509
0.0426,  342.66, 0.3650, 0.5148, 0.4204, 0.6060, 0.3650
0.0446,  358.23, 0.3558, 0.6003, 0.4123, 0.4748, 0.3558
0.0465,  373.81, 0.2905, 0.6990, 0.3668, 0.2447, 0.2905
0.0484,  389.38, 0.3000, 0.4791, 0.3332, 0.3581, 0.3000
0.0504,  404.96, 0.4238, 0.4147, 0.5034, 0.3218, 0.4238
0.0523,  420.53, 0.4818, 0.3471, 0.6286, 0.5026, 0.4818
0.0542,  436.11, 0.3767, 0.4537, 0.6195, 0.2208, 0.3767
0.0562,  451.69, 0.1719, 0.3716, 0.3203, 0.2224, 0.1719
0.0581,  467.26, 0.0804, 0.5985, 0.1392, 0.4083, 0.0804
0.0601,  482.84, 0.1925, 0.9682, 0.2783, 0.2551, 0.1925
0.0620,  498.41, 0.2726, 0.7501, 0.3865, 0.3420, 0.2726
0.0639,  513.99, 0.2343, 0.3487, 0.2611, 0.6249, 0.2343
0.0659,  529.56, 0.0736, 0.6897, 0.1335, 0.7970, 0.0736
0.0678,  545.14, 0.1272, 0.4778, 0.3560, 0.8234, 0.1272
0.0697,  560.71, 0.2976, 0.1306, 0.4691, 0.5536, 0.2976
0.0717,  576.29, 0.4287, 0.4908, 0.5682, 0.3036, 0.4287
0.0736,  591.86, 0.5663, 0.7417, 0.6430, 0.2133, 0.5663
0.0756,  607.44, 0.4618, 0.5883, 0.5220, 0.2903, 0.4618
0.0775,  623.01, 0.1722, 0.3782, 0.1394, 0.3557, 0.1722
