Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3495  2005  3819  2570 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 17:36:31,12-May-2025 17:36:31,12-May-2025 17:36:31,12-May-2025 17:36:31,12-May-2025 17:36:31,12-May-2025 17:36:31,12-May-2025 17:36:31,
File, car_55.0 mm_6400ISO_-1EV_Dist2_ON_Focused.tiff,car_55.0 mm_25600ISO_-1EV_Dist2_OFF_Defocus1.tiff,car_55.0 mm_25600ISO_-1EV_Dist2_OFF_Defocus2.tiff,car_55.0 mm_25600ISO_-1EV_Dist2_OFF_Focused.tiff,car_55.0 mm_25600ISO_-1EV_Dist2_ON_Defocus1.tiff,car_55.0 mm_25600ISO_-1EV_Dist2_ON_Defocus2.tiff,car_55.0 mm_25600ISO_-1EV_Dist2_ON_Focused.tiff,
Camera, , , , , , , 
Lens, , , , , , , 
ISO speed, , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0272,  0.0125,  0.0063,  0.0114,  0.0127,  0.0017,  0.0049
R1090 (pxl) Mean Ctr, 14.7250, 167.1645, 25.6281, 17.8660, 27.6612, 249.9291, 140.3758
CA (pxl) Mean Ctr,  6.1095, 327.7954, 54.2499,  4.5690,  9.7141, 310.8342, 206.8175
MTF50 (LW/PH) Mean Ctr,    218.9,    100.4,     50.9,     91.9,    102.2,     13.8,     39.3
R1090 (/PH) Mean Ctr,    273.0,     24.0,    156.9,    225.0,    145.3,     16.1,     28.6
Peak MTF Mean Ctr,   1.000,   2.490,   3.005,   2.348,   2.937,  25.049,   5.799
MTF50P (Cy/Pxl) Mean Ctr,  0.0272,  0.4620,  0.4030,  0.4938,  0.4594,  0.3357,  0.5060
MTF50P (LW/PH) Mean Ctr,    218.9,   3714.4,   3239.9,   3970.2,   3694.0,   2699.1,   4068.3
MTF20 (Cy/Pxl) Mean Ctr,  0.0410,  0.0223,  0.0102,  0.0378,  0.0178,  0.0175,  0.0079
MTF20 (LW/PH) Mean Ctr,    329.3,    179.4,     82.2,    303.9,    143.3,    141.0,     63.7
LSF PW50 (pxl) Mean Ctr,  0.2881,  0.3234,  0.2797,  0.2332,  0.3393,  0.3962,  0.3245
CA (area %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (crossing %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (R-G %) Mean Ctr,  0.77233, 14.37445,  1.10459, -1.88641,  3.47725,  0.00000, 32.26998
CA (B-G %) Mean Ctr,  1.42886, 24.26887, -42.89753,  4.65052, -9.21667,  0.00000, -18.34980
MTF50C (Cy/Pxl) Mean Ctr,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
MTF Area PkNorm (Cy/Pxl) Mean Ctr,  0.1680,  0.1541,  0.1600,  0.1741,  0.1513,  0.1433,  0.1279
s1-MTF50. Mean Ctr,     0.02723,     0.01249,     0.00633,     0.01142,     0.01271,         NaN,     0.00489
Shannon capacity Mean Ctr,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_4 Mean Ctr,  0.05,  0.04,  0.05,  0.06,  0.05,  0.02,  0.00
Info Capacity C_max Mean Ctr,  1.28,  1.28,  1.51,  1.36,  1.43,  3.08,  3.82
SNRi 2x8 pixels Mean Ctr,  5.39,  2.17,  0.94,  4.14,  3.86, -2.24, -13.18
Edge location sigma 2x8 Mean Ctr,  2.39,  3.29,  3.92,  2.69,  2.53,  6.06, 17.64

MTF50 (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
R1090 (pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
CA (pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50 (LW/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
R1090 (/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
Peak MTF Mean Pt Wy,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
MTF50P (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50P (LW/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
MTF20 (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF20 (LW/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
LSF PW50 (pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
CA (area %) Mean Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (crossing %) Mean Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (R-G %) Mean Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (B-G %) Mean Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
MTF50C (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF Area PkNorm (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
s1-MTF50. Mean Pt Wy,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000
Shannon capacity Mean Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_4 Mean Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_max Mean Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
