Imatest,24.2.6, Master, SFR
File,car_55.0 mm_25600ISO_-2EV_Dist2_OFF_Focused.tiff
Run date,12-May-2025 17:41:50,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.75, 0.6718, 0.7888, 0.8220, 0.8122, 0.6718
0.0062,   49.49, 0.3642, 0.3585, 0.3936, 0.3954, 0.3642
0.0092,   74.24, 0.6917, 0.2058, 0.2355, 0.2284, 0.6917
0.0123,   98.99, 0.9906, 0.1664, 0.2646, 0.1563, 0.9906
0.0154,  123.74, 1.0676, 0.1518, 0.2760, 0.1353, 1.0676
0.0185,  148.48, 1.1929, 0.1528, 0.2567, 0.1878, 1.1929
0.0215,  173.23, 1.3230, 0.1149, 0.2444, 0.1719, 1.3230
0.0246,  197.98, 1.3599, 0.1483, 0.3416, 0.1106, 1.3599
0.0277,  222.73, 1.2286, 0.1816, 0.3476, 0.0981, 1.2286
0.0308,  247.47, 1.1199, 0.1298, 0.2252, 0.2423, 1.1199
0.0339,  272.22, 1.1125, 0.0994, 0.2243, 0.3051, 1.1125
0.0369,  296.97, 0.6635, 0.0927, 0.2707, 0.3280, 0.6635
0.0400,  321.72, 2.2257, 0.0995, 0.3413, 0.4226, 2.2257
0.0431,  346.46, 4.1140, 0.1758, 0.5163, 0.3990, 4.1140
0.0462,  371.21, 4.1249, 0.1569, 0.5727, 0.2324, 4.1249
0.0492,  395.96, 1.8744, 0.1295, 0.4108, 0.1570, 1.8744
0.0523,  420.70, 1.0868, 0.1879, 0.1660, 0.2164, 1.0868
0.0554,  445.45, 2.6134, 0.1659, 0.2171, 0.3180, 2.6134
0.0585,  470.20, 2.4468, 0.1894, 0.2050, 0.2888, 2.4468
0.0616,  494.95, 3.6540, 0.2408, 0.2781, 0.1919, 3.6540
0.0646,  519.69, 5.6954, 0.2130, 0.6429, 0.3477, 5.6954
0.0677,  544.44, 5.6896, 0.1873, 0.7464, 0.3743, 5.6896
0.0708,  569.19, 3.7369, 0.1110, 0.5450, 0.2352, 3.7369
0.0739,  593.94, 2.4940, 0.1248, 0.5733, 0.1457, 2.4940
0.0770,  618.68, 2.2183, 0.3602, 0.6477, 0.2114, 2.2183
0.0800,  643.43, 3.2994, 0.4753, 0.3877, 0.3594, 3.2994
0.0831,  668.18, 4.5775, 0.3879, 0.1389, 0.4378, 4.5775
0.0862,  692.93, 3.8072, 0.1963, 0.3035, 0.3878, 3.8072
0.0893,  717.67, 2.5874, 0.2498, 0.3105, 0.2741, 2.5874
0.0923,  742.42, 2.3122, 0.2961, 0.1964, 0.1467, 2.3122
0.0954,  767.17, 0.6845, 0.1247, 0.0838, 0.0378, 0.6845
0.0985,  791.92, 2.2469, 0.1680, 0.1797, 0.0745, 2.2469
0.1016,  816.66, 4.8736, 0.4204, 0.2486, 0.0827, 4.8736
0.1047,  841.41, 6.5574, 0.5511, 0.1874, 0.3722, 6.5574
0.1077,  866.16, 7.8230, 0.5283, 0.4304, 0.5138, 7.8230
0.1108,  890.90, 8.2776, 0.4057, 0.7026, 0.3519, 8.2776
0.1139,  915.65, 7.4761, 0.3655, 0.6316, 0.2916, 7.4761
0.1170,  940.40, 6.2812, 0.4032, 0.3857, 0.3972, 6.2812
0.1200,  965.15, 5.3591, 0.4329, 0.4422, 0.2724, 5.3591
0.1231,  989.89, 4.6501, 0.4726, 0.4136, 0.3513, 4.6501
0.1262, 1014.64, 4.1079, 0.5045, 0.1161, 0.3827, 4.1079
0.1293, 1039.39, 3.0669, 0.4508, 0.2776, 0.1015, 3.0669
0.1324, 1064.14, 1.1875, 0.3236, 0.5770, 0.3089, 1.1875
0.1354, 1088.88, 3.0948, 0.3254, 0.6664, 0.5158, 3.0948
0.1385, 1113.63, 4.7579, 0.3991, 0.5281, 0.5044, 4.7579
0.1416, 1138.38, 4.4469, 0.4153, 0.3361, 0.3969, 4.4469
0.1447, 1163.13, 4.5281, 0.3070, 0.4289, 0.2382, 4.5281
0.1477, 1187.87, 5.4585, 0.3049, 0.5095, 0.1305, 5.4585
0.1508, 1212.62, 3.7799, 0.4761, 0.4381, 0.3231, 3.7799
0.1539, 1237.37, 1.6913, 0.4503, 0.5222, 0.4294, 1.6913
0.1570, 1262.11, 6.0857, 0.4037, 0.6345, 0.3493, 6.0857
0.1601, 1286.86, 7.6076, 0.4958, 0.5000, 0.2019, 7.6076
0.1631, 1311.61, 6.3762, 0.6236, 0.1426, 0.1396, 6.3762
0.1662, 1336.36, 5.4321, 0.7971, 0.3957, 0.1885, 5.4321
0.1693, 1361.10, 6.8763, 0.7753, 0.7798, 0.3771, 6.8763
0.1724, 1385.85, 6.8320, 0.5014, 0.6998, 0.4803, 6.8320
0.1754, 1410.60, 5.6467, 0.3344, 0.4465, 0.5769, 5.6467
0.1785, 1435.35, 8.9149, 0.5683, 0.7065, 0.6790, 8.9149
0.1816, 1460.09,10.4712, 0.7409, 0.7520, 0.6168,10.4712
0.1847, 1484.84, 9.2411, 0.7097, 0.6932, 0.5168, 9.2411
0.1878, 1509.59, 8.6952, 0.6417, 0.7610, 0.5603, 8.6952
0.1908, 1534.34, 9.4189, 0.6837, 0.9380, 0.5734, 9.4189
0.1939, 1559.08,10.3081, 0.6606, 1.1373, 0.4400,10.3081
0.1970, 1583.83, 8.7477, 0.4409, 0.9476, 0.1761, 8.7477
0.2001, 1608.58, 5.0618, 0.3426, 0.3043, 0.1678, 5.0618
0.2031, 1633.33, 6.0092, 0.5283, 0.5417, 0.3765, 6.0092
0.2062, 1658.07, 7.9171, 0.5461, 0.7668, 0.4285, 7.9171
0.2093, 1682.82, 5.3038, 0.5565, 0.2401, 0.4543, 5.3038
0.2124, 1707.57, 5.2450, 0.6623, 0.9483, 0.5614, 5.2450
0.2155, 1732.31,12.0292, 0.6678, 1.7948, 0.5792,12.0292
0.2185, 1757.06,15.7221, 0.6782, 2.0257, 0.4222,15.7221
0.2216, 1781.81,14.7985, 0.6461, 1.8203, 0.2732,14.7985
0.2247, 1806.56,11.3557, 0.4136, 1.4733, 0.3801,11.3557
0.2278, 1831.30, 6.4700, 0.1959, 0.9312, 0.5847, 6.4700
0.2309, 1856.05, 0.8779, 0.2863, 0.6916, 0.6926, 0.8779
0.2339, 1880.80, 3.5205, 0.3306, 0.9005, 0.6111, 3.5205
0.2370, 1905.55, 2.1572, 0.2452, 0.6079, 0.4306, 2.1572
0.2401, 1930.29, 1.9678, 0.1584, 0.2549, 0.3009, 1.9678
0.2432, 1955.04, 4.0514, 0.1910, 0.4220, 0.2357, 4.0514
0.2462, 1979.79, 2.9796, 0.1870, 0.3375, 0.1570, 2.9796
0.2493, 2004.54, 3.0311, 0.2764, 0.3285, 0.1599, 3.0311
0.2524, 2029.28, 5.0551, 0.3859, 0.6615, 0.1986, 5.0551
0.2555, 2054.03, 6.4451, 0.3874, 0.9812, 0.1267, 6.4451
0.2586, 2078.78, 6.0179, 0.3494, 0.9975, 0.2190, 6.0179
0.2616, 2103.52, 4.6725, 0.3352, 1.0296, 0.3243, 4.6725
0.2647, 2128.27, 6.7957, 0.2936, 1.4895, 0.4016, 6.7957
0.2678, 2153.02,10.3285, 0.2654, 1.8835, 0.6372,10.3285
0.2709, 2177.77,10.3557, 0.2956, 1.7389, 0.8040,10.3557
0.2739, 2202.51, 7.8803, 0.3722, 1.1707, 0.7301, 7.8803
0.2770, 2227.26, 7.0116, 0.3942, 0.7637, 0.5077, 7.0116
0.2801, 2252.01, 4.0676, 0.2572, 0.4521, 0.2989, 4.0676
0.2832, 2276.76, 3.0215, 0.2482, 0.3253, 0.1394, 3.0215
0.2863, 2301.50, 9.1864, 0.4206, 0.9508, 0.1666, 9.1864
0.2893, 2326.25, 9.9984, 0.3985, 1.0917, 0.2467, 9.9984
0.2924, 2351.00, 9.7396, 0.2998, 1.1263, 0.3807, 9.7396
0.2955, 2375.75,14.0686, 0.4918, 1.4989, 0.4965,14.0686
0.2986, 2400.49,16.1355, 0.6624, 1.5949, 0.4251,16.1355
0.3016, 2425.24,14.2244, 0.6557, 1.3545, 0.2515,14.2244
0.3047, 2449.99,11.0586, 0.5033, 1.1345, 0.3679,11.0586
0.3078, 2474.74,11.2718, 0.3330, 1.3807, 0.4116,11.2718
0.3109, 2499.48,14.0726, 0.3032, 1.8656, 0.2158,14.0726
0.3140, 2524.23,11.5798, 0.1464, 1.7479, 0.0704,11.5798
0.3170, 2548.98, 2.6352, 0.2117, 0.8040, 0.2649, 2.6352
0.3201, 2573.72, 6.5692, 0.4601, 0.3109, 0.4820, 6.5692
0.3232, 2598.47, 9.4947, 0.4990, 0.7458, 0.5017, 9.4947
0.3263, 2623.22, 6.2616, 0.4518, 0.3449, 0.1975, 6.2616
0.3293, 2647.97, 4.6761, 0.3686, 0.5065, 0.2943, 4.6761
0.3324, 2672.71, 8.2086, 0.2522, 1.0429, 0.5726, 8.2086
