Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3495  2005  3819  2570 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 17:41:50,12-May-2025 17:41:50,12-May-2025 17:41:50,12-May-2025 17:41:50,12-May-2025 17:41:50,12-May-2025 17:41:50,12-May-2025 17:41:50,12-May-2025 17:41:50,12-May-2025 17:41:50,12-May-2025 17:41:50,12-May-2025 17:41:50,12-May-2025 17:41:50,12-May-2025 17:41:50,12-May-2025 17:41:50,
File, car_55.0 mm_1600ISO_-2EV_Dist2_ON_Defocus2.tiff,car_55.0 mm_1600ISO_-2EV_Dist2_ON_Focused.tiff,car_55.0 mm_6400ISO_-2EV_Dist2_OFF_Defocus1.tiff,car_55.0 mm_6400ISO_-2EV_Dist2_OFF_Defocus2.tiff,car_55.0 mm_6400ISO_-2EV_Dist2_OFF_Focused.tiff,car_55.0 mm_6400ISO_-2EV_Dist2_ON_Defocus1.tiff,car_55.0 mm_6400ISO_-2EV_Dist2_ON_Defocus2.tiff,car_55.0 mm_6400ISO_-2EV_Dist2_ON_Focused.tiff,car_55.0 mm_25600ISO_-2EV_Dist2_OFF_Defocus1.tiff,car_55.0 mm_25600ISO_-2EV_Dist2_OFF_Defocus2.tiff,car_55.0 mm_25600ISO_-2EV_Dist2_OFF_Focused.tiff,car_55.0 mm_25600ISO_-2EV_Dist2_ON_Defocus1.tiff,car_55.0 mm_25600ISO_-2EV_Dist2_ON_Defocus2.tiff,car_55.0 mm_25600ISO_-2EV_Dist2_ON_Focused.tiff,
Camera, , , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0070,  0.1280,  0.0133,  0.0065,  0.0224,  0.0108,  0.0064,  0.0232,  0.0054,  0.0051,  0.0048,  0.0095,  0.3785,  0.0143
R1090 (pxl) Mean Ctr, 53.1346,  3.7059, 36.3860, 166.3120, 20.1263, 40.6970, 56.1173, 15.9911, 130.9826, 301.6986, -0.0505, 24.2493, 244.6865, 37.5749
CA (pxl) Mean Ctr, 30.7956,  2.0858,  7.9308, 37.7686, 20.0098, 11.4589, 431.3628,  1.3817, 337.3472, 277.8442, 37.3354,  8.5939, 495.9977, 115.4146
MTF50 (LW/PH) Mean Ctr,     56.0,   1029.0,    106.7,     52.2,    179.8,     87.0,     51.3,    186.9,     43.2,     41.2,     38.6,     76.1,   3042.8,    115.0
R1090 (/PH) Mean Ctr,     75.7,   1084.8,    110.5,     24.2,    199.7,     98.8,     71.6,    251.4,     30.7,     13.3, -79589.2,    165.8,     16.4,    107.0
Peak MTF Mean Ctr,   1.000,   1.025,   1.422,   1.364,   1.744,   1.803,   1.595,   1.729,   7.744,   5.430,  20.926,   3.503,  79.673,   5.002
MTF50P (Cy/Pxl) Mean Ctr,  0.0070,  0.1275,  0.4234,  0.4176,  0.3853,  0.4999,  0.2865,  0.4318,  0.4170,  0.4435,  0.3725,  0.4324,  0.3931,  0.4429
MTF50P (LW/PH) Mean Ctr,     56.0,   1025.3,   3403.9,   3357.4,   3097.8,   4019.3,   2303.7,   3471.5,   3352.4,   3565.4,   2994.7,   3476.9,   3160.4,   3561.0
MTF20 (Cy/Pxl) Mean Ctr,  0.0102,  0.2283,  0.0198,  0.0095,  0.0307,  0.0245,  0.0094,  0.0938,  0.0086,  0.0087,     NaN,  0.0150,     NaN,  0.0242
MTF20 (LW/PH) Mean Ctr,     81.7,   1835.1,    159.3,     76.5,    246.7,    196.8,     75.9,    754.5,     69.3,     69.9,      NaN,    120.9,      NaN,    194.2
LSF PW50 (pxl) Mean Ctr,  0.2194,  2.9885,  0.2624,  0.3693,  0.2808,  0.2373,  0.2420,  0.2441,  0.2914,  0.2473,  0.1878,  0.3553,  0.2478,  0.4329
CA (area %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (crossing %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (R-G %) Mean Ctr, -0.27049, -0.49046,  1.05584, -21.89022,  3.62470, -2.38416, 16.74370,  3.47934, 59.51986, 14.79681, -0.00000,  1.70201, -96.90376, 11.92602
CA (B-G %) Mean Ctr, -19.22777,  0.50669,  0.78755, -8.31973,  0.45365,  1.55891, -8.25824,  2.15636, 52.48907, -29.56162, -0.00000,  1.62807, -18.70584, 11.92602
MTF50C (Cy/Pxl) Mean Ctr,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
MTF Area PkNorm (Cy/Pxl) Mean Ctr,  0.1346,  0.1687,  0.1651,  0.1787,  0.1469,  0.1519,  0.1507,  0.1551,  0.1538,  0.1552,  0.1508,  0.1979,  0.1510,  0.1675
