Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3495  2005  3819  2570 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 17:47:35,12-May-2025 17:47:35,12-May-2025 17:47:35,12-May-2025 17:47:35,12-May-2025 17:47:35,12-May-2025 17:47:35,12-May-2025 17:47:35,12-May-2025 17:47:35,12-May-2025 17:47:35,12-May-2025 17:47:35,12-May-2025 17:47:35,12-May-2025 17:47:35,12-May-2025 17:47:35,12-May-2025 17:47:35,12-May-2025 17:47:35,
File, car_55.0 mm_1600ISO_-3EV_Dist2_ON_Defocus1.tiff,car_55.0 mm_1600ISO_-3EV_Dist2_ON_Defocus2.tiff,car_55.0 mm_1600ISO_-3EV_Dist2_ON_Focused.tiff,car_55.0 mm_6400ISO_-3EV_Dist2_OFF_Defocus1.tiff,car_55.0 mm_6400ISO_-3EV_Dist2_OFF_Defocus2.tiff,car_55.0 mm_6400ISO_-3EV_Dist2_OFF_Focused.tiff,car_55.0 mm_6400ISO_-3EV_Dist2_ON_Defocus1.tiff,car_55.0 mm_6400ISO_-3EV_Dist2_ON_Defocus2.tiff,car_55.0 mm_6400ISO_-3EV_Dist2_ON_Focused.tiff,car_55.0 mm_25600ISO_-3EV_Dist2_OFF_Defocus1.tiff,car_55.0 mm_25600ISO_-3EV_Dist2_OFF_Defocus2.tiff,car_55.0 mm_25600ISO_-3EV_Dist2_OFF_Focused.tiff,car_55.0 mm_25600ISO_-3EV_Dist2_ON_Defocus1.tiff,car_55.0 mm_25600ISO_-3EV_Dist2_ON_Defocus2.tiff,car_55.0 mm_25600ISO_-3EV_Dist2_ON_Focused.tiff,
Camera, , , , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0139,  0.0066,  0.0129,  0.0129,  0.0057,  0.0288,  0.0135,  0.0064,  0.0194,  0.0089,  0.0030,  0.0170,  0.0031,  0.0070,  0.0052
R1090 (pxl) Mean Ctr, 31.5531, 161.7943, 41.3942, 181.0170, 82.8994, 16.0385, 188.6110, -0.6387,  6.6201,  3.4337, 245.9117, 292.2253, 530.3339,  5.6112, 138.0897
CA (pxl) Mean Ctr, 25.6984, 91.7422,  1.2413, 140.4383, 1581.8833,  4.9168, 1684.7678, 18.1481,  4.6017, 22.2430, 209.9844, 104.7110, 293.5790, 13.3934, 147.8529
MTF50 (LW/PH) Mean Ctr,    111.5,     52.7,    104.0,    103.4,     45.8,    231.2,    108.9,     51.7,    156.2,     71.2,     23.7,    137.0,     24.8,     56.1,     42.2
R1090 (/PH) Mean Ctr,    127.4,     24.8,     97.1,     22.2,     48.5,    250.6,     21.3,  -6294.2,    607.2,   1170.7,     16.3,     13.8,      7.6,    716.4,     29.1
Peak MTF Mean Ctr,   1.000,   1.000,   1.034,   2.856,   2.993,   1.995,   2.734,   2.998,   2.407,   9.431,   3.884,   6.644,   1.000,   8.148,   1.000
MTF50P (Cy/Pxl) Mean Ctr,  0.0139,  0.0066,  0.4087,  0.2889,  0.3775,  0.3985,  0.4575,  0.4006,  0.3105,  0.4522,  0.4661,  0.4262,  0.0031,  0.3111,  0.0052
MTF50P (LW/PH) Mean Ctr,    111.5,     52.7,   3286.3,   2322.7,   3035.0,   3204.2,   3678.3,   3221.2,   2496.4,   3635.6,   3747.4,   3426.3,     24.8,   2501.2,     42.2
MTF20 (Cy/Pxl) Mean Ctr,  0.0199,  0.0097,  0.0376,  0.0165,  0.0086,  0.0347,  0.0279,  0.0102,  0.0537,  0.0170,  0.0074,  0.0243,  0.0074,  0.0102,  0.0089
MTF20 (LW/PH) Mean Ctr,    160.0,     78.3,    302.5,    133.0,     69.5,    279.2,    224.3,     82.1,    431.4,    137.0,     59.6,    195.2,     59.4,     81.9,     71.8
LSF PW50 (pxl) Mean Ctr,  0.3719,  0.4041,  0.3343,  0.2390,  0.2967,  0.2902,  0.2174,  0.2396,  0.2520,  0.3026,  0.2568,  0.2269,  0.3667,  0.2117,  0.3570
CA (area %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (crossing %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (R-G %) Mean Ctr, 10.53797, 39.85668,  0.62327, 38.16281, 71.79878,  4.38327, 152.44783, -0.00000,  4.36851,  0.34211,  0.00000, -0.00000,  0.00000,  2.94286,  6.58176
CA (B-G %) Mean Ctr,  4.05436, 13.81863, -1.43345, -167.36441, 71.79878,  4.28505, 156.70753, -0.00000,  3.71591, -3.72236,  0.00000, -0.00000,  0.00000, -0.50544, -5.78181
MTF50C (Cy/Pxl) Mean Ctr,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
MTF Area PkNorm (Cy/Pxl) Mean Ctr,  0.1677,  0.1691,  0.1618,  0.1579,  0.1708,  0.1939,  0.1587,  0.1616,  0.1740,  0.1357,  0.1519,  0.1503,  0.1457,  0.1604,  0.1835
s1-MTF50. Mean Ctr,     0.01386,     0.00655,     0.01294,     0.01287,     0.00569,     0.02876,     0.01354,     0.00643,     0.01943,     0.00886,     0.00295,     0.01704,     0.00308,     0.00697,     0.00524
Shannon capacity Mean Ctr,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_4 Mean Ctr,  0.04,  0.04,  0.05,  0.05,  0.07,  0.04,  0.04,  0.05,  0.04,  0.08,  0.00,  0.03,  0.00,  0.04,  0.00
Info Capacity C_max Mean Ctr,  1.70,  1.69,  1.42,  2.18,  2.32,  1.98,  2.16,  2.21,  2.05,  2.72,  4.26,  2.40,  0.20,  2.76,  0.63
SNRi 2x8 pixels Mean Ctr,  1.86,  3.36,  5.70,  2.55,  3.88,  0.62,  0.78,  0.94,  1.32,  2.61, -34.34,  0.74, -30.30,  0.29, -22.87
