Imatest,24.2.6, Master, SFR
File,car_55.0 mm_6400ISO_0EV_Dist2_ON_Defocus2.tiff
Run date,12-May-2025 17:27:35,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.74, 0.8757, 0.8882, 0.8713, 0.8861, 0.8757
0.0062,   49.49, 0.5750, 0.6181, 0.5611, 0.5953, 0.5750
0.0092,   74.23, 0.2290, 0.2539, 0.2175, 0.2845, 0.2290
0.0123,   98.97, 0.0083, 0.0280, 0.0051, 0.0040, 0.0083
0.0154,  123.72, 0.0699, 0.0404, 0.0749, 0.1468, 0.0699
0.0185,  148.46, 0.0564, 0.0627, 0.0520, 0.0893, 0.0564
0.0215,  173.20, 0.0352, 0.1217, 0.0605, 0.0420, 0.0352
0.0246,  197.95, 0.0336, 0.2609, 0.1158, 0.0314, 0.0336
0.0277,  222.69, 0.0128, 0.1730, 0.0587, 0.0603, 0.0128
0.0308,  247.43, 0.0244, 0.0968, 0.0644, 0.0873, 0.0244
0.0339,  272.18, 0.0425, 0.1337, 0.0748, 0.0721, 0.0425
0.0369,  296.92, 0.0952, 0.2850, 0.0714, 0.1876, 0.0952
0.0400,  321.66, 0.0461, 0.2136, 0.0263, 0.2125, 0.0461
0.0431,  346.41, 0.0290, 0.1083, 0.0846, 0.1737, 0.0290
0.0462,  371.15, 0.0467, 0.0838, 0.0994, 0.1494, 0.0467
0.0492,  395.89, 0.0185, 0.1968, 0.0876, 0.1168, 0.0185
0.0523,  420.63, 0.0397, 0.1603, 0.1123, 0.1395, 0.0397
0.0554,  445.38, 0.0110, 0.0497, 0.0148, 0.0213, 0.0110
0.0585,  470.12, 0.0223, 0.0785, 0.0531, 0.1626, 0.0223
0.0616,  494.86, 0.0431, 0.1187, 0.0936, 0.1372, 0.0431
0.0646,  519.61, 0.0400, 0.2267, 0.1244, 0.1271, 0.0400
0.0677,  544.35, 0.0274, 0.1709, 0.0987, 0.1691, 0.0274
0.0708,  569.09, 0.0516, 0.3273, 0.1468, 0.1112, 0.0516
0.0739,  593.84, 0.1675, 0.2195, 0.2948, 0.2564, 0.1675
0.0769,  618.58, 0.2417, 0.2202, 0.3451, 0.4147, 0.2417
0.0800,  643.32, 0.1187, 0.2676, 0.2496, 0.1893, 0.1187
0.0831,  668.07, 0.0500, 0.5917, 0.1822, 0.1693, 0.0500
0.0862,  692.81, 0.0316, 0.3830, 0.1178, 0.2710, 0.0316
0.0892,  717.55, 0.0774, 0.0472, 0.0843, 0.3047, 0.0774
0.0923,  742.30, 0.0488, 0.3286, 0.0366, 0.5089, 0.0488
0.0954,  767.04, 0.0805, 0.4517, 0.0411, 0.6385, 0.0805
0.0985,  791.78, 0.0490, 0.0676, 0.0426, 0.2767, 0.0490
0.1016,  816.53, 0.1673, 0.1080, 0.2175, 0.1414, 0.1673
0.1046,  841.27, 0.1960, 0.1190, 0.2761, 0.1343, 0.1960
0.1077,  866.01, 0.0368, 0.2087, 0.0904, 0.2786, 0.0368
0.1108,  890.76, 0.1108, 0.2105, 0.1154, 0.1733, 0.1108
0.1139,  915.50, 0.0191, 0.2435, 0.0612, 0.1618, 0.0191
0.1169,  940.24, 0.0414, 0.3886, 0.0585, 0.3792, 0.0414
0.1200,  964.99, 0.0479, 0.4900, 0.1288, 0.2163, 0.0479
0.1231,  989.73, 0.0587, 0.7769, 0.2151, 0.2738, 0.0587
0.1262, 1014.47, 0.1646, 0.5708, 0.1664, 0.5050, 0.1646
0.1293, 1039.22, 0.1860, 0.0880, 0.3135, 0.4260, 0.1860
0.1323, 1063.96, 0.1069, 0.1872, 0.2240, 0.2831, 0.1069
0.1354, 1088.70, 0.0468, 0.2170, 0.1116, 0.1594, 0.0468
0.1385, 1113.44, 0.1290, 0.2564, 0.1358, 0.2680, 0.1290
0.1416, 1138.19, 0.2181, 0.6431, 0.3094, 0.5065, 0.2181
0.1446, 1162.93, 0.1654, 0.6051, 0.1725, 0.4616, 0.1654
0.1477, 1187.67, 0.0590, 0.1687, 0.1232, 0.0469, 0.0590
0.1508, 1212.42, 0.1035, 0.2759, 0.2076, 0.2512, 0.1035
0.1539, 1237.16, 0.1209, 0.6870, 0.2148, 0.3752, 0.1209
0.1570, 1261.90, 0.2495, 0.7551, 0.3478, 0.4404, 0.2495
0.1600, 1286.65, 0.0672, 0.3574, 0.2148, 0.2439, 0.0672
0.1631, 1311.39, 0.3312, 0.2313, 0.3755, 0.1701, 0.3312
0.1662, 1336.13, 0.3642, 0.4894, 0.3669, 0.2976, 0.3642
0.1693, 1360.88, 0.2671, 0.6305, 0.2813, 0.2182, 0.2671
0.1723, 1385.62, 0.0987, 0.7112, 0.1107, 0.2215, 0.0987
0.1754, 1410.36, 0.2410, 0.3290, 0.2790, 0.2757, 0.2410
0.1785, 1435.11, 0.2225, 0.0557, 0.3083, 0.3235, 0.2225
0.1816, 1459.85, 0.0580, 0.2437, 0.0586, 0.4291, 0.0580
0.1847, 1484.59, 0.2152, 0.5077, 0.1674, 0.3743, 0.2152
0.1877, 1509.34, 0.3328, 0.7027, 0.2534, 0.4546, 0.3328
0.1908, 1534.08, 0.2758, 0.5837, 0.2647, 0.4724, 0.2758
0.1939, 1558.82, 0.6018, 0.3674, 0.7583, 0.4128, 0.6018
