Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3399  2022  3915  2535 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 07-May-2025 12:14:41,07-May-2025 12:14:41,07-May-2025 12:14:41,07-May-2025 12:14:41,07-May-2025 12:14:41,07-May-2025 12:14:41,07-May-2025 12:14:41,07-May-2025 12:14:41,07-May-2025 12:14:41,07-May-2025 12:14:41,07-May-2025 12:14:41,07-May-2025 12:14:41,07-May-2025 12:14:41,07-May-2025 12:14:41,07-May-2025 12:14:41,07-May-2025 12:14:41,07-May-2025 12:14:41,07-May-2025 12:14:41,
File, cup_55.0 mm_6400ISO_+1EV_Dist2_OFF_Defocus2.tiff,cup_55.0 mm_6400ISO_+1EV_Dist2_OFF_Defocus1.tiff,cup_55.0 mm_1600ISO_+1EV_Dist2_OFF_Defocus2.tiff,cup_55.0 mm_1600ISO_+1EV_Dist2_OFF_Defocus1.tiff,cup_55.0 mm_6400ISO_+1EV_Dist2_ON_Defocus2.tiff,cup_55.0 mm_6400ISO_+1EV_Dist2_ON_Defocus1.tiff,cup_55.0 mm_6400ISO_+1EV_Dist2_OFF_Focused.tiff,cup_55.0 mm_1600ISO_+1EV_Dist2_ON_Defocus2.tiff,cup_55.0 mm_1600ISO_+1EV_Dist2_ON_Defocus1.tiff,cup_55.0 mm_1600ISO_+1EV_Dist2_OFF_Focused.tiff,cup_55.0 mm_6400ISO_+1EV_Dist2_ON_Focused.tiff,cup_55.0 mm_1600ISO_+1EV_Dist2_ON_Focused.tiff,cup_55.0 mm_100ISO_+1EV_Dist2_OFF_Defocus2.tiff,cup_55.0 mm_100ISO_+1EV_Dist2_OFF_Defocus1.tiff,cup_55.0 mm_100ISO_+1EV_Dist2_ON_Defocus2.tiff,cup_55.0 mm_100ISO_+1EV_Dist2_ON_Defocus1.tiff,cup_55.0 mm_100ISO_+1EV_Dist2_OFF_Focused.tiff,cup_55.0 mm_100ISO_+1EV_Dist2_ON_Focused.tiff,
Camera, , , , , , , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0068,  0.0125,  0.0068,  0.0127,  0.0067,  0.0129,  0.1539,  0.0068,  0.0127,  0.1590,  0.1537,  0.1622,  0.0068,  0.0127,  0.0068,  0.0127,  0.1631,  0.1641
R1090 (pxl) Mean Ctr, 62.0964, 33.2008, 65.2254, 33.9232, 60.4851, 34.6982,  2.8079, 65.9333, 34.8961,  3.0135,  2.8875,  3.0463, 65.2732, 35.4548, 65.6072, 35.4692,  3.0019,  3.0636
CA (pxl) Mean Ctr, 27.4620,  7.1601, 14.2334,  0.8504,  4.9723,  3.1982,  1.2187,  3.1362,  1.2163,  0.8753,  0.5043,  0.8530,  1.6404,  0.1386,  0.6228,  0.8469,  0.8467,  0.8606
MTF50 (LW/PH) Mean Ctr,     55.0,    100.8,     54.5,    102.3,     54.2,    103.4,   1237.5,     54.9,    102.1,   1278.7,   1236.0,   1304.0,     54.6,    102.5,     54.7,    102.4,   1311.6,   1319.0
R1090 (/PH) Mean Ctr,     64.7,    121.1,     61.6,    118.5,     66.5,    115.9,   1431.7,     61.0,    115.2,   1334.0,   1392.2,   1319.6,     61.6,    113.4,     61.3,    113.3,   1339.2,   1312.2
Peak MTF Mean Ctr,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.009,   1.000,   1.000,   1.011,   1.008,   1.008,   1.000,   1.000,   1.000,   1.000,   1.007,   1.007
MTF50P (Cy/Pxl) Mean Ctr,  0.0068,  0.0125,  0.0068,  0.0127,  0.0067,  0.0129,  0.1538,  0.0068,  0.0127,  0.1475,  0.1536,  0.1620,  0.0068,  0.0127,  0.0068,  0.0127,  0.1628,  0.1584
MTF50P (LW/PH) Mean Ctr,     55.0,    100.8,     54.5,    102.3,     54.2,    103.4,   1236.9,     54.9,    102.1,   1185.9,   1234.7,   1302.6,     54.6,    102.5,     54.7,    102.4,   1308.7,   1273.5
