Imatest,24.2.6, Master, SFR
File,cup_55.0 mm_100ISO_-3EV_Dist2_OFF_Focused.tiff
Run date,12-May-2025 18:14:00,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.86, 1.0053, 1.0027, 1.0065, 1.0023, 1.0053
0.0062,   49.71, 1.0018, 0.9969, 1.0041, 0.9954, 1.0018
0.0093,   74.57, 0.9874, 0.9800, 0.9899, 0.9871, 0.9874
0.0124,   99.42, 0.9734, 0.9646, 0.9756, 0.9807, 0.9734
0.0155,  124.28, 0.9688, 0.9708, 0.9679, 0.9713, 0.9688
0.0185,  149.13, 0.9630, 0.9645, 0.9633, 0.9577, 0.9630
0.0216,  173.99, 0.9562, 0.9413, 0.9632, 0.9405, 0.9562
0.0247,  198.85, 0.9519, 0.9419, 0.9563, 0.9468, 0.9519
0.0278,  223.70, 0.9406, 0.9326, 0.9416, 0.9637, 0.9406
0.0309,  248.56, 0.9405, 0.9191, 0.9482, 0.9391, 0.9405
0.0340,  273.41, 0.9362, 0.9286, 0.9438, 0.8957, 0.9362
0.0371,  298.27, 0.9217, 0.9151, 0.9303, 0.8769, 0.9217
0.0402,  323.12, 0.9098, 0.8812, 0.9251, 0.8724, 0.9098
0.0433,  347.98, 0.9009, 0.8637, 0.9178, 0.8742, 0.9009
0.0464,  372.84, 0.8856, 0.8673, 0.8963, 0.8641, 0.8856
0.0495,  397.69, 0.8551, 0.8552, 0.8585, 0.8425, 0.8551
0.0526,  422.55, 0.8353, 0.7817, 0.8522, 0.8555, 0.8353
0.0556,  447.40, 0.8210, 0.7689, 0.8357, 0.8481, 0.8210
0.0587,  472.26, 0.8008, 0.8232, 0.8001, 0.7573, 0.8008
0.0618,  497.11, 0.8123, 0.8085, 0.8293, 0.7079, 0.8123
0.0649,  521.97, 0.8217, 0.7498, 0.8583, 0.7606, 0.8217
0.0680,  546.83, 0.7993, 0.7143, 0.8290, 0.8404, 0.7993
0.0711,  571.68, 0.7920, 0.6834, 0.8242, 0.8403, 0.7920
0.0742,  596.54, 0.7928, 0.7026, 0.8298, 0.7390, 0.7928
0.0773,  621.39, 0.7787, 0.7993, 0.7842, 0.6818, 0.7787
0.0804,  646.25, 0.7724, 0.8098, 0.7700, 0.7169, 0.7724
0.0835,  671.10, 0.7685, 0.7407, 0.7867, 0.7210, 0.7685
0.0866,  695.96, 0.7791, 0.7215, 0.8179, 0.6256, 0.7791
0.0897,  720.82, 0.7910, 0.6881, 0.8567, 0.5552, 0.7910
0.0927,  745.67, 0.7738, 0.6651, 0.8366, 0.5995, 0.7738
0.0958,  770.53, 0.7584, 0.6616, 0.8077, 0.6620, 0.7584
0.0989,  795.38, 0.7376, 0.6165, 0.7883, 0.7045, 0.7376
0.1020,  820.24, 0.7112, 0.5625, 0.7696, 0.6867, 0.7112
0.1051,  845.09, 0.7073, 0.6016, 0.7570, 0.6236, 0.7073
0.1082,  869.95, 0.7043, 0.7064, 0.7176, 0.6346, 0.7043
0.1113,  894.81, 0.6895, 0.7195, 0.6910, 0.6406, 0.6895
0.1144,  919.66, 0.6909, 0.6860, 0.7086, 0.5728, 0.6909
0.1175,  944.52, 0.6959, 0.6189, 0.7474, 0.5466, 0.6959
0.1206,  969.37, 0.7002, 0.5220, 0.7794, 0.5335, 0.7002
0.1237,  994.23, 0.6842, 0.5554, 0.7565, 0.4804, 0.6842
0.1268, 1019.08, 0.6229, 0.5136, 0.6787, 0.4850, 0.6229
0.1298, 1043.94, 0.5969, 0.4773, 0.6505, 0.5155, 0.5969
0.1329, 1068.80, 0.6071, 0.5637, 0.6447, 0.4552, 0.6071
0.1360, 1093.65, 0.5797, 0.5920, 0.6058, 0.4273, 0.5797
0.1391, 1118.51, 0.5666, 0.4932, 0.6058, 0.5094, 0.5666
0.1422, 1143.36, 0.5867, 0.4769, 0.6334, 0.5056, 0.5867
0.1453, 1168.22, 0.5774, 0.4859, 0.6306, 0.3828, 0.5774
0.1484, 1193.07, 0.5544, 0.4324, 0.6194, 0.3569, 0.5544
0.1515, 1217.93, 0.5401, 0.4139, 0.5946, 0.4398, 0.5401
0.1546, 1242.79, 0.5435, 0.4525, 0.5837, 0.4606, 0.5435
0.1577, 1267.64, 0.5479, 0.4349, 0.6073, 0.3470, 0.5479
0.1608, 1292.50, 0.5086, 0.4228, 0.5635, 0.2774, 0.5086
0.1638, 1317.35, 0.4950, 0.4827, 0.5205, 0.3207, 0.4950
0.1669, 1342.21, 0.5442, 0.5340, 0.5724, 0.3479, 0.5442
0.1700, 1367.06, 0.5375, 0.5048, 0.5737, 0.3812, 0.5375
0.1731, 1391.92, 0.4845, 0.4561, 0.5140, 0.3608, 0.4845
0.1762, 1416.78, 0.4315, 0.4226, 0.4509, 0.3496, 0.4315
0.1793, 1441.63, 0.3909, 0.3765, 0.3992, 0.3908, 0.3909
0.1824, 1466.49, 0.3986, 0.3726, 0.4133, 0.3500, 0.3986
0.1855, 1491.34, 0.4214, 0.3529, 0.4628, 0.2658, 0.4214
0.1886, 1516.20, 0.4309, 0.2962, 0.4970, 0.2398, 0.4309
0.1917, 1541.05, 0.3963, 0.3068, 0.4407, 0.2745, 0.3963
0.1948, 1565.91, 0.3753, 0.3505, 0.3935, 0.3033, 0.3753
0.1979, 1590.77, 0.3824, 0.2996, 0.4220, 0.2738, 0.3824
0.2009, 1615.62, 0.3729, 0.2871, 0.4139, 0.2831, 0.3729
0.2040, 1640.48, 0.3545, 0.3072, 0.3761, 0.3304, 0.3545
0.2071, 1665.33, 0.3425, 0.2658, 0.3716, 0.3197, 0.3425
0.2102, 1690.19, 0.3556, 0.2886, 0.3842, 0.3006, 0.3556
0.2133, 1715.04, 0.3758, 0.4276, 0.3702, 0.2840, 0.3758
0.2164, 1739.90, 0.3707, 0.4602, 0.3593, 0.2486, 0.3707
0.2195, 1764.76, 0.3430, 0.3332, 0.3605, 0.2400, 0.3430
0.2226, 1789.61, 0.3247, 0.2774, 0.3495, 0.2451, 0.3247
0.2257, 1814.47, 0.3205, 0.3088, 0.3337, 0.2444, 0.3205
0.2288, 1839.32, 0.3214, 0.3568, 0.3216, 0.2348, 0.3214
0.2319, 1864.18, 0.3216, 0.3818, 0.3209, 0.1885, 0.3216
