Imatest,24.2.6, Master, SFR
File,cup_55.0 mm_1600ISO_+1EV_Dist2_OFF_Defocus1.tiff
Run date,07-May-2025 12:14:41,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0019,   15.59, 0.9998, 0.9957, 1.0014, 0.9951, 0.9998
0.0039,   31.18, 0.9662, 0.9652, 0.9672, 0.9599, 0.9662
0.0058,   46.78, 0.8935, 0.8995, 0.8912, 0.8991, 0.8935
0.0078,   62.37, 0.7986, 0.7969, 0.7976, 0.8126, 0.7986
0.0097,   77.96, 0.6930, 0.6878, 0.6937, 0.7008, 0.6930
0.0116,   93.55, 0.5722, 0.5812, 0.5679, 0.5920, 0.5722
0.0136,  109.14, 0.4430, 0.4629, 0.4326, 0.4947, 0.4430
0.0155,  124.74, 0.3371, 0.3439, 0.3302, 0.3879, 0.3371
0.0175,  140.33, 0.2413, 0.2282, 0.2420, 0.2728, 0.2413
0.0194,  155.92, 0.1354, 0.1557, 0.1247, 0.1861, 0.1354
0.0213,  171.51, 0.0506, 0.0929, 0.0330, 0.1031, 0.0506
0.0233,  187.11, 0.0079, 0.0146, 0.0089, 0.0209, 0.0079
0.0252,  202.70, 0.0615, 0.0514, 0.0685, 0.0291, 0.0615
0.0272,  218.29, 0.0932, 0.0572, 0.1089, 0.0783, 0.0932
0.0291,  233.88, 0.0955, 0.0726, 0.1064, 0.1263, 0.0955
0.0310,  249.47, 0.1025, 0.0442, 0.1193, 0.1384, 0.1025
0.0330,  265.07, 0.1088, 0.0544, 0.1274, 0.1338, 0.1088
0.0349,  280.66, 0.0862, 0.0914, 0.0846, 0.1166, 0.0862
0.0368,  296.25, 0.0538, 0.0964, 0.0512, 0.0666, 0.0538
0.0388,  311.84, 0.0445, 0.0374, 0.0641, 0.0269, 0.0445
0.0407,  327.43, 0.0240, 0.0287, 0.0371, 0.0422, 0.0240
0.0427,  343.03, 0.0141, 0.0586, 0.0082, 0.0488, 0.0141
0.0446,  358.62, 0.0287, 0.0704, 0.0330, 0.0323, 0.0287
0.0465,  374.21, 0.0422, 0.1269, 0.0438, 0.0243, 0.0422
0.0485,  389.80, 0.0639, 0.0468, 0.0729, 0.0362, 0.0639
0.0504,  405.39, 0.0551, 0.0857, 0.0567, 0.0726, 0.0551
0.0524,  420.99, 0.0603, 0.0822, 0.0593, 0.0715, 0.0603
0.0543,  436.58, 0.0655, 0.0709, 0.0732, 0.0662, 0.0655
0.0562,  452.17, 0.0539, 0.0918, 0.0533, 0.0752, 0.0539
0.0582,  467.76, 0.0459, 0.1601, 0.0430, 0.0662, 0.0459
0.0601,  483.36, 0.0390, 0.1217, 0.0284, 0.0103, 0.0390
0.0621,  498.95, 0.0139, 0.0573, 0.0127, 0.0453, 0.0139
0.0640,  514.54, 0.0141, 0.0606, 0.0199, 0.0319, 0.0141
0.0659,  530.13, 0.0256, 0.1331, 0.0295, 0.0266, 0.0256
0.0679,  545.72, 0.0102, 0.0282, 0.0041, 0.0582, 0.0102
0.0698,  561.32, 0.0327, 0.0789, 0.0255, 0.0626, 0.0327
0.0718,  576.91, 0.0277, 0.0671, 0.0297, 0.0712, 0.0277
0.0737,  592.50, 0.0350, 0.0464, 0.0386, 0.0939, 0.0350
0.0756,  608.09, 0.0766, 0.0496, 0.1042, 0.1622, 0.0766
0.0776,  623.68, 0.0614, 0.0832, 0.1127, 0.1479, 0.0614
0.0795,  639.28, 0.0362, 0.1484, 0.0713, 0.0308, 0.0362
0.0815,  654.87, 0.0135, 0.0653, 0.0077, 0.1213, 0.0135
0.0834,  670.46, 0.0158, 0.1011, 0.0289, 0.1307, 0.0158
0.0853,  686.05, 0.0565, 0.1445, 0.0346, 0.0657, 0.0565
0.0873,  701.64, 0.0629, 0.0887, 0.1028, 0.0517, 0.0629
0.0892,  717.24, 0.0440, 0.1182, 0.1019, 0.1009, 0.0440
0.0911,  732.83, 0.0650, 0.0519, 0.1052, 0.1201, 0.0650
0.0931,  748.42, 0.0700, 0.0909, 0.1077, 0.0200, 0.0700
