Imatest,24.2.6, Master, SFR
File,cup_55.0 mm_1600ISO_+1EV_Dist2_ON_Defocus1.tiff
Run date,07-May-2025 12:14:41,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0019,   15.60, 0.9878, 0.9947, 0.9845, 1.0001, 0.9878
0.0039,   31.19, 0.9481, 0.9605, 0.9423, 0.9711, 0.9481
0.0058,   46.79, 0.8829, 0.8920, 0.8781, 0.9046, 0.8829
0.0078,   62.39, 0.7861, 0.7954, 0.7807, 0.8141, 0.7861
0.0097,   77.98, 0.6801, 0.6827, 0.6762, 0.7112, 0.6801
0.0116,   93.58, 0.5697, 0.5601, 0.5691, 0.6040, 0.5697
0.0136,  109.18, 0.4417, 0.4413, 0.4359, 0.5027, 0.4417
0.0155,  124.78, 0.3333, 0.3454, 0.3240, 0.3917, 0.3333
0.0175,  140.37, 0.2439, 0.2426, 0.2412, 0.2748, 0.2439
0.0194,  155.97, 0.1353, 0.1309, 0.1309, 0.1958, 0.1353
0.0213,  171.57, 0.0471, 0.0643, 0.0359, 0.1200, 0.0471
0.0233,  187.16, 0.0066, 0.0152, 0.0114, 0.0415, 0.0066
0.0252,  202.76, 0.0616, 0.0614, 0.0681, 0.0192, 0.0616
0.0272,  218.36, 0.1000, 0.0807, 0.1122, 0.0458, 0.1000
0.0291,  233.95, 0.1013, 0.0997, 0.1080, 0.0951, 0.1013
0.0310,  249.55, 0.1162, 0.1401, 0.1224, 0.0919, 0.1162
0.0330,  265.15, 0.1210, 0.1493, 0.1278, 0.0523, 0.1210
0.0349,  280.74, 0.0997, 0.1026, 0.1135, 0.0771, 0.0997
0.0369,  296.34, 0.0736, 0.0968, 0.0872, 0.1048, 0.0736
0.0388,  311.94, 0.0463, 0.1224, 0.0478, 0.1082, 0.0463
0.0407,  327.53, 0.0186, 0.0451, 0.0185, 0.0783, 0.0186
0.0427,  343.13, 0.0148, 0.0810, 0.0065, 0.0604, 0.0148
0.0446,  358.73, 0.0408, 0.0988, 0.0337, 0.0223, 0.0408
0.0466,  374.33, 0.0408, 0.0506, 0.0531, 0.0910, 0.0408
0.0485,  389.92, 0.0134, 0.1263, 0.0375, 0.1279, 0.0134
0.0504,  405.52, 0.0528, 0.1306, 0.0291, 0.1081, 0.0528
0.0524,  421.12, 0.0873, 0.0628, 0.1023, 0.0476, 0.0873
0.0543,  436.71, 0.0718, 0.0818, 0.1101, 0.0216, 0.0718
0.0563,  452.31, 0.0539, 0.1638, 0.0885, 0.0685, 0.0539
0.0582,  467.91, 0.0595, 0.0742, 0.0787, 0.1112, 0.0595
0.0601,  483.50, 0.0419, 0.0598, 0.0461, 0.0745, 0.0419
0.0621,  499.10, 0.0643, 0.1503, 0.0492, 0.0095, 0.0643
0.0640,  514.70, 0.0603, 0.1211, 0.0468, 0.0364, 0.0603
0.0660,  530.29, 0.0265, 0.0696, 0.0297, 0.0225, 0.0265
0.0679,  545.89, 0.0204, 0.0850, 0.0342, 0.0453, 0.0204
0.0698,  561.49, 0.0414, 0.2839, 0.0927, 0.0475, 0.0414
0.0718,  577.08, 0.0616, 0.2921, 0.1185, 0.0380, 0.0616
0.0737,  592.68, 0.0384, 0.0816, 0.0616, 0.0645, 0.0384
0.0757,  608.28, 0.0256, 0.1506, 0.0301, 0.0953, 0.0256
0.0776,  623.88, 0.0345, 0.1746, 0.0279, 0.0533, 0.0345
0.0795,  639.47, 0.0178, 0.1386, 0.0439, 0.0528, 0.0178
0.0815,  655.07, 0.0344, 0.1895, 0.1114, 0.1089, 0.0344
0.0834,  670.67, 0.0549, 0.2293, 0.1460, 0.0798, 0.0549
0.0854,  686.26, 0.0498, 0.2760, 0.1467, 0.0226, 0.0498
0.0873,  701.86, 0.0616, 0.1778, 0.1449, 0.1346, 0.0616
0.0892,  717.46, 0.0473, 0.1821, 0.1158, 0.1656, 0.0473
0.0912,  733.05, 0.0473, 0.1573, 0.1243, 0.1453, 0.0473
0.0931,  748.65, 0.0920, 0.0438, 0.1220, 0.0720, 0.0920
0.0951,  764.25, 0.0614, 0.0243, 0.0857, 0.0566, 0.0614
0.0970,  779.84, 0.0424, 0.1242, 0.0818, 0.0561, 0.0424
0.0989,  795.44, 0.0712, 0.1005, 0.0988, 0.0740, 0.0712
0.1009,  811.04, 0.0817, 0.1950, 0.0750, 0.0225, 0.0817
0.1028,  826.63, 0.0449, 0.2288, 0.0229, 0.0368, 0.0449
0.1048,  842.23, 0.0216, 0.1766, 0.0362, 0.0107, 0.0216
0.1067,  857.83, 0.0620, 0.1320, 0.0768, 0.0103, 0.0620
