Imatest,24.2.6, Master, SFR
File,cup_55.0 mm_1600ISO_-1EV_Dist2_ON_Focused.tiff
Run date,12-May-2025 17:57:10,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.85, 1.0026, 0.9986, 1.0031, 1.0084, 1.0026
0.0062,   49.70, 0.9920, 0.9977, 0.9893, 1.0049, 0.9920
0.0093,   74.55, 0.9739, 0.9930, 0.9672, 0.9882, 0.9739
0.0124,   99.40, 0.9523, 0.9773, 0.9423, 0.9851, 0.9523
0.0155,  124.25, 0.9452, 0.9733, 0.9352, 0.9689, 0.9452
0.0185,  149.10, 0.9534, 0.9538, 0.9538, 0.9510, 0.9534
0.0216,  173.95, 0.9442, 0.9342, 0.9446, 0.9783, 0.9442
0.0247,  198.80, 0.9273, 0.9392, 0.9184, 0.9930, 0.9273
0.0278,  223.65, 0.9159, 0.9236, 0.9139, 0.9217, 0.9159
0.0309,  248.50, 0.9145, 0.8855, 0.9308, 0.8390, 0.9145
0.0340,  273.35, 0.8913, 0.8436, 0.9090, 0.8600, 0.8913
0.0371,  298.20, 0.8476, 0.8224, 0.8520, 0.9027, 0.8476
0.0402,  323.05, 0.8286, 0.7902, 0.8393, 0.8673, 0.8286
0.0433,  347.90, 0.8352, 0.7460, 0.8677, 0.7919, 0.8352
0.0464,  372.75, 0.8476, 0.7936, 0.8774, 0.7318, 0.8476
0.0495,  397.61, 0.8535, 0.8961, 0.8555, 0.7665, 0.8535
0.0525,  422.46, 0.8507, 0.9244, 0.8419, 0.7946, 0.8507
0.0556,  447.31, 0.8145, 0.8191, 0.8239, 0.7566, 0.8145
0.0587,  472.16, 0.7380, 0.7520, 0.7371, 0.7516, 0.7380
0.0618,  497.01, 0.7255, 0.8183, 0.7025, 0.7454, 0.7255
0.0649,  521.86, 0.7702, 0.8311, 0.7602, 0.7954, 0.7702
