Imatest,24.2.6, Master, SFR
File,cup_55.0 mm_25600ISO_+1EV_Dist2_OFF_Focused.tiff
Run date,07-May-2025 12:18:06,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0019,   15.49, 0.9944, 0.9860, 0.9948, 1.0136, 0.9944
0.0039,   30.98, 1.0026, 1.0223, 0.9969, 1.0093, 1.0026
0.0058,   46.47, 0.9943, 1.0314, 0.9860, 0.9842, 0.9943
0.0077,   61.96, 0.9612, 0.9863, 0.9573, 0.9405, 0.9612
0.0096,   77.45, 0.9511, 0.9369, 0.9633, 0.8900, 0.9511
0.0116,   92.93, 0.9083, 0.9227, 0.9050, 0.9264, 0.9083
0.0135,  108.42, 0.8353, 0.9607, 0.7868, 1.0198, 0.8353
0.0154,  123.91, 0.7775, 0.7552, 0.7797, 0.9580, 0.7775
0.0173,  139.40, 0.7316, 0.5189, 0.7896, 0.7519, 0.7316
0.0193,  154.89, 0.6913, 0.6454, 0.7142, 0.6626, 0.6913
0.0212,  170.38, 0.6395, 0.7373, 0.6194, 0.6839, 0.6395
0.0231,  185.87, 0.6244, 0.7162, 0.6134, 0.5348, 0.6244
0.0250,  201.36, 0.6340, 0.6295, 0.6653, 0.3438, 0.6340
0.0270,  216.85, 0.5342, 0.6641, 0.5143, 0.4144, 0.5342
0.0289,  232.34, 0.3739, 0.6239, 0.2960, 0.5065, 0.3739
0.0308,  247.83, 0.3606, 0.4025, 0.3388, 0.4761, 0.3606
0.0328,  263.31, 0.4542, 0.4164, 0.4939, 0.4311, 0.4542
0.0347,  278.80, 0.4585, 0.5432, 0.4872, 0.2882, 0.4585
0.0366,  294.29, 0.3725, 0.6723, 0.3329, 0.1606, 0.3725
0.0385,  309.78, 0.2791, 0.6346, 0.2193, 0.3007, 0.2791
0.0405,  325.27, 0.2372, 0.3281, 0.2451, 0.1433, 0.2372
0.0424,  340.76, 0.1784, 0.0806, 0.2313, 0.1138, 0.1784
0.0443,  356.25, 0.0892, 0.0637, 0.1130, 0.0279, 0.0892
0.0462,  371.74, 0.1245, 0.3940, 0.1324, 0.1890, 0.1245
0.0482,  387.23, 0.2388, 0.4723, 0.3220, 0.2101, 0.2388
0.0501,  402.72, 0.2567, 0.5381, 0.4315, 0.2614, 0.2567
0.0520,  418.20, 0.2313, 0.6482, 0.4215, 0.2562, 0.2313
0.0539,  433.69, 0.2340, 0.6987, 0.4413, 0.2996, 0.2340
0.0559,  449.18, 0.2012, 0.7504, 0.4285, 0.2054, 0.2012
0.0578,  464.67, 0.1959, 0.5247, 0.3872, 0.1794, 0.1959
0.0597,  480.16, 0.2746, 0.4205, 0.3677, 0.5744, 0.2746
0.0616,  495.65, 0.3746, 0.5345, 0.4103, 0.4993, 0.3746
0.0636,  511.14, 0.4071, 0.3354, 0.5103, 0.2688, 0.4071
0.0655,  526.63, 0.4079, 0.5712, 0.4387, 0.2559, 0.4079
0.0674,  542.12, 0.5129, 0.9760, 0.4626, 0.3028, 0.5129
0.0694,  557.61, 0.5235, 0.9792, 0.4878, 0.5260, 0.5235
0.0713,  573.10, 0.4117, 0.6487, 0.3990, 0.7146, 0.4117
0.0732,  588.58, 0.4755, 0.3801, 0.5269, 0.5129, 0.4755
0.0751,  604.07, 0.6488, 0.5703, 0.7132, 0.6315, 0.6488
0.0771,  619.56, 0.5249, 0.9750, 0.4028, 0.9011, 0.5249
0.0790,  635.05, 0.2923, 0.8657, 0.1628, 0.8790, 0.2923
0.0809,  650.54, 0.3133, 1.0027, 0.1326, 0.5096, 0.3133
0.0828,  666.03, 0.4124, 1.4825, 0.1770, 0.1910, 0.4124
0.0848,  681.52, 0.5192, 1.5442, 0.4661, 0.5935, 0.5192
0.0867,  697.01, 0.4728, 1.3801, 0.5270, 0.6964, 0.4728
0.0886,  712.50, 0.2637, 0.8549, 0.2535, 0.1605, 0.2637
0.0905,  727.99, 0.2645, 0.1949, 0.3809, 0.3319, 0.2645
0.0925,  743.48, 0.4918, 0.1926, 0.7644, 0.9740, 0.4918
0.0944,  758.96, 0.4588, 0.3645, 0.7624, 1.1933, 0.4588
0.0963,  774.45, 0.3459, 0.5350, 0.5925, 0.8764, 0.3459
0.0983,  789.94, 0.3940, 0.6386, 0.6967, 0.5350, 0.3940
