Imatest,24.2.6, Master, SFR
File,cup_55.0 mm_25600ISO_+1EV_Dist2_ON_Focused.tiff
Run date,07-May-2025 12:18:06,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0019,   15.48, 1.0055, 1.0018, 1.0052, 1.0185, 1.0055
0.0039,   30.97, 0.9905, 0.9975, 0.9878, 1.0005, 0.9905
0.0058,   46.45, 0.9525, 0.9610, 0.9521, 0.9420, 0.9525
0.0077,   61.93, 0.9010, 0.8548, 0.9173, 0.8722, 0.9010
0.0096,   77.42, 0.8158, 0.7691, 0.8270, 0.8252, 0.8158
0.0116,   92.90, 0.7544, 0.7204, 0.7516, 0.8677, 0.7544
0.0135,  108.38, 0.7708, 0.6251, 0.8093, 0.8009, 0.7708
0.0154,  123.87, 0.7950, 0.6206, 0.8655, 0.7067, 0.7950
0.0173,  139.35, 0.7446, 0.6563, 0.7821, 0.7720, 0.7446
0.0193,  154.84, 0.6704, 0.5961, 0.6803, 0.8132, 0.6704
0.0212,  170.32, 0.6484, 0.4992, 0.6687, 0.8408, 0.6484
0.0231,  185.80, 0.6445, 0.4939, 0.6677, 0.8079, 0.6445
0.0250,  201.29, 0.6406, 0.6260, 0.6387, 0.7083, 0.6406
0.0270,  216.77, 0.5835, 0.5903, 0.5810, 0.6487, 0.5835
0.0289,  232.25, 0.4891, 0.4338, 0.4935, 0.6231, 0.4891
0.0308,  247.74, 0.4629, 0.5785, 0.4145, 0.6793, 0.4629
0.0327,  263.22, 0.4228, 0.5370, 0.3936, 0.7154, 0.4228
0.0347,  278.70, 0.4395, 0.2955, 0.5274, 0.4691, 0.4395
0.0366,  294.19, 0.4799, 0.4211, 0.5362, 0.2127, 0.4799
0.0385,  309.67, 0.3920, 0.6167, 0.3435, 0.5016, 0.3920
0.0404,  325.15, 0.2873, 0.6107, 0.1944, 0.5612, 0.2873
0.0424,  340.64, 0.2354, 0.4724, 0.1602, 0.4178, 0.2354
0.0443,  356.12, 0.2502, 0.1625, 0.2794, 0.3274, 0.2502
0.0462,  371.60, 0.2480, 0.0714, 0.3287, 0.2193, 0.2480
0.0481,  387.09, 0.2279, 0.3878, 0.1963, 0.5194, 0.2279
0.0501,  402.57, 0.2630, 0.7055, 0.1603, 0.6392, 0.2630
0.0520,  418.06, 0.2678, 0.4683, 0.2646, 0.6779, 0.2678
0.0539,  433.54, 0.2072, 0.3477, 0.2593, 0.5491, 0.2072
0.0558,  449.02, 0.1642, 0.7046, 0.1178, 0.3480, 0.1642
0.0578,  464.51, 0.1376, 0.7590, 0.2476, 0.3803, 0.1376
0.0597,  479.99, 0.2532, 0.5552, 0.4347, 0.1021, 0.2532
0.0616,  495.47, 0.2631, 0.4072, 0.4439, 0.1161, 0.2631
0.0636,  510.96, 0.2018, 0.6671, 0.3294, 0.3179, 0.2018
0.0655,  526.44, 0.3041, 1.0446, 0.5570, 0.2835, 0.3041
0.0674,  541.92, 0.3663, 1.1227, 0.5834, 0.2490, 0.3663
0.0693,  557.41, 0.2761, 0.8167, 0.2031, 0.2387, 0.2761
0.0713,  572.89, 0.2569, 0.0427, 0.3133, 0.3160, 0.2569
0.0732,  588.37, 0.3027, 0.5859, 0.5469, 0.2330, 0.3027
0.0751,  603.86, 0.4189, 0.3853, 0.5985, 0.3612, 0.4189
0.0770,  619.34, 0.4413, 0.8560, 0.3862, 0.3017, 0.4413
0.0790,  634.82, 0.2958, 0.8295, 0.1881, 0.1943, 0.2958
0.0809,  650.31, 0.1634, 0.4586, 0.1110, 0.1786, 0.1634
0.0828,  665.79, 0.1889, 0.1507, 0.1961, 0.3435, 0.1889
