Imatest,24.2.6, Master, SFR
File,cup_55.0 mm_25600ISO_-1EV_Dist2_OFF_Defocus2.tiff
Run date,12-May-2025 18:01:14,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.74, 0.9136, 1.0979, 0.8940, 0.7379, 0.9136
0.0062,   49.49, 0.5734, 0.6632, 0.5616, 0.5042, 0.5734
0.0092,   74.23, 0.3221, 0.3412, 0.3355, 0.2194, 0.3221
0.0123,   98.98, 0.1568, 0.3815, 0.1124, 0.1260, 0.1568
0.0154,  123.72, 0.0903, 0.4601, 0.0359, 0.1345, 0.0903
0.0185,  148.46, 0.1332, 0.4102, 0.1904, 0.1700, 0.1332
0.0215,  173.21, 0.1882, 0.2093, 0.2740, 0.2397, 0.1882
0.0246,  197.95, 0.2005, 0.2040, 0.2501, 0.4969, 0.2005
0.0277,  222.70, 0.2731, 0.7934, 0.2086, 0.1178, 0.2731
0.0308,  247.44, 0.2163, 0.4777, 0.2146, 0.5125, 0.2163
0.0339,  272.18, 0.1203, 0.0345, 0.1968, 0.4553, 0.1203
0.0369,  296.93, 0.2955, 0.8744, 0.3649, 0.5382, 0.2955
0.0400,  321.67, 0.3733, 0.6584, 0.3881, 0.7886, 0.3733
0.0431,  346.42, 0.2498, 0.6479, 0.4576, 0.7103, 0.2498
0.0462,  371.16, 0.2808, 0.7829, 0.3160, 0.4474, 0.2808
0.0492,  395.90, 0.3031, 1.1010, 0.1878, 0.2409, 0.3031
0.0523,  420.65, 0.1785, 1.2664, 0.1074, 0.4152, 0.1785
0.0554,  445.39, 0.3277, 1.0987, 0.2850, 0.3150, 0.3277
0.0585,  470.14, 0.4929, 0.5202, 0.6211, 0.5186, 0.4929
0.0616,  494.88, 0.5441, 1.1298, 0.7709, 0.6892, 0.5441
0.0646,  519.62, 0.0888, 1.4289, 0.3530, 0.0478, 0.0888
0.0677,  544.37, 0.3086, 1.2761, 0.4089, 1.1008, 0.3086
0.0708,  569.11, 0.3249, 0.6914, 0.2211, 0.5813, 0.3249
0.0739,  593.86, 0.3613, 0.8681, 0.7418, 0.8260, 0.3613
0.0769,  618.60, 0.2774, 1.1093, 0.5089, 1.2963, 0.2774
0.0800,  643.34, 0.6511, 1.4607, 1.4119, 2.5184, 0.6511
0.0831,  668.09, 1.0441, 3.1922, 1.5107, 1.9288, 1.0441
0.0862,  692.83, 1.4847, 1.5080, 1.8765, 1.9198, 1.4847
0.0893,  717.57, 0.9088, 0.7813, 1.0877, 1.3893, 0.9088
0.0923,  742.32, 0.4972, 2.5859, 0.1027, 0.2310, 0.4972
0.0954,  767.06, 0.8086, 3.4727, 0.3582, 0.2746, 0.8086
0.0985,  791.81, 1.0679, 4.1057, 0.8332, 0.1680, 1.0679
0.1016,  816.55, 0.8795, 3.8039, 0.5858, 0.3006, 0.8795
0.1046,  841.29, 0.4489, 3.8057, 0.2198, 0.6629, 0.4489
0.1077,  866.04, 0.6196, 3.2363, 0.4389, 1.2884, 0.6196
0.1108,  890.78, 0.4432, 2.1642, 0.1626, 0.4053, 0.4432
0.1139,  915.53, 0.8678, 2.1949, 0.6285, 0.4262, 0.8678
0.1169,  940.27, 0.8437, 0.6999, 0.9782, 0.7267, 0.8437
0.1200,  965.01, 0.5199, 1.8756, 0.9865, 1.4492, 0.5199
0.1231,  989.76, 0.6943, 2.5725, 0.6606, 2.0891, 0.6943
0.1262, 1014.50, 0.6623, 3.2025, 0.6884, 1.3859, 0.6623
0.1293, 1039.25, 0.5466, 2.2474, 1.2810, 1.3518, 0.5466
0.1323, 1063.99, 1.1919, 0.9024, 1.9116, 1.5045, 1.1919
0.1354, 1088.73, 1.1691, 0.0343, 1.6915, 2.4206, 1.1691
0.1385, 1113.48, 0.4248, 1.5172, 0.9415, 1.8095, 0.4248
0.1416, 1138.22, 0.3335, 1.9973, 0.8864, 1.5622, 0.3335
0.1446, 1162.97, 0.1813, 1.2035, 0.4464, 2.4738, 0.1813
0.1477, 1187.71, 0.5699, 2.0185, 0.5437, 1.3268, 0.5699
0.1508, 1212.45, 1.2146, 2.1612, 1.1482, 1.6748, 1.2146
0.1539, 1237.20, 1.3296, 0.4587, 1.8827, 1.7640, 1.3296
0.1570, 1261.94, 1.2400, 2.3234, 2.1003, 2.0987, 1.2400
0.1600, 1286.69, 0.6445, 1.9723, 1.1748, 1.6230, 0.6445
0.1631, 1311.43, 0.5900, 0.5353, 0.7170, 0.6146, 0.5900
0.1662, 1336.17, 1.4970, 1.3750, 1.8024, 1.0206, 1.4970
0.1693, 1360.92, 1.1324, 1.7783, 1.2412, 0.8164, 1.1324
0.1723, 1385.66, 0.3364, 1.2704, 0.4909, 0.2893, 0.3364
0.1754, 1410.41, 0.3061, 3.8525, 0.4783, 0.8608, 0.3061
0.1785, 1435.15, 0.3291, 3.5391, 1.0093, 0.7550, 0.3291
0.1816, 1459.89, 0.8853, 2.3460, 1.3197, 1.7743, 0.8853
0.1847, 1484.64, 0.4327, 1.4873, 0.5424, 1.5531, 0.4327
0.1877, 1509.38, 1.1765, 1.7707, 1.1319, 1.2651, 1.1765
0.1908, 1534.13, 1.9586, 1.2714, 2.3200, 1.6443, 1.9586
0.1939, 1558.87, 1.7582, 1.5721, 2.4407, 0.5524, 1.7582
0.1970, 1583.61, 1.0961, 1.9723, 1.6999, 1.0137, 1.0961
0.2000, 1608.36, 1.2228, 0.6241, 1.5652, 1.0244, 1.2228
0.2031, 1633.10, 1.9228, 1.4968, 2.1411, 1.1742, 1.9228
0.2062, 1657.85, 1.6092, 0.8614, 1.8743, 0.9605, 1.6092
0.2093, 1682.59, 0.5058, 1.8809, 0.9270, 0.4853, 0.5058
0.2124, 1707.33, 1.2682, 3.5102, 1.0742, 1.1651, 1.2682
0.2154, 1732.08, 1.0662, 2.4282, 0.9271, 1.3232, 1.0662
0.2185, 1756.82, 0.9724, 3.3391, 1.1753, 0.7387, 0.9724
0.2216, 1781.57, 0.6301, 2.0926, 0.2817, 1.1580, 0.6301
0.2247, 1806.31, 0.4018, 2.6772, 1.1301, 0.5205, 0.4018
