Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3495  2005  3819  2570 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 18:17:59,12-May-2025 18:17:59,12-May-2025 18:17:59,12-May-2025 18:17:59,12-May-2025 18:17:59,12-May-2025 18:17:59,12-May-2025 18:17:59,12-May-2025 18:17:59,12-May-2025 18:17:59,12-May-2025 18:17:59,12-May-2025 18:17:59,12-May-2025 18:17:59,12-May-2025 18:17:59,12-May-2025 18:17:59,
File, cup_55.0 mm_1600ISO_-3EV_Dist2_ON_Defocus2.tiff,cup_55.0 mm_1600ISO_-3EV_Dist2_ON_Focused.tiff,cup_55.0 mm_6400ISO_-3EV_Dist2_OFF_Defocus1.tiff,cup_55.0 mm_6400ISO_-3EV_Dist2_OFF_Defocus2.tiff,cup_55.0 mm_6400ISO_-3EV_Dist2_OFF_Focused.tiff,cup_55.0 mm_6400ISO_-3EV_Dist2_ON_Defocus1.tiff,cup_55.0 mm_6400ISO_-3EV_Dist2_ON_Defocus2.tiff,cup_55.0 mm_6400ISO_-3EV_Dist2_ON_Focused.tiff,cup_55.0 mm_25600ISO_-3EV_Dist2_OFF_Defocus1.tiff,cup_55.0 mm_25600ISO_-3EV_Dist2_OFF_Defocus2.tiff,cup_55.0 mm_25600ISO_-3EV_Dist2_OFF_Focused.tiff,cup_55.0 mm_25600ISO_-3EV_Dist2_ON_Defocus1.tiff,cup_55.0 mm_25600ISO_-3EV_Dist2_ON_Defocus2.tiff,cup_55.0 mm_25600ISO_-3EV_Dist2_ON_Focused.tiff,
Camera, , , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0068,  0.0268,  0.0030,  0.0034,  0.0147,  0.0104,  0.0061,  0.0154,  0.0053,  0.0090,  0.0054,  0.0030,  0.0072,  0.0033
R1090 (pxl) Mean Ctr, 182.2943, 17.5032, 531.1742, 251.0979, 18.9104, 178.6317, 56.7356, 183.7909, 291.1221, 59.8410, 138.3854, -36.9512,  1.2906, 251.8292
CA (pxl) Mean Ctr, 154.1550,  3.9172,  9.8928, 334.0673, 23.3272, 78.4130, 156.1260,  8.3984, 17.6408, 139.7916,  4.3127,  0.2337, 11.5203, 313.0760
MTF50 (LW/PH) Mean Ctr,     54.3,    215.4,     24.1,     27.1,    118.1,     83.6,     49.2,    124.0,     42.2,     72.7,     43.0,     24.5,     57.8,     26.4
R1090 (/PH) Mean Ctr,     22.1,    229.7,      7.6,     16.0,    212.6,     22.5,     70.9,     21.9,     13.8,     67.2,     29.0,   -108.8,   3114.8,     16.0
Peak MTF Mean Ctr,   1.041,   1.000,   1.000,   3.183,   3.199,   3.553,   2.440,   2.210,   2.352,  19.526,   1.000,   1.000,  14.354,   5.257
MTF50P (Cy/Pxl) Mean Ctr,  0.4405,  0.0268,  0.0030,  0.3722,  0.3594,  0.4353,  0.3705,  0.4603,  0.5093,  0.4516,  0.0054,  0.0030,  0.4618,  0.3608
MTF50P (LW/PH) Mean Ctr,   3541.3,    215.4,     24.1,   2992.4,   2889.8,   3500.0,   2978.6,   3701.0,   4094.9,   3630.7,     43.0,     24.5,   3713.2,   2901.1
MTF20 (Cy/Pxl) Mean Ctr,  0.0097,  0.0365,  0.0051,  0.0070,  0.0355,  0.0166,  0.0091,  0.0241,  0.0117,  0.0884,  0.0440,  0.0108,  0.0146,  0.0074
MTF20 (LW/PH) Mean Ctr,     77.8,    293.2,     41.3,     56.2,    285.8,    133.6,     73.2,    194.1,     94.1,    711.1,    354.1,     87.0,    117.6,     59.3
LSF PW50 (pxl) Mean Ctr,  0.1993,  0.2918,  0.3681,  0.2738,  0.3839,  0.2612,  0.3193,  0.2769,  0.2909,  0.2007,  0.2243,  0.2532,  0.2421,  0.2709
CA (area %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (crossing %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (R-G %) Mean Ctr, -156.76206, -1.30349,  0.00000,  0.00000,  1.25002, -12.81576,  0.17242, -15.73496, -8.17144, 32.49249, -10.36001,  0.00000, -4.71538,  0.00000
CA (B-G %) Mean Ctr, 21.09048, -1.13087,  0.00000,  0.00000,  1.49909, 24.02417, -85.50096, -0.00000, -6.64058, 32.49249, -12.58063,  0.00000,  0.00466,  0.00000
MTF50C (Cy/Pxl) Mean Ctr,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
MTF Area PkNorm (Cy/Pxl) Mean Ctr,  0.1630,  0.1733,  0.1860,  0.1584,  0.1461,  0.1089,  0.1720,  0.1735,  0.1287,  0.1211,  0.1856,  0.1445,  0.1140,  0.1576
