Imatest,24.2.6, Master, SFR
File,cup_55.0 mm_25600ISO_0EV_Dist2_ON_Focused.tiff
Run date,12-May-2025 17:51:10,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.76, 0.9738, 0.9958, 0.9684, 0.9841, 0.9738
0.0062,   49.53, 0.8941, 0.9993, 0.8670, 0.9336, 0.8941
0.0092,   74.29, 0.7922, 0.9951, 0.7487, 0.7888, 0.7922
0.0123,   99.06, 0.6764, 0.9353, 0.6269, 0.6036, 0.6764
0.0154,  123.82, 0.5324, 0.8223, 0.4731, 0.5367, 0.5324
0.0185,  148.58, 0.3968, 0.3130, 0.4223, 0.4276, 0.3968
0.0216,  173.35, 0.2829, 0.1253, 0.3673, 0.2491, 0.2829
0.0246,  198.11, 0.1265, 0.2262, 0.0987, 0.2117, 0.1265
0.0277,  222.88, 0.0379, 0.3229, 0.1423, 0.2446, 0.0379
0.0308,  247.64, 0.0600, 0.6427, 0.2058, 0.4157, 0.0600
0.0339,  272.41, 0.0704, 0.8753, 0.2508, 0.5115, 0.0704
0.0370,  297.17, 0.1577, 0.8683, 0.3623, 0.4558, 0.1577
0.0400,  321.93, 0.1441, 1.0752, 0.2746, 0.2450, 0.1441
0.0431,  346.70, 0.1723, 0.8264, 0.2196, 0.1639, 0.1723
0.0462,  371.46, 0.1759, 0.1228, 0.1941, 0.2992, 0.1759
0.0493,  396.23, 0.1748, 0.4104, 0.1211, 0.3441, 0.1748
0.0524,  420.99, 0.0564, 0.5657, 0.1767, 0.2242, 0.0564
0.0554,  445.75, 0.1897, 1.2041, 0.0471, 0.1049, 0.1897
0.0585,  470.52, 0.3278, 1.4079, 0.2929, 0.4723, 0.3278
0.0616,  495.28, 0.2906, 0.8521, 0.3235, 0.8068, 0.2906
0.0647,  520.05, 0.1499, 1.3610, 0.1558, 0.7718, 0.1499
0.0678,  544.81, 0.1744, 1.0153, 0.1668, 0.8483, 0.1744
0.0708,  569.57, 0.3708, 1.1331, 0.2177, 0.5973, 0.3708
0.0739,  594.34, 0.4246, 0.9277, 0.3993, 0.3407, 0.4246
0.0770,  619.10, 0.3418, 0.7594, 0.3146, 0.4010, 0.3418
0.0801,  643.87, 0.1822, 0.9214, 0.0781, 0.6712, 0.1822
0.0832,  668.63, 0.0578, 1.2031, 0.3491, 0.7917, 0.0578
0.0862,  693.40, 0.2014, 1.3127, 0.4042, 0.7637, 0.2014
0.0893,  718.16, 0.2149, 0.5100, 0.2496, 0.8240, 0.2149
0.0924,  742.92, 0.2147, 0.9682, 0.4472, 0.1303, 0.2147
0.0955,  767.69, 0.0617, 1.5522, 0.3651, 0.3613, 0.0617
0.0986,  792.45, 0.3115, 1.7663, 0.0594, 0.0861, 0.3115
0.1016,  817.22, 0.3464, 1.0428, 0.3618, 0.0723, 0.3464
0.1047,  841.98, 0.1163, 0.3621, 0.1979, 0.1134, 0.1163
0.1078,  866.74, 0.0699, 1.7649, 0.3007, 0.5318, 0.0699
0.1109,  891.51, 0.0850, 1.6835, 0.4035, 0.6676, 0.0850
0.1140,  916.27, 0.1958, 0.8526, 0.4678, 0.4411, 0.1958
