Imatest,24.2.6, Master, SFR
File,cup_55.0 mm_6400ISO_-3EV_Dist2_OFF_Defocus1.tiff
Run date,12-May-2025 18:17:59,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0018,   14.21, 0.8024, 0.8278, 0.7873, 0.7994, 0.8024
0.0035,   28.42, 0.3673, 0.3987, 0.3540, 0.3757, 0.3673
0.0053,   42.62, 0.1827, 0.1753, 0.2030, 0.2054, 0.1827
0.0071,   56.83, 0.1519, 0.1176, 0.2017, 0.1738, 0.1519
0.0088,   71.04, 0.1292, 0.1069, 0.2067, 0.1655, 0.1292
0.0106,   85.25, 0.1134, 0.1078, 0.1781, 0.1708, 0.1134
0.0124,   99.45, 0.0922, 0.0571, 0.1507, 0.1641, 0.0922
0.0141,  113.66, 0.0742, 0.0597, 0.1622, 0.1911, 0.0742
0.0159,  127.87, 0.0320, 0.1114, 0.1205, 0.1805, 0.0320
0.0177,  142.08, 0.0474, 0.1184, 0.0643, 0.1426, 0.0474
0.0194,  156.28, 0.0561, 0.0846, 0.0936, 0.1103, 0.0561
0.0212,  170.49, 0.0163, 0.0532, 0.0453, 0.0663, 0.0163
0.0230,  184.70, 0.0413, 0.0240, 0.0751, 0.0891, 0.0413
0.0247,  198.91, 0.0698, 0.1166, 0.1591, 0.1193, 0.0698
0.0265,  213.11, 0.0788, 0.1368, 0.1578, 0.1490, 0.0788
0.0283,  227.32, 0.0649, 0.0849, 0.1173, 0.1745, 0.0649
0.0300,  241.53, 0.0519, 0.0655, 0.0920, 0.1862, 0.0519
0.0318,  255.74, 0.0436, 0.0173, 0.0670, 0.1610, 0.0436
0.0336,  269.95, 0.0447, 0.0896, 0.0417, 0.0995, 0.0447
0.0353,  284.15, 0.0953, 0.1383, 0.0716, 0.1296, 0.0953
0.0371,  298.36, 0.1041, 0.1544, 0.0973, 0.1503, 0.1041
0.0389,  312.57, 0.0561, 0.2209, 0.0996, 0.1463, 0.0561
0.0406,  326.78, 0.0395, 0.2603, 0.1897, 0.1567, 0.0395
0.0424,  340.98, 0.0952, 0.2190, 0.3111, 0.1099, 0.0952
0.0442,  355.19, 0.1220, 0.0965, 0.3372, 0.0499, 0.1220
0.0459,  369.40, 0.1116, 0.1627, 0.2528, 0.0858, 0.1116
0.0477,  383.61, 0.0810, 0.3097, 0.2033, 0.0611, 0.0810
0.0495,  397.81, 0.0572, 0.3423, 0.1993, 0.0763, 0.0572
0.0512,  412.02, 0.0664, 0.3085, 0.1632, 0.0924, 0.0664
0.0530,  426.23, 0.1231, 0.2686, 0.3004, 0.0471, 0.1231
0.0548,  440.44, 0.1768, 0.2256, 0.4409, 0.1770, 0.1768
0.0565,  454.64, 0.1881, 0.2066, 0.4530, 0.1800, 0.1881
0.0583,  468.85, 0.1510, 0.2263, 0.3692, 0.1129, 0.1510
0.0601,  483.06, 0.0526, 0.2503, 0.2217, 0.1406, 0.0526
0.0618,  497.27, 0.1184, 0.2627, 0.1605, 0.0965, 0.1184
0.0636,  511.47, 0.2626, 0.3038, 0.3301, 0.1127, 0.2626
0.0654,  525.68, 0.2888, 0.2831, 0.3778, 0.0563, 0.2888
0.0672,  539.89, 0.1764, 0.0622, 0.2748, 0.1735, 0.1764
0.0689,  554.10, 0.1635, 0.2749, 0.2136, 0.3862, 0.1635
0.0707,  568.31, 0.2761, 0.4283, 0.3123, 0.4236, 0.2761
0.0725,  582.51, 0.3130, 0.4232, 0.4330, 0.2857, 0.3130
0.0742,  596.72, 0.3920, 0.6909, 0.5004, 0.2769, 0.3920
0.0760,  610.93, 0.5035, 0.9230, 0.5984, 0.3795, 0.5035
0.0778,  625.14, 0.4845, 0.8681, 0.7299, 0.2805, 0.4845
0.0795,  639.34, 0.2678, 0.6277, 0.7402, 0.2062, 0.2678
0.0813,  653.55, 0.0855, 0.5667, 0.6128, 0.3566, 0.0855
0.0831,  667.76, 0.2476, 0.6436, 0.4196, 0.3317, 0.2476
0.0848,  681.97, 0.1898, 0.4325, 0.1963, 0.2285, 0.1898
0.0866,  696.17, 0.1348, 0.3119, 0.1838, 0.1854, 0.1348
0.0884,  710.38, 0.3852, 0.6361, 0.4547, 0.2069, 0.3852
0.0901,  724.59, 0.5310, 0.7172, 0.6033, 0.2884, 0.5310
0.0919,  738.80, 0.4841, 0.6398, 0.4973, 0.2613, 0.4841
0.0937,  753.00, 0.3416, 0.7615, 0.2230, 0.2713, 0.3416
0.0954,  767.21, 0.2471, 0.8766, 0.1715, 0.2857, 0.2471
0.0972,  781.42, 0.1867, 0.6477, 0.3622, 0.1585, 0.1867
0.0990,  795.63, 0.2822, 0.3072, 0.4000, 0.0758, 0.2822
0.1007,  809.84, 0.3555, 0.6695, 0.2125, 0.1962, 0.3555
0.1025,  824.04, 0.3474, 0.8396, 0.3869, 0.2394, 0.3474
0.1043,  838.25, 0.5151, 0.9181, 0.6637, 0.1693, 0.5151
0.1060,  852.46, 0.6101, 1.0528, 0.7410, 0.0583, 0.6101
0.1078,  866.67, 0.4931, 0.8129, 0.7579, 0.1239, 0.4931
0.1096,  880.87, 0.3474, 0.3085, 0.6159, 0.1520, 0.3474
0.1113,  895.08, 0.3311, 0.3834, 0.4210, 0.1522, 0.3311
0.1131,  909.29, 0.4157, 0.4865, 0.6108, 0.1705, 0.4157
0.1149,  923.50, 0.3853, 0.3336, 0.6008, 0.2245, 0.3853
0.1166,  937.70, 0.1712, 0.1291, 0.2588, 0.3526, 0.1712
0.1184,  951.91, 0.0977, 0.0878, 0.2764, 0.4739, 0.0977
0.1202,  966.12, 0.2585, 0.2494, 0.5204, 0.5117, 0.2585
0.1219,  980.33, 0.3030, 0.1990, 0.7070, 0.4445, 0.3030
0.1237,  994.53, 0.4068, 0.1402, 0.8561, 0.2772, 0.4068
0.1255, 1008.74, 0.5538, 0.4730, 0.8597, 0.0830, 0.5538
0.1272, 1022.95, 0.5927, 0.5741, 0.7961, 0.1677, 0.5927
0.1290, 1037.16, 0.6417, 0.4595, 1.0067, 0.2646, 0.6417
0.1308, 1051.36, 0.6523, 0.4788, 1.1552, 0.3206, 0.6523
0.1325, 1065.57, 0.4205, 0.5817, 0.7940, 0.3859, 0.4205
