Imatest,24.2.6, Master, SFR
File,cup_55.0 mm_6400ISO_0EV_Dist2_OFF_Defocus1.tiff
Run date,12-May-2025 17:51:10,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.76, 0.9672, 0.9554, 0.9690, 0.9825, 0.9672
0.0062,   49.51, 0.8537, 0.8570, 0.8488, 0.8932, 0.8537
0.0092,   74.27, 0.6783, 0.7051, 0.6623, 0.7638, 0.6783
0.0123,   99.02, 0.4856, 0.5274, 0.4632, 0.5941, 0.4856
0.0154,  123.78, 0.3021, 0.3135, 0.2885, 0.4247, 0.3021
0.0185,  148.53, 0.1576, 0.1377, 0.1646, 0.2618, 0.1576
0.0216,  173.29, 0.0430, 0.0378, 0.0699, 0.1469, 0.0430
0.0246,  198.04, 0.0676, 0.0378, 0.0968, 0.1186, 0.0676
0.0277,  222.80, 0.0861, 0.0808, 0.1181, 0.0615, 0.0861
0.0308,  247.55, 0.1119, 0.1731, 0.1205, 0.1600, 0.1119
0.0339,  272.31, 0.1040, 0.2380, 0.0970, 0.1245, 0.1040
0.0369,  297.06, 0.0378, 0.1273, 0.0324, 0.0979, 0.0378
0.0400,  321.82, 0.0653, 0.1483, 0.0972, 0.2189, 0.0653
0.0431,  346.57, 0.0510, 0.1978, 0.0780, 0.2033, 0.0510
0.0462,  371.33, 0.0213, 0.1492, 0.0751, 0.1110, 0.0213
0.0493,  396.08, 0.0918, 0.1937, 0.1031, 0.0769, 0.0918
0.0523,  420.84, 0.1223, 0.2736, 0.1192, 0.2203, 0.1223
0.0554,  445.59, 0.1478, 0.1902, 0.1615, 0.2026, 0.1478
0.0585,  470.35, 0.0790, 0.1005, 0.0950, 0.1197, 0.0790
0.0616,  495.10, 0.0507, 0.3311, 0.0559, 0.1081, 0.0507
0.0647,  519.86, 0.0821, 0.3292, 0.0602, 0.1350, 0.0821
0.0677,  544.61, 0.0651, 0.2699, 0.0273, 0.1875, 0.0651
0.0708,  569.37, 0.0412, 0.2979, 0.0968, 0.1644, 0.0412
0.0739,  594.12, 0.0481, 0.3263, 0.1416, 0.1603, 0.0481
0.0770,  618.88, 0.1035, 0.3406, 0.1392, 0.1153, 0.1035
0.0801,  643.63, 0.1386, 0.1483, 0.1961, 0.2053, 0.1386
0.0831,  668.39, 0.1440, 0.0998, 0.2273, 0.1799, 0.1440
0.0862,  693.14, 0.1619, 0.0206, 0.2429, 0.1376, 0.1619
0.0893,  717.90, 0.1802, 0.1193, 0.2473, 0.1592, 0.1802
0.0924,  742.65, 0.1351, 0.1945, 0.2043, 0.1706, 0.1351
0.0954,  767.41, 0.0991, 0.3272, 0.2144, 0.2649, 0.0991
0.0985,  792.16, 0.1156, 0.1855, 0.2061, 0.2228, 0.1156
0.1016,  816.92, 0.1677, 0.4150, 0.3032, 0.0518, 0.1677
0.1047,  841.67, 0.0921, 0.4453, 0.1387, 0.0847, 0.0921
0.1078,  866.43, 0.0723, 0.4463, 0.0880, 0.2267, 0.0723
0.1108,  891.18, 0.0620, 0.2584, 0.1609, 0.2063, 0.0620
0.1139,  915.94, 0.1262, 0.1937, 0.1191, 0.2027, 0.1262
