Imatest,24.2.6, Master, SFR
File,cup_55.0 mm_6400ISO_0EV_Dist2_ON_Defocus2.tiff
Run date,12-May-2025 17:51:10,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.74, 0.8797, 0.8820, 0.8783, 0.8879, 0.8797
0.0062,   49.49, 0.5695, 0.5855, 0.5614, 0.6067, 0.5695
0.0092,   74.23, 0.2319, 0.2341, 0.2305, 0.2598, 0.2319
0.0123,   98.98, 0.0124, 0.0589, 0.0105, 0.0178, 0.0124
0.0154,  123.72, 0.0819, 0.0599, 0.0912, 0.0941, 0.0819
0.0185,  148.46, 0.0696, 0.0382, 0.1006, 0.0564, 0.0696
0.0215,  173.21, 0.0143, 0.1735, 0.0570, 0.0356, 0.0143
0.0246,  197.95, 0.0674, 0.2029, 0.0568, 0.0451, 0.0674
0.0277,  222.69, 0.0758, 0.1098, 0.0877, 0.0513, 0.0758
0.0308,  247.44, 0.0441, 0.1286, 0.0490, 0.0321, 0.0441
0.0339,  272.18, 0.0388, 0.1468, 0.0304, 0.1230, 0.0388
0.0369,  296.93, 0.0697, 0.1490, 0.0550, 0.0955, 0.0697
0.0400,  321.67, 0.0988, 0.2450, 0.0740, 0.0336, 0.0988
0.0431,  346.41, 0.0584, 0.0761, 0.1140, 0.1491, 0.0584
0.0462,  371.16, 0.0244, 0.2080, 0.1000, 0.1376, 0.0244
0.0492,  395.90, 0.0137, 0.0891, 0.0090, 0.0586, 0.0137
0.0523,  420.64, 0.0410, 0.1805, 0.0321, 0.1327, 0.0410
0.0554,  445.39, 0.0206, 0.2433, 0.0562, 0.0605, 0.0206
0.0585,  470.13, 0.0242, 0.0799, 0.0201, 0.1094, 0.0242
0.0616,  494.88, 0.0235, 0.0989, 0.0700, 0.1755, 0.0235
0.0646,  519.62, 0.0463, 0.2952, 0.1257, 0.1056, 0.0463
0.0677,  544.36, 0.0891, 0.3543, 0.1673, 0.0658, 0.0891
0.0708,  569.11, 0.1156, 0.1626, 0.1581, 0.1188, 0.1156
0.0739,  593.85, 0.1349, 0.3363, 0.1070, 0.1459, 0.1349
0.0769,  618.59, 0.1296, 0.6575, 0.1039, 0.0556, 0.1296
0.0800,  643.34, 0.1538, 0.6342, 0.0592, 0.0740, 0.1538
0.0831,  668.08, 0.1111, 0.4089, 0.0935, 0.1574, 0.1111
0.0862,  692.83, 0.0822, 0.1553, 0.1390, 0.1768, 0.0822
0.0892,  717.57, 0.1457, 0.3054, 0.1344, 0.1945, 0.1457
0.0923,  742.31, 0.1964, 0.4276, 0.2033, 0.2558, 0.1964
0.0954,  767.06, 0.1486, 0.1733, 0.2067, 0.2280, 0.1486
0.0985,  791.80, 0.1521, 0.3571, 0.1088, 0.1085, 0.1521
0.1016,  816.54, 0.1433, 0.4665, 0.0517, 0.2573, 0.1433
0.1046,  841.29, 0.0952, 0.3604, 0.1721, 0.4300, 0.0952
0.1077,  866.03, 0.1734, 0.4323, 0.3887, 0.3728, 0.1734
0.1108,  890.78, 0.1443, 0.5145, 0.3056, 0.2111, 0.1443
0.1139,  915.52, 0.1155, 0.2741, 0.1103, 0.2652, 0.1155
0.1169,  940.26, 0.0421, 0.0544, 0.0665, 0.1176, 0.0421
0.1200,  965.01, 0.1106, 0.2495, 0.1805, 0.1227, 0.1106
0.1231,  989.75, 0.1627, 0.5734, 0.1888, 0.0898, 0.1627
0.1262, 1014.49, 0.1114, 0.6126, 0.2677, 0.1934, 0.1114
0.1293, 1039.24, 0.2222, 0.2463, 0.3653, 0.3264, 0.2222
0.1323, 1063.98, 0.3252, 0.2692, 0.4668, 0.5189, 0.3252
0.1354, 1088.73, 0.1753, 0.0946, 0.2854, 0.6709, 0.1753
0.1385, 1113.47, 0.2034, 0.1706, 0.2298, 0.4780, 0.2034
