Imatest,24.2.6, Master, SFR
File,potted plant_55.0 mm_100ISO_+1EV_Dist2_OFF_Defocus1.tiff
Run date,07-May-2025 12:24:23,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0019,   15.53, 0.9987, 0.9988, 0.9984, 1.0017, 0.9987
0.0039,   31.06, 0.9693, 0.9695, 0.9683, 0.9790, 0.9693
0.0058,   46.59, 0.9157, 0.9154, 0.9141, 0.9318, 0.9157
0.0077,   62.12, 0.8447, 0.8452, 0.8423, 0.8664, 0.8447
0.0097,   77.65, 0.7611, 0.7627, 0.7580, 0.7874, 0.7611
0.0116,   93.17, 0.6772, 0.6755, 0.6747, 0.7069, 0.6772
0.0135,  108.70, 0.5893, 0.5818, 0.5882, 0.6221, 0.5893
0.0155,  124.23, 0.5030, 0.4963, 0.5008, 0.5440, 0.5030
0.0174,  139.76, 0.4121, 0.4101, 0.4070, 0.4689, 0.4121
0.0193,  155.29, 0.3239, 0.3250, 0.3167, 0.3935, 0.3239
0.0212,  170.82, 0.2380, 0.2383, 0.2304, 0.3134, 0.2380
0.0232,  186.35, 0.1579, 0.1497, 0.1528, 0.2314, 0.1579
0.0251,  201.88, 0.0863, 0.0764, 0.0832, 0.1467, 0.0863
0.0270,  217.41, 0.0249, 0.0295, 0.0226, 0.0759, 0.0249
0.0290,  232.94, 0.0207, 0.0276, 0.0258, 0.0207, 0.0207
0.0309,  248.47, 0.0570, 0.0499, 0.0625, 0.0302, 0.0570
0.0328,  264.00, 0.0866, 0.0724, 0.0939, 0.0564, 0.0866
0.0348,  279.52, 0.1078, 0.1085, 0.1119, 0.0752, 0.1078
0.0367,  295.05, 0.1141, 0.1267, 0.1131, 0.0987, 0.1141
0.0386,  310.58, 0.1079, 0.1112, 0.1077, 0.1107, 0.1079
0.0406,  326.11, 0.0992, 0.0986, 0.1001, 0.1003, 0.0992
0.0425,  341.64, 0.0851, 0.0948, 0.0821, 0.0902, 0.0851
0.0444,  357.17, 0.0687, 0.0843, 0.0619, 0.0974, 0.0687
0.0464,  372.70, 0.0561, 0.0652, 0.0506, 0.0913, 0.0561
0.0483,  388.23, 0.0450, 0.0437, 0.0478, 0.0623, 0.0450
0.0502,  403.76, 0.0289, 0.0240, 0.0337, 0.0327, 0.0289
0.0522,  419.29, 0.0134, 0.0123, 0.0144, 0.0089, 0.0134
0.0541,  434.82, 0.0112, 0.0059, 0.0144, 0.0104, 0.0112
0.0560,  450.34, 0.0265, 0.0203, 0.0307, 0.0129, 0.0265
0.0579,  465.87, 0.0448, 0.0220, 0.0556, 0.0148, 0.0448
0.0599,  481.40, 0.0565, 0.0259, 0.0672, 0.0431, 0.0565
0.0618,  496.93, 0.0523, 0.0278, 0.0584, 0.0615, 0.0523
0.0637,  512.46, 0.0516, 0.0261, 0.0592, 0.0497, 0.0516
0.0657,  527.99, 0.0594, 0.0416, 0.0668, 0.0397, 0.0594
0.0676,  543.52, 0.0586, 0.0629, 0.0597, 0.0416, 0.0586
0.0695,  559.05, 0.0493, 0.0546, 0.0476, 0.0582, 0.0493
0.0715,  574.58, 0.0346, 0.0466, 0.0357, 0.0614, 0.0346
0.0734,  590.11, 0.0184, 0.0402, 0.0172, 0.0544, 0.0184
0.0753,  605.64, 0.0225, 0.0208, 0.0222, 0.0375, 0.0225
0.0773,  621.17, 0.0327, 0.0244, 0.0390, 0.0301, 0.0327
0.0792,  636.69, 0.0260, 0.0236, 0.0274, 0.0255, 0.0260
0.0811,  652.22, 0.0241, 0.0240, 0.0292, 0.0081, 0.0241
0.0831,  667.75, 0.0253, 0.0062, 0.0343, 0.0309, 0.0253
0.0850,  683.28, 0.0154, 0.0199, 0.0248, 0.0563, 0.0154
0.0869,  698.81, 0.0018, 0.0276, 0.0071, 0.0397, 0.0018
0.0888,  714.34, 0.0180, 0.0306, 0.0166, 0.0195, 0.0180
0.0908,  729.87, 0.0346, 0.0280, 0.0386, 0.0276, 0.0346
0.0927,  745.40, 0.0350, 0.0402, 0.0341, 0.0373, 0.0350
0.0946,  760.93, 0.0345, 0.0453, 0.0330, 0.0365, 0.0345
0.0966,  776.46, 0.0381, 0.0459, 0.0373, 0.0336, 0.0381
0.0985,  791.99, 0.0383, 0.0619, 0.0321, 0.0415, 0.0383
0.1004,  807.51, 0.0290, 0.0680, 0.0171, 0.0402, 0.0290
0.1024,  823.04, 0.0119, 0.0631, 0.0099, 0.0572, 0.0119
0.1043,  838.57, 0.0064, 0.0396, 0.0144, 0.0480, 0.0064
0.1062,  854.10, 0.0078, 0.0260, 0.0196, 0.0247, 0.0078
0.1082,  869.63, 0.0119, 0.0144, 0.0227, 0.0214, 0.0119
0.1101,  885.16, 0.0035, 0.0151, 0.0081, 0.0101, 0.0035
0.1120,  900.69, 0.0055, 0.0163, 0.0043, 0.0063, 0.0055
0.1140,  916.22, 0.0077, 0.0102, 0.0100, 0.0120, 0.0077
0.1159,  931.75, 0.0081, 0.0053, 0.0121, 0.0110, 0.0081
0.1178,  947.28, 0.0080, 0.0432, 0.0163, 0.0425, 0.0080
0.1198,  962.81, 0.0077, 0.0377, 0.0158, 0.0394, 0.0077
0.1217,  978.34, 0.0061, 0.0116, 0.0126, 0.0264, 0.0061
0.1236,  993.86, 0.0113, 0.0314, 0.0107, 0.0225, 0.0113
0.1255, 1009.39, 0.0180, 0.0518, 0.0118, 0.0420, 0.0180
0.1275, 1024.92, 0.0234, 0.0636, 0.0155, 0.0208, 0.0234
0.1294, 1040.45, 0.0269, 0.0690, 0.0199, 0.0332, 0.0269
0.1313, 1055.98, 0.0140, 0.0375, 0.0155, 0.0218, 0.0140
0.1333, 1071.51, 0.0134, 0.0323, 0.0226, 0.0117, 0.0134
0.1352, 1087.04, 0.0102, 0.0662, 0.0298, 0.0269, 0.0102
0.1371, 1102.57, 0.0122, 0.0301, 0.0256, 0.0223, 0.0122
0.1391, 1118.10, 0.0170, 0.0498, 0.0136, 0.0219, 0.0170
0.1410, 1133.63, 0.0190, 0.0619, 0.0152, 0.0289, 0.0190
0.1429, 1149.16, 0.0125, 0.0545, 0.0077, 0.0436, 0.0125
0.1449, 1164.68, 0.0118, 0.0443, 0.0213, 0.0395, 0.0118
0.1468, 1180.21, 0.0069, 0.0063, 0.0097, 0.0149, 0.0069
0.1487, 1195.74, 0.0160, 0.0096, 0.0257, 0.0243, 0.0160
0.1507, 1211.27, 0.0018, 0.0161, 0.0058, 0.0339, 0.0018
0.1526, 1226.80, 0.0141, 0.0133, 0.0121, 0.0370, 0.0141
0.1545, 1242.33, 0.0070, 0.0241, 0.0039, 0.0277, 0.0070
0.1565, 1257.86, 0.0120, 0.0301, 0.0096, 0.0046, 0.0120
0.1584, 1273.39, 0.0120, 0.0123, 0.0196, 0.0259, 0.0120
0.1603, 1288.92, 0.0160, 0.0101, 0.0207, 0.0268, 0.0160
0.1622, 1304.45, 0.0110, 0.0261, 0.0081, 0.0136, 0.0110
0.1642, 1319.98, 0.0041, 0.0347, 0.0111, 0.0121, 0.0041
0.1661, 1335.51, 0.0150, 0.0146, 0.0149, 0.0274, 0.0150
0.1680, 1351.03, 0.0227, 0.0415, 0.0190, 0.0349, 0.0227
0.1700, 1366.56, 0.0242, 0.0713, 0.0127, 0.0312, 0.0242
0.1719, 1382.09, 0.0220, 0.0773, 0.0160, 0.0240, 0.0220
0.1738, 1397.62, 0.0006, 0.0458, 0.0109, 0.0321, 0.0006
0.1758, 1413.15, 0.0187, 0.0575, 0.0190, 0.0294, 0.0187
0.1777, 1428.68, 0.0180, 0.0590, 0.0103, 0.0251, 0.0180
0.1796, 1444.21, 0.0323, 0.0591, 0.0304, 0.0227, 0.0323
0.1816, 1459.74, 0.0195, 0.0318, 0.0189, 0.0170, 0.0195
0.1835, 1475.27, 0.0192, 0.0201, 0.0209, 0.0065, 0.0192
0.1854, 1490.80, 0.0286, 0.0222, 0.0350, 0.0167, 0.0286
0.1874, 1506.33, 0.0297, 0.0347, 0.0329, 0.0156, 0.0297
0.1893, 1521.85, 0.0205, 0.0252, 0.0243, 0.0287, 0.0205
0.1912, 1537.38, 0.0191, 0.0175, 0.0235, 0.0190, 0.0191
0.1931, 1552.91, 0.0251, 0.0189, 0.0312, 0.0122, 0.0251
0.1951, 1568.44, 0.0326, 0.0248, 0.0396, 0.0111, 0.0326
0.1970, 1583.97, 0.0306, 0.0144, 0.0402, 0.0156, 0.0306
0.1989, 1599.50, 0.0286, 0.0074, 0.0408, 0.0143, 0.0286
0.2009, 1615.03, 0.0261, 0.0174, 0.0386, 0.0236, 0.0261
0.2028, 1630.56, 0.0241, 0.0197, 0.0333, 0.0192, 0.0241
0.2047, 1646.09, 0.0337, 0.0504, 0.0365, 0.0317, 0.0337
0.2067, 1661.62, 0.0357, 0.0537, 0.0366, 0.0215, 0.0357
0.2086, 1677.15, 0.0160, 0.0221, 0.0181, 0.0033, 0.0160
0.2105, 1692.68, 0.0178, 0.0083, 0.0203, 0.0265, 0.0178
0.2125, 1708.20, 0.0294, 0.0245, 0.0320, 0.0639, 0.0294
0.2144, 1723.73, 0.0253, 0.0241, 0.0270, 0.0607, 0.0253
0.2163, 1739.26, 0.0305, 0.0112, 0.0407, 0.0317, 0.0305
0.2183, 1754.79, 0.0461, 0.0228, 0.0624, 0.0082, 0.0461
0.2202, 1770.32, 0.0502, 0.0139, 0.0702, 0.0237, 0.0502
0.2221, 1785.85, 0.0444, 0.0103, 0.0676, 0.0356, 0.0444
0.2241, 1801.38, 0.0340, 0.0087, 0.0524, 0.0391, 0.0340
0.2260, 1816.91, 0.0279, 0.0109, 0.0361, 0.0302, 0.0279
0.2279, 1832.44, 0.0179, 0.0196, 0.0172, 0.0358, 0.0179
0.2298, 1847.97, 0.0083, 0.0261, 0.0035, 0.0522, 0.0083
0.2318, 1863.50, 0.0126, 0.0377, 0.0211, 0.0410, 0.0126
0.2337, 1879.03, 0.0261, 0.0271, 0.0330, 0.0100, 0.0261
0.2356, 1894.55, 0.0313, 0.0507, 0.0302, 0.0129, 0.0313
0.2376, 1910.08, 0.0303, 0.0606, 0.0281, 0.0296, 0.0303
0.2395, 1925.61, 0.0220, 0.0466, 0.0185, 0.0140, 0.0220
0.2414, 1941.14, 0.0120, 0.0247, 0.0135, 0.0052, 0.0120
0.2434, 1956.67, 0.0063, 0.0318, 0.0037, 0.0175, 0.0063
0.2453, 1972.20, 0.0179, 0.0492, 0.0102, 0.0083, 0.0179
0.2472, 1987.73, 0.0201, 0.0563, 0.0123, 0.0171, 0.0201
0.2492, 2003.26, 0.0176, 0.0674, 0.0034, 0.0293, 0.0176
0.2511, 2018.79, 0.0167, 0.0695, 0.0055, 0.0289, 0.0167
0.2530, 2034.32, 0.0152, 0.0501, 0.0149, 0.0097, 0.0152
0.2550, 2049.85, 0.0140, 0.0213, 0.0216, 0.0116, 0.0140
0.2569, 2065.37, 0.0109, 0.0122, 0.0182, 0.0089, 0.0109
0.2588, 2080.90, 0.0078, 0.0272, 0.0157, 0.0121, 0.0078
0.2608, 2096.43, 0.0116, 0.0347, 0.0167, 0.0171, 0.0116
0.2627, 2111.96, 0.0175, 0.0482, 0.0174, 0.0197, 0.0175
0.2646, 2127.49, 0.0182, 0.0562, 0.0116, 0.0254, 0.0182
0.2665, 2143.02, 0.0192, 0.0540, 0.0136, 0.0300, 0.0192
0.2685, 2158.55, 0.0115, 0.0348, 0.0086, 0.0295, 0.0115
0.2704, 2174.08, 0.0076, 0.0217, 0.0051, 0.0281, 0.0076
0.2723, 2189.61, 0.0087, 0.0265, 0.0075, 0.0309, 0.0087
0.2743, 2205.14, 0.0175, 0.0445, 0.0158, 0.0221, 0.0175
0.2762, 2220.67, 0.0235, 0.0629, 0.0240, 0.0139, 0.0235
0.2781, 2236.20, 0.0257, 0.0601, 0.0320, 0.0136, 0.0257
0.2801, 2251.72, 0.0169, 0.0292, 0.0286, 0.0152, 0.0169
0.2820, 2267.25, 0.0230, 0.0179, 0.0325, 0.0150, 0.0230
0.2839, 2282.78, 0.0321, 0.0022, 0.0429, 0.0173, 0.0321
0.2859, 2298.31, 0.0410, 0.0222, 0.0516, 0.0232, 0.0410
0.2878, 2313.84, 0.0478, 0.0394, 0.0573, 0.0321, 0.0478
0.2897, 2329.37, 0.0460, 0.0462, 0.0512, 0.0442, 0.0460
0.2917, 2344.90, 0.0320, 0.0428, 0.0297, 0.0420, 0.0320
0.2936, 2360.43, 0.0181, 0.0366, 0.0119, 0.0294, 0.0181
0.2955, 2375.96, 0.0204, 0.0342, 0.0209, 0.0188, 0.0204
0.2974, 2391.49, 0.0203, 0.0286, 0.0226, 0.0205, 0.0203
0.2994, 2407.02, 0.0147, 0.0245, 0.0137, 0.0185, 0.0147
0.3013, 2422.54, 0.0127, 0.0348, 0.0066, 0.0126, 0.0127
0.3032, 2438.07, 0.0098, 0.0319, 0.0092, 0.0057, 0.0098
0.3052, 2453.60, 0.0177, 0.0294, 0.0220, 0.0015, 0.0177
0.3071, 2469.13, 0.0265, 0.0338, 0.0317, 0.0088, 0.0265
0.3090, 2484.66, 0.0350, 0.0339, 0.0411, 0.0198, 0.0350
0.3110, 2500.19, 0.0435, 0.0420, 0.0494, 0.0235, 0.0435
0.3129, 2515.72, 0.0436, 0.0490, 0.0490, 0.0303, 0.0436
0.3148, 2531.25, 0.0325, 0.0409, 0.0407, 0.0330, 0.0325
0.3168, 2546.78, 0.0272, 0.0181, 0.0415, 0.0307, 0.0272
0.3187, 2562.31, 0.0371, 0.0098, 0.0509, 0.0184, 0.0371
0.3206, 2577.84, 0.0498, 0.0287, 0.0604, 0.0071, 0.0498
0.3226, 2593.37, 0.0593, 0.0387, 0.0680, 0.0366, 0.0593
0.3245, 2608.89, 0.0599, 0.0410, 0.0671, 0.0609, 0.0599
0.3264, 2624.42, 0.0507, 0.0436, 0.0551, 0.0754, 0.0507
0.3284, 2639.95, 0.0443, 0.0593, 0.0424, 0.0802, 0.0443
0.3303, 2655.48, 0.0425, 0.0707, 0.0353, 0.0743, 0.0425
0.3322, 2671.01, 0.0381, 0.0752, 0.0286, 0.0590, 0.0381
0.3341, 2686.54, 0.0307, 0.0769, 0.0201, 0.0385, 0.0307
0.3361, 2702.07, 0.0225, 0.0740, 0.0116, 0.0253, 0.0225
0.3380, 2717.60, 0.0177, 0.0650, 0.0099, 0.0221, 0.0177
0.3399, 2733.13, 0.0156, 0.0508, 0.0122, 0.0213, 0.0156
0.3419, 2748.66, 0.0124, 0.0352, 0.0109, 0.0168, 0.0124
0.3438, 2764.19, 0.0077, 0.0214, 0.0068, 0.0106, 0.0077
0.3457, 2779.71, 0.0080, 0.0172, 0.0070, 0.0119, 0.0080
0.3477, 2795.24, 0.0142, 0.0202, 0.0145, 0.0201, 0.0142
0.3496, 2810.77, 0.0198, 0.0221, 0.0221, 0.0275, 0.0198
0.3515, 2826.30, 0.0236, 0.0203, 0.0277, 0.0325, 0.0236
0.3535, 2841.83, 0.0273, 0.0174, 0.0319, 0.0356, 0.0273
0.3554, 2857.36, 0.0278, 0.0154, 0.0320, 0.0333, 0.0278
0.3573, 2872.89, 0.0235, 0.0115, 0.0275, 0.0237, 0.0235
0.3593, 2888.42, 0.0151, 0.0074, 0.0192, 0.0084, 0.0151
0.3612, 2903.95, 0.0077, 0.0147, 0.0093, 0.0113, 0.0077
0.3631, 2919.48, 0.0168, 0.0290, 0.0130, 0.0249, 0.0168
0.3651, 2935.01, 0.0272, 0.0405, 0.0230, 0.0307, 0.0272
0.3670, 2950.54, 0.0314, 0.0439, 0.0283, 0.0279, 0.0314
0.3689, 2966.06, 0.0273, 0.0369, 0.0259, 0.0203, 0.0273
0.3708, 2981.59, 0.0148, 0.0206, 0.0150, 0.0177, 0.0148
0.3728, 2997.12, 0.0047, 0.0014, 0.0035, 0.0263, 0.0047
0.3747, 3012.65, 0.0264, 0.0235, 0.0262, 0.0367, 0.0264
0.3766, 3028.18, 0.0443, 0.0380, 0.0465, 0.0430, 0.0443
0.3786, 3043.71, 0.0546, 0.0433, 0.0599, 0.0422, 0.0546
0.3805, 3059.24, 0.0563, 0.0425, 0.0640, 0.0328, 0.0563
0.3824, 3074.77, 0.0489, 0.0383, 0.0569, 0.0156, 0.0489
0.3844, 3090.30, 0.0369, 0.0358, 0.0422, 0.0111, 0.0369
0.3863, 3105.83, 0.0313, 0.0383, 0.0315, 0.0277, 0.0313
0.3882, 3121.36, 0.0347, 0.0428, 0.0324, 0.0375, 0.0347
0.3902, 3136.88, 0.0377, 0.0443, 0.0357, 0.0396, 0.0377
0.3921, 3152.41, 0.0354, 0.0397, 0.0343, 0.0347, 0.0354
0.3940, 3167.94, 0.0271, 0.0292, 0.0267, 0.0253, 0.0271
0.3960, 3183.47, 0.0168, 0.0144, 0.0178, 0.0159, 0.0168
0.3979, 3199.00, 0.0131, 0.0068, 0.0155, 0.0088, 0.0131
0.3998, 3214.53, 0.0147, 0.0119, 0.0171, 0.0023, 0.0147
0.4017, 3230.06, 0.0158, 0.0115, 0.0183, 0.0039, 0.0158
0.4037, 3245.59, 0.0094, 0.0078, 0.0116, 0.0039, 0.0094
0.4056, 3261.12, 0.0073, 0.0140, 0.0060, 0.0097, 0.0073
0.4075, 3276.65, 0.0178, 0.0222, 0.0173, 0.0210, 0.0178
0.4095, 3292.18, 0.0316, 0.0321, 0.0332, 0.0314, 0.0316
0.4114, 3307.71, 0.0416, 0.0379, 0.0441, 0.0417, 0.0416
0.4133, 3323.23, 0.0468, 0.0388, 0.0496, 0.0517, 0.0468
0.4153, 3338.76, 0.0502, 0.0411, 0.0530, 0.0534, 0.0502
0.4172, 3354.29, 0.0496, 0.0449, 0.0516, 0.0506, 0.0496
0.4191, 3369.82, 0.0490, 0.0489, 0.0498, 0.0491, 0.0490
0.4211, 3385.35, 0.0529, 0.0557, 0.0531, 0.0485, 0.0529
0.4230, 3400.88, 0.0540, 0.0579, 0.0541, 0.0454, 0.0540
0.4249, 3416.41, 0.0483, 0.0494, 0.0492, 0.0392, 0.0483
0.4269, 3431.94, 0.0365, 0.0322, 0.0389, 0.0300, 0.0365
0.4288, 3447.47, 0.0236, 0.0193, 0.0272, 0.0167, 0.0236
0.4307, 3463.00, 0.0306, 0.0376, 0.0327, 0.0074, 0.0306
0.4327, 3478.53, 0.0467, 0.0572, 0.0478, 0.0223, 0.0467
0.4346, 3494.05, 0.0563, 0.0668, 0.0565, 0.0350, 0.0563
0.4365, 3509.58, 0.0499, 0.0564, 0.0497, 0.0393, 0.0499
0.4384, 3525.11, 0.0323, 0.0339, 0.0326, 0.0356, 0.0323
0.4404, 3540.64, 0.0215, 0.0189, 0.0232, 0.0299, 0.0215
0.4423, 3556.17, 0.0144, 0.0079, 0.0176, 0.0216, 0.0144
0.4442, 3571.70, 0.0105, 0.0108, 0.0135, 0.0122, 0.0105
0.4462, 3587.23, 0.0046, 0.0086, 0.0074, 0.0055, 0.0046
0.4481, 3602.76, 0.0145, 0.0132, 0.0161, 0.0095, 0.0145
0.4500, 3618.29, 0.0348, 0.0359, 0.0367, 0.0158, 0.0348
0.4520, 3633.82, 0.0475, 0.0490, 0.0497, 0.0213, 0.0475
0.4539, 3649.35, 0.0524, 0.0519, 0.0550, 0.0305, 0.0524
0.4558, 3664.88, 0.0421, 0.0421, 0.0436, 0.0323, 0.0421
0.4578, 3680.40, 0.0205, 0.0208, 0.0213, 0.0270, 0.0205
0.4597, 3695.93, 0.0017, 0.0129, 0.0042, 0.0226, 0.0017
0.4616, 3711.46, 0.0125, 0.0216, 0.0136, 0.0184, 0.0125
