Imatest,24.2.6, Master, SFR
File,potted plant_55.0 mm_100ISO_+1EV_Dist2_OFF_Focused.tiff
Run date,07-May-2025 12:24:23,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist2+55/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0019,   15.53, 1.0056, 1.0049, 1.0059, 1.0050, 1.0056
0.0039,   31.07, 1.0080, 1.0056, 1.0087, 1.0083, 1.0080
0.0058,   46.60, 1.0037, 1.0024, 1.0039, 1.0070, 1.0037
0.0077,   62.14, 0.9928, 0.9976, 0.9909, 0.9987, 0.9928
0.0097,   77.67, 0.9813, 0.9878, 0.9790, 0.9866, 0.9813
0.0116,   93.21, 0.9750, 0.9725, 0.9757, 0.9771, 0.9750
0.0135,  108.74, 0.9718, 0.9589, 0.9756, 0.9734, 0.9718
0.0155,  124.28, 0.9734, 0.9582, 0.9778, 0.9754, 0.9734
0.0174,  139.81, 0.9716, 0.9579, 0.9759, 0.9709, 0.9716
0.0193,  155.35, 0.9669, 0.9493, 0.9730, 0.9606, 0.9669
0.0213,  170.88, 0.9636, 0.9385, 0.9719, 0.9584, 0.9636
0.0232,  186.42, 0.9533, 0.9363, 0.9582, 0.9581, 0.9533
0.0251,  201.95, 0.9445, 0.9396, 0.9467, 0.9437, 0.9445
0.0271,  217.49, 0.9430, 0.9257, 0.9501, 0.9291, 0.9430
0.0290,  233.02, 0.9358, 0.9072, 0.9455, 0.9302, 0.9358
0.0309,  248.55, 0.9356, 0.9168, 0.9416, 0.9377, 0.9356
0.0328,  264.09, 0.9379, 0.9265, 0.9432, 0.9263, 0.9379
0.0348,  279.62, 0.9283, 0.9112, 0.9368, 0.9023, 0.9283
0.0367,  295.16, 0.9152, 0.8974, 0.9241, 0.8924, 0.9152
0.0386,  310.69, 0.9056, 0.8907, 0.9128, 0.8929, 0.9056
0.0406,  326.23, 0.8962, 0.8829, 0.9022, 0.8907, 0.8962
0.0425,  341.76, 0.8927, 0.8755, 0.8991, 0.8991, 0.8927
0.0444,  357.30, 0.8949, 0.8566, 0.9075, 0.9006, 0.8949
0.0464,  372.83, 0.8887, 0.8472, 0.9044, 0.8691, 0.8887
0.0483,  388.37, 0.8798, 0.8577, 0.8924, 0.8357, 0.8798
0.0502,  403.90, 0.8710, 0.8517, 0.8834, 0.8260, 0.8710
0.0522,  419.44, 0.8621, 0.8407, 0.8748, 0.8234, 0.8621
0.0541,  434.97, 0.8559, 0.8268, 0.8711, 0.8151, 0.8559
0.0560,  450.50, 0.8417, 0.7955, 0.8615, 0.8043, 0.8417
0.0580,  466.04, 0.8093, 0.7550, 0.8306, 0.7764, 0.8093
0.0599,  481.57, 0.7808, 0.7234, 0.8029, 0.7455, 0.7808
0.0618,  497.11, 0.8033, 0.7596, 0.8230, 0.7570, 0.8033
0.0638,  512.64, 0.8256, 0.8127, 0.8368, 0.7867, 0.8256
0.0657,  528.18, 0.8121, 0.8062, 0.8193, 0.7957, 0.8121
0.0676,  543.71, 0.8065, 0.7818, 0.8185, 0.7877, 0.8065
0.0696,  559.25, 0.8067, 0.7730, 0.8234, 0.7614, 0.8067
0.0715,  574.78, 0.7952, 0.7632, 0.8143, 0.7250, 0.7952
0.0734,  590.32, 0.7826, 0.7494, 0.8034, 0.7088, 0.7826
0.0754,  605.85, 0.7797, 0.7402, 0.8027, 0.7055, 0.7797
0.0773,  621.39, 0.7761, 0.7383, 0.7992, 0.6906, 0.7761
0.0792,  636.92, 0.7687, 0.7359, 0.7906, 0.6832, 0.7687
0.0812,  652.46, 0.7693, 0.7298, 0.7934, 0.6879, 0.7693
0.0831,  667.99, 0.7649, 0.7145, 0.7918, 0.6780, 0.7649
0.0850,  683.52, 0.7534, 0.7043, 0.7800, 0.6642, 0.7534
0.0869,  699.06, 0.7392, 0.7034, 0.7643, 0.6362, 0.7392
0.0889,  714.59, 0.7428, 0.7126, 0.7676, 0.6266, 0.7428
0.0908,  730.13, 0.7650, 0.7260, 0.7907, 0.6568, 0.7650
0.0927,  745.66, 0.7651, 0.7321, 0.7898, 0.6548, 0.7651
0.0947,  761.20, 0.7489, 0.7375, 0.7700, 0.6298, 0.7489
0.0966,  776.73, 0.7351, 0.7009, 0.7646, 0.6134, 0.7351
0.0985,  792.27, 0.7083, 0.6454, 0.7433, 0.6150, 0.7083
0.1005,  807.80, 0.6748, 0.6335, 0.6983, 0.6216, 0.6748
0.1024,  823.34, 0.6695, 0.6413, 0.6886, 0.6186, 0.6695
0.1043,  838.87, 0.6646, 0.6173, 0.6892, 0.6081, 0.6646
0.1063,  854.41, 0.6564, 0.5975, 0.6861, 0.5664, 0.6564
0.1082,  869.94, 0.6748, 0.6282, 0.7050, 0.5422, 0.6748
0.1101,  885.47, 0.6720, 0.6301, 0.7009, 0.5510, 0.6720
0.1121,  901.01, 0.6569, 0.6130, 0.6863, 0.5478, 0.6569
0.1140,  916.54, 0.6645, 0.6202, 0.6962, 0.5310, 0.6645
0.1159,  932.08, 0.6595, 0.6127, 0.6925, 0.5165, 0.6595
0.1179,  947.61, 0.6307, 0.5952, 0.6585, 0.5080, 0.6307
0.1198,  963.15, 0.6343, 0.6021, 0.6611, 0.5130, 0.6343
0.1217,  978.68, 0.6793, 0.6244, 0.7155, 0.5222, 0.6793
0.1237,  994.22, 0.6741, 0.6029, 0.7167, 0.5022, 0.6741
0.1256, 1009.75, 0.6265, 0.5695, 0.6645, 0.4690, 0.6265
0.1275, 1025.29, 0.6031, 0.5648, 0.6333, 0.4743, 0.6031
0.1295, 1040.82, 0.5980, 0.5788, 0.6196, 0.4879, 0.5980
0.1314, 1056.36, 0.5995, 0.5944, 0.6174, 0.4772, 0.5995
0.1333, 1071.89, 0.5898, 0.5690, 0.6141, 0.4531, 0.5898
0.1353, 1087.43, 0.5664, 0.5303, 0.5945, 0.4343, 0.5664
0.1372, 1102.96, 0.5534, 0.5147, 0.5825, 0.4112, 0.5534
0.1391, 1118.49, 0.5575, 0.5139, 0.5892, 0.4071, 0.5575
0.1410, 1134.03, 0.5599, 0.4954, 0.5975, 0.4173, 0.5599
0.1430, 1149.56, 0.5479, 0.4510, 0.5952, 0.4029, 0.5479
0.1449, 1165.10, 0.5230, 0.4202, 0.5706, 0.3959, 0.5230
0.1468, 1180.63, 0.5093, 0.4437, 0.5439, 0.3991, 0.5093
0.1488, 1196.17, 0.5128, 0.4807, 0.5383, 0.3905, 0.5128
0.1507, 1211.70, 0.5235, 0.4936, 0.5489, 0.3997, 0.5235
0.1526, 1227.24, 0.5368, 0.4944, 0.5638, 0.4334, 0.5368
0.1546, 1242.77, 0.5318, 0.4978, 0.5544, 0.4499, 0.5318
0.1565, 1258.31, 0.5121, 0.4833, 0.5343, 0.4124, 0.5121
0.1584, 1273.84, 0.4977, 0.4531, 0.5266, 0.3623, 0.4977
0.1604, 1289.38, 0.5085, 0.4652, 0.5395, 0.3444, 0.5085
0.1623, 1304.91, 0.5099, 0.4733, 0.5411, 0.3482, 0.5099
0.1642, 1320.44, 0.4837, 0.4431, 0.5123, 0.3678, 0.4837
0.1662, 1335.98, 0.4753, 0.4343, 0.5023, 0.3659, 0.4753
0.1681, 1351.51, 0.4826, 0.4500, 0.5112, 0.3389, 0.4826
0.1700, 1367.05, 0.4850, 0.4435, 0.5153, 0.3430, 0.4850
0.1720, 1382.58, 0.4759, 0.4232, 0.5069, 0.3492, 0.4759
0.1739, 1398.12, 0.4677, 0.4381, 0.4927, 0.3298, 0.4677
0.1758, 1413.65, 0.4506, 0.4496, 0.4666, 0.3234, 0.4506
0.1778, 1429.19, 0.4141, 0.4266, 0.4231, 0.3256, 0.4141
0.1797, 1444.72, 0.4037, 0.4168, 0.4132, 0.3068, 0.4037
0.1816, 1460.26, 0.4099, 0.4091, 0.4266, 0.2834, 0.4099
0.1836, 1475.79, 0.4022, 0.3809, 0.4245, 0.2796, 0.4022
0.1855, 1491.33, 0.4036, 0.3783, 0.4254, 0.2862, 0.4036
0.1874, 1506.86, 0.4214, 0.4192, 0.4367, 0.2942, 0.4214
0.1894, 1522.40, 0.4265, 0.4223, 0.4426, 0.2967, 0.4265
0.1913, 1537.93, 0.4020, 0.3660, 0.4270, 0.2854, 0.4020
0.1932, 1553.46, 0.3788, 0.3403, 0.4047, 0.2761, 0.3788
0.1951, 1569.00, 0.3843, 0.3581, 0.4050, 0.2923, 0.3843
0.1971, 1584.53, 0.3889, 0.3636, 0.4079, 0.2980, 0.3889
